Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,26.67,26.67,26.75,24.92,3030000.0,0.0,PAYX
2000-01-04,24.67,25.38,27.0,24.17,2970000.0,-0.075,PAYX
2000-01-05,26.13,24.75,26.5,24.67,4059999.9999999995,0.0592,PAYX
2000-01-06,27.08,26.0,27.38,25.67,2600000.0,0.0364,PAYX
2000-01-07,27.63,27.04,27.63,26.25,1900000.0,0.0203,PAYX
2000-01-10,28.08,28.0,28.42,27.25,2200000.0,0.0163,PAYX
2000-01-11,27.17,27.5,28.25,26.88,2089999.9999999998,-0.032400000000000005,PAYX
2000-01-12,26.79,27.08,27.83,26.42,1560000.0,-0.013999999999999999,PAYX
2000-01-13,28.25,26.83,28.33,26.79,2140000.0,0.0545,PAYX
2000-01-14,30.25,28.5,31.33,28.46,4520000.0,0.0708,PAYX
2000-01-18,30.0,29.92,30.88,29.5,3030000.0,-0.0083,PAYX
2000-01-19,30.42,30.04,30.54,29.0,1940000.0,0.013999999999999999,PAYX
2000-01-20,30.88,30.67,31.92,29.88,2330000.0,0.0151,PAYX
2000-01-21,30.54,31.25,31.25,30.25,2760000.0,-0.011000000000000001,PAYX
2000-01-24,27.04,30.46,30.5,26.96,3120000.0,-0.11460000000000001,PAYX
2000-01-25,28.67,27.33,28.75,26.08,9580000.0,0.0603,PAYX
2000-01-26,28.63,28.71,29.67,28.5,3160000.0,-0.0014000000000000002,PAYX
2000-01-27,28.71,28.75,28.79,27.42,2690000.0,0.0028000000000000004,PAYX
2000-01-28,28.0,28.5,29.42,27.75,1880000.0,-0.024700000000000003,PAYX
2000-01-31,29.38,28.04,29.38,28.0,2040000.0,0.0493,PAYX
2000-02-01,29.33,29.33,29.92,28.5,2160000.0,-0.0017000000000000001,PAYX
2000-02-02,29.17,29.33,29.46,28.33,1420000.0,-0.0055000000000000005,PAYX
2000-02-03,28.75,29.13,29.38,28.0,2060000.0,-0.0144,PAYX
2000-02-04,28.33,29.08,29.42,28.08,1590000.0,-0.0146,PAYX
2000-02-07,28.5,28.25,28.71,27.88,1010000.0,0.006,PAYX
2000-02-08,28.42,28.79,28.96,28.08,1660000.0,-0.0028000000000000004,PAYX
2000-02-09,27.67,28.17,28.42,27.67,1830000.0,-0.0264,PAYX
2000-02-10,29.5,27.75,29.88,27.63,1980000.0,0.0661,PAYX
2000-02-11,28.42,29.46,30.63,28.17,2630000.0,-0.0366,PAYX
2000-02-14,31.0,28.67,31.42,28.42,2310000.0,0.0908,PAYX
2000-02-15,30.92,30.71,31.0,29.13,3150000.0,-0.0026,PAYX
2000-02-16,30.5,30.83,30.96,30.0,1570000.0,-0.013600000000000001,PAYX
2000-02-17,32.33,30.96,32.42,30.0,2100000.0,0.06,PAYX
2000-02-18,30.42,32.04,32.08,30.33,2320000.0,-0.0591,PAYX
2000-02-22,30.92,30.46,31.46,29.13,1940000.0,0.016399999999999998,PAYX
2000-02-23,32.92,30.83,33.38,30.75,2600000.0,0.0647,PAYX
2000-02-24,34.13,32.92,34.25,30.0,3600000.0,0.0368,PAYX
2000-02-25,31.71,33.83,33.83,31.13,2640000.0,-0.0709,PAYX
2000-02-28,33.5,31.75,34.25,31.42,3540000.0,0.0564,PAYX
2000-02-29,33.38,33.5,33.52,32.33,2340000.0,-0.0036,PAYX
2000-03-01,32.33,33.13,33.17,31.88,2340000.0,-0.0315,PAYX
2000-03-02,31.92,32.0,32.33,30.88,1980000.0,-0.0127,PAYX
2000-03-03,32.63,32.04,33.46,31.67,3370000.0,0.0222,PAYX
2000-03-06,33.25,32.25,33.33,32.0,1610000.0,0.019,PAYX
2000-03-07,32.13,33.33,33.42,32.0,1980000.0,-0.0337,PAYX
2000-03-08,32.63,32.13,33.17,30.79,2280000.0,0.015600000000000001,PAYX
2000-03-09,33.25,32.33,33.5,32.0,1760000.0,0.019,PAYX
2000-03-10,33.92,33.21,34.63,33.0,1520000.0,0.0202,PAYX
2000-03-13,32.58,33.29,34.63,32.33,2020000.0,-0.0395,PAYX
2000-03-14,32.54,32.58,34.0,32.42,1540000.0,-0.0012,PAYX
