Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,4.42,4.5,4.55,4.39,891130.0,-0.011200000000000002,PBCT
2000-01-04,4.4,4.4,4.43,4.37,1230000.0,-0.0045000000000000005,PBCT
2000-01-05,4.43,4.4,4.44,4.35,361930.0,0.0068000000000000005,PBCT
2000-01-06,4.39,4.42,4.43,4.38,370910.0,-0.009000000000000001,PBCT
2000-01-07,4.37,4.42,4.42,4.33,362410.0,-0.0046,PBCT
2000-01-10,4.29,4.35,4.35,4.23,631730.0,-0.0183,PBCT
2000-01-11,4.39,4.25,4.42,4.25,298150.0,0.0233,PBCT
2000-01-12,4.38,4.38,4.43,4.29,228690.0,-0.0023,PBCT
2000-01-13,4.43,4.32,4.47,4.31,346340.0,0.011399999999999999,PBCT
2000-01-14,4.54,4.47,4.6,4.42,402570.0,0.0248,PBCT
2000-01-18,4.43,4.54,4.58,4.37,217350.0,-0.0242,PBCT
2000-01-19,4.43,4.39,4.47,4.38,156400.0,0.0,PBCT
2000-01-20,4.34,4.44,4.48,4.34,272160.0,-0.0203,PBCT
2000-01-21,4.25,4.35,4.42,4.23,255150.0,-0.0207,PBCT
2000-01-24,4.1,4.23,4.34,4.1,692210.0,-0.0353,PBCT
2000-01-25,4.05,4.11,4.13,3.99,1280000.0,-0.012199999999999999,PBCT
2000-01-26,4.23,4.07,4.23,4.05,490450.0,0.0444,PBCT
2000-01-27,4.15,4.23,4.26,4.14,225860.0,-0.0189,PBCT
2000-01-28,4.18,4.22,4.25,4.02,589210.0,0.0072,PBCT
2000-01-31,4.38,4.22,4.42,4.18,3380000.0,0.0478,PBCT
2000-02-01,4.31,4.4,4.4,4.31,393590.0,-0.016,PBCT
2000-02-02,4.19,4.37,4.37,4.13,304290.0,-0.0278,PBCT
2000-02-03,4.23,4.16,4.23,4.1,434700.0,0.0095,PBCT
2000-02-04,4.33,4.21,4.43,4.21,286810.0,0.0236,PBCT
2000-02-07,4.22,4.33,4.34,4.21,382720.0,-0.0254,PBCT
2000-02-08,4.1,4.22,4.22,4.05,390280.0,-0.028399999999999998,PBCT
2000-02-09,4.11,4.1,4.14,4.05,643540.0,0.0024,PBCT
2000-02-10,4.05,4.13,4.18,4.03,324610.0,-0.0146,PBCT
2000-02-11,4.02,4.03,4.07,3.96,730480.0,-0.0074,PBCT
2000-02-14,3.96,3.97,4.07,3.94,254210.0,-0.0149,PBCT
2000-02-15,4.02,3.96,4.05,3.94,963900.0,0.0152,PBCT
2000-02-16,4.13,4.02,4.18,3.99,463520.0,0.0274,PBCT
2000-02-17,4.11,4.1,4.15,4.05,361930.0,-0.0048,PBCT
2000-02-18,4.02,4.05,4.13,3.99,213100.0,-0.0219,PBCT
2000-02-22,3.96,3.99,4.05,3.94,489040.0,-0.0149,PBCT
2000-02-23,3.97,3.96,4.02,3.93,472030.0,0.0025,PBCT
2000-02-24,3.96,3.97,3.98,3.9,472030.0,-0.0025,PBCT
2000-02-25,3.97,3.94,4.02,3.85,541010.0,0.0025,PBCT
2000-02-28,3.93,4.02,4.02,3.89,337840.0,-0.0101,PBCT
2000-02-29,4.22,3.94,4.23,3.86,1210000.0,0.0738,PBCT
2000-03-01,3.86,4.19,4.21,3.86,788600.0,-0.08529999999999999,PBCT
2000-03-02,3.81,3.9,3.9,3.81,503210.0,-0.013000000000000001,PBCT
2000-03-03,3.97,3.84,3.97,3.82,749380.0,0.042,PBCT
2000-03-06,3.97,3.94,4.05,3.89,360040.0,0.0,PBCT
2000-03-07,3.76,4.01,4.03,3.76,361930.0,-0.0529,PBCT
2000-03-08,3.7,3.78,3.78,3.7,746550.0,-0.016,PBCT
2000-03-09,3.68,3.73,3.73,3.65,559910.0,-0.0054,PBCT
2000-03-10,3.68,3.69,3.72,3.65,870820.0,0.0,PBCT
2000-03-13,3.6,3.62,3.66,3.47,1100000.0,-0.0217,PBCT
2000-03-14,3.79,3.66,3.89,3.62,827820.0,0.0528,PBCT
2000-03-15,4.1,3.76,4.15,3.73,398790.0,0.0818,PBCT
2000-03-16,4.47,4.18,4.47,4.15,758830.0,0.0902,PBCT
2000-03-17,4.38,4.46,4.47,4.34,631260.0,-0.020099999999999996,PBCT
2000-03-20,4.15,4.34,4.39,4.15,169630.0,-0.0525,PBCT
2000-03-21,4.37,4.22,4.38,4.18,241920.0,0.053,PBCT
2000-03-22,4.46,4.31,4.47,4.31,1040000.0,0.0206,PBCT
2000-03-23,4.46,4.46,4.47,4.4,571720.0,0.0,PBCT
2000-03-24,4.22,4.43,4.5,4.15,534870.0,-0.0538,PBCT
2000-03-27,4.23,4.21,4.35,4.21,478170.0,0.0024,PBCT
2000-03-28,4.19,4.25,4.27,4.19,238610.0,-0.0095,PBCT
2000-03-29,4.23,4.25,4.27,4.19,1050000.0,0.0095,PBCT
2000-03-30,4.3,4.23,4.31,4.21,557080.0,0.0165,PBCT
2000-03-31,4.43,4.3,4.5,4.29,1050000.0,0.0302,PBCT
2000-04-03,4.51,4.42,4.51,4.39,1490000.0,0.0181,PBCT
2000-04-04,4.48,4.5,4.74,4.43,1250000.0,-0.0067,PBCT
2000-04-05,4.48,4.48,4.5,4.44,2800000.0,0.0,PBCT
2000-04-06,4.47,4.47,4.54,4.44,1840000.0,-0.0022,PBCT
2000-04-07,4.42,4.47,4.48,4.37,568420.0,-0.011200000000000002,PBCT
2000-04-10,4.26,4.37,4.42,4.26,194200.0,-0.0362,PBCT
2000-04-11,4.22,4.23,4.25,4.17,355790.0,-0.009399999999999999,PBCT
2000-04-12,4.43,4.17,4.47,4.15,276890.0,0.049800000000000004,PBCT
2000-04-13,4.25,4.5,4.5,4.18,309020.0,-0.0406,PBCT
2000-04-14,4.15,4.25,4.29,4.07,661030.0,-0.0235,PBCT
2000-04-17,4.37,4.18,4.42,4.1,572200.0,0.053,PBCT
2000-04-18,4.15,4.38,4.38,4.11,561330.0,-0.050300000000000004,PBCT
2000-04-19,4.21,4.15,4.39,4.13,486670.0,0.014499999999999999,PBCT
2000-04-20,4.23,4.27,4.38,4.18,420050.0,0.0048,PBCT
2000-04-24,4.13,4.24,4.25,4.02,232940.0,-0.0236,PBCT
2000-04-25,4.31,4.05,4.34,4.05,156400.0,0.0436,PBCT
2000-04-26,4.17,4.32,4.33,4.1,159230.0,-0.0325,PBCT
2000-04-27,4.23,4.1,4.29,4.1,97810.0,0.0144,PBCT
2000-04-28,4.31,4.26,4.33,4.18,368080.0,0.0189,PBCT
2000-05-01,4.37,4.34,4.37,4.25,592040.0,0.0139,PBCT
2000-05-02,4.34,4.37,4.39,4.29,509830.0,-0.0069,PBCT
2000-05-03,4.26,4.34,4.37,4.21,319410.0,-0.0184,PBCT
2000-05-04,4.09,4.27,4.31,4.07,238140.0,-0.039900000000000005,PBCT
2000-05-05,4.17,4.07,4.21,4.07,277360.0,0.0196,PBCT
2000-05-08,4.22,4.23,4.34,4.21,196560.0,0.012,PBCT
2000-05-09,4.23,4.23,4.31,4.15,483370.0,0.0024,PBCT
2000-05-10,4.23,4.25,4.26,4.21,285860.0,0.0,PBCT
2000-05-11,4.27,4.25,4.34,4.25,176720.0,0.0095,PBCT
2000-05-12,4.33,4.28,4.37,4.22,121430.0,0.0141,PBCT
2000-05-15,4.42,4.33,4.47,4.31,647320.0,0.0208,PBCT
2000-05-16,4.43,4.46,4.46,4.39,405400.0,0.0023,PBCT
2000-05-17,4.37,4.41,4.41,4.37,133720.0,-0.013500000000000002,PBCT
2000-05-18,4.33,4.37,4.44,4.31,261769.99999999997,-0.0092,PBCT
2000-05-19,4.35,4.33,4.37,4.25,126160.0,0.0046,PBCT
2000-05-22,4.33,4.3,4.34,4.11,445570.0,-0.0046,PBCT
2000-05-23,4.37,4.26,4.39,4.26,261290.00000000003,0.0092,PBCT
2000-05-24,4.44,4.37,4.51,4.37,1520000.0,0.016,PBCT
2000-05-25,4.4,4.44,4.47,4.31,147890.0,-0.009000000000000001,PBCT
2000-05-26,4.38,4.34,4.39,4.31,303350.0,-0.0045000000000000005,PBCT
2000-05-30,4.46,4.33,4.47,4.3,285860.0,0.0183,PBCT
2000-05-31,4.46,4.44,4.48,4.42,764500.0,0.0,PBCT
2000-06-01,4.47,4.47,4.48,4.44,5670000.0,0.0022,PBCT
2000-06-02,4.85,4.47,4.85,4.47,486200.0,0.085,PBCT
2000-06-05,4.78,4.81,4.83,4.71,239560.0,-0.0144,PBCT
2000-06-06,4.66,4.75,4.78,4.6,312320.0,-0.025099999999999997,PBCT
2000-06-07,4.64,4.62,4.76,4.62,81740.0,-0.0043,PBCT
2000-06-08,4.58,4.6,4.63,4.55,60010.0,-0.0129,PBCT
2000-06-09,4.58,4.58,4.58,4.54,167270.0,0.0,PBCT
2000-06-12,4.48,4.63,4.66,4.46,813170.0,-0.0218,PBCT
2000-06-13,4.51,4.47,4.55,4.47,220190.0,0.0067,PBCT
2000-06-14,4.46,4.55,4.55,4.39,195620.0,-0.0111,PBCT
2000-06-15,4.43,4.42,4.43,4.31,587790.0,-0.0067,PBCT
2000-06-16,4.29,4.41,4.41,4.25,2530000.0,-0.0316,PBCT
2000-06-19,4.14,4.23,4.25,4.09,801830.0,-0.035,PBCT
2000-06-20,4.22,4.14,4.22,4.1,541010.0,0.019299999999999998,PBCT
2000-06-21,4.15,4.18,4.19,4.1,385090.0,-0.0166,PBCT
2000-06-22,4.11,4.13,4.14,4.1,80330.0,-0.0096,PBCT
2000-06-23,4.14,4.11,4.15,4.1,1020000.0,0.0073,PBCT
2000-06-26,4.19,4.13,4.19,4.13,899170.0,0.0121,PBCT
2000-06-27,4.23,4.19,4.23,4.18,1110000.0,0.0095,PBCT
2000-06-28,4.31,4.22,4.34,4.21,874600.0,0.0189,PBCT
2000-06-29,4.31,4.27,4.33,4.23,940750.0,0.0,PBCT
2000-06-30,3.89,4.31,4.33,3.84,2240000.0,-0.0974,PBCT
2000-07-03,4.05,3.94,4.13,3.94,290120.0,0.041100000000000005,PBCT
2000-07-05,4.19,4.03,4.29,4.03,478640.0,0.0346,PBCT
2000-07-06,4.18,4.29,4.29,4.13,337360.0,-0.0024,PBCT
2000-07-07,4.33,4.21,4.37,4.21,367600.0,0.0359,PBCT
2000-07-10,4.26,4.29,4.29,4.25,139860.0,-0.016200000000000003,PBCT
2000-07-11,4.14,4.26,4.34,4.14,141750.0,-0.0282,PBCT
2000-07-12,4.21,4.2,4.23,4.14,474860.0,0.0169,PBCT
2000-07-13,4.21,4.18,4.23,4.15,201290.0,0.0,PBCT
2000-07-14,4.19,4.15,4.22,4.14,148840.0,-0.0048,PBCT
2000-07-17,4.22,4.21,4.3,4.18,251840.0,0.0072,PBCT
2000-07-18,4.22,4.22,4.23,4.21,290590.0,0.0,PBCT
2000-07-19,4.29,4.21,4.31,4.13,429970.0,0.0166,PBCT
2000-07-20,4.4,4.27,4.4,4.27,318940.0,0.0256,PBCT
2000-07-21,4.25,4.34,4.37,4.18,347290.0,-0.0341,PBCT
2000-07-24,4.1,4.18,4.19,4.09,495180.0,-0.0353,PBCT
2000-07-25,4.23,4.11,4.23,4.09,295790.0,0.0317,PBCT
2000-07-26,4.27,4.21,4.29,4.13,253730.0,0.0095,PBCT
2000-07-27,4.26,4.26,4.29,4.15,399260.0,-0.0023,PBCT
2000-07-28,4.1,4.21,4.21,4.02,139860.0,-0.037599999999999995,PBCT
2000-07-31,4.18,4.07,4.19,4.05,264130.0,0.0195,PBCT
2000-08-01,4.19,4.15,4.21,4.1,385090.0,0.0024,PBCT
2000-08-02,4.18,4.17,4.19,4.15,178130.0,-0.0024,PBCT
2000-08-03,4.31,4.13,4.31,4.13,337840.0,0.0311,PBCT
2000-08-04,4.31,4.29,4.39,4.29,258930.0,0.0,PBCT
2000-08-07,4.4,4.31,4.43,4.29,395010.0,0.0209,PBCT
2000-08-08,4.35,4.38,4.44,4.3,312320.0,-0.011399999999999999,PBCT
2000-08-09,4.33,4.29,4.33,4.22,290120.0,-0.0046,PBCT
2000-08-10,4.38,4.4,4.42,4.35,383200.0,0.0115,PBCT
2000-08-11,4.48,4.37,4.48,4.35,643540.0,0.022799999999999997,PBCT
2000-08-14,4.42,4.47,4.47,4.4,485260.0,-0.0134,PBCT
2000-08-15,4.46,4.47,4.47,4.42,1070000.0,0.009000000000000001,PBCT
2000-08-16,4.43,4.47,4.48,4.39,531560.0,-0.0067,PBCT
2000-08-17,4.42,4.44,4.46,4.42,371380.0,-0.0023,PBCT
2000-08-18,4.35,4.44,4.47,4.35,373750.0,-0.0158,PBCT
2000-08-21,4.35,4.37,4.39,4.26,120490.0,0.0,PBCT
2000-08-22,4.47,4.32,4.47,4.27,216410.0,0.0276,PBCT
2000-08-23,4.5,4.46,4.54,4.43,221600.0,0.0067,PBCT
2000-08-24,4.5,4.47,4.52,4.44,114350.0,0.0,PBCT
