Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,36.88,35.38,37.38,35.0,5300000.0,0.0462,PEP
2000-01-04,35.94,36.56,37.56,35.75,4560000.0,-0.0255,PEP
2000-01-05,35.06,35.81,36.31,34.88,5700000.0,-0.0245,PEP
2000-01-06,36.62,34.75,36.88,34.5,6860000.0,0.044500000000000005,PEP
2000-01-07,37.62,36.88,38.62,36.69,10530000.0,0.0273,PEP
2000-01-10,36.88,38.12,38.19,36.62,6400000.0,-0.0197,PEP
2000-01-11,36.75,37.25,37.62,36.62,5610000.0,-0.0034999999999999996,PEP
2000-01-12,36.31,36.75,37.25,36.31,4270000.0,-0.012,PEP
2000-01-13,35.94,36.31,36.62,35.94,3140000.0,-0.0102,PEP
2000-01-14,36.19,36.06,36.81,35.94,5410000.0,0.006999999999999999,PEP
2000-01-18,36.25,35.94,37.0,35.56,4820000.0,0.0017000000000000001,PEP
2000-01-19,36.44,36.88,36.88,35.94,4000000.0,0.0052,PEP
2000-01-20,36.12,36.44,36.44,36.0,3110000.0,-0.0088,PEP
2000-01-21,36.12,36.19,36.44,35.75,4450000.0,0.0,PEP
2000-01-24,35.31,36.19,36.38,34.81,3790000.0,-0.022400000000000003,PEP
2000-01-25,34.31,35.31,35.38,33.88,4360000.0,-0.028300000000000002,PEP
2000-01-26,33.94,34.31,34.94,33.75,3170000.0,-0.0108,PEP
2000-01-27,33.81,34.0,34.31,33.25,2610000.0,-0.0038,PEP
2000-01-28,33.25,33.56,34.0,33.19,4090000.0,-0.0166,PEP
2000-01-31,34.12,33.5,34.38,33.25,3020000.0,0.0262,PEP
2000-02-01,34.0,34.0,34.31,33.69,3600000.0,-0.0034999999999999996,PEP
2000-02-02,33.0,33.75,33.94,32.94,3290000.0,-0.0294,PEP
2000-02-03,33.06,33.0,33.38,32.62,3660000.0,0.0018,PEP
2000-02-04,32.75,33.62,34.12,32.62,3890000.0,-0.009399999999999999,PEP
2000-02-07,32.38,32.88,33.19,32.25,4000000.0,-0.0113,PEP
2000-02-08,33.31,33.31,33.75,33.0,5010000.0,0.0287,PEP
2000-02-09,34.0,35.0,35.12,33.75,8430000.0,0.0207,PEP
2000-02-10,34.62,34.88,34.88,34.06,5910000.0,0.0182,PEP
2000-02-11,34.38,35.0,35.12,34.0,5530000.0,-0.0069,PEP
2000-02-14,34.06,34.19,34.5,33.94,3490000.0,-0.009300000000000001,PEP
2000-02-15,34.19,34.0,34.88,34.0,3910000.0,0.0038,PEP
2000-02-16,34.0,34.12,34.81,33.94,4610000.0,-0.005600000000000001,PEP
2000-02-17,34.31,34.56,34.81,34.25,2850000.0,0.0091,PEP
2000-02-18,34.25,34.38,34.75,33.94,3660000.0,-0.0017000000000000001,PEP
2000-02-22,34.69,34.31,34.88,34.12,2930000.0,0.0128,PEP
2000-02-23,34.19,34.31,34.75,34.0,3250000.0,-0.0144,PEP
2000-02-24,34.0,34.06,34.38,33.19,3610000.0,-0.005600000000000001,PEP
2000-02-25,32.75,34.0,34.38,32.69,4210000.0,-0.0368,PEP
2000-02-28,33.25,33.19,33.88,32.75,3650000.0,0.015300000000000001,PEP
2000-02-29,32.12,32.88,33.06,32.12,4640000.0,-0.034,PEP
2000-03-01,32.56,32.0,32.94,31.88,5500000.0,0.0137,PEP
2000-03-02,31.56,32.69,32.88,31.56,5170000.0,-0.030699999999999998,PEP
2000-03-03,31.62,32.5,32.5,31.31,4630000.0,0.0019,PEP
2000-03-06,31.0,31.06,31.44,30.69,4460000.0,-0.0196,PEP
2000-03-07,30.62,31.0,31.5,29.69,7050000.0,-0.0123,PEP
2000-03-08,30.5,31.0,31.5,30.06,5160000.0,-0.0039000000000000003,PEP
2000-03-09,31.38,30.75,31.75,30.62,3910000.0,0.028900000000000002,PEP
2000-03-10,30.75,31.06,31.38,30.5,3650000.0,-0.020099999999999996,PEP
2000-03-13,31.12,30.12,31.19,30.12,4310000.0,0.012,PEP
2000-03-14,30.69,30.62,30.75,30.12,4600000.0,-0.0138,PEP
2000-03-15,33.19,30.44,33.19,30.31,5460000.0,0.0815,PEP
2000-03-16,34.06,33.0,34.19,32.25,5410000.0,0.0262,PEP
2000-03-17,33.0,33.0,33.94,32.81,4460000.0,-0.0311,PEP
2000-03-20,33.25,32.5,33.62,32.25,2640000.0,0.0076,PEP
2000-03-21,34.31,33.38,34.31,32.62,5480000.0,0.0319,PEP
2000-03-22,33.5,34.31,34.38,32.75,3430000.0,-0.0236,PEP
2000-03-23,33.5,32.88,34.0,32.75,3790000.0,0.0,PEP
2000-03-24,32.94,33.0,33.5,32.56,3350000.0,-0.0167,PEP
2000-03-27,32.36,32.75,32.94,31.56,3400000.0,-0.0176,PEP
2000-03-28,32.5,31.69,33.12,31.56,4810000.0,0.0043,PEP
2000-03-29,33.25,32.38,33.69,32.38,4250000.0,0.0231,PEP
2000-03-30,35.94,33.94,35.94,33.81,6850000.0,0.0809,PEP
2000-03-31,34.88,36.0,36.06,34.56,4960000.0,-0.029500000000000002,PEP
2000-04-03,36.12,34.62,36.38,34.62,4340000.0,0.0356,PEP
2000-04-04,36.44,36.12,37.25,35.44,5800000.0,0.0089,PEP
2000-04-05,36.75,37.0,37.38,36.5,4640000.0,0.0085,PEP
2000-04-06,36.81,36.69,37.31,36.12,4050000.0,0.0016,PEP
2000-04-07,36.0,36.44,36.56,35.31,3830000.0,-0.022000000000000002,PEP
2000-04-10,36.25,36.0,36.94,35.88,2550000.0,0.0069,PEP
2000-04-11,37.06,36.06,37.19,36.06,2410000.0,0.0223,PEP
2000-04-12,37.25,36.25,37.88,36.25,4070000.0000000005,0.0051,PEP
2000-04-13,36.44,36.56,36.94,36.25,2840000.0,-0.0217,PEP
2000-04-14,36.44,36.69,36.69,35.5,3410000.0,0.0,PEP
2000-04-17,36.62,35.81,36.62,34.62,3650000.0,0.0049,PEP
