Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,32.54,34.21,34.21,32.33,593400.0,-0.048799999999999996,PH
2000-01-04,31.25,32.54,32.83,31.25,217650.0,-0.039599999999999996,PH
2000-01-05,31.25,31.42,31.83,31.08,420900.0,0.0,PH
2000-01-06,31.83,31.33,31.83,30.75,1200000.0,0.018600000000000002,PH
2000-01-07,34.75,34.67,36.0,34.5,2630000.0,0.0917,PH
2000-01-10,34.33,34.75,35.63,33.83,774900.0,-0.0121,PH
2000-01-11,33.46,34.17,34.54,33.33,523500.0,-0.0253,PH
2000-01-12,33.92,33.63,34.13,33.58,1080000.0,0.0137,PH
2000-01-13,33.5,33.96,33.96,33.21,551550.0,-0.0124,PH
2000-01-14,33.08,33.58,33.58,32.42,741150.0,-0.0125,PH
2000-01-18,31.13,32.67,32.79,30.38,1310000.0,-0.058899999999999994,PH
2000-01-19,31.92,30.67,31.92,30.5,899250.0,0.0254,PH
2000-01-20,31.71,32.67,32.67,31.54,862800.0,-0.0066,PH
2000-01-21,31.17,31.71,32.0,30.67,755250.0,-0.017,PH
2000-01-24,29.54,31.21,31.21,29.42,783900.0,-0.052300000000000006,PH
2000-01-25,28.75,29.58,29.67,28.5,556050.0,-0.026699999999999998,PH
2000-01-26,29.38,28.88,29.75,27.88,1100000.0,0.0219,PH
2000-01-27,29.25,29.33,30.0,29.0,442500.0,-0.0044,PH
2000-01-28,28.13,29.08,29.08,28.0,567150.0,-0.0383,PH
2000-01-31,28.83,28.08,29.08,27.79,387900.0,0.024900000000000002,PH
2000-02-01,29.42,28.75,29.63,28.75,705450.0,0.020499999999999997,PH
2000-02-02,28.71,29.42,29.83,28.5,306150.0,-0.0241,PH
2000-02-03,28.38,28.79,29.04,27.92,320400.0,-0.0115,PH
2000-02-04,27.96,28.54,28.67,27.63,404400.0,-0.0148,PH
2000-02-07,27.29,28.0,28.29,26.83,653250.0,-0.024,PH
2000-02-08,27.29,27.29,28.17,27.29,587700.0,0.0,PH
2000-02-09,25.79,27.42,27.46,25.46,1050000.0,-0.055,PH
2000-02-10,25.21,26.13,26.17,25.08,828600.0,-0.0225,PH
2000-02-11,23.67,25.21,25.21,23.58,843300.0,-0.0611,PH
2000-02-14,25.46,23.83,25.88,23.75,763650.0,0.0756,PH
2000-02-15,27.79,25.63,27.96,25.63,1480000.0,0.0915,PH
2000-02-16,27.96,27.67,28.92,27.67,1200000.0,0.0060999999999999995,PH
2000-02-17,27.0,28.13,28.13,26.67,483900.0,-0.034300000000000004,PH
2000-02-18,27.46,27.5,28.29,27.38,796950.0,0.017,PH
2000-02-22,27.54,27.0,27.75,27.0,776550.0,0.0029,PH
2000-02-23,27.5,27.54,27.58,27.08,603900.0,-0.0015,PH
2000-02-24,24.96,26.83,26.83,24.67,771900.0,-0.0924,PH
2000-02-25,22.88,25.13,25.5,22.75,1360000.0,-0.0833,PH
