Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-28,12.0,12.0,12.19,12.0,11190000.0,-0.8847,PKG
2000-01-31,12.06,12.0,12.06,12.0,1880000.0,0.005,PKG
2000-02-01,12.0,12.0,12.06,12.0,367100.0,-0.005,PKG
2000-02-02,12.06,12.0,12.06,12.0,697400.0,0.005,PKG
2000-02-03,12.0,12.0,12.06,12.0,579800.0,-0.005,PKG
2000-02-04,11.38,12.0,12.06,11.25,1680000.0,-0.051699999999999996,PKG
2000-02-07,10.81,11.12,11.12,10.5,927200.0,-0.0501,PKG
2000-02-08,9.88,10.75,10.88,9.75,795400.0,-0.086,PKG
2000-02-09,10.12,9.88,10.25,9.75,1710000.0,0.024300000000000002,PKG
2000-02-10,10.62,10.5,11.25,10.44,571500.0,0.049400000000000006,PKG
2000-02-11,10.06,10.75,10.94,10.0,1060000.0,-0.0527,PKG
2000-02-14,9.81,10.19,10.31,9.75,289000.0,-0.024900000000000002,PKG
2000-02-15,10.44,10.0,10.62,9.94,541400.0,0.0642,PKG
2000-02-16,10.56,10.56,10.62,10.25,360700.0,0.0115,PKG
2000-02-17,10.38,10.88,10.88,10.25,291600.0,-0.017,PKG
2000-02-18,10.5,10.5,10.75,10.31,330700.0,0.0116,PKG
2000-02-22,10.31,10.25,10.62,9.88,314500.0,-0.0181,PKG
2000-02-23,10.12,9.94,10.31,9.81,494300.0,-0.0184,PKG
2000-02-24,9.94,10.12,10.31,9.88,919900.0,-0.0178,PKG
2000-02-25,10.44,10.31,10.62,10.0,1100000.0,0.050300000000000004,PKG
2000-02-28,10.12,10.25,10.31,10.0,366800.0,-0.030699999999999998,PKG
2000-02-29,10.88,10.12,11.25,10.0,1650000.0,0.0751,PKG
2000-03-01,11.0,10.88,11.25,10.88,266700.0,0.011000000000000001,PKG
2000-03-02,11.5,10.88,11.94,10.81,890300.0,0.0455,PKG
2000-03-03,10.94,11.5,11.5,10.88,160300.0,-0.0487,PKG
2000-03-06,10.75,10.5,10.81,10.38,242800.0,-0.0174,PKG
2000-03-07,10.25,10.62,10.75,10.06,393500.0,-0.04650000000000001,PKG
2000-03-08,10.38,10.19,10.5,9.88,424200.0,0.0127,PKG
2000-03-09,10.5,10.31,10.81,10.25,310100.0,0.0116,PKG
2000-03-10,10.25,10.5,10.5,10.0,168900.0,-0.023799999999999998,PKG
2000-03-13,9.75,10.0,10.12,9.56,1770000.0,-0.048799999999999996,PKG
2000-03-14,9.88,9.75,10.12,9.75,660500.0,0.013300000000000001,PKG
2000-03-15,9.62,9.88,9.88,9.25,1230000.0,-0.0263,PKG
2000-03-16,9.75,9.81,10.25,9.5,404100.0,0.013500000000000002,PKG
2000-03-17,9.56,9.75,9.94,9.25,814800.0,-0.0195,PKG
2000-03-20,9.62,9.69,9.88,9.5,473200.0,0.0063,PKG
2000-03-21,9.62,9.56,9.81,9.5,176200.0,0.0,PKG
2000-03-22,9.56,9.62,9.75,9.5,430300.0,-0.0062,PKG
2000-03-23,9.69,9.5,9.81,9.5,477400.0,0.013600000000000001,PKG
2000-03-24,9.75,9.56,9.88,9.56,236700.0,0.0062,PKG
2000-03-27,9.88,9.75,10.0,9.75,67600.0,0.013300000000000001,PKG
2000-03-28,9.81,9.88,10.0,9.75,157900.0,-0.0070999999999999995,PKG
2000-03-29,9.81,9.81,9.94,9.81,253000.0,0.0,PKG
2000-03-30,9.81,9.81,10.12,9.81,235200.0,0.0,PKG
2000-03-31,10.5,9.81,10.5,9.75,627300.0,0.0703,PKG
2000-04-03,10.31,10.38,10.38,10.06,108400.0,-0.0181,PKG
2000-04-04,10.06,10.38,10.38,10.0,411000.0,-0.0242,PKG
2000-04-05,10.25,9.94,10.38,9.88,185700.0,0.0189,PKG
2000-04-06,10.81,10.25,11.12,10.12,296700.0,0.0546,PKG
2000-04-07,10.5,10.5,10.62,10.25,262800.0,-0.0287,PKG
2000-04-10,10.31,10.5,10.75,10.25,139400.0,-0.0181,PKG
2000-04-11,10.56,10.25,10.62,10.25,315000.0,0.0242,PKG
2000-04-12,10.81,10.56,11.0,10.56,392000.0,0.023700000000000002,PKG
2000-04-13,10.62,10.69,10.81,10.62,243200.0,-0.0176,PKG
2000-04-14,10.12,10.5,10.62,10.0,269900.0,-0.0471,PKG
2000-04-17,10.38,10.0,10.38,10.0,321300.0,0.025699999999999997,PKG
2000-04-18,10.62,10.38,10.81,10.25,862200.0,0.0231,PKG
2000-04-19,10.94,10.5,11.25,10.5,531900.0,0.0301,PKG
2000-04-20,10.62,10.94,11.0,10.62,193500.0,-0.029300000000000003,PKG
2000-04-24,10.88,10.75,11.38,10.75,355700.0,0.0245,PKG
2000-04-25,11.25,11.06,11.56,11.0,621900.0,0.034,PKG
2000-04-26,11.0,11.25,11.38,11.0,391800.0,-0.0222,PKG
2000-04-27,10.81,11.0,11.25,10.81,246300.0,-0.0173,PKG
2000-04-28,11.88,11.12,11.88,11.0,284100.0,0.099,PKG
2000-05-01,11.62,11.75,11.94,11.38,138900.0,-0.0219,PKG
2000-05-02,11.75,11.88,11.88,11.56,159200.0,0.011200000000000002,PKG
2000-05-03,11.56,11.62,11.69,11.5,105600.0,-0.016200000000000003,PKG
2000-05-04,11.75,11.56,11.75,11.5,180500.0,0.016399999999999998,PKG
2000-05-05,11.94,11.62,12.0,11.56,240000.0,0.016200000000000003,PKG
2000-05-08,11.88,11.88,12.0,11.75,117900.0,-0.005,PKG
2000-05-09,11.81,11.75,11.88,11.62,87000.0,-0.0059,PKG
2000-05-10,12.0,11.75,12.06,11.56,383700.0,0.0161,PKG
2000-05-11,12.0,11.88,12.06,11.75,404400.0,0.0,PKG
2000-05-12,12.0,12.0,12.12,11.94,171600.0,0.0,PKG
2000-05-15,12.62,12.0,12.75,12.0,227300.0,0.051699999999999996,PKG
2000-05-16,12.38,12.5,12.62,12.12,251500.0,-0.019,PKG
