Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,29.75,30.31,30.31,29.38,246300.0,-0.0265,PNW
2000-01-04,30.12,29.56,30.12,29.56,347800.0,0.0124,PNW
2000-01-05,30.94,29.88,31.25,29.88,453000.0,0.027200000000000002,PNW
2000-01-06,31.12,30.81,31.19,30.81,139300.0,0.0058,PNW
2000-01-07,32.0,31.12,32.06,30.88,303300.0,0.028300000000000002,PNW
2000-01-10,31.56,31.75,31.88,31.38,178800.0,-0.0138,PNW
2000-01-11,31.25,31.56,31.69,30.88,150800.0,-0.0098,PNW
2000-01-12,31.75,31.12,32.0,31.06,143500.0,0.016,PNW
2000-01-13,31.06,31.75,31.75,30.81,1110000.0,-0.0217,PNW
2000-01-14,30.88,31.0,31.0,30.62,204300.0,-0.0058,PNW
2000-01-18,30.12,30.88,31.0,30.0,348600.0,-0.0246,PNW
2000-01-19,31.06,29.69,31.06,29.69,208500.0,0.031200000000000002,PNW
2000-01-20,30.38,31.19,31.5,30.31,326300.0,-0.0219,PNW
2000-01-21,30.88,30.94,31.12,30.5,233400.0,0.0165,PNW
2000-01-24,31.69,30.88,32.06,30.69,520000.0,0.0262,PNW
2000-01-25,30.31,31.94,32.31,30.06,519900.0,-0.0435,PNW
2000-01-26,30.88,30.5,31.25,30.25,308700.0,0.018799999999999997,PNW
2000-01-27,31.62,31.12,31.88,31.0,841900.0,0.024,PNW
2000-01-28,29.94,30.88,30.94,29.81,1630000.0,-0.053099999999999994,PNW
2000-01-31,30.88,30.31,30.88,29.75,585300.0,0.031400000000000004,PNW
2000-02-01,31.0,30.75,31.0,30.56,170600.0,0.0039000000000000003,PNW
2000-02-02,31.0,30.94,31.31,30.88,169100.0,0.0,PNW
2000-02-03,31.69,31.12,31.94,31.12,460800.0,0.0223,PNW
2000-02-04,30.81,31.69,31.69,30.62,202500.0,-0.0278,PNW
2000-02-07,30.62,30.81,30.88,30.56,94800.0,-0.0062,PNW
2000-02-08,30.94,30.62,31.0,30.62,228700.0,0.0105,PNW
2000-02-09,30.81,30.81,31.62,30.12,382300.0,-0.0042,PNW
2000-02-10,30.44,30.94,31.19,30.0,802100.0,-0.012,PNW
2000-02-11,30.44,30.44,30.56,30.06,160800.0,0.0,PNW
2000-02-14,30.38,30.5,30.5,30.31,342600.0,-0.002,PNW
2000-02-15,30.31,30.38,30.5,30.0,104900.0,-0.0023,PNW
2000-02-16,30.0,30.19,30.25,29.44,251100.0,-0.0102,PNW
2000-02-17,29.62,30.0,30.06,29.38,236700.0,-0.0127,PNW
2000-02-18,28.88,29.5,29.56,28.25,284400.0,-0.025,PNW
2000-02-22,28.94,29.12,29.38,28.81,262700.0,0.0021,PNW
2000-02-23,28.25,28.81,28.81,27.88,185800.0,-0.023799999999999998,PNW
2000-02-24,27.38,28.25,28.25,26.81,135700.0,-0.0308,PNW
2000-02-25,26.25,27.0,27.06,26.25,252100.0,-0.041299999999999996,PNW
2000-02-28,27.69,26.5,27.88,26.38,243900.0,0.054900000000000004,PNW
2000-02-29,27.5,27.5,27.88,27.31,224500.0,-0.0069,PNW
2000-03-01,27.38,27.62,27.94,27.25,679300.0,-0.0044,PNW
2000-03-02,27.44,27.5,27.62,27.38,317200.0,0.0022,PNW
2000-03-03,27.38,27.44,27.75,27.25,356400.0,-0.0022,PNW
2000-03-06,26.12,27.25,27.25,25.88,303400.0,-0.046,PNW
2000-03-07,26.44,26.06,26.75,26.0,339900.0,0.0123,PNW
2000-03-08,26.5,26.56,27.19,26.38,328000.0,0.0023,PNW
2000-03-09,26.94,26.5,27.0,26.25,176000.0,0.0166,PNW
2000-03-10,26.19,27.19,27.19,26.0,936500.0,-0.0278,PNW
2000-03-13,25.94,26.06,26.25,25.69,136700.0,-0.0095,PNW
2000-03-14,26.06,25.94,26.38,25.69,187600.0,0.0046,PNW
2000-03-15,28.56,26.0,28.69,26.0,696500.0,0.0959,PNW
2000-03-16,29.62,28.44,29.94,28.19,583700.0,0.0371,PNW
2000-03-17,28.75,29.62,29.62,28.62,258600.00000000003,-0.0294,PNW
2000-03-20,28.38,28.88,28.88,28.19,536000.0,-0.0129,PNW
2000-03-21,27.81,28.25,28.5,27.69,375900.0,-0.020099999999999996,PNW
2000-03-22,26.69,27.75,27.75,26.56,481700.0,-0.0403,PNW
2000-03-23,27.06,26.5,28.0,26.5,1040000.0,0.0139,PNW
2000-03-24,26.69,27.0,27.25,26.69,634500.0,-0.0137,PNW
2000-03-27,26.81,26.88,27.31,26.75,835000.0,0.0045000000000000005,PNW
2000-03-28,26.88,26.69,26.88,26.62,295500.0,0.0026,PNW
2000-03-29,27.5,26.75,27.56,26.75,530200.0,0.0231,PNW
2000-03-30,27.94,27.38,28.0,27.38,335300.0,0.016,PNW
2000-03-31,28.19,27.81,28.19,27.56,368600.0,0.0089,PNW
2000-04-03,28.19,28.38,28.56,27.88,204600.0,0.0,PNW
2000-04-04,28.62,28.38,29.0,27.88,259600.00000000003,0.015300000000000001,PNW
2000-04-05,29.31,28.62,30.0,28.62,368700.0,0.0241,PNW
2000-04-06,29.06,29.5,29.5,28.88,182300.0,-0.0085,PNW
2000-04-07,28.94,29.0,29.25,28.88,178900.0,-0.0040999999999999995,PNW
2000-04-10,29.5,28.75,29.62,28.62,161100.0,0.0194,PNW
2000-04-11,29.38,29.62,30.0,29.38,263800.0,-0.0040999999999999995,PNW
2000-04-12,30.19,29.62,30.75,29.62,335800.0,0.0276,PNW
2000-04-13,30.94,30.38,31.19,30.0,264300.0,0.0248,PNW
2000-04-14,30.25,30.81,31.62,30.06,799200.0,-0.0223,PNW
2000-04-17,30.38,30.12,30.5,29.5,468400.0,0.0043,PNW
2000-04-18,29.88,30.12,30.81,29.88,473400.0,-0.0165,PNW
2000-04-19,30.56,30.0,30.75,29.69,1160000.0,0.022799999999999997,PNW
2000-04-20,31.06,30.56,31.62,30.56,298100.0,0.016399999999999998,PNW
2000-04-24,32.81,30.88,33.12,30.88,473100.0,0.056299999999999996,PNW
2000-04-25,33.62,32.88,33.69,32.38,298600.0,0.024700000000000003,PNW
2000-04-26,35.0,33.5,35.0,33.38,250400.0,0.040999999999999995,PNW
2000-04-27,33.5,34.5,34.5,33.12,748700.0,-0.0429,PNW
2000-04-28,35.06,33.62,35.25,33.62,1060000.0,0.0466,PNW
2000-05-01,35.12,35.0,35.5,34.81,714500.0,0.0017000000000000001,PNW
2000-05-02,34.06,35.19,35.75,33.94,848100.0,-0.0302,PNW
2000-05-03,33.69,33.88,34.12,33.19,286100.0,-0.0109,PNW
2000-05-04,34.56,33.81,34.75,33.5,413000.0,0.0258,PNW
2000-05-05,35.0,34.44,35.0,34.06,502000.0,0.0127,PNW
2000-05-08,36.5,34.88,36.5,34.88,1190000.0,0.0429,PNW
2000-05-09,36.69,36.88,36.88,35.56,733600.0,0.0052,PNW
2000-05-10,37.19,36.75,37.19,36.56,292800.0,0.013600000000000001,PNW
2000-05-11,37.75,37.06,38.0,37.06,304600.0,0.0151,PNW
2000-05-12,36.94,37.75,37.75,36.5,259800.0,-0.0215,PNW
2000-05-15,37.75,37.12,38.12,37.06,569800.0,0.0219,PNW
2000-05-16,37.38,37.69,37.75,36.5,216100.0,-0.0098,PNW
2000-05-17,36.19,37.38,37.38,35.75,217800.0,-0.0318,PNW
2000-05-18,36.69,36.5,37.38,36.44,300600.0,0.0138,PNW
2000-05-19,36.69,36.56,36.81,36.06,161200.0,0.0,PNW
2000-05-22,37.25,36.75,37.31,36.62,375000.0,0.015300000000000001,PNW
2000-05-23,36.62,37.31,37.31,36.19,361300.0,-0.0169,PNW
2000-05-24,37.25,36.88,37.62,36.81,854200.0,0.0172,PNW
2000-05-25,36.0,37.25,37.31,35.81,370300.0,-0.0336,PNW
2000-05-26,36.19,35.62,36.88,35.62,656000.0,0.0053,PNW
2000-05-30,36.12,36.38,36.44,35.25,450400.0,-0.0019,PNW
2000-05-31,35.75,36.19,36.44,35.75,254400.0,-0.0102,PNW
2000-06-01,35.69,35.75,36.0,35.31,371600.0,-0.0017000000000000001,PNW
2000-06-02,35.0,35.62,35.69,34.88,261500.0,-0.019299999999999998,PNW
2000-06-05,33.88,35.38,35.38,33.69,185800.0,-0.032,PNW
2000-06-06,34.81,34.0,35.19,33.62,339400.0,0.0274,PNW
2000-06-07,34.56,35.0,35.38,34.41,169200.0,-0.0072,PNW
2000-06-08,34.5,34.56,34.62,33.62,723300.0,-0.0017000000000000001,PNW
2000-06-09,34.75,34.5,35.0,34.5,160900.0,0.0072,PNW
