Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,5.2,5.26,5.27,5.11,332100.0,0.015600000000000001,POOL
2000-01-04,5.1,5.14,5.2,5.09,155420.0,-0.0192,POOL
2000-01-05,5.1,5.09,5.14,5.09,162000.0,0.0,POOL
2000-01-06,4.86,5.1,5.12,4.74,214650.0,-0.0471,POOL
2000-01-07,4.84,4.89,4.94,4.83,325010.0,-0.0040999999999999995,POOL
2000-01-10,4.88,4.81,4.96,4.81,87580.0,0.0083,POOL
2000-01-11,4.81,4.81,4.89,4.81,658130.0,-0.0143,POOL
2000-01-12,4.67,4.83,4.84,4.67,116940.0,-0.0291,POOL
2000-01-13,4.52,4.78,4.78,4.42,258190.0,-0.0321,POOL
2000-01-14,4.79,4.47,4.79,4.47,65810.0,0.059699999999999996,POOL
2000-01-18,4.77,4.75,4.79,4.64,47080.0,-0.0042,POOL
2000-01-19,4.67,4.74,4.74,4.65,145800.0,-0.021,POOL
2000-01-20,4.64,4.69,4.69,4.64,291600.0,-0.0064,POOL
2000-01-21,4.64,4.56,4.64,4.54,409050.0,0.0,POOL
2000-01-24,4.93,4.64,5.07,4.57,97200.0,0.0625,POOL
2000-01-25,4.9,4.91,4.98,4.89,102770.0,-0.0060999999999999995,POOL
2000-01-26,5.11,5.02,5.14,5.01,294640.0,0.0429,POOL
2000-01-27,5.21,5.14,5.46,5.14,189840.0,0.0196,POOL
2000-01-28,5.14,5.16,5.21,5.11,106310.0,-0.0134,POOL
2000-01-31,5.12,5.11,5.14,5.09,799880.0,-0.0039000000000000003,POOL
2000-02-01,5.09,5.1,5.14,5.01,978080.0,-0.0059,POOL
2000-02-02,5.14,5.1,5.16,5.06,494100.0,0.0098,POOL
2000-02-03,5.07,5.16,5.16,5.06,67330.0,-0.013600000000000001,POOL
2000-02-04,5.28,5.11,5.28,5.11,59740.0,0.0414,POOL
2000-02-07,5.23,5.23,5.33,5.22,105810.0,-0.0095,POOL
2000-02-08,5.43,5.33,5.58,5.3,308810.0,0.0382,POOL
2000-02-09,5.31,5.48,5.52,5.28,359940.0,-0.022099999999999998,POOL
2000-02-10,5.3,5.38,5.38,5.28,199460.0,-0.0019,POOL
2000-02-11,5.27,5.28,5.3,5.27,191360.0,-0.005699999999999999,POOL
2000-02-14,5.23,5.26,5.27,5.23,36960.0,-0.0076,POOL
2000-02-15,5.16,5.33,5.43,5.11,362980.0,-0.0134,POOL
2000-02-16,4.84,5.15,5.15,4.81,127070.0,-0.062,POOL
2000-02-17,4.89,4.86,4.96,4.86,305780.0,0.0103,POOL
2000-02-18,4.85,4.95,4.95,4.83,301220.0,-0.008199999999999999,POOL
2000-02-22,4.83,4.85,4.88,4.74,106820.0,-0.0040999999999999995,POOL
2000-02-23,4.86,4.81,4.86,4.81,2110000.0,0.0062,POOL
2000-02-24,5.04,4.88,5.04,4.86,208580.0,0.037000000000000005,POOL
2000-02-25,5.04,5.09,5.09,5.02,429810.0,0.0,POOL
2000-02-28,4.96,5.01,5.01,4.88,170100.0,-0.0159,POOL
2000-02-29,4.9,4.96,4.96,4.86,338180.0,-0.0121,POOL
2000-03-01,4.93,4.94,4.94,4.89,63280.0,0.0060999999999999995,POOL
2000-03-02,5.14,5.14,5.19,4.96,610030.0,0.0426,POOL
2000-03-03,5.32,5.19,5.33,5.19,418160.0,0.035,POOL
2000-03-06,5.33,5.32,5.37,5.31,407030.0,0.0019,POOL
2000-03-07,5.68,5.38,5.85,5.38,231860.0,0.06570000000000001,POOL
2000-03-08,5.65,5.79,5.8,5.51,593330.0,-0.0053,POOL
2000-03-09,5.78,5.7,5.83,5.63,302230.0,0.023,POOL
2000-03-10,5.78,5.8,5.93,5.75,211110.0,0.0,POOL
2000-03-13,5.81,5.73,5.91,5.73,117960.0,0.0052,POOL
2000-03-14,5.75,5.83,5.98,5.73,216170.0,-0.0103,POOL
2000-03-15,5.73,5.73,5.85,5.63,344760.0,-0.0034999999999999996,POOL
2000-03-16,5.75,5.65,5.88,5.65,430310.0,0.0034999999999999996,POOL
2000-03-17,5.75,5.75,5.8,5.73,93660.0,0.0,POOL
2000-03-20,5.75,5.74,5.75,5.73,42020.0,0.0,POOL
2000-03-21,5.8,5.75,5.8,5.73,92140.0,0.0087,POOL
2000-03-22,5.93,5.83,5.98,5.83,65810.0,0.022400000000000003,POOL
2000-03-23,6.02,5.94,6.02,5.9,35440.0,0.0152,POOL
2000-03-24,5.91,5.98,5.98,5.84,327040.0,-0.0183,POOL
2000-03-27,5.88,5.84,5.93,5.84,176680.0,-0.0051,POOL
2000-03-28,5.88,6.04,6.04,5.88,333110.0,0.0,POOL
2000-03-29,5.9,5.89,5.91,5.88,64800.0,0.0034000000000000002,POOL
2000-03-30,5.86,5.88,5.93,5.84,110870.0,-0.0068000000000000005,POOL
2000-03-31,6.05,5.99,6.17,5.95,193390.0,0.032400000000000005,POOL
2000-04-03,5.58,6.0,6.17,5.58,168580.0,-0.07769999999999999,POOL
2000-04-04,5.91,5.58,5.98,5.58,226290.0,0.0591,POOL
2000-04-05,5.91,5.84,6.1,5.8,248570.0,0.0,POOL
2000-04-06,5.73,5.79,5.8,5.72,168080.0,-0.0305,POOL
2000-04-07,5.58,5.81,5.88,5.53,129600.0,-0.0262,POOL
2000-04-10,5.51,5.57,5.73,5.51,115430.0,-0.0125,POOL
2000-04-11,5.73,5.56,5.78,5.51,377660.0,0.039900000000000005,POOL
2000-04-12,5.57,5.78,5.79,5.57,66320.0,-0.0279,POOL
2000-04-13,5.95,5.96,6.2,5.85,991240.0,0.0682,POOL
2000-04-14,5.85,5.86,6.1,5.78,302230.0,-0.0168,POOL
2000-04-17,5.77,5.73,6.22,5.63,2080000.0,-0.0137,POOL
2000-04-18,6.05,6.0,6.2,5.78,1580000.0,0.048499999999999995,POOL
2000-04-19,6.0,6.05,6.17,6.0,660660.0,-0.0083,POOL
2000-04-20,6.12,6.02,6.2,6.02,132130.0,0.02,POOL
2000-04-24,6.47,6.15,6.54,6.04,627750.0,0.0572,POOL
2000-04-25,6.57,6.52,6.59,6.52,794810.0,0.0155,POOL
2000-04-26,6.69,6.62,6.74,6.59,538650.0,0.0183,POOL
2000-04-27,6.93,6.69,6.96,6.68,398420.0,0.0359,POOL
2000-04-28,7.27,6.89,7.36,6.89,662680.0,0.049100000000000005,POOL
2000-05-01,7.14,7.16,7.33,6.91,456640.0,-0.0179,POOL
2000-05-02,7.05,7.11,7.2,7.04,261230.00000000003,-0.0126,POOL
2000-05-03,6.85,7.01,7.05,6.74,538650.0,-0.028399999999999998,POOL
2000-05-04,6.93,6.77,6.93,6.77,361970.0,0.011699999999999999,POOL
2000-05-05,7.05,6.91,7.11,6.91,409560.0,0.0173,POOL
2000-05-08,7.05,6.99,7.11,6.99,306280.0,0.0,POOL
2000-05-09,6.85,7.09,7.09,6.85,190350.0,-0.028399999999999998,POOL
2000-05-10,6.73,6.89,6.89,6.68,264260.0,-0.0175,POOL
2000-05-11,6.96,6.73,6.98,6.72,679890.0,0.0342,POOL
2000-05-12,7.26,7.01,7.26,6.99,739630.0,0.0431,POOL
2000-05-15,7.53,7.32,7.56,7.14,582190.0,0.037200000000000004,POOL
2000-05-16,7.51,7.58,7.75,7.51,564470.0,-0.0027,POOL
2000-05-17,7.33,7.53,7.53,7.26,290590.0,-0.024,POOL
2000-05-18,7.31,7.33,7.56,7.28,192380.0,-0.0027,POOL
2000-05-19,7.05,7.3,7.31,6.99,497140.0,-0.0356,POOL
2000-05-22,6.89,7.01,7.01,6.77,338680.0,-0.0227,POOL
2000-05-23,7.16,6.89,7.46,6.89,567510.0,0.0392,POOL
2000-05-24,6.91,7.17,7.17,6.81,469290.0,-0.0349,POOL
2000-05-25,6.54,6.86,6.91,6.35,503720.0,-0.0535,POOL
2000-05-26,6.49,6.4,6.54,6.4,112390.0,-0.0076,POOL
2000-05-30,6.52,6.49,6.52,6.33,175160.0,0.0046,POOL
2000-05-31,6.69,6.56,6.81,6.52,395890.0,0.026099999999999998,POOL
2000-06-01,6.74,6.62,6.86,6.62,37460.0,0.0075,POOL
2000-06-02,6.93,6.74,7.06,6.74,269830.0,0.0282,POOL
2000-06-05,6.77,7.06,7.06,6.77,136180.0,-0.0231,POOL
2000-06-06,6.75,6.94,7.04,6.67,98720.0,-0.003,POOL
2000-06-07,6.68,6.69,6.86,6.67,140740.0,-0.0104,POOL
2000-06-08,6.57,6.67,6.86,6.57,95180.0,-0.0165,POOL
2000-06-09,6.47,6.77,6.77,6.47,97200.0,-0.0152,POOL
2000-06-12,6.41,6.46,6.51,6.22,284010.0,-0.009300000000000001,POOL
2000-06-13,6.44,6.47,6.52,6.4,104790.0,0.004699999999999999,POOL
2000-06-14,6.48,6.47,6.57,6.32,321980.0,0.0062,POOL
2000-06-15,6.52,6.48,6.54,6.47,130110.00000000001,0.0062,POOL
2000-06-16,6.49,6.49,6.51,6.42,355890.0,-0.0046,POOL
2000-06-19,6.42,6.47,6.48,6.36,128080.00000000001,-0.0108,POOL
2000-06-20,6.17,6.44,6.44,6.15,822490.0,-0.038900000000000004,POOL
2000-06-21,6.28,6.22,6.28,6.15,806960.0,0.0178,POOL
2000-06-22,5.74,6.22,6.28,5.74,654080.0,-0.086,POOL
2000-06-23,5.96,5.81,6.22,5.81,156940.0,0.0383,POOL
2000-06-26,6.15,6.0,6.19,6.0,474190.0,0.0319,POOL
2000-06-27,6.41,6.22,6.52,6.2,220390.0,0.042300000000000004,POOL
2000-06-28,6.63,6.44,6.74,6.43,179550.0,0.034300000000000004,POOL
2000-06-29,6.37,6.7,6.74,6.15,283840.0,-0.0392,POOL
2000-06-30,6.96,6.44,6.96,6.36,149510.0,0.0926,POOL
2000-07-03,6.63,6.89,6.96,6.63,24980.0,-0.047400000000000005,POOL
2000-07-05,6.67,6.63,6.67,6.44,564980.0,0.006,POOL
2000-07-06,6.78,6.67,6.78,6.52,294300.0,0.0165,POOL
2000-07-07,6.87,6.89,6.89,6.81,94160.0,0.013300000000000001,POOL
2000-07-10,6.7,6.85,6.85,6.68,358430.0,-0.024700000000000003,POOL
2000-07-11,6.76,6.74,6.83,6.7,217350.0,0.009000000000000001,POOL
2000-07-12,6.89,6.8,6.96,6.7,175160.0,0.0192,POOL
2000-07-13,6.78,6.89,6.89,6.76,134660.0,-0.016,POOL
2000-07-14,6.72,6.8,6.8,6.63,347630.0,-0.0088,POOL
2000-07-17,6.72,6.67,6.72,6.67,112390.0,0.0,POOL
2000-07-18,6.78,6.76,6.93,6.67,406010.0,0.0089,POOL
2000-07-19,6.83,6.81,6.96,6.81,607160.0,0.0074,POOL
2000-07-20,7.07,6.83,7.11,6.81,991240.0,0.0351,POOL
2000-07-21,6.98,7.09,7.17,6.98,450230.0,-0.0127,POOL
2000-07-24,7.19,7.06,7.26,7.0,249410.0,0.0301,POOL
2000-07-25,7.56,7.46,7.74,7.3,642600.0,0.051500000000000004,POOL
2000-07-26,8.15,7.55,8.22,7.55,1070000.0,0.078,POOL
2000-07-27,7.81,8.05,8.11,7.81,388460.0,-0.0417,POOL
2000-07-28,7.63,7.61,7.72,7.48,421880.0,-0.023,POOL
2000-07-31,7.8,7.58,7.98,7.54,136690.0,0.0223,POOL
2000-08-01,7.93,7.8,7.93,7.79,626740.0,0.0167,POOL
2000-08-02,7.93,7.94,8.0,7.87,243340.0,0.0,POOL
2000-08-03,8.15,7.96,8.3,7.93,178200.0,0.0277,POOL
2000-08-04,8.3,8.26,8.3,8.07,184610.0,0.0184,POOL
2000-08-07,8.33,8.28,8.37,8.15,293960.0,0.0036,POOL
2000-08-08,8.28,8.33,8.33,8.22,66490.0,-0.006,POOL
2000-08-09,8.04,8.28,8.28,7.96,608850.0,-0.028999999999999998,POOL
2000-08-10,7.78,8.01,8.02,7.78,525150.0,-0.0323,POOL
2000-08-11,8.0,7.85,8.0,7.41,89780.0,0.028300000000000002,POOL
2000-08-14,8.17,7.87,8.24,7.7,186640.0,0.0213,POOL
2000-08-15,7.74,8.13,8.15,7.74,24980.0,-0.0526,POOL
2000-08-16,8.0,7.72,8.0,7.7,214650.0,0.0336,POOL
2000-08-17,7.96,8.0,8.04,7.89,145800.0,-0.005,POOL
2000-08-18,8.07,7.89,8.07,7.85,226130.0,0.0138,POOL
2000-08-21,7.93,8.01,8.02,7.85,39150.0,-0.0173,POOL
2000-08-22,8.0,7.93,8.04,7.93,75260.0,0.0088,POOL
2000-08-23,8.04,8.02,8.13,7.94,181240.0,0.005,POOL
2000-08-24,8.2,8.04,8.31,8.04,499160.0,0.0199,POOL
2000-08-25,8.57,8.28,8.67,8.22,152550.0,0.0451,POOL
2000-08-28,8.93,8.74,9.07,8.72,230510.0,0.042,POOL
2000-08-29,8.74,9.04,9.04,8.67,136690.0,-0.0213,POOL
