Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,8.12,8.5,8.5,8.06,442500.0,0.015,PRGO
2000-01-04,8.06,8.09,8.19,7.7,2390000.0,-0.0074,PRGO
2000-01-05,8.06,8.09,8.12,8.0,319600.0,0.0,PRGO
2000-01-06,8.12,8.06,8.12,8.0,1000000.0,0.0074,PRGO
2000-01-07,8.34,8.06,8.44,8.06,192200.0,0.0271,PRGO
2000-01-10,8.5,8.5,8.56,8.12,1480000.0,0.0192,PRGO
2000-01-11,8.25,8.37,8.56,8.25,216500.0,-0.0294,PRGO
2000-01-12,8.48,8.37,8.5,8.25,57000.0,0.0279,PRGO
2000-01-13,8.56,8.5,8.69,8.37,200400.0,0.009399999999999999,PRGO
2000-01-14,8.19,8.5,8.62,8.12,274800.0,-0.0432,PRGO
2000-01-18,8.12,8.34,8.56,8.12,206900.0,-0.0085,PRGO
2000-01-19,8.44,8.12,8.5,8.12,174800.0,0.0394,PRGO
2000-01-20,8.56,8.37,8.62,8.31,3940000.0,0.014199999999999999,PRGO
2000-01-21,8.62,8.66,8.75,8.5,311800.0,0.006999999999999999,PRGO
2000-01-24,8.37,8.62,8.69,8.31,386600.0,-0.028999999999999998,PRGO
2000-01-25,8.47,8.5,8.5,8.31,232200.0,0.011899999999999999,PRGO
2000-01-26,8.62,8.5,8.75,8.37,168200.0,0.0177,PRGO
2000-01-27,8.87,8.72,9.12,8.69,256500.0,0.028999999999999998,PRGO
2000-01-28,8.56,8.81,8.94,8.5,239700.0,-0.0349,PRGO
2000-01-31,8.59,8.81,8.87,8.56,170700.0,0.0034999999999999996,PRGO
2000-02-01,8.69,8.69,8.75,8.5,141900.0,0.0116,PRGO
2000-02-02,9.03,8.87,9.06,8.5,223100.0,0.0391,PRGO
2000-02-03,8.75,9.03,9.12,8.62,125100.0,-0.031,PRGO
2000-02-04,8.66,8.94,9.06,8.5,119300.0,-0.0103,PRGO
2000-02-07,9.06,8.84,9.12,8.81,140000.0,0.0462,PRGO
2000-02-08,9.03,8.94,9.06,8.75,179100.0,-0.0033,PRGO
2000-02-09,8.87,9.0,9.44,8.87,356200.0,-0.0177,PRGO
2000-02-10,8.87,8.87,8.94,8.87,152400.0,0.0,PRGO
2000-02-11,8.44,9.0,9.0,8.44,1450000.0,-0.048499999999999995,PRGO
2000-02-14,7.87,8.5,8.5,7.56,360700.0,-0.0675,PRGO
2000-02-15,8.37,7.94,8.62,7.87,308800.0,0.0635,PRGO
2000-02-16,8.47,8.25,8.5,8.25,939400.0,0.011899999999999999,PRGO
2000-02-17,8.12,8.37,8.44,8.12,358600.0,-0.041299999999999996,PRGO
2000-02-18,8.19,8.12,8.44,8.12,329800.0,0.0086,PRGO
2000-02-22,8.12,8.06,8.25,7.94,398900.0,-0.0085,PRGO
2000-02-23,7.56,8.0,8.0,7.5,280000.0,-0.069,PRGO
2000-02-24,7.59,7.59,7.62,7.5,222800.0,0.004,PRGO
2000-02-25,7.56,7.59,7.75,7.5,278000.0,-0.004,PRGO
2000-02-28,7.45,7.56,7.59,7.41,188800.0,-0.0146,PRGO
2000-02-29,7.34,7.44,7.5,7.28,353800.0,-0.0148,PRGO
2000-03-01,7.47,7.34,7.5,7.34,304300.0,0.0177,PRGO
2000-03-02,7.69,7.47,9.0,7.47,1260000.0,0.029500000000000002,PRGO
2000-03-03,7.69,7.75,7.75,7.5,349800.0,0.0,PRGO
2000-03-06,7.66,7.69,7.81,7.5,484500.0,-0.0039000000000000003,PRGO
2000-03-07,7.69,7.69,7.75,7.56,210000.0,0.0039000000000000003,PRGO
2000-03-08,7.62,7.72,7.72,7.31,294900.0,-0.0091,PRGO
2000-03-09,7.56,7.69,7.75,7.41,201600.0,-0.0079,PRGO
2000-03-10,7.41,7.55,7.59,7.37,176300.0,-0.019799999999999998,PRGO
2000-03-13,7.28,7.44,7.56,7.25,153500.0,-0.0175,PRGO
2000-03-14,6.95,7.31,7.34,6.84,679300.0,-0.0453,PRGO
2000-03-15,6.91,7.03,7.09,6.78,314700.0,-0.0058,PRGO
2000-03-16,7.06,7.0,7.12,6.94,977300.0,0.0217,PRGO
2000-03-17,7.34,6.87,7.44,6.87,1550000.0,0.0397,PRGO
2000-03-20,7.34,7.44,7.56,7.25,463200.0,0.0,PRGO
2000-03-21,7.44,7.37,7.62,7.0,941200.0,0.013600000000000001,PRGO
2000-03-22,7.44,7.59,7.62,7.37,114200.0,0.0,PRGO
2000-03-23,7.41,7.47,7.56,7.25,158800.0,-0.004,PRGO
2000-03-24,7.31,7.37,7.44,7.25,263300.0,-0.013500000000000002,PRGO
2000-03-27,7.37,7.31,7.44,7.19,167600.0,0.008199999999999999,PRGO
2000-03-28,7.22,7.37,7.37,7.12,263000.0,-0.0204,PRGO
2000-03-29,7.31,7.25,7.37,7.03,206000.0,0.0125,PRGO
2000-03-30,7.28,7.19,7.31,7.12,216800.0,-0.0040999999999999995,PRGO
2000-03-31,7.59,7.31,7.87,7.0,961100.0,0.0426,PRGO
2000-04-03,7.31,7.5,7.56,7.25,179200.0,-0.0369,PRGO
2000-04-04,7.12,7.25,7.34,7.0,243500.0,-0.026000000000000002,PRGO
2000-04-05,7.19,7.0,7.37,7.0,252100.0,0.0098,PRGO
2000-04-06,7.25,7.31,7.31,7.06,236400.0,0.0083,PRGO
2000-04-07,7.25,7.19,7.31,7.06,100400.0,0.0,PRGO
2000-04-10,7.28,7.31,7.44,7.25,147600.0,0.0040999999999999995,PRGO
2000-04-11,7.31,7.25,7.37,7.12,132700.0,0.0040999999999999995,PRGO
2000-04-12,7.12,7.12,7.31,7.06,167800.0,-0.026000000000000002,PRGO
2000-04-13,7.06,7.11,7.12,7.0,367400.0,-0.0084,PRGO
2000-04-14,7.06,7.12,7.25,7.0,437300.0,0.0,PRGO
2000-04-17,7.25,7.06,7.25,7.06,612500.0,0.0269,PRGO
2000-04-18,6.97,7.25,7.25,6.87,628400.0,-0.038599999999999995,PRGO
2000-04-19,6.94,6.91,7.19,6.91,138100.0,-0.0043,PRGO
2000-04-20,6.91,6.94,6.97,6.91,83500.0,-0.0043,PRGO
2000-04-24,7.0,6.97,7.0,6.91,134900.0,0.013000000000000001,PRGO
2000-04-25,6.75,7.0,7.0,6.69,347800.0,-0.035699999999999996,PRGO
2000-04-26,5.81,6.66,6.69,5.62,2210000.0,-0.1393,PRGO
2000-04-27,5.16,5.67,5.69,5.0,3130000.0,-0.1119,PRGO
2000-04-28,5.69,5.19,5.87,5.12,552800.0,0.1027,PRGO
2000-05-01,5.53,5.75,5.84,5.5,251600.0,-0.0281,PRGO
2000-05-02,5.41,5.53,5.69,5.37,207200.0,-0.0217,PRGO
2000-05-03,5.16,5.37,5.44,5.06,392500.0,-0.0462,PRGO
2000-05-04,5.41,5.12,5.53,5.12,392200.0,0.0484,PRGO
2000-05-05,5.44,5.53,5.56,5.37,200000.0,0.0055000000000000005,PRGO
2000-05-08,5.37,5.44,5.44,5.31,333600.0,-0.0129,PRGO
2000-05-09,5.28,5.37,5.37,5.25,275900.0,-0.0168,PRGO
2000-05-10,5.28,5.25,5.31,5.22,129900.0,0.0,PRGO
2000-05-11,5.28,5.25,5.37,5.12,664000.0,0.0,PRGO
2000-05-12,5.22,5.31,5.37,5.03,689600.0,-0.011399999999999999,PRGO
