Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,12.31,13.19,13.5,12.0,153800.0,-0.0345,REGN
2000-01-04,12.0,12.16,12.62,11.88,94100.0,-0.0252,REGN
2000-01-05,11.5,12.06,12.12,11.25,82000.0,-0.0417,REGN
2000-01-06,11.62,11.56,11.75,11.38,42100.0,0.0104,REGN
2000-01-07,13.0,11.56,13.0,11.38,113900.0,0.1188,REGN
2000-01-10,14.5,13.0,15.12,12.12,286800.0,0.11539999999999999,REGN
2000-01-11,14.09,14.19,14.38,13.88,198900.0,-0.028300000000000002,REGN
2000-01-12,14.12,14.03,14.5,13.5,198000.0,0.0021,REGN
2000-01-13,14.19,14.25,14.38,14.0,102200.0,0.005,REGN
2000-01-14,14.5,14.19,14.94,14.12,236200.0,0.0218,REGN
2000-01-18,17.0,14.56,17.88,14.5,351300.0,0.1724,REGN
2000-01-19,16.25,18.0,18.25,16.25,314800.0,-0.0441,REGN
2000-01-20,15.25,16.31,16.62,15.0,189800.0,-0.061500000000000006,REGN
2000-01-21,14.62,15.03,15.06,14.19,393200.0,-0.041299999999999996,REGN
2000-01-24,14.59,14.81,16.25,14.56,292200.0,-0.0021,REGN
2000-01-25,14.56,14.78,15.06,14.19,98100.0,-0.0021,REGN
2000-01-26,14.06,14.56,14.88,14.06,97500.0,-0.034300000000000004,REGN
2000-01-27,13.38,14.5,14.5,12.88,184100.0,-0.0484,REGN
2000-01-28,12.56,13.5,13.5,12.5,211000.0,-0.0613,REGN
2000-01-31,12.31,12.5,12.56,10.95,312000.0,-0.0199,REGN
2000-02-01,12.62,12.03,12.81,12.03,168200.0,0.0252,REGN
2000-02-02,13.5,12.28,13.62,12.25,129800.00000000001,0.0697,REGN
2000-02-03,12.88,13.5,13.5,12.88,157100.0,-0.045899999999999996,REGN
2000-02-04,13.12,13.06,13.19,12.75,247700.0,0.018600000000000002,REGN
2000-02-07,13.06,12.88,13.25,12.81,147700.0,-0.0046,REGN
2000-02-08,14.62,13.12,15.0,12.69,349900.0,0.11939999999999999,REGN
2000-02-09,13.62,15.12,15.25,13.38,272000.0,-0.0684,REGN
2000-02-10,14.56,13.88,14.69,13.5,226900.0,0.069,REGN
2000-02-11,15.75,14.62,16.38,14.5,303800.0,0.0817,REGN
2000-02-14,16.0,16.25,16.5,15.75,110600.0,0.0159,REGN
2000-02-15,15.0,15.91,16.03,14.25,245800.0,-0.0625,REGN
2000-02-16,15.25,15.03,15.44,15.0,152200.0,0.0167,REGN
2000-02-17,18.12,15.56,18.25,15.5,595100.0,0.1882,REGN
2000-02-18,21.75,18.75,24.0,18.75,762400.0,0.2003,REGN
2000-02-22,20.88,22.56,23.88,18.5,421300.0,-0.04,REGN
2000-02-23,36.62,22.75,38.75,22.75,4520000.0,0.7537999999999999,REGN
2000-02-24,36.75,35.44,37.12,32.62,2310000.0,0.0036,REGN
2000-02-25,45.88,36.12,48.0,34.12,2160000.0,0.2484,REGN
2000-02-28,45.12,45.84,45.88,40.0,825100.0,-0.0166,REGN
2000-02-29,56.5,45.47,57.38,45.25,904800.0,0.2522,REGN
2000-03-01,53.44,55.88,55.88,47.25,647100.0,-0.0542,REGN
2000-03-02,50.41,53.59,54.0,46.31,466700.0,-0.0567,REGN
2000-03-03,50.3,51.88,56.0,48.88,762000.0,-0.0022,REGN
2000-03-06,50.62,49.81,54.0,46.75,514400.0,0.0064,REGN
2000-03-07,46.94,50.31,51.0,46.5,353300.0,-0.0727,REGN
2000-03-08,41.75,47.25,48.0,35.12,749700.0,-0.1106,REGN
2000-03-09,41.06,41.5,43.25,35.81,553300.0,-0.0165,REGN
2000-03-10,40.0,43.94,49.0,39.62,562700.0,-0.0258,REGN
2000-03-13,36.84,36.91,39.0,36.06,252900.0,-0.079,REGN
2000-03-14,29.56,37.75,38.75,28.0,622300.0,-0.19760000000000003,REGN
2000-03-15,29.34,32.0,32.12,28.5,376400.0,-0.0074,REGN
2000-03-16,27.25,30.31,31.5,25.62,351300.0,-0.0712,REGN
2000-03-17,30.62,27.12,32.19,27.12,212400.0,0.12369999999999999,REGN
2000-03-20,27.38,31.5,31.75,27.25,246000.0,-0.1058,REGN
2000-03-21,24.44,27.0,27.06,20.5,538200.0,-0.1074,REGN
2000-03-22,31.5,24.5,31.75,23.5,403500.0,0.2889,REGN
2000-03-23,37.0,32.56,38.06,32.25,800100.0,0.1746,REGN
2000-03-24,36.06,37.62,42.0,35.94,772100.0,-0.0254,REGN
2000-03-27,37.56,36.12,38.75,35.62,404100.0,0.0416,REGN
2000-03-28,33.75,37.62,38.06,32.38,412800.0,-0.1014,REGN
2000-03-29,29.69,34.12,34.12,28.56,410500.0,-0.12029999999999999,REGN
2000-03-30,28.69,28.0,29.0,27.0,1790000.0,-0.0337,REGN
2000-03-31,29.56,28.94,30.25,28.5,498800.0,0.030299999999999997,REGN
2000-04-03,28.5,29.38,30.25,28.5,228600.0,-0.0359,REGN
2000-04-04,22.25,28.62,29.0,20.5,640800.0,-0.2193,REGN
2000-04-05,21.56,21.25,23.12,20.75,1410000.0,-0.031,REGN
2000-04-06,26.38,23.25,27.0,22.38,876700.0,0.2236,REGN
2000-04-07,27.69,27.56,28.0,25.5,368900.0,0.049699999999999994,REGN
2000-04-10,23.5,27.38,27.75,23.5,182600.0,-0.15130000000000002,REGN
2000-04-11,22.19,22.88,23.0,21.0,523000.0,-0.0557,REGN
2000-04-12,19.25,22.25,22.25,18.81,257500.0,-0.1325,REGN
2000-04-13,19.31,19.12,20.62,19.12,248400.0,0.0031,REGN
2000-04-14,17.44,19.19,19.44,17.0,434800.0,-0.0968,REGN
2000-04-17,17.69,17.0,18.0,15.12,279600.0,0.0143,REGN
2000-04-18,24.88,17.75,25.88,17.73,443600.0,0.4064,REGN
2000-04-19,25.0,24.75,26.94,24.75,319200.0,0.0048,REGN
2000-04-20,24.06,25.88,25.88,23.75,287500.0,-0.037599999999999995,REGN
2000-04-24,23.19,22.25,23.38,21.25,207200.0,-0.0362,REGN
2000-04-25,25.5,24.25,25.62,24.12,91200.0,0.09960000000000001,REGN
2000-04-26,26.12,25.62,26.5,25.12,176500.0,0.024300000000000002,REGN
2000-04-27,26.0,24.5,26.12,23.5,218100.0,-0.0046,REGN
2000-04-28,28.56,25.88,29.0,25.88,213300.0,0.09849999999999999,REGN
2000-05-01,29.94,28.62,32.62,28.56,370500.0,0.0483,REGN
2000-05-02,27.56,29.75,29.75,27.56,106600.0,-0.0795,REGN
2000-05-03,27.12,27.19,28.19,26.5,145000.0,-0.016,REGN
2000-05-04,29.19,26.56,30.0,26.56,101800.0,0.07629999999999999,REGN
2000-05-05,30.25,28.56,30.75,28.56,96200.0,0.0363,REGN
2000-05-08,27.88,29.88,30.06,27.88,56900.0,-0.0783,REGN
2000-05-09,27.12,28.25,28.25,25.5,60400.0,-0.0273,REGN
2000-05-10,26.0,26.62,26.62,25.62,46300.0,-0.041299999999999996,REGN
2000-05-11,25.62,25.88,26.25,25.44,131200.0,-0.0146,REGN
2000-05-12,26.5,25.69,27.06,25.25,153400.0,0.034300000000000004,REGN
2000-05-15,27.0,26.62,27.0,25.88,47100.0,0.0189,REGN
2000-05-16,26.38,27.38,27.75,26.0,79800.0,-0.023,REGN
2000-05-17,25.12,26.75,26.75,24.44,57500.0,-0.0478,REGN
2000-05-18,24.38,24.5,25.12,23.94,42300.0,-0.029500000000000002,REGN
2000-05-19,23.62,23.88,24.11,23.12,53200.0,-0.031200000000000002,REGN
2000-05-22,22.12,23.62,23.62,21.0,120900.0,-0.0635,REGN
2000-05-23,21.06,21.81,23.31,21.0,105700.0,-0.0479,REGN
2000-05-24,22.12,21.0,22.12,20.0,166300.0,0.050300000000000004,REGN
2000-05-25,20.0,22.22,23.12,19.56,323800.0,-0.0958,REGN
2000-05-26,19.62,20.0,20.12,19.0,128900.0,-0.019,REGN
2000-05-30,21.0,20.06,21.0,19.97,131200.0,0.0703,REGN
2000-05-31,20.38,20.69,21.06,20.0,68000.0,-0.029500000000000002,REGN
2000-06-01,24.88,23.75,26.19,21.56,385300.0,0.2208,REGN
2000-06-02,24.86,25.62,25.94,24.31,300800.0,-0.0008,REGN
2000-06-05,24.12,24.88,24.88,23.88,70400.0,-0.0298,REGN
2000-06-06,25.0,23.75,26.44,23.75,205700.0,0.0365,REGN
2000-06-07,26.56,25.94,26.75,24.88,104200.0,0.062400000000000004,REGN
2000-06-08,23.06,26.56,27.12,23.0,91400.0,-0.1318,REGN
2000-06-09,27.12,23.75,27.5,23.38,125700.0,0.1761,REGN
2000-06-12,23.88,27.75,27.75,23.5,87900.0,-0.1195,REGN
2000-06-13,24.81,24.09,25.69,23.38,207300.0,0.038900000000000004,REGN
2000-06-14,24.0,25.0,25.0,23.94,81200.0,-0.0326,REGN
2000-06-15,23.56,24.0,24.0,23.38,100800.0,-0.0183,REGN
2000-06-16,25.58,23.56,25.58,23.56,106900.0,0.0857,REGN
2000-06-19,25.12,25.94,25.94,24.31,68400.0,-0.018000000000000002,REGN
2000-06-20,25.56,25.38,25.62,25.27,112700.0,0.0175,REGN
2000-06-21,27.88,25.81,28.0,25.62,113600.0,0.0908,REGN
2000-06-22,25.25,27.94,28.75,24.5,132600.0,-0.0943,REGN
2000-06-23,25.69,26.12,26.12,25.25,113500.0,0.0174,REGN
2000-06-26,27.06,25.62,27.06,25.62,77300.0,0.0533,REGN
2000-06-27,24.75,27.12,27.75,24.75,59400.0,-0.08539999999999999,REGN
2000-06-28,29.0,25.38,29.0,24.0,134000.0,0.17170000000000002,REGN
2000-06-29,29.94,29.19,30.25,27.81,222000.0,0.032400000000000005,REGN
2000-06-30,29.81,30.12,30.12,26.38,580700.0,-0.0043,REGN
2000-07-03,29.12,29.0,29.62,27.56,136800.0,-0.0231,REGN
2000-07-05,30.06,29.06,30.31,27.62,135200.0,0.0323,REGN
2000-07-06,28.94,28.56,29.44,26.56,157500.0,-0.0373,REGN
2000-07-07,29.62,29.19,33.19,28.25,346500.0,0.0235,REGN
2000-07-10,29.75,28.81,30.0,28.62,275400.0,0.0044,REGN
