Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,17.44,17.31,17.88,17.31,217000.0,0.0223,RL
2000-01-04,16.75,17.19,17.25,16.62,92700.0,-0.039599999999999996,RL
2000-01-05,17.06,16.69,17.12,16.5,237600.0,0.018500000000000003,RL
2000-01-06,17.06,17.06,17.12,17.0,238100.0,0.0,RL
2000-01-07,17.5,17.06,17.5,16.81,368400.0,0.0258,RL
2000-01-10,18.25,18.31,18.44,17.62,241100.0,0.0429,RL
2000-01-11,17.62,18.12,18.19,17.44,196500.0,-0.0345,RL
2000-01-12,16.75,17.0,17.5,16.62,135600.0,-0.049400000000000006,RL
2000-01-13,16.44,16.0,16.44,15.31,909000.0,-0.018500000000000003,RL
2000-01-14,16.31,16.62,16.81,16.25,266300.0,-0.0079,RL
2000-01-18,16.0,16.12,16.12,15.88,137200.0,-0.019,RL
2000-01-19,16.25,15.75,16.25,15.75,165200.0,0.015600000000000001,RL
2000-01-20,15.75,16.38,16.44,15.75,301600.0,-0.0308,RL
2000-01-21,15.5,15.88,15.88,15.5,285000.0,-0.0159,RL
2000-01-24,15.06,15.62,15.75,14.94,268600.0,-0.028399999999999998,RL
2000-01-25,14.75,14.94,15.12,14.56,80200.0,-0.0206,RL
2000-01-26,15.12,14.81,15.5,14.75,211200.0,0.025099999999999997,RL
2000-01-27,15.5,15.25,15.69,15.12,170200.0,0.025099999999999997,RL
2000-01-28,15.38,15.88,16.12,15.38,283000.0,-0.0077,RL
2000-01-31,14.88,15.25,15.5,14.75,131800.0,-0.0325,RL
2000-02-01,14.62,14.81,15.19,14.25,237500.0,-0.0175,RL
2000-02-02,14.56,15.12,15.12,14.44,389800.0,-0.0040999999999999995,RL
2000-02-03,14.38,14.62,14.75,14.31,377500.0,-0.0124,RL
2000-02-04,14.12,14.44,14.75,14.12,298300.0,-0.0181,RL
2000-02-07,16.25,14.88,16.44,14.75,723000.0,0.1508,RL
2000-02-08,16.44,16.75,17.44,16.38,612000.0,0.011699999999999999,RL
2000-02-09,16.0,16.44,16.44,15.38,255300.0,-0.0268,RL
2000-02-10,15.06,16.0,16.0,15.0,263400.0,-0.0587,RL
2000-02-11,15.12,15.06,15.38,14.44,398800.0,0.004,RL
2000-02-14,15.5,15.5,15.75,15.44,240100.0,0.025099999999999997,RL
2000-02-15,15.56,15.62,15.69,15.5,285500.0,0.0039000000000000003,RL
2000-02-16,15.56,15.56,15.62,15.44,178300.0,0.0,RL
2000-02-17,15.19,15.5,15.5,15.0,206000.0,-0.023799999999999998,RL
2000-02-18,15.0,15.06,15.38,15.0,133600.0,-0.0125,RL
2000-02-22,14.94,15.0,15.06,14.5,118800.0,-0.004,RL
2000-02-23,14.88,14.94,14.94,14.5,101000.0,-0.004,RL
2000-02-24,14.69,14.81,15.0,14.62,74000.0,-0.0128,RL
2000-02-25,14.88,15.0,15.06,14.81,149400.0,0.0129,RL
2000-02-28,15.69,14.75,15.69,14.75,173200.0,0.054400000000000004,RL
2000-02-29,16.75,15.62,16.75,15.62,336500.0,0.0676,RL
2000-03-01,17.0,16.56,17.06,16.44,249600.0,0.0149,RL
2000-03-02,17.25,17.5,17.5,17.0,308200.0,0.0147,RL
2000-03-03,16.44,16.88,16.94,16.31,211500.0,-0.047,RL
2000-03-06,15.94,16.38,16.44,15.81,156700.0,-0.0304,RL
2000-03-07,15.88,16.12,16.62,15.81,297500.0,-0.0038,RL
2000-03-08,15.56,15.69,15.75,15.5,114800.0,-0.0202,RL
2000-03-09,15.81,15.56,15.81,15.25,223500.0,0.0161,RL
