Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,17.78,18.91,18.97,17.44,88000.0,-0.059800000000000006,ROP
2000-01-04,16.97,17.5,17.69,16.75,153200.0,-0.045599999999999995,ROP
2000-01-05,16.75,16.97,16.97,16.34,262200.0,-0.013000000000000001,ROP
2000-01-06,16.75,16.75,16.84,16.56,211800.0,0.0,ROP
2000-01-07,17.0,16.69,17.0,16.62,181600.0,0.0149,ROP
2000-01-10,17.16,17.12,17.19,16.88,107000.0,0.009399999999999999,ROP
2000-01-11,16.94,17.12,17.12,16.78,79000.0,-0.0128,ROP
2000-01-12,17.03,17.0,17.03,16.69,101600.0,0.0053,ROP
2000-01-13,16.88,17.03,17.03,16.75,107400.0,-0.0088,ROP
2000-01-14,16.84,16.88,16.97,16.75,111400.0,-0.0024,ROP
2000-01-18,16.72,16.91,17.0,16.72,73200.0,-0.0070999999999999995,ROP
2000-01-19,16.72,16.72,16.81,16.66,51800.0,0.0,ROP
2000-01-20,17.28,16.66,17.28,16.56,101000.0,0.0335,ROP
2000-01-21,18.25,17.28,18.28,17.28,197400.0,0.056100000000000004,ROP
2000-01-24,18.09,18.25,18.62,18.03,301600.0,-0.0088,ROP
2000-01-25,17.41,18.0,18.12,17.38,315200.0,-0.037599999999999995,ROP
2000-01-26,17.88,17.47,18.22,17.47,118600.0,0.027000000000000003,ROP
2000-01-27,17.28,17.75,17.78,17.28,133600.0,-0.0336,ROP
2000-01-28,17.31,17.22,17.5,16.88,86400.0,0.0017000000000000001,ROP
2000-01-31,16.78,17.22,17.22,16.38,118200.0,-0.030600000000000002,ROP
2000-02-01,16.72,16.78,16.78,16.41,191800.0,-0.0036,ROP
2000-02-02,17.06,16.81,17.06,16.69,67800.0,0.0203,ROP
2000-02-03,17.88,17.12,17.88,17.06,145400.0,0.0481,ROP
2000-02-04,18.03,18.0,18.69,18.0,195000.0,0.0084,ROP
2000-02-07,17.94,17.97,18.22,17.81,64800.0,-0.005,ROP
2000-02-08,17.72,17.94,18.16,17.56,109000.0,-0.0123,ROP
2000-02-09,16.69,17.84,17.84,16.12,541200.0,-0.0581,ROP
2000-02-10,16.56,16.69,16.75,16.19,489000.0,-0.0078000000000000005,ROP
2000-02-11,15.62,16.56,16.59,15.38,239200.0,-0.056799999999999996,ROP
2000-02-14,16.56,15.62,16.66,15.09,365600.0,0.0602,ROP
