Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,9.42,9.75,9.75,9.25,767100.0,-0.0084,RSG
2000-01-04,8.83,9.29,9.29,8.71,673950.0,-0.0626,RSG
2000-01-05,8.67,8.92,8.96,8.58,782700.0,-0.0181,RSG
2000-01-06,8.63,8.67,8.71,8.5,1120000.0,-0.0046,RSG
2000-01-07,9.08,8.63,9.08,8.63,892650.0,0.0521,RSG
2000-01-10,9.13,9.0,9.17,8.75,401550.0,0.0055000000000000005,RSG
2000-01-11,8.92,9.13,9.33,8.83,783450.0,-0.023,RSG
2000-01-12,8.96,8.92,8.96,8.83,461550.0,0.0045000000000000005,RSG
2000-01-13,9.0,8.92,9.21,8.83,919800.0,0.0045000000000000005,RSG
2000-01-14,8.96,8.92,8.96,8.83,1280000.0,-0.0044,RSG
2000-01-18,8.83,9.0,9.13,8.75,1300000.0,-0.014499999999999999,RSG
2000-01-19,8.67,8.75,8.83,8.54,790800.0,-0.0181,RSG
2000-01-20,8.67,8.67,8.75,8.58,1080000.0,0.0,RSG
2000-01-21,8.67,8.71,8.75,8.5,616500.0,0.0,RSG
2000-01-24,8.46,8.67,8.67,8.38,526350.0,-0.0242,RSG
2000-01-25,8.33,8.5,8.5,8.17,529050.0,-0.0154,RSG
2000-01-26,7.92,8.25,8.25,7.71,2510000.0,-0.0492,RSG
2000-01-27,8.0,8.25,8.58,7.96,3870000.0,0.0101,RSG
2000-01-28,7.83,8.0,8.17,7.67,3410000.0,-0.0213,RSG
2000-01-31,7.83,7.83,8.0,7.75,1710000.0,0.0,RSG
2000-02-01,7.42,7.92,7.92,7.42,2840000.0,-0.0524,RSG
2000-02-02,7.46,7.42,7.67,7.42,1600000.0,0.0054,RSG
2000-02-03,7.21,7.38,7.42,7.08,4670000.0,-0.0335,RSG
2000-02-04,7.67,7.29,7.71,7.25,1280000.0,0.0638,RSG
2000-02-07,7.58,7.67,7.71,7.58,739800.0,-0.011699999999999999,RSG
2000-02-08,7.54,7.67,7.71,7.54,980850.0,-0.0053,RSG
2000-02-09,7.33,7.5,7.5,7.25,918000.0,-0.0279,RSG
2000-02-10,6.92,7.29,7.33,6.54,5060000.0,-0.0559,RSG
2000-02-11,6.71,6.92,7.04,6.67,2680000.0,-0.030299999999999997,RSG
2000-02-14,6.96,6.88,6.96,6.71,1520000.0,0.0373,RSG
2000-02-15,7.29,6.88,7.29,6.71,1510000.0,0.047400000000000005,RSG
2000-02-16,7.29,7.29,7.42,7.04,609000.0,0.0,RSG
2000-02-17,7.67,7.29,7.67,7.08,1970000.0,0.0521,RSG
2000-02-18,7.25,7.75,7.75,6.83,1410000.0,-0.0548,RSG
2000-02-22,7.54,7.38,7.54,7.04,471900.0,0.04,RSG
2000-02-23,7.71,7.46,7.96,7.42,1310000.0,0.0225,RSG
2000-02-24,7.54,7.79,7.79,7.38,899700.0,-0.022000000000000002,RSG
2000-02-25,7.54,7.38,7.75,7.33,746700.0,0.0,RSG
