Date,Close,Open,High,Low,Volume,Change
2000-01-03,28.75,29.15,29.15,28.57,59900.0,-0.0137
2000-01-04,28.28,28.75,28.8,28.22,95800.0,-0.0163
2000-01-05,28.51,28.28,28.63,28.22,101000.0,0.008100000000000001
2000-01-06,29.04,28.63,29.15,28.39,143100.0,0.018600000000000002
2000-01-07,30.09,28.98,30.21,28.98,139000.0,0.0362
2000-01-10,30.33,30.09,30.38,29.92,189100.0,0.008
2000-01-11,30.03,30.33,30.38,29.86,85300.0,-0.009899999999999999
2000-01-12,29.56,30.15,30.15,29.45,61100.0,-0.015700000000000002
2000-01-13,29.74,29.56,29.8,29.51,40800.0,0.0060999999999999995
2000-01-14,29.56,29.62,29.86,29.27,64400.00000000001,-0.0060999999999999995
2000-01-18,29.27,29.62,29.62,29.15,73000.0,-0.0098
2000-01-19,29.27,29.15,29.39,29.04,100500.0,0.0
2000-01-20,28.92,29.1,29.33,28.86,158700.0,-0.012
2000-01-21,28.63,28.92,29.04,28.34,272300.0,-0.01
2000-01-24,28.51,28.8,29.04,28.51,117100.0,-0.0042
2000-01-25,28.63,28.75,28.8,28.51,135300.0,0.0042
2000-01-26,28.75,28.57,29.04,28.57,119700.0,0.0042
2000-01-27,28.63,28.69,28.75,28.57,118600.0,-0.0042
2000-01-28,28.51,28.63,28.75,28.22,228200.0,-0.0042
2000-01-31,28.1,28.57,28.57,28.1,127900.0,-0.0144
2000-02-01,27.93,28.22,28.51,27.16,2240000.0,-0.006
2000-02-02,28.04,28.22,28.22,27.87,428800.0,0.0039000000000000003
2000-02-03,28.28,28.1,28.34,28.04,149400.0,0.0086
2000-02-04,28.04,28.22,28.63,27.98,506300.0,-0.0085
2000-02-07,28.1,27.98,28.28,27.75,105800.0,0.0021
2000-02-08,28.63,28.1,28.63,28.04,76500.0,0.0189
2000-02-09,28.63,28.39,28.98,28.39,91700.0,0.0
2000-02-10,28.39,28.51,28.63,28.34,68600.0,-0.0084
2000-02-11,28.16,28.51,28.69,28.04,84900.0,-0.008100000000000001
2000-02-14,28.22,28.22,28.39,28.1,124600.0,0.0021
2000-02-15,28.1,28.45,28.45,28.04,153100.0,-0.0043
2000-02-16,28.28,28.1,28.28,28.1,102300.0,0.0064
2000-02-17,28.57,28.34,28.69,28.34,144900.0,0.0103
2000-02-18,28.22,28.34,28.51,27.98,80000.0,-0.0123
2000-02-22,28.16,28.04,28.28,27.98,93400.0,-0.0021
2000-02-23,28.45,28.28,28.45,28.1,73300.0,0.0103
2000-02-24,28.51,28.45,28.57,28.45,45500.0,0.0021
2000-02-25,28.57,28.57,28.69,28.45,113900.0,0.0021
2000-02-28,28.45,28.57,28.57,28.39,83000.0,-0.0042
2000-02-29,28.39,28.57,28.63,28.39,105900.0,-0.0021
2000-03-01,28.45,28.57,28.57,28.39,84800.0,0.0021
2000-03-02,28.45,28.39,28.57,28.39,64200.0,0.0
2000-03-03,28.45,28.45,28.57,28.45,160000.0,0.0
2000-03-06,28.39,28.39,28.57,28.34,60600.0,-0.0021
2000-03-07,27.98,28.22,28.39,27.69,97100.0,-0.0144
2000-03-08,28.1,27.81,28.22,27.81,49100.0,0.0043
2000-03-09,28.51,28.28,28.75,28.28,113500.0,0.0146
2000-03-10,28.45,28.51,28.57,28.22,132000.0,-0.0021
2000-03-13,28.1,28.04,28.22,27.87,53100.0,-0.0123
2000-03-14,28.45,28.1,28.45,28.1,51900.0,0.0125
2000-03-15,28.69,28.51,28.8,28.22,337200.0,0.0084
2000-03-16,28.92,28.57,29.04,28.57,102900.0,0.008
2000-03-17,29.04,28.8,29.15,28.69,84200.0,0.0040999999999999995
2000-03-20,29.27,29.04,29.27,28.98,149400.0,0.0079
2000-03-21,29.27,29.45,29.45,29.1,124400.0,0.0
2000-03-22,29.27,29.27,29.39,29.15,107100.0,0.0
2000-03-23,29.27,29.21,29.56,29.15,142700.0,0.0
2000-03-24,29.27,29.39,29.39,29.1,119900.0,0.0
2000-03-27,29.33,29.39,29.45,29.21,87100.0,0.002
2000-03-28,29.45,29.27,29.51,29.27,188000.0,0.0040999999999999995
2000-03-29,29.27,29.04,29.33,29.04,34700.0,-0.0060999999999999995
2000-03-30,29.51,29.51,29.62,29.27,218000.0,0.008199999999999999
2000-03-31,29.8,29.51,29.8,29.45,156600.0,0.0098
2000-04-03,29.74,29.68,30.03,29.51,272400.0,-0.002
2000-04-04,29.97,29.92,30.21,29.8,324600.0,0.0077
2000-04-05,30.38,29.97,30.44,29.97,243000.0,0.0137
2000-04-06,31.96,30.5,32.26,30.5,224400.0,0.052000000000000005
2000-04-07,32.08,31.91,32.14,31.44,180000.0,0.0038
2000-04-10,32.26,32.08,32.26,31.91,91000.0,0.005600000000000001
2000-04-11,32.14,32.43,32.43,32.08,125100.0,-0.0037
2000-04-12,32.32,32.02,32.32,32.02,141900.0,0.005600000000000001
2000-04-13,32.2,32.32,32.55,31.85,325400.0,-0.0037
2000-04-14,31.85,32.32,32.32,31.73,185600.0,-0.0109
2000-04-17,31.85,31.67,32.08,31.67,139400.0,0.0
2000-04-18,31.96,31.85,31.96,31.67,141200.0,0.0034999999999999996
2000-04-19,32.02,31.96,32.08,31.79,185500.0,0.0019
2000-04-20,32.02,31.96,32.14,31.96,52700.0,0.0
2000-04-24,32.2,32.02,32.2,31.96,115100.0,0.005600000000000001
2000-04-25,32.14,32.55,32.55,32.02,161800.0,-0.0019
2000-04-26,32.78,32.43,32.96,32.37,349100.0,0.0199
2000-04-27,32.78,32.78,32.9,32.61,112500.0,0.0
2000-04-28,32.67,32.78,32.96,32.67,189400.0,-0.0034000000000000002
2000-05-01,33.14,32.78,33.19,32.37,259100.00000000003,0.0144
2000-05-02,33.9,33.14,34.42,33.14,558200.0,0.0229
2000-05-03,33.72,33.84,33.96,33.66,349500.0,-0.0053
2000-05-04,33.72,33.84,33.9,33.31,258500.0,0.0
2000-05-05,33.84,33.66,33.96,33.6,266000.0,0.0036
2000-05-08,34.01,33.78,34.01,33.66,181500.0,0.005
2000-05-09,34.07,33.9,34.19,33.72,315900.0,0.0018
2000-05-10,34.01,33.9,34.13,33.9,136700.0,-0.0018
2000-05-11,34.13,34.19,34.19,33.96,138100.0,0.0034999999999999996
2000-05-12,34.31,34.07,34.37,34.07,128699.99999999999,0.0053
2000-05-15,33.96,34.31,34.37,33.84,389400.0,-0.0102
2000-05-16,33.9,33.9,33.96,33.78,154500.0,-0.0018
2000-05-17,34.13,33.84,34.13,33.84,167100.0,0.0068000000000000005
2000-05-18,34.07,34.01,34.19,33.9,126300.0,-0.0018
2000-05-19,34.25,33.9,34.31,33.78,71300.0,0.0053
2000-05-22,34.07,34.19,34.19,33.66,158100.0,-0.0053
2000-05-23,33.9,34.07,34.19,33.72,90800.0,-0.005
2000-05-24,33.37,33.96,33.96,33.31,233100.0,-0.015600000000000001
2000-05-25,33.19,33.37,33.49,33.14,109100.0,-0.0054
2000-05-26,33.19,33.25,33.25,33.02,128800.00000000001,0.0
2000-05-30,32.78,33.25,33.25,32.78,237700.0,-0.0124
2000-05-31,32.73,32.9,32.96,32.67,175800.0,-0.0015
2000-06-01,32.67,32.78,32.78,32.32,223700.0,-0.0018
2000-06-02,33.19,32.67,33.25,32.67,123300.0,0.0159
2000-06-05,33.02,33.43,33.43,32.9,89300.0,-0.0051
2000-06-06,33.31,33.02,33.37,32.84,79500.0,0.0088
2000-06-07,33.84,33.37,33.9,33.19,82300.0,0.0159
2000-06-08,34.19,33.72,34.19,33.6,105300.0,0.0103
2000-06-09,34.01,34.07,34.19,33.78,66200.0,-0.0053
2000-06-12,34.27,34.07,34.37,33.9,208200.0,0.0076
2000-06-13,34.37,34.37,34.42,34.25,114000.0,0.0029
2000-06-14,35.3,34.42,35.89,34.37,195400.0,0.0271
2000-06-15,34.78,35.48,35.48,34.37,197400.0,-0.0147
2000-06-16,34.72,34.83,34.83,34.48,276000.0,-0.0017000000000000001
2000-06-19,34.72,34.89,34.89,34.54,60100.0,0.0
2000-06-20,35.48,34.66,35.48,34.66,100000.0,0.0219
2000-06-21,35.13,35.42,35.42,34.83,98100.0,-0.009899999999999999
2000-06-22,34.78,34.89,34.95,34.78,82800.0,-0.01
2000-06-23,34.95,34.66,35.07,34.66,86100.0,0.0049
2000-06-26,35.07,35.01,35.24,34.95,161900.0,0.0034000000000000002
2000-06-27,35.77,35.01,35.89,35.01,176100.0,0.02
2000-06-28,35.59,35.24,35.71,35.18,1300000.0,-0.005
2000-06-29,36.5,35.83,36.53,35.65,202700.0,0.0256
2000-06-30,36.18,36.53,36.82,35.71,340300.0,-0.0088
2000-07-03,36.27,36.18,36.41,36.12,44000.0,0.0025
2000-07-05,36.18,36.77,36.77,36.18,299400.0,-0.0025
2000-07-06,35.77,36.3,36.3,35.71,336400.0,-0.0113
2000-07-07,35.59,35.83,35.83,35.13,567600.0,-0.005
2000-07-10,35.59,35.59,35.59,35.48,112800.0,0.0
2000-07-11,35.54,35.59,35.59,35.42,77600.0,-0.0014000000000000002
2000-07-12,35.54,35.54,35.59,35.42,100800.0,0.0
2000-07-13,35.48,35.59,35.59,35.36,130000.0,-0.0017000000000000001
2000-07-14,35.36,35.36,35.48,35.36,77000.0,-0.0034000000000000002
2000-07-17,35.42,35.36,35.42,35.13,75300.0,0.0017000000000000001
2000-07-18,35.36,35.3,35.42,35.24,69600.0,-0.0017000000000000001
2000-07-19,35.18,35.24,35.3,35.18,89200.0,-0.0051
2000-07-20,35.48,35.36,35.48,35.24,257899.99999999997,0.0085
2000-07-21,35.71,35.24,35.71,35.24,266000.0,0.006500000000000001
2000-07-24,36.36,35.83,36.41,35.83,494100.0,0.0182
2000-07-25,36.79,36.36,37.29,36.36,415900.0,0.0118
2000-07-26,37.67,37.18,37.99,37.18,397500.0,0.0239
2000-07-27,38.84,38.17,39.17,38.17,378900.0,0.0311
2000-07-28,39.02,38.76,39.4,38.76,379000.0,0.0046
2000-07-31,38.84,39.11,39.11,38.4,253800.0,-0.0046
2000-08-01,39.2,38.7,39.22,38.7,302400.0,0.009300000000000001
2000-08-02,38.84,39.11,39.11,38.52,217400.0,-0.0092
2000-08-03,39.25,38.93,39.34,38.87,247400.0,0.0106
2000-08-04,39.37,39.22,39.4,39.11,426900.0,0.0031
2000-08-07,39.31,39.28,39.34,39.22,180200.0,-0.0015
2000-08-08,39.58,39.17,39.63,39.17,208500.0,0.0069
2000-08-09,39.81,39.58,39.81,39.58,191400.0,0.0058
2000-08-10,39.87,39.81,40.45,39.69,215700.0,0.0015
2000-08-11,39.75,39.69,39.81,39.58,44300.0,-0.003
2000-08-14,39.49,39.52,39.81,39.46,128100.0,-0.006500000000000001
2000-08-15,39.58,39.4,39.69,39.28,48100.0,0.0023
2000-08-16,39.93,39.58,39.93,39.58,61300.0,0.0088
2000-08-17,40.13,39.81,40.16,39.81,93100.0,0.005
2000-08-18,39.84,40.16,40.16,39.84,137100.0,-0.0072
2000-08-21,39.72,39.99,40.04,39.69,158800.0,-0.003
2000-08-22,39.63,39.69,39.81,39.58,138400.0,-0.0023
2000-08-23,38.58,39.52,39.58,38.52,308300.0,-0.0265
2000-08-24,38.23,38.46,38.7,38.23,330600.0,-0.0091
2000-08-25,38.05,38.23,38.23,37.82,272800.0,-0.004699999999999999
2000-08-28,38.29,38.17,38.35,38.17,127600.0,0.0063
2000-08-29,37.88,38.46,38.46,37.76,181900.0,-0.010700000000000001
2000-08-30,37.76,37.88,37.94,37.76,150400.0,-0.0032
2000-08-31,37.88,37.76,38.11,37.76,71700.0,0.0032
2000-09-01,37.76,38.05,38.11,37.76,89200.0,-0.0032
2000-09-05,37.53,37.82,37.82,37.41,291500.0,-0.0060999999999999995
2000-09-06,37.76,37.53,37.94,37.47,207900.0,0.0060999999999999995
2000-09-07,37.94,37.94,37.94,37.76,134200.0,0.0048
2000-09-08,39.17,37.82,39.17,37.82,366600.0,0.032400000000000005
2000-09-11,39.46,39.28,39.52,39.17,141400.0,0.0074
2000-09-12,40.51,39.46,40.69,39.46,186000.0,0.026600000000000002
2000-09-13,39.81,40.4,40.45,39.75,104900.0,-0.0173
2000-09-14,40.1,39.93,40.1,39.63,122000.0,0.0073
2000-09-15,39.87,40.1,40.1,39.75,49800.0,-0.005699999999999999
2000-09-18,38.87,39.75,39.81,38.87,105500.0,-0.025099999999999997
2000-09-19,39.58,38.99,39.58,38.99,198100.0,0.0183
2000-09-20,39.93,39.69,39.99,39.46,60300.0,0.0088
2000-09-21,40.04,39.93,40.04,39.93,81600.0,0.0028000000000000004
2000-09-22,40.16,40.04,40.28,39.87,155100.0,0.003
2000-09-25,39.87,40.28,40.28,39.81,52200.0,-0.0072
2000-09-26,39.87,39.69,39.99,39.69,64000.0,0.0
2000-09-27,40.1,39.46,40.22,39.46,108500.0,0.0058
2000-09-28,40.51,40.1,40.51,40.04,133200.0,0.0102
2000-09-29,40.22,40.57,40.75,39.99,193700.0,-0.0072
2000-10-02,39.22,40.28,40.34,39.22,171100.0,-0.024900000000000002
2000-10-03,38.87,39.34,39.52,38.81,153400.0,-0.0089
2000-10-04,38.05,38.87,38.87,37.82,569200.0,-0.021099999999999997
2000-10-05,38.29,38.05,38.29,37.88,495900.0,0.0063
