Date,Close,Open,High,Low,Volume,Change
2004-06-14,6.07,6.08,6.13,6.05,2310000.0,-0.008199999999999999
2004-06-15,6.25,6.07,6.25,6.07,2500000.0,0.0297
2004-06-16,6.33,6.25,6.37,6.25,2810000.0,0.0128
2004-06-17,6.35,6.35,6.37,6.27,1390000.0,0.0032
2004-06-18,6.34,6.35,6.4,6.33,708300.0,-0.0016
2004-06-21,6.36,6.33,6.37,6.3,508500.0,0.0032
2004-06-22,6.35,6.33,6.36,6.3,1130000.0,-0.0016
2004-06-23,6.3,6.28,6.3,6.16,1030000.0,-0.0079
2004-06-24,6.33,6.27,6.35,6.25,857700.0,0.0048
2004-06-25,6.33,6.33,6.35,6.25,809100.0,0.0
2004-06-28,6.33,6.25,6.36,6.22,1180000.0,0.0
2004-06-29,6.37,6.33,6.37,6.33,608700.0,0.0063
2004-06-30,6.37,6.35,6.4,6.35,552600.0,0.0
2004-07-01,6.37,6.35,6.38,6.33,380100.0,0.0
2004-07-02,6.38,6.35,6.38,6.27,246600.0,0.0016
2004-07-06,6.36,6.35,6.37,6.33,137100.0,-0.0031
2004-07-07,6.35,6.34,6.35,6.33,181200.0,-0.0016
2004-07-08,6.35,6.36,6.36,6.34,190500.0,0.0
2004-07-09,6.33,6.35,6.36,6.33,226500.0,-0.0031
2004-07-12,6.3,6.33,6.35,6.3,176700.0,-0.004699999999999999
2004-07-13,6.35,6.28,6.35,6.26,578100.0,0.0079
2004-07-14,6.37,6.34,6.37,6.32,303600.0,0.0031
2004-07-15,6.35,6.34,6.35,6.3,312900.0,-0.0031
2004-07-16,6.3,6.34,6.36,6.3,268800.0,-0.0079
2004-07-19,6.33,6.3,6.33,6.29,212700.0,0.0048
2004-07-20,6.33,6.33,6.35,6.29,505200.0,0.0
2004-07-21,6.34,6.33,6.35,6.32,165000.0,0.0016
2004-07-22,6.41,6.33,6.41,6.32,231000.0,0.011000000000000001
2004-07-23,6.3,6.25,6.3,6.16,1560000.0,-0.0172
2004-07-26,6.26,6.22,6.26,6.21,420900.0,-0.0063
2004-07-27,6.26,6.26,6.28,6.26,113700.0,0.0
2004-07-28,6.29,6.25,6.3,6.23,131100.0,0.0048
2004-07-29,6.3,6.26,6.3,6.26,91800.0,0.0016
2004-07-30,6.31,6.3,6.35,6.28,1070000.0,0.0016
2004-08-02,6.34,6.3,6.35,6.28,203100.0,0.0048
2004-08-03,6.39,6.34,6.41,6.33,222900.0,0.0079
2004-08-04,6.35,6.35,6.37,6.33,386400.0,-0.0063
2004-08-05,6.57,6.5,6.67,6.39,1150000.0,0.0346
2004-08-06,6.47,6.53,6.53,6.43,144900.0,-0.0152
2004-08-09,6.36,6.44,6.44,6.36,469800.0,-0.017
2004-08-10,6.43,6.33,6.48,6.33,328800.0,0.011000000000000001
2004-08-11,6.43,6.45,6.48,6.42,138900.0,0.0
2004-08-12,6.42,6.45,6.5,6.42,279600.0,-0.0016
2004-08-13,6.4,6.45,6.45,6.37,420300.0,-0.0031
2004-08-16,6.39,6.35,6.42,6.35,473700.0,-0.0016
