Date,Close,Open,High,Low,Volume,Change
2000-01-03,28.67,29.76,30.17,28.18,1160000.0,-0.049699999999999994
2000-01-04,28.64,28.59,29.0,28.12,1050000.0,-0.001
2000-01-05,28.23,28.7,28.7,28.0,746610.0,-0.0143
2000-01-06,27.24,28.06,28.12,26.47,897920.0,-0.0351
2000-01-07,28.64,27.71,28.64,27.24,635880.0,0.051399999999999994
2000-01-10,29.99,30.76,32.05,29.82,1210000.0,0.0471
2000-01-11,28.59,30.23,30.29,28.41,479780.0,-0.0467
2000-01-12,28.18,29.23,29.23,27.88,502360.0,-0.0143
2000-01-13,28.18,28.29,28.41,28.12,1110000.0,0.0
2000-01-14,27.12,28.29,28.41,26.77,1490000.0,-0.037599999999999995
2000-01-18,28.23,27.27,28.41,27.24,2040000.0,0.0409
2000-01-19,28.18,28.41,28.64,27.53,1090000.0,-0.0018
2000-01-20,28.35,28.23,28.41,27.88,1450000.0,0.006
2000-01-21,29.11,28.53,29.41,28.41,2350000.0,0.0268
2000-01-24,32.05,29.58,33.46,29.58,2740000.0,0.10099999999999999
2000-01-25,31.7,32.28,32.28,30.99,1240000.0,-0.0109
2000-01-26,31.93,31.73,32.17,31.46,1510000.0,0.0073
2000-01-27,30.88,32.17,32.28,30.64,1720000.0,-0.0329
2000-01-28,31.11,30.99,31.87,30.23,1320000.0,0.0074
2000-01-31,29.7,30.88,31.23,28.41,1030000.0,-0.0453
2000-02-01,29.94,29.53,30.41,29.41,1160000.0,0.008100000000000001
2000-02-02,31.23,29.99,31.23,29.94,1250000.0,0.0431
2000-02-03,31.05,31.4,31.7,31.05,2840000.0,-0.0058
2000-02-04,30.14,31.23,31.23,29.47,777810.0,-0.029300000000000003
2000-02-07,29.7,30.17,30.17,29.35,1010000.0,-0.0146
2000-02-08,30.41,29.64,30.41,29.58,1110000.0,0.0239
2000-02-09,31.76,30.88,31.81,30.64,2440000.0,0.0444
2000-02-10,37.51,31.81,37.68,31.76,3070000.0,0.18100000000000002
2000-02-11,36.6,36.98,37.1,33.22,2910000.0,-0.024300000000000002
2000-02-14,34.69,36.57,36.63,33.58,1340000.0,-0.052199999999999996
2000-02-15,33.58,34.75,34.75,32.58,1810000.0,-0.032
2000-02-16,31.99,33.81,33.81,31.93,804860.0,-0.0473
2000-02-17,31.64,32.28,33.11,31.34,2040000.0,-0.0109
2000-02-18,30.76,32.05,32.05,30.41,1710000.0,-0.0278
2000-02-22,31.52,31.05,31.93,30.88,946470.0,0.024700000000000003
2000-02-23,29.88,31.81,32.05,29.58,1900000.0,-0.052000000000000005
2000-02-24,30.17,30.41,30.64,29.82,1540000.0,0.0097
2000-02-25,31.11,31.11,31.93,30.52,1600000.0,0.031200000000000002
2000-02-28,29.47,31.52,31.81,28.41,1860000.0,-0.0527
2000-02-29,30.29,29.7,30.99,29.11,3670000.0,0.0278
2000-03-01,31.34,31.11,31.58,30.41,6540000.0,0.0347
2000-03-02,37.57,32.4,38.15,32.4,5740000.0,0.19879999999999998
2000-03-03,39.86,37.45,40.03,35.57,2840000.0,0.061
2000-03-06,38.21,40.09,40.09,37.8,2370000.0,-0.0414
2000-03-07,37.63,38.39,38.62,37.45,3620000.0,-0.0152
2000-03-08,37.33,37.68,37.68,36.75,2870000.0,-0.008
2000-03-09,38.33,37.45,38.68,37.1,5720000.0,0.0268
2000-03-10,38.98,38.51,39.39,38.39,6210000.0,0.017
2000-03-13,38.98,38.39,39.8,37.45,3940000.0,0.0
2000-03-14,38.51,39.33,39.33,38.27,2310000.0,-0.0121
2000-03-15,37.63,38.21,38.27,36.98,2710000.0,-0.0229
2000-03-16,37.86,37.45,37.92,37.39,1090000.0,0.0060999999999999995
2000-03-17,38.04,37.86,39.56,36.63,2850000.0,0.0048
2000-03-20,37.57,39.45,39.62,37.33,1510000.0,-0.0124
2000-03-21,37.33,37.92,37.92,37.1,904630.0,-0.0064
2000-03-22,39.33,37.92,39.62,37.57,925280.0,0.0536
2000-03-23,39.68,39.27,42.03,38.98,2170000.0,0.0089
2000-03-24,39.09,39.91,40.5,37.57,1220000.0,-0.0149
2000-03-27,37.51,39.45,39.45,37.1,1040000.0,-0.0404
2000-03-28,36.16,37.27,37.33,35.45,906440.0,-0.036000000000000004
2000-03-29,35.57,36.86,37.45,35.28,730640.0,-0.0163
2000-03-30,33.81,35.57,35.57,33.69,1470000.0,-0.0495
2000-03-31,35.57,34.34,35.92,34.28,1160000.0,0.0521
2000-04-03,31.46,35.92,35.92,31.34,1740000.0,-0.1155
2000-04-04,32.17,32.11,33.34,27.82,1620000.0,0.0226
2000-04-05,33.22,31.34,33.81,30.99,1090000.0,0.0326
