Date,Close,Open,High,Low,Volume,Change
2002-12-31,5.29,6.03,6.03,5.2,24090.0,-0.9802
2003-01-02,4.86,5.35,5.35,4.62,32650.0,-0.08130000000000001
2003-01-03,4.72,4.89,4.89,4.64,49240.0,-0.0288
2003-01-06,5.24,5.11,5.56,4.87,119830.0,0.11019999999999999
2003-01-07,7.15,5.34,7.38,5.12,127020.0,0.36450000000000005
2003-01-08,6.49,7.16,7.18,6.43,74180.0,-0.09230000000000001
2003-01-09,6.56,6.82,6.82,6.52,11520.0,0.0108
2003-01-10,6.34,6.5,6.62,6.26,12680.0,-0.0335
2003-01-13,6.59,6.36,6.59,6.26,13320.0,0.0394
2003-01-14,6.01,6.29,6.45,5.82,23880.0,-0.08800000000000001
2003-01-15,5.69,6.02,6.02,5.55,22300.0,-0.053200000000000004
2003-01-16,5.64,6.37,6.45,5.58,19660.0,-0.0088
2003-01-17,4.99,5.65,5.66,4.83,34130.0,-0.1152
2003-01-21,4.55,4.96,5.09,4.55,62770.0,-0.0882
2003-01-22,4.18,4.64,4.64,4.16,58230.0,-0.08130000000000001
2003-01-23,3.83,4.27,4.3,3.83,60020.0,-0.0837
2003-01-24,3.6,4.01,4.01,3.6,72070.0,-0.0601
2003-01-27,2.93,3.67,3.71,2.92,84010.0,-0.1861
2003-01-28,3.42,3.02,3.42,1.86,154070.0,0.1672
2003-01-29,3.05,3.2,3.43,2.98,19760.0,-0.1082
2003-01-30,2.84,3.11,3.13,2.8,7080.0,-0.0689
2003-01-31,3.25,2.88,3.25,2.88,15010.0,0.1444
2003-02-03,3.0,2.9,3.16,2.79,106410.0,-0.07690000000000001
2003-02-04,3.11,2.96,3.27,2.96,9930.0,0.036699999999999997
2003-02-05,3.84,3.21,4.17,3.21,62980.0,0.2347
2003-02-06,3.49,3.84,3.9,3.44,52850.0,-0.0911
2003-02-07,3.48,3.59,3.68,3.48,17570.0,-0.0029
2003-02-10,3.43,3.49,3.52,3.37,26950.0,-0.0144
2003-02-11,3.76,3.4,3.76,3.4,55690.0,0.0962
2003-02-12,3.59,3.71,3.8,3.59,9730.0,-0.0452
2003-02-13,3.71,3.58,3.73,3.58,12470.0,0.0334
2003-02-14,3.62,3.77,3.77,3.62,8350.0,-0.024300000000000002
2003-02-18,3.65,3.59,3.65,3.58,27900.0,0.0083
2003-02-19,3.63,3.66,3.8,3.61,66890.0,-0.0055000000000000005
