Date,Close,Open,High,Low,Volume,Change
2000-01-03,8.24,8.18,8.24,8.0,394710.0,0.0223
2000-01-04,8.18,8.18,8.24,8.0,516480.0,-0.0073
2000-01-05,7.87,8.12,8.18,7.87,256600.00000000003,-0.0379
2000-01-06,8.0,7.87,8.0,7.81,676450.0,0.0165
2000-01-07,8.12,8.0,8.24,7.93,684110.0,0.015
2000-01-10,8.54,8.18,8.54,8.12,690850.0,0.051699999999999996
2000-01-11,8.61,8.48,8.61,8.42,2060000.0,0.008199999999999999
2000-01-12,8.67,8.61,8.67,8.48,504120.0,0.006999999999999999
2000-01-13,8.67,8.61,8.73,8.54,1740000.0,0.0
2000-01-14,8.79,8.67,8.79,8.61,2210000.0,0.0138
2000-01-18,8.85,8.79,9.09,8.73,1100000.0,0.0068000000000000005
2000-01-19,9.34,9.09,9.4,9.03,1440000.0,0.0554
2000-01-20,9.15,9.28,9.34,9.09,1130000.0,-0.0203
2000-01-21,8.97,9.15,9.22,8.91,524750.0,-0.0197
2000-01-24,8.97,9.09,9.28,8.97,1230000.0,0.0
2000-01-25,9.09,9.09,9.28,8.85,711490.0,0.0134
2000-01-26,9.09,9.03,9.22,9.03,362130.0,0.0
2000-01-27,9.03,9.09,9.22,8.91,1220000.0,-0.0066
2000-01-28,8.79,9.03,9.03,8.73,1190000.0,-0.026600000000000002
2000-01-31,8.67,8.79,8.79,8.54,459680.0,-0.0137
2000-02-01,8.91,8.79,8.97,8.67,266820.0,0.0277
2000-02-02,8.91,8.91,8.97,8.73,479600.0,0.0
2000-02-03,8.97,8.91,8.97,8.85,276220.0,0.0067
2000-02-04,8.97,8.97,9.03,8.91,843980.0,0.0
2000-02-07,9.09,8.97,9.28,8.97,544470.0,0.0134
2000-02-08,9.22,9.15,9.28,9.09,431490.0,0.0143
2000-02-09,9.22,9.15,9.28,9.15,678900.0,0.0
2000-02-10,9.15,9.15,9.34,9.09,366210.0,-0.0076
2000-02-11,8.91,9.09,9.15,8.85,372750.0,-0.0262
2000-02-14,8.97,8.91,9.03,8.79,964720.0,0.0067
2000-02-15,8.97,8.91,9.03,8.85,483480.0,0.0
2000-02-16,9.09,8.91,9.09,8.85,1240000.0,0.0134
2000-02-17,9.22,9.09,9.28,8.97,899140.0,0.0143
2000-02-18,9.03,9.15,9.22,9.03,900260.0,-0.0206
2000-02-22,8.85,8.91,9.03,8.79,607090.0,-0.0199
2000-02-23,8.91,8.85,8.91,8.79,336900.0,0.0068000000000000005
2000-02-24,8.79,8.91,8.91,8.67,711380.0,-0.013500000000000002
2000-02-25,8.73,8.79,8.79,8.54,420350.0,-0.0068000000000000005
2000-02-28,8.67,8.61,8.73,8.61,317690.0,-0.0069
2000-02-29,8.67,8.67,8.79,8.54,469490.0,0.0
2000-03-01,8.48,8.67,8.73,8.48,459990.0,-0.0219
2000-03-02,8.48,8.54,8.61,8.3,2710000.0,0.0
2000-03-03,8.42,8.42,8.48,8.36,329540.0,-0.0070999999999999995
2000-03-06,8.67,8.42,8.67,8.36,1040000.0,0.0297
2000-03-07,8.54,8.61,8.73,8.42,537930.0,-0.015
2000-03-08,8.61,8.48,8.61,8.42,333320.0,0.008199999999999999
2000-03-09,8.67,8.67,8.73,8.54,656020.0,0.006999999999999999
2000-03-10,8.73,8.73,8.97,8.73,763070.0,0.0069
2000-03-13,8.73,8.79,8.79,8.67,135350.0,0.0
2000-03-14,8.67,8.73,8.79,8.54,387260.0,-0.0069
2000-03-15,8.73,8.67,8.73,8.54,267020.0,0.0069
2000-03-16,8.73,8.79,9.03,8.73,939590.0,0.0
2000-03-17,8.79,8.85,8.97,8.73,411360.0,0.0069
2000-03-20,8.79,8.79,8.91,8.67,354670.0,0.0
2000-03-21,8.67,8.73,8.85,8.61,286430.0,-0.0137
2000-03-22,8.73,8.67,8.73,8.61,832940.0,0.0069
2000-03-23,8.73,8.73,8.79,8.61,292770.0,0.0
2000-03-24,8.67,8.67,8.79,8.67,501050.0,-0.0069
2000-03-27,8.48,8.67,8.67,8.42,462440.0,-0.0219
2000-03-28,8.67,8.36,8.67,8.3,531600.0,0.022400000000000003
2000-03-29,8.48,8.42,8.61,8.3,465710.0,-0.0219
2000-03-30,8.61,8.42,8.73,8.42,455390.0,0.015300000000000001
2000-03-31,8.67,8.61,8.79,8.61,328930.0,0.006999999999999999
2000-04-03,8.73,8.79,8.85,8.73,502590.0,0.0069
2000-04-04,8.73,8.79,8.85,8.67,272640.0,0.0
2000-04-05,8.61,8.73,8.97,8.61,870640.0,-0.0137
2000-04-06,9.28,8.73,9.28,8.73,565200.0,0.07780000000000001
2000-04-07,9.58,9.22,9.58,9.15,817520.0,0.0323
2000-04-10,9.64,9.7,9.77,9.58,797910.0,0.0063
2000-04-11,9.7,9.7,9.83,9.64,799850.0,0.0062
2000-04-12,10.19,9.7,10.38,9.7,3580000.0,0.050499999999999996
2000-04-13,10.07,10.19,10.31,9.95,1170000.0,-0.0118
2000-04-14,9.77,10.07,10.07,9.52,543750.0,-0.0298
2000-04-17,9.64,9.7,9.77,9.4,412080.0,-0.013300000000000001
2000-04-18,9.77,9.52,9.83,9.52,497990.0,0.013500000000000002
2000-04-19,9.58,9.77,9.77,9.46,591050.0,-0.0194
2000-04-20,9.7,9.7,9.83,9.7,316260.0,0.0125
2000-04-24,10.01,9.77,10.01,9.7,477760.0,0.032
2000-04-25,10.19,10.07,10.19,10.01,463260.0,0.018000000000000002
2000-04-26,9.95,10.19,10.19,9.89,419840.0,-0.0236
2000-04-27,10.31,9.83,10.38,9.77,752350.0,0.0362
2000-04-28,10.44,10.31,10.5,10.13,509330.0,0.0126
2000-05-01,10.44,10.5,10.56,10.38,518929.99999999994,0.0
2000-05-02,10.25,10.19,10.25,10.07,740900.0,-0.0182
2000-05-03,10.13,10.19,10.38,10.07,722520.0,-0.011699999999999999
2000-05-04,10.07,10.19,10.19,9.83,279380.0,-0.0059
2000-05-05,10.01,9.95,10.01,9.64,1350000.0,-0.006
2000-05-08,9.77,10.01,10.01,9.7,483380.0,-0.024
2000-05-09,9.7,9.7,9.77,9.7,174880.0,-0.0072
2000-05-10,9.89,9.77,9.89,9.7,553250.0,0.0196
2000-05-11,9.83,9.83,9.89,9.7,502890.0,-0.0060999999999999995
2000-05-12,9.83,9.83,9.83,9.7,575110.0,0.0
2000-05-15,9.89,9.89,9.89,9.77,1270000.0,0.0060999999999999995
2000-05-16,10.01,9.83,10.01,9.77,442420.0,0.0121
2000-05-17,9.89,10.01,10.01,9.83,220650.0,-0.012
2000-05-18,9.77,9.89,9.95,9.77,363460.0,-0.0121
2000-05-19,9.77,9.77,9.89,9.7,284900.0,0.0
2000-05-22,9.7,9.77,9.83,9.64,227390.0,-0.0072
2000-05-23,9.52,9.7,9.77,9.46,292660.0,-0.018600000000000002
2000-05-24,9.46,9.58,9.58,9.4,817310.0,-0.0063
2000-05-25,9.28,9.46,9.52,9.15,439760.0,-0.019
2000-05-26,9.28,9.28,9.34,9.15,513409.99999999994,0.0
