Date,Close,Open,High,Low,Volume,Change
2000-01-03,11.29,11.35,11.35,11.17,160800.0,0.0
2000-01-04,11.19,11.29,11.29,11.08,357000.0,-0.0089
2000-01-05,11.25,11.17,11.33,11.1,337800.0,0.0054
2000-01-06,11.58,11.21,11.67,11.21,477900.0,0.029300000000000003
2000-01-07,11.77,11.65,11.83,11.65,532500.0,0.016399999999999998
2000-01-10,11.96,11.83,11.96,11.81,448200.0,0.0161
2000-01-11,11.81,11.92,11.96,11.79,151500.0,-0.0125
2000-01-12,11.71,11.98,11.98,11.67,1040000.0,-0.0085
2000-01-13,11.83,11.75,11.83,11.69,431100.0,0.0102
2000-01-14,11.87,11.87,11.96,11.87,188100.0,0.0034000000000000002
2000-01-18,11.87,11.9,11.92,11.54,364500.0,0.0
2000-01-19,11.9,11.92,11.92,11.73,481200.0,0.0025
2000-01-20,11.85,11.92,12.0,11.85,263700.0,-0.0042
2000-01-21,11.79,11.87,11.96,11.75,204000.0,-0.0051
2000-01-24,11.75,11.87,12.0,11.75,136500.0,-0.0034000000000000002
2000-01-25,11.73,11.77,11.83,11.6,269100.0,-0.0017000000000000001
2000-01-26,11.85,11.73,11.98,11.73,465600.0,0.0102
2000-01-27,11.85,11.83,11.92,11.81,519900.0,0.0
2000-01-28,11.85,11.87,11.87,11.83,137700.0,0.0
2000-01-31,11.75,11.83,11.85,11.71,203400.0,-0.0084
2000-02-01,11.65,11.75,11.85,11.65,166800.0,-0.0085
2000-02-02,11.71,11.65,11.71,11.58,295200.0,0.0052
2000-02-03,11.83,11.71,11.9,11.67,270000.0,0.0102
2000-02-04,11.73,11.79,11.9,11.67,266700.0,-0.0085
2000-02-07,11.71,11.65,11.71,11.62,405300.0,-0.0017000000000000001
2000-02-08,11.71,11.65,11.73,11.56,262800.0,0.0
2000-02-09,11.6,11.71,11.71,11.42,667200.0,-0.009399999999999999
2000-02-10,11.44,11.6,11.65,11.37,403200.0,-0.0138
2000-02-11,11.46,11.4,11.54,11.35,315300.0,0.0017000000000000001
2000-02-14,11.25,11.35,11.37,11.17,355500.0,-0.0183
2000-02-15,11.29,11.21,11.46,11.12,256800.0,0.0036
2000-02-16,11.35,11.25,11.46,11.23,178500.0,0.0053
2000-02-17,11.46,11.33,11.5,11.33,311100.0,0.0097
2000-02-18,11.31,11.5,11.58,11.27,477300.0,-0.0131
2000-02-22,11.23,11.25,11.31,11.19,280500.0,-0.0070999999999999995
2000-02-23,11.15,11.31,11.4,11.02,197400.0,-0.0070999999999999995
2000-02-24,11.19,11.21,11.33,11.15,158700.0,0.0036
2000-02-25,11.02,11.17,11.23,10.92,643800.0,-0.0152
2000-02-28,11.06,11.0,11.12,11.0,176400.0,0.0036
2000-02-29,11.48,11.02,11.5,11.0,410100.0,0.038
2000-03-01,11.33,11.4,11.42,11.31,285900.0,-0.0131
2000-03-02,11.54,11.35,11.58,11.33,243300.0,0.018500000000000003
2000-03-03,11.5,11.46,11.5,11.33,328800.0,-0.0034999999999999996
2000-03-06,11.35,11.44,11.46,11.27,200700.0,-0.013000000000000001
2000-03-07,11.42,11.33,11.42,11.29,369600.0,0.0062
2000-03-08,11.35,11.42,11.48,11.33,338700.0,-0.0060999999999999995
2000-03-09,11.44,11.33,11.54,11.29,570600.0,0.0079
2000-03-10,11.5,11.5,11.54,11.5,130800.00000000001,0.0052
2000-03-13,11.42,11.37,11.54,11.37,198600.0,-0.006999999999999999
2000-03-14,11.56,11.33,11.58,11.33,237900.0,0.0123
2000-03-15,11.79,11.54,11.79,11.5,287400.0,0.0199
2000-03-16,12.12,11.92,12.19,11.77,462300.0,0.027999999999999997
2000-03-17,12.08,12.08,12.08,11.96,228300.0,-0.0033
2000-03-20,12.23,12.04,12.25,12.0,176700.0,0.0124
2000-03-21,12.25,12.23,12.33,12.17,149100.0,0.0016
2000-03-22,12.27,12.25,12.33,12.17,175200.0,0.0016
2000-03-23,12.31,12.08,12.4,12.08,234600.0,0.0033
2000-03-24,12.27,12.33,12.33,12.21,146100.0,-0.0032
2000-03-27,12.29,12.21,12.35,12.21,177600.0,0.0016
2000-03-28,12.21,12.21,12.33,12.04,235200.0,-0.006500000000000001
2000-03-29,12.4,12.27,12.42,12.21,778800.0,0.015600000000000001
2000-03-30,12.42,12.37,12.5,12.25,319800.0,0.0016
2000-03-31,12.5,12.42,12.5,12.29,574800.0,0.0064
2000-04-03,12.35,12.31,12.44,12.27,200100.0,-0.012
2000-04-04,12.21,12.29,12.33,12.08,151500.0,-0.0113
2000-04-05,12.6,12.27,12.6,12.21,306600.0,0.0319
2000-04-06,12.62,12.6,12.67,12.58,200400.0,0.0016
2000-04-07,12.75,12.65,12.75,12.6,240000.0,0.0103
2000-04-10,12.85,12.75,12.96,12.69,126000.0,0.0078000000000000005
2000-04-11,13.12,12.92,13.19,12.87,238500.0,0.021
2000-04-12,13.12,13.15,13.27,13.0,295200.0,0.0
2000-04-13,13.1,13.08,13.15,13.0,164400.0,-0.0015
2000-04-14,13.08,13.02,13.23,13.0,572100.0,-0.0015
2000-04-17,13.1,13.04,13.1,12.92,481800.0,0.0015
2000-04-18,13.17,13.19,13.19,13.02,196500.0,0.0053
2000-04-19,13.25,13.08,13.25,13.06,143700.0,0.0060999999999999995
2000-04-20,13.19,13.21,13.29,13.15,164400.0,-0.0045000000000000005
2000-04-24,13.35,13.19,13.35,13.19,169800.0,0.0121
2000-04-25,13.33,13.44,13.46,13.29,132900.0,-0.0015
2000-04-26,13.31,13.37,13.37,13.23,196500.0,-0.0015
2000-04-27,13.27,13.27,13.29,13.21,240300.0,-0.003
2000-04-28,13.27,13.23,13.31,13.21,273900.0,0.0
2000-05-01,13.44,13.25,13.44,13.25,920100.0,0.0128
2000-05-02,13.81,13.62,13.92,13.46,455400.0,0.0275
2000-05-03,13.83,13.81,14.08,13.81,422100.0,0.0014000000000000002
2000-05-04,13.62,13.92,13.96,13.58,368700.0,-0.0152
2000-05-05,13.56,13.6,13.69,13.5,253200.0,-0.0044
2000-05-08,13.5,13.65,13.65,13.4,334200.0,-0.0044
2000-05-09,13.65,13.54,13.73,13.52,253800.0,0.0111
2000-05-10,13.5,13.6,13.62,13.48,192600.0,-0.011000000000000001
2000-05-11,13.52,13.5,13.58,13.46,276600.0,0.0015
2000-05-12,13.52,13.58,13.58,13.5,263400.0,0.0
2000-05-15,13.58,13.5,13.62,13.33,292200.0,0.0044
2000-05-16,13.67,13.67,13.71,13.52,151200.0,0.0066
2000-05-17,13.6,13.67,13.69,13.58,239400.0,-0.0051
2000-05-18,13.56,13.62,13.67,13.56,307500.0,-0.0029
2000-05-19,13.62,13.54,13.62,13.5,134700.0,0.0044
2000-05-22,13.6,13.65,13.67,13.52,133200.0,-0.0015
2000-05-23,13.71,13.6,13.83,13.58,139800.0,0.008100000000000001
2000-05-24,13.65,13.65,13.71,13.6,163800.0,-0.0044
2000-05-25,13.56,13.65,13.65,13.56,233100.0,-0.0066
2000-05-26,13.54,13.52,13.62,13.5,129600.0,-0.0015
2000-05-30,13.52,13.52,13.65,13.5,196200.0,-0.0015
2000-05-31,13.5,13.52,13.58,13.5,114000.0,-0.0015
2000-06-01,13.44,13.5,13.54,13.44,267900.0,-0.0044
2000-06-02,13.52,13.44,13.58,13.44,263100.0,0.006
2000-06-05,13.44,13.5,13.52,13.42,88800.0,-0.0059
2000-06-06,13.5,13.46,13.52,13.42,135900.0,0.0045000000000000005
2000-06-07,13.5,13.54,13.58,13.48,415800.0,0.0
