Date,Close,Open,High,Low,Volume,Change
2000-01-03,22.75,22.69,22.94,22.62,229000.0,0.0026
2000-01-04,22.75,22.62,22.75,22.56,138400.0,0.0
2000-01-05,22.94,22.69,22.94,22.69,236300.0,0.0084
2000-01-06,23.81,22.81,23.94,22.75,285900.0,0.0379
2000-01-07,24.12,23.88,24.12,23.88,185300.0,0.013000000000000001
2000-01-10,24.62,24.12,24.81,24.0,163900.0,0.0207
2000-01-11,24.38,24.5,24.62,24.31,146800.0,-0.0097
2000-01-12,24.44,24.19,24.56,24.19,143500.0,0.0025
2000-01-13,24.19,24.38,24.5,24.0,210700.0,-0.0102
2000-01-14,24.12,24.25,24.38,24.0,136000.0,-0.0029
2000-01-18,23.75,24.0,24.0,23.75,145100.0,-0.015300000000000001
2000-01-19,23.56,23.75,23.75,23.38,127900.0,-0.008
2000-01-20,23.38,23.38,23.56,23.25,116300.0,-0.0076
2000-01-21,22.88,23.25,23.31,22.88,164700.0,-0.021400000000000002
2000-01-24,23.0,22.81,23.25,22.81,117200.0,0.0052
2000-01-25,22.88,22.94,23.0,22.75,275500.0,-0.0052
2000-01-26,23.12,22.75,23.12,22.75,103200.0,0.0105
2000-01-27,22.88,23.06,23.06,22.81,119900.0,-0.0104
2000-01-28,22.62,22.94,22.94,22.56,262300.0,-0.011399999999999999
2000-01-31,22.69,22.62,22.88,22.62,153100.0,0.0031
2000-02-01,23.06,22.69,23.12,22.69,366400.0,0.0163
2000-02-02,22.94,22.94,23.06,22.88,98300.0,-0.0052
2000-02-03,22.88,22.94,23.0,22.75,136100.0,-0.0026
2000-02-04,22.88,22.81,23.06,22.81,136900.0,0.0
2000-02-07,22.62,22.75,22.81,22.56,129100.0,-0.011399999999999999
2000-02-08,22.69,22.75,22.81,22.62,86900.0,0.0031
2000-02-09,22.69,22.75,22.81,22.62,347200.0,0.0
2000-02-10,22.62,22.56,22.94,22.56,100900.0,-0.0031
2000-02-11,22.5,22.62,22.69,22.44,116800.0,-0.0053
2000-02-14,22.5,22.5,22.62,22.44,186200.0,0.0
2000-02-15,22.62,22.5,22.62,22.5,110500.0,0.0053
2000-02-16,22.62,22.5,22.69,22.44,92900.0,0.0
2000-02-17,22.94,22.44,22.94,22.38,144000.0,0.0141
2000-02-18,22.5,22.94,22.94,22.38,82900.0,-0.0192
2000-02-22,22.31,22.5,22.5,22.31,170000.0,-0.0084
2000-02-23,22.19,22.31,22.44,22.12,337700.0,-0.0054
2000-02-24,22.19,22.19,22.25,22.06,254200.0,0.0
2000-02-25,22.0,22.19,22.19,21.94,350900.0,-0.0086
2000-02-28,21.94,22.0,22.06,21.88,364800.0,-0.0027
2000-02-29,22.06,21.94,22.06,21.88,349200.0,0.0055000000000000005
2000-03-01,21.88,21.94,22.12,21.75,182200.0,-0.008199999999999999
2000-03-02,21.69,21.81,21.88,21.69,117900.0,-0.0087
2000-03-03,21.88,21.69,22.0,21.69,393600.0,0.0088
2000-03-06,21.75,21.75,21.81,21.69,144400.0,-0.0059
2000-03-07,21.56,21.62,21.75,21.5,189700.0,-0.0087
2000-03-08,21.25,21.5,21.62,21.19,206200.0,-0.0144
