Date,Close,Open,High,Low,Volume,Change
2000-01-03,19.94,19.88,19.94,19.69,28300.0,-0.003
2000-01-04,20.0,19.88,20.0,19.69,34700.0,0.003
2000-01-05,19.88,20.0,20.0,19.75,229100.0,-0.006
2000-01-06,20.0,19.81,20.0,19.75,32000.0,0.006
2000-01-07,20.69,20.0,20.69,19.94,67600.0,0.0345
2000-01-10,20.75,20.75,20.94,20.5,194800.0,0.0029
2000-01-11,20.75,20.69,20.75,20.5,38700.0,0.0
2000-01-12,20.5,20.75,20.88,20.44,79100.0,-0.012
2000-01-13,20.31,20.44,20.5,20.25,138200.0,-0.009300000000000001
2000-01-14,20.19,20.44,20.5,20.06,59500.0,-0.0059
2000-01-18,20.25,20.25,20.38,19.31,65400.00000000001,0.003
2000-01-19,20.5,20.12,20.5,20.06,57000.0,0.0123
2000-01-20,20.5,20.56,20.62,20.44,23100.0,0.0
2000-01-21,20.31,20.31,20.5,20.25,27600.0,-0.009300000000000001
2000-01-24,19.88,20.38,20.38,19.88,34100.0,-0.0212
2000-01-25,19.88,19.88,20.06,19.88,19400.0,0.0
2000-01-26,20.06,19.88,20.12,19.88,29100.0,0.0091
2000-01-27,19.94,20.19,20.19,19.94,30200.0,-0.006
2000-01-28,19.12,19.94,20.0,19.12,35300.0,-0.041100000000000005
2000-01-31,19.56,19.25,19.69,19.25,48100.0,0.023
2000-02-01,19.62,19.56,19.62,19.5,63600.0,0.0031
2000-02-02,19.69,19.62,19.81,19.56,70900.0,0.0036
2000-02-03,19.88,19.81,19.88,19.81,67500.0,0.0096
2000-02-04,19.88,19.88,19.94,19.81,73600.0,0.0
2000-02-07,19.81,18.75,19.88,18.75,115100.0,-0.0034999999999999996
2000-02-08,20.0,19.88,20.06,19.81,49900.0,0.0096
2000-02-09,19.56,19.5,19.56,19.5,37000.0,-0.022000000000000002
2000-02-10,19.25,19.5,19.5,19.19,39400.0,-0.0158
2000-02-11,19.06,19.25,19.62,18.94,56200.0,-0.009899999999999999
2000-02-14,18.44,19.0,19.0,18.38,57000.0,-0.0325
2000-02-15,18.75,18.31,18.75,18.31,41100.0,0.0168
2000-02-16,19.12,18.75,19.12,18.75,47000.0,0.0197
2000-02-17,18.94,19.0,19.0,18.75,73300.0,-0.009399999999999999
2000-02-18,18.88,18.94,18.94,18.81,12500.0,-0.0032
2000-02-22,18.88,19.38,19.38,18.88,32900.0,0.0
2000-02-23,18.88,18.94,18.94,18.81,9100.0,0.0
2000-02-24,19.0,18.81,19.06,18.81,11700.0,0.0064
2000-02-25,18.88,18.81,18.94,18.75,20000.0,-0.0063
2000-02-28,19.19,18.94,19.25,18.81,29800.0,0.016399999999999998
2000-02-29,18.91,19.25,19.25,18.5,148100.0,-0.0146
2000-03-01,18.88,18.94,19.0,18.75,58100.0,-0.0016
2000-03-02,19.12,18.88,19.12,18.88,15300.0,0.0127
2000-03-03,19.25,19.12,19.25,19.12,11600.0,0.0068000000000000005
2000-03-06,19.19,19.12,19.19,19.06,7300.0,-0.0031
2000-03-07,19.12,19.19,19.19,19.12,7500.0,-0.0036
2000-03-08,19.31,19.19,19.44,19.19,46800.0,0.009899999999999999
2000-03-09,19.75,19.44,19.75,19.44,38000.0,0.022799999999999997
2000-03-10,19.69,19.75,19.75,19.62,16300.0,-0.003
2000-03-13,19.31,19.44,19.56,19.31,145900.0,-0.019299999999999998
2000-03-14,19.06,19.31,19.31,19.0,56500.0,-0.0129
2000-03-15,19.0,19.06,19.06,18.81,49200.0,-0.0031
2000-03-16,19.69,18.88,19.69,18.88,47600.0,0.0363
2000-03-17,19.5,19.44,19.5,19.38,14600.0,-0.0096
