Date,Close,Open,High,Low,Volume,Change
2000-01-03,21.56,21.5,21.56,21.0,85600.0,-0.0087
2000-01-04,21.25,21.5,21.5,21.12,64200.0,-0.0144
2000-01-05,21.06,21.25,21.31,21.0,34700.0,-0.0089
2000-01-06,21.44,21.0,21.69,21.0,113700.0,0.018000000000000002
2000-01-07,22.19,21.25,22.19,21.25,175100.0,0.035
2000-01-10,22.56,22.31,22.69,22.31,66400.0,0.0167
2000-01-11,22.69,22.56,22.88,22.56,165100.0,0.0058
2000-01-12,22.75,22.56,22.75,22.56,35000.0,0.0026
2000-01-13,23.0,23.0,23.19,22.88,89900.0,0.011000000000000001
2000-01-14,22.38,23.19,23.19,22.38,24900.0,-0.027000000000000003
2000-01-18,22.5,22.25,22.62,22.25,39300.0,0.0054
2000-01-19,22.19,22.25,22.25,22.12,70800.0,-0.0138
2000-01-20,22.44,22.25,22.5,22.19,26000.0,0.0113
2000-01-21,22.31,22.19,22.44,22.19,20000.0,-0.0058
2000-01-24,22.06,22.31,22.31,22.0,57900.0,-0.011200000000000002
2000-01-25,21.94,22.19,22.19,21.94,13400.0,-0.0054
2000-01-26,22.06,21.94,22.12,21.94,7400.0,0.0055000000000000005
2000-01-27,22.06,22.0,22.25,21.75,99300.0,0.0
2000-01-28,22.0,22.06,22.12,21.88,13000.0,-0.0027
2000-01-31,21.75,22.0,22.19,21.75,46800.0,-0.011399999999999999
2000-02-01,21.81,21.88,21.94,21.62,12700.0,0.0028000000000000004
2000-02-02,21.75,21.81,21.81,21.56,19600.0,-0.0028000000000000004
2000-02-03,22.0,21.75,22.12,21.75,18000.0,0.0115
2000-02-04,22.31,22.0,22.31,22.0,33600.0,0.0141
2000-02-07,22.25,22.25,22.38,22.0,64800.0,-0.0027
2000-02-08,22.62,22.25,22.69,22.25,47400.0,0.0166
2000-02-09,22.69,22.62,22.94,22.62,113500.0,0.0031
2000-02-10,22.5,22.81,22.94,22.44,58800.0,-0.0084
2000-02-11,22.31,22.5,22.69,21.94,44700.0,-0.0084
2000-02-14,21.62,22.06,22.19,21.62,73400.0,-0.030899999999999997
2000-02-15,21.81,21.62,22.0,21.62,103700.0,0.0088
2000-02-16,21.56,21.56,21.75,21.44,46400.0,-0.0115
2000-02-17,22.06,21.5,22.06,21.12,91100.0,0.0232
2000-02-18,22.12,22.0,22.38,21.88,31100.0,0.0027
2000-02-22,22.62,22.12,22.62,22.0,200900.0,0.0226
2000-02-23,22.62,22.5,22.62,22.25,51800.0,0.0
2000-02-24,22.81,22.62,22.94,22.62,153400.0,0.0084
2000-02-25,23.06,22.75,23.25,22.75,156300.0,0.011000000000000001
2000-02-28,23.06,22.62,23.19,22.62,77300.0,0.0
2000-02-29,23.19,23.0,23.25,23.0,99000.0,0.005600000000000001
2000-03-01,23.44,23.19,23.44,22.94,57400.0,0.0108
2000-03-02,23.12,23.31,23.38,23.06,58000.0,-0.0137
2000-03-03,23.12,23.25,23.25,22.62,75200.0,0.0
2000-03-06,23.12,23.12,23.19,23.0,60900.0,0.0
2000-03-07,22.31,23.0,23.0,22.31,341300.0,-0.035
2000-03-08,22.44,22.44,22.56,22.06,32700.000000000004,0.0058
2000-03-09,22.31,22.44,22.44,22.06,28900.0,-0.0058
2000-03-10,22.0,22.31,22.38,22.0,41600.0,-0.0139
2000-03-13,22.0,21.81,22.38,21.81,33500.0,0.0
2000-03-14,21.75,21.94,22.0,21.62,36900.0,-0.011399999999999999
2000-03-15,21.31,21.81,21.81,21.25,80700.0,-0.0202
2000-03-16,22.62,21.19,22.81,21.12,65400.00000000001,0.061500000000000006
2000-03-17,23.0,22.44,23.0,22.44,18400.0,0.0168
2000-03-20,23.0,22.88,23.19,22.75,44900.0,0.0
2000-03-21,22.62,22.88,22.88,22.31,21700.0,-0.0165
2000-03-22,23.38,22.5,23.38,22.5,57000.0,0.0336
2000-03-23,23.62,23.38,23.81,23.31,97400.0,0.0103
2000-03-24,23.62,23.62,23.81,23.31,83600.0,0.0
2000-03-27,23.81,23.56,24.0,23.56,40200.0,0.008
2000-03-28,24.0,23.81,24.0,23.81,195700.0,0.008
2000-03-29,24.44,23.56,24.5,23.56,335600.0,0.0183
2000-03-30,23.88,24.31,24.31,23.81,390700.0,-0.0229
2000-03-31,23.75,24.0,24.25,23.75,111400.0,-0.0054
2000-04-03,23.88,23.5,24.0,23.5,55700.0,0.0055000000000000005
2000-04-04,23.56,23.88,23.88,23.25,46900.0,-0.0134
2000-04-05,24.06,23.62,24.12,23.5,60700.0,0.0212
2000-04-06,24.44,24.31,24.44,24.19,59900.0,0.0158
2000-04-07,24.44,24.5,24.5,24.19,30000.0,0.0
2000-04-10,24.31,24.5,24.5,24.25,33000.0,-0.0053
2000-04-11,24.44,24.31,24.5,24.31,44700.0,0.0053
2000-04-12,24.44,24.31,24.75,23.88,66300.0,0.0
2000-04-13,24.19,24.19,24.69,24.19,27300.0,-0.0102
2000-04-14,24.94,24.31,24.94,24.0,64200.0,0.031
2000-04-17,24.5,24.88,24.88,24.31,36600.0,-0.0176
2000-04-18,24.75,24.38,24.88,24.25,29800.0,0.0102
2000-04-19,25.19,24.62,25.19,24.5,20000.0,0.0178
2000-04-20,24.62,25.06,25.06,24.62,60400.0,-0.0226
2000-04-24,24.81,24.75,25.0,24.56,42200.0,0.0077
2000-04-25,24.94,24.94,25.0,24.38,36400.0,0.0052
2000-04-26,25.0,24.88,25.12,24.88,126300.0,0.0024
2000-04-27,25.5,25.0,25.5,25.0,60600.0,0.02
2000-04-28,25.69,25.5,25.88,25.5,84700.0,0.0075
2000-05-01,25.81,25.56,25.81,25.56,52300.0,0.004699999999999999
2000-05-02,25.75,25.75,26.19,25.69,169300.0,-0.0023
2000-05-03,25.62,25.75,25.75,25.62,178000.0,-0.005
2000-05-04,25.81,25.56,25.88,25.56,12000.0,0.0074
2000-05-05,26.0,25.69,26.19,25.69,21000.0,0.0074
2000-05-08,25.56,26.0,26.0,25.38,88200.0,-0.0169
2000-05-09,25.56,25.69,25.69,25.19,47400.0,0.0
2000-05-10,24.88,25.56,25.56,24.62,183900.0,-0.026600000000000002
2000-05-11,25.44,25.0,25.44,25.0,22800.0,0.0225
2000-05-12,25.44,25.12,25.5,25.12,61800.0,0.0
2000-05-15,25.75,25.5,25.75,25.44,28900.0,0.012199999999999999
2000-05-16,25.62,25.62,25.62,25.44,24700.0,-0.005
2000-05-17,25.44,25.5,25.69,25.44,45300.0,-0.006999999999999999
