Date,Close,Open,High,Low,Volume,Change
2000-01-03,25.84,26.28,26.3,25.42,2380000.0,-0.0271
2000-01-04,24.87,25.79,26.05,24.62,2940000.0,-0.0375
2000-01-05,26.19,24.87,26.21,24.75,2890000.0,0.053099999999999994
2000-01-06,27.41,26.33,27.55,25.96,3200000.0,0.0466
2000-01-07,26.51,26.65,27.09,26.14,4220000.0,-0.032799999999999996
2000-01-10,26.39,26.7,26.76,25.93,2009999.9999999998,-0.0045000000000000005
2000-01-11,26.12,26.39,26.63,25.93,1650000.0,-0.0102
2000-01-12,25.49,25.75,25.84,25.42,1680000.0,-0.0241
2000-01-13,25.35,25.49,25.66,25.05,1970000.0,-0.0055000000000000005
2000-01-14,25.61,25.52,25.68,25.38,2110000.0,0.0103
2000-01-18,24.62,25.52,25.59,24.34,2020000.0,-0.0387
2000-01-19,23.48,22.93,23.69,22.81,7560000.0,-0.0463
2000-01-20,24.04,23.48,24.11,23.23,7280000.0,0.0239
2000-01-21,23.62,24.04,24.04,23.18,3620000.0,-0.0175
2000-01-24,22.56,23.62,23.81,21.84,3750000.0,-0.0449
2000-01-25,21.52,22.0,22.21,20.76,4490000.0,-0.0461
2000-01-26,21.4,21.45,22.19,21.26,6260000.0,-0.005600000000000001
2000-01-27,21.1,21.45,21.75,20.89,3260000.0,-0.013999999999999999
2000-01-28,21.84,20.96,22.0,20.71,6120000.0,0.0351
2000-01-31,21.22,21.7,21.7,20.45,2660000.0,-0.028399999999999998
2000-02-01,21.17,21.22,21.77,20.82,3540000.0,-0.0024
2000-02-02,20.89,21.17,21.26,20.43,5220000.0,-0.0132
2000-02-03,20.2,20.71,20.85,20.18,3270000.0,-0.033
2000-02-04,20.34,20.43,20.62,19.97,4770000.0,0.0069
2000-02-07,19.46,20.06,20.15,19.18,4440000.0,-0.0433
2000-02-08,19.85,19.67,20.04,19.41,6200000.0,0.02
2000-02-09,19.21,19.62,20.15,19.07,3490000.0,-0.0322
2000-02-10,19.23,19.16,19.35,18.61,13990000.0,0.001
2000-02-11,18.98,19.23,19.51,18.07,5640000.0,-0.013000000000000001
2000-02-14,19.28,18.74,19.37,18.21,3640000.0,0.0158
2000-02-15,19.83,19.23,20.09,18.88,4080000.0,0.0285
2000-02-16,19.78,19.55,19.95,19.07,3400000.0,-0.0025
2000-02-17,19.53,20.25,20.39,19.05,3090000.0,-0.0126
2000-02-18,18.03,19.09,19.23,17.54,4510000.0,-0.0768
2000-02-22,19.09,18.19,19.09,17.75,4059999.9999999995,0.0588
2000-02-23,18.49,19.23,19.23,18.24,2430000.0,-0.031400000000000004
2000-02-24,18.37,18.4,18.42,17.8,4860000.0,-0.006500000000000001
2000-02-25,18.24,18.35,18.56,17.91,2630000.0,-0.0070999999999999995
