Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,3.08,2.98,3.09,2.91,24290000.0,0.0165,SBUX
2000-01-04,2.98,3.01,3.11,2.97,21560000.0,-0.0325,SBUX
2000-01-05,3.02,2.99,3.08,2.96,28210000.0,0.0134,SBUX
2000-01-06,3.13,3.0,3.2,3.0,30830000.0,0.0364,SBUX
2000-01-07,3.12,3.09,3.12,3.03,26040000.0,-0.0032,SBUX
2000-01-10,3.25,3.23,3.34,3.23,29030000.0,0.0417,SBUX
2000-01-11,3.16,3.24,3.26,3.15,19620000.0,-0.0277,SBUX
2000-01-12,3.16,3.17,3.22,3.09,17750000.0,0.0,SBUX
2000-01-13,3.39,3.17,3.41,3.17,21560000.0,0.0728,SBUX
2000-01-14,3.3,3.4,3.45,3.29,22200000.0,-0.0265,SBUX
2000-01-18,3.26,3.27,3.33,3.16,10510000.0,-0.0121,SBUX
2000-01-19,3.19,3.26,3.33,3.18,15800000.0,-0.0215,SBUX
2000-01-20,3.13,3.2,3.22,3.07,18170000.0,-0.018799999999999997,SBUX
2000-01-21,3.12,3.16,3.17,3.09,11180000.0,-0.0032,SBUX
2000-01-24,3.07,3.12,3.2,2.89,31140000.0,-0.016,SBUX
2000-01-25,3.25,3.04,3.38,2.98,47650000.0,0.058600000000000006,SBUX
2000-01-26,3.62,3.37,3.67,3.34,75860000.0,0.11380000000000001,SBUX
2000-01-27,3.61,3.61,3.64,3.54,37520000.0,-0.0028000000000000004,SBUX
2000-01-28,3.73,3.62,3.77,3.62,60370000.0,0.0332,SBUX
2000-01-31,4.0,3.74,4.0,3.73,51060000.0,0.0724,SBUX
2000-02-01,4.04,3.97,4.05,3.93,30590000.0,0.01,SBUX
2000-02-02,3.98,4.03,4.06,3.86,20410000.0,-0.0149,SBUX
2000-02-03,3.93,3.98,4.0,3.8,20510000.0,-0.0126,SBUX
2000-02-04,4.3,4.06,4.34,3.94,51310000.0,0.0941,SBUX
2000-02-07,4.28,4.29,4.31,4.17,19450000.0,-0.004699999999999999,SBUX
