Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,32.78,33.75,34.31,32.06,2320000.0,-0.018000000000000002,SNPS
2000-01-04,30.44,32.44,32.5,30.38,1290000.0,-0.07139999999999999,SNPS
2000-01-05,30.7,30.38,31.5,29.75,3340000.0,0.0085,SNPS
2000-01-06,28.47,30.72,30.72,27.81,3110000.0,-0.0726,SNPS
2000-01-07,28.75,28.56,29.47,28.0,1710000.0,0.0098,SNPS
2000-01-10,30.16,29.25,30.91,29.19,1720000.0,0.049,SNPS
2000-01-11,28.97,29.94,31.0,28.94,2780000.0,-0.0395,SNPS
2000-01-12,26.72,28.78,28.81,26.69,5130000.0,-0.07769999999999999,SNPS
2000-01-13,27.53,27.63,27.75,26.72,4700000.0,0.030299999999999997,SNPS
2000-01-14,28.19,28.03,28.47,27.38,3290000.0,0.024,SNPS
2000-01-18,27.59,28.0,28.19,27.44,3470000.0,-0.0213,SNPS
2000-01-19,27.12,27.69,28.12,26.56,1480000.0,-0.017,SNPS
2000-01-20,27.28,27.25,28.22,27.12,2750000.0,0.0059,SNPS
2000-01-21,27.31,27.31,27.88,27.0,2150000.0,0.0011,SNPS
2000-01-24,26.44,27.69,27.69,26.44,2360000.0,-0.0319,SNPS
2000-01-25,24.0,26.62,26.62,23.34,5450000.0,-0.09230000000000001,SNPS
2000-01-26,23.81,23.81,24.06,22.31,5150000.0,-0.0079,SNPS
2000-01-27,21.91,24.06,24.12,20.81,6110000.0,-0.07980000000000001,SNPS
2000-01-28,21.67,22.09,22.12,21.41,4420000.0,-0.011000000000000001,SNPS
2000-01-31,23.09,21.72,23.44,21.5,3200000.0,0.0655,SNPS
2000-02-01,23.28,23.31,23.31,22.62,1670000.0,0.008199999999999999,SNPS
2000-02-02,22.91,23.53,23.56,22.44,1410000.0,-0.0159,SNPS
2000-02-03,23.41,23.0,23.94,22.84,2840000.0,0.0218,SNPS
2000-02-04,22.62,23.62,23.84,22.44,2049999.9999999998,-0.0337,SNPS
2000-02-07,21.75,22.62,22.75,21.5,2500000.0,-0.0385,SNPS
2000-02-08,22.59,22.06,22.94,21.69,2230000.0,0.038599999999999995,SNPS
2000-02-09,24.09,22.94,24.25,22.91,3940000.0,0.0664,SNPS
2000-02-10,25.41,24.94,25.5,23.94,6050000.0,0.0548,SNPS
2000-02-11,25.28,26.12,26.38,25.0,4200000.0,-0.0051,SNPS
2000-02-14,21.22,24.31,24.53,20.88,9700000.0,-0.1606,SNPS
2000-02-15,21.31,23.12,23.41,21.25,19530000.0,0.0042,SNPS
2000-02-16,22.28,22.25,22.66,21.7,7290000.0,0.0455,SNPS
2000-02-17,23.25,23.25,23.66,22.47,7950000.0,0.0435,SNPS
2000-02-18,18.78,21.19,21.19,18.44,35010000.0,-0.1923,SNPS
2000-02-22,19.47,20.12,20.5,19.22,11010000.0,0.036699999999999997,SNPS
2000-02-23,20.0,19.94,20.12,19.75,4840000.0,0.027200000000000002,SNPS
2000-02-24,20.03,20.45,20.5,20.0,5490000.0,0.0015,SNPS
2000-02-25,20.12,20.19,20.44,20.12,4210000.0,0.0045000000000000005,SNPS
2000-02-28,20.0,20.41,20.47,19.62,3640000.0,-0.006,SNPS
2000-02-29,19.97,20.16,20.38,19.88,5300000.0,-0.0015,SNPS
2000-03-01,20.03,20.16,20.38,19.94,3380000.0,0.003,SNPS
2000-03-02,19.88,20.09,20.25,19.84,2200000.0,-0.0075,SNPS
2000-03-03,19.94,20.03,20.25,19.72,2770000.0,0.003,SNPS
2000-03-06,19.62,20.0,20.34,19.59,2460000.0,-0.016,SNPS
2000-03-07,19.44,19.88,19.94,19.25,2120000.0,-0.0092,SNPS
2000-03-08,19.75,19.59,19.75,19.0,3660000.0,0.0159,SNPS
2000-03-09,20.97,19.81,21.06,19.41,2530000.0,0.061799999999999994,SNPS
2000-03-10,21.66,21.19,22.75,20.56,4710000.0,0.0329,SNPS
2000-03-13,21.53,21.56,22.53,20.75,3290000.0,-0.006,SNPS
2000-03-14,21.81,22.5,23.16,21.53,3620000.0,0.013000000000000001,SNPS
2000-03-15,21.53,22.62,22.75,21.0,3800000.0,-0.0128,SNPS
2000-03-16,24.25,21.97,24.75,21.75,4740000.0,0.1263,SNPS
2000-03-17,24.75,23.62,26.25,23.62,5500000.0,0.0206,SNPS
2000-03-20,24.12,25.0,25.03,23.81,3650000.0,-0.0255,SNPS
2000-03-21,25.09,23.97,25.19,23.25,2150000.0,0.04019999999999999,SNPS
2000-03-22,24.59,25.69,25.81,24.5,2470000.0,-0.0199,SNPS
2000-03-23,24.5,24.41,25.0,23.75,3150000.0,-0.0037,SNPS
2000-03-24,24.62,24.5,25.31,24.19,1370000.0,0.0049,SNPS
2000-03-27,24.56,24.91,24.96,24.25,1740000.0,-0.0024,SNPS
2000-03-28,23.25,24.53,24.56,23.25,1410000.0,-0.0533,SNPS
2000-03-29,22.53,23.5,23.5,21.75,1780000.0,-0.031,SNPS
2000-03-30,22.0,22.16,22.5,21.66,3140000.0,-0.0235,SNPS
2000-03-31,24.38,22.38,24.56,21.88,2980000.0,0.1082,SNPS
2000-04-03,22.78,24.47,24.47,22.5,2650000.0,-0.06559999999999999,SNPS
2000-04-04,22.0,23.5,23.53,19.88,5680000.0,-0.0342,SNPS
2000-04-05,22.09,21.47,23.0,21.25,3250000.0,0.0040999999999999995,SNPS
2000-04-06,21.88,22.62,23.19,21.5,2780000.0,-0.0095,SNPS
2000-04-07,23.09,22.38,23.19,22.18,2390000.0,0.0553,SNPS
2000-04-10,22.12,23.0,23.09,21.75,2240000.0,-0.042,SNPS
2000-04-11,22.06,21.88,22.16,21.03,2730000.0,-0.0027,SNPS
2000-04-12,21.12,21.88,21.94,20.56,3210000.0,-0.0426,SNPS
2000-04-13,21.0,21.0,21.25,20.69,2740000.0,-0.005699999999999999,SNPS
2000-04-14,19.72,20.66,20.66,19.69,3540000.0,-0.061,SNPS
2000-04-17,19.38,19.19,20.0,18.5,2960000.0,-0.0172,SNPS
2000-04-18,21.5,19.72,21.59,19.69,2430000.0,0.1094,SNPS
2000-04-19,20.56,21.81,21.88,20.0,2160000.0,-0.0437,SNPS
2000-04-20,20.41,21.0,21.0,20.0,1340000.0,-0.0073,SNPS
2000-04-24,19.75,19.31,20.38,18.75,1560000.0,-0.0323,SNPS
2000-04-25,21.22,20.12,21.22,20.12,1960000.0,0.07440000000000001,SNPS
2000-04-26,20.0,21.19,21.72,19.94,1140000.0,-0.0575,SNPS
2000-04-27,21.12,19.5,21.5,19.44,2750000.0,0.055999999999999994,SNPS
2000-04-28,21.0,21.19,21.75,20.94,1000000.0,-0.005699999999999999,SNPS
2000-05-01,21.19,21.44,22.19,21.16,2720000.0,0.009000000000000001,SNPS
2000-05-02,20.31,21.19,21.38,20.19,1440000.0,-0.0415,SNPS
2000-05-03,20.25,20.19,20.31,19.25,1640000.0,-0.003,SNPS
2000-05-04,20.56,20.5,20.62,20.0,1260000.0,0.015300000000000001,SNPS
2000-05-05,20.19,20.22,20.88,19.84,1650000.0,-0.018000000000000002,SNPS
2000-05-08,19.97,19.84,20.25,19.72,1040000.0,-0.0109,SNPS
2000-05-09,19.78,20.06,20.09,19.47,1490000.0,-0.0095,SNPS
2000-05-10,19.62,19.41,19.84,18.62,1970000.0,-0.008100000000000001,SNPS
2000-05-11,19.81,19.61,19.84,19.44,1560000.0,0.0097,SNPS
2000-05-12,19.91,19.5,20.06,19.5,2009999.9999999998,0.005,SNPS
2000-05-15,20.88,19.88,20.88,19.31,1030000.0,0.0487,SNPS
2000-05-16,21.84,21.0,22.0,20.97,1590000.0,0.046,SNPS
2000-05-17,22.0,21.03,22.5,21.0,1540000.0,0.0073,SNPS
2000-05-18,21.38,22.5,22.69,21.0,1470000.0,-0.0282,SNPS
2000-05-19,21.81,20.53,22.44,20.5,2200000.0,0.020099999999999996,SNPS
2000-05-22,21.12,21.19,21.75,20.56,2430000.0,-0.0316,SNPS
2000-05-23,21.34,21.19,22.89,21.0,2540000.0,0.0104,SNPS
2000-05-24,22.38,21.25,22.5,20.75,2200000.0,0.0487,SNPS
2000-05-25,21.47,22.31,23.28,21.28,1640000.0,-0.0407,SNPS
2000-05-26,21.03,21.44,22.06,20.69,1200000.0,-0.020499999999999997,SNPS
2000-05-30,23.22,21.03,23.25,21.0,4480000.0,0.1041,SNPS
2000-05-31,23.66,22.69,24.0,22.66,2380000.0,0.0189,SNPS
2000-06-01,24.62,23.72,24.62,23.69,1830000.0,0.0406,SNPS
2000-06-02,25.94,24.72,26.0,24.72,4680000.0,0.0536,SNPS
2000-06-05,25.97,25.62,26.47,25.38,2900000.0,0.0012,SNPS
2000-06-06,24.75,25.44,25.47,24.69,3340000.0,-0.047,SNPS
2000-06-07,24.56,24.56,24.62,23.5,2300000.0,-0.0077,SNPS
2000-06-08,22.78,24.39,24.5,22.44,2370000.0,-0.0725,SNPS
2000-06-09,24.03,23.41,24.41,23.09,1560000.0,0.054900000000000004,SNPS
2000-06-12,22.0,23.64,23.72,21.88,1260000.0,-0.08449999999999999,SNPS
2000-06-13,22.34,21.75,22.5,21.25,2570000.0,0.0155,SNPS
2000-06-14,21.19,22.62,22.75,21.06,1950000.0,-0.051500000000000004,SNPS
2000-06-15,21.75,21.5,21.88,20.81,1520000.0,0.0264,SNPS
2000-06-16,21.81,21.75,22.69,21.62,1810000.0,0.0028000000000000004,SNPS
2000-06-19,22.47,21.75,22.94,21.38,993200.0,0.030299999999999997,SNPS
2000-06-20,23.0,22.38,23.53,22.19,1850000.0,0.0236,SNPS
2000-06-21,23.19,22.91,23.38,22.12,3520000.0,0.0083,SNPS
2000-06-22,21.91,23.09,23.16,21.88,2510000.0,-0.0552,SNPS
2000-06-23,20.88,21.62,21.66,20.75,3370000.0,-0.047,SNPS
2000-06-26,21.31,21.09,21.31,20.91,2029999.9999999998,0.0206,SNPS
2000-06-27,17.44,21.33,21.34,17.19,20570000.0,-0.1816,SNPS
2000-06-28,17.94,17.72,18.62,17.59,11340000.0,0.0287,SNPS
2000-06-29,17.62,17.59,18.06,17.19,2730000.0,-0.0178,SNPS
2000-06-30,17.28,17.88,17.88,17.19,2940000.0,-0.019299999999999998,SNPS
2000-07-03,18.28,18.19,19.0,17.75,2100000.0,0.0579,SNPS
2000-07-05,16.72,18.92,18.94,16.69,3770000.0,-0.08529999999999999,SNPS
2000-07-06,17.0,17.22,18.0,16.88,2500000.0,0.0167,SNPS
2000-07-07,17.75,17.67,18.25,17.25,2080000.0,0.0441,SNPS
2000-07-10,17.5,16.75,17.62,16.75,3010000.0,-0.0141,SNPS
2000-07-11,16.28,17.31,17.56,16.06,2330000.0,-0.0697,SNPS
2000-07-12,16.75,16.88,16.94,16.56,1720000.0,0.028900000000000002,SNPS
2000-07-13,16.28,16.69,16.81,16.0,3480000.0,-0.0281,SNPS
2000-07-14,16.19,16.38,16.5,16.0,3590000.0,-0.0055000000000000005,SNPS
2000-07-17,15.69,16.25,16.28,15.5,5090000.0,-0.030899999999999997,SNPS
2000-07-18,15.53,15.62,15.62,15.31,5850000.0,-0.0102,SNPS
2000-07-19,15.53,15.59,15.94,15.31,8000000.0,0.0,SNPS
2000-07-20,16.38,15.59,16.69,15.56,2630000.0,0.0547,SNPS
2000-07-21,16.0,16.41,16.41,15.91,3270000.0,-0.0232,SNPS
2000-07-24,15.97,16.25,16.75,15.88,1760000.0,-0.0019,SNPS
2000-07-25,16.03,16.06,16.16,15.88,1270000.0,0.0038,SNPS
2000-07-26,15.72,16.09,16.38,15.5,2460000.0,-0.019299999999999998,SNPS
2000-07-27,15.66,15.53,15.84,15.44,1190000.0,-0.0038,SNPS
2000-07-28,15.47,15.61,15.62,15.38,1730000.0,-0.0121,SNPS
2000-07-31,16.28,15.41,16.47,15.19,2140000.0,0.0524,SNPS
2000-08-01,15.75,14.56,15.91,14.44,17790000.0,-0.0326,SNPS
2000-08-02,16.12,15.28,16.31,15.25,6130000.0,0.0235,SNPS
2000-08-03,17.22,15.2,17.38,15.19,4450000.0,0.0682,SNPS
2000-08-04,16.66,16.53,17.31,16.47,2320000.0,-0.0325,SNPS
2000-08-07,17.06,16.5,17.16,16.38,2210000.0,0.024,SNPS
2000-08-08,16.75,16.78,17.88,16.19,6040000.0,-0.0182,SNPS
2000-08-09,15.12,13.06,16.0,12.97,18460000.0,-0.0973,SNPS
2000-08-10,15.09,14.53,15.47,14.5,7120000.0,-0.002,SNPS
2000-08-11,15.38,15.0,15.38,14.81,3630000.0,0.0192,SNPS
2000-08-14,14.69,14.62,14.75,14.5,5120000.0,-0.0449,SNPS
