Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,5.08,5.09,5.12,4.95,7240000.0,-0.0059,TJX
2000-01-04,4.81,5.02,5.06,4.66,9110000.0,-0.053099999999999994,TJX
2000-01-05,4.67,4.81,4.86,4.67,12010000.0,-0.0291,TJX
2000-01-06,4.95,5.0,5.19,4.92,13500000.0,0.06,TJX
2000-01-07,5.08,4.97,5.2,4.88,8710000.0,0.0263,TJX
2000-01-10,5.0,5.05,5.08,4.98,7620000.0,-0.015700000000000002,TJX
2000-01-11,4.92,5.0,5.05,4.91,9790000.0,-0.016,TJX
2000-01-12,4.88,4.92,4.94,4.88,8189999.999999999,-0.008100000000000001,TJX
2000-01-13,4.88,4.88,4.92,4.77,9370000.0,0.0,TJX
2000-01-14,4.92,4.86,4.98,4.84,4630000.0,0.008199999999999999,TJX
2000-01-18,4.77,4.86,4.89,4.73,3940000.0,-0.0305,TJX
2000-01-19,4.61,4.83,4.84,4.59,7240000.0,-0.0335,TJX
2000-01-20,4.62,4.72,4.75,4.55,4620000.0,0.0022,TJX
2000-01-21,4.31,4.56,4.58,4.22,21690000.0,-0.06709999999999999,TJX
2000-01-24,4.16,4.19,4.3,4.12,14190000.0,-0.0348,TJX
2000-01-25,4.25,4.16,4.3,4.14,6580000.0,0.0216,TJX
2000-01-26,4.34,4.2,4.38,4.2,8230000.0,0.0212,TJX
2000-01-27,4.28,4.33,4.45,4.22,6110000.0,-0.0138,TJX
2000-01-28,4.08,4.22,4.23,4.06,6970000.0,-0.0467,TJX
2000-01-31,4.08,4.09,4.12,4.02,5650000.0,0.0,TJX
2000-02-01,4.16,4.02,4.17,4.02,5250000.0,0.0196,TJX
2000-02-02,4.38,4.17,4.44,4.02,5960000.0,0.0529,TJX
2000-02-03,4.55,4.31,4.64,4.25,11160000.0,0.0388,TJX
2000-02-04,4.58,4.55,4.66,4.31,10740000.0,0.0066,TJX
2000-02-07,4.3,4.47,4.48,4.23,8990000.0,-0.0611,TJX
2000-02-08,4.39,4.34,4.44,4.34,6590000.0,0.0209,TJX
2000-02-09,4.27,4.38,4.38,4.25,4530000.0,-0.0273,TJX
2000-02-10,4.31,4.25,4.38,4.09,4620000.0,0.009399999999999999,TJX
2000-02-11,4.19,4.34,4.34,4.09,4720000.0,-0.0278,TJX
2000-02-14,4.17,4.2,4.22,4.08,3270000.0,-0.0048,TJX
2000-02-15,4.08,4.17,4.17,4.03,4660000.0,-0.0216,TJX
2000-02-16,3.91,4.09,4.09,3.88,6690000.0,-0.0417,TJX
2000-02-17,3.8,3.89,4.05,3.75,7730000.0,-0.0281,TJX
2000-02-18,3.78,3.84,3.91,3.75,6530000.0,-0.0053,TJX
2000-02-22,3.72,3.84,3.84,3.69,4179999.9999999995,-0.0159,TJX
2000-02-23,3.67,3.75,3.8,3.67,3070000.0,-0.0134,TJX
2000-02-24,3.56,3.62,3.66,3.48,5420000.0,-0.03,TJX
2000-02-25,3.53,3.56,3.69,3.48,6590000.0,-0.0084,TJX
2000-02-28,3.75,3.53,3.75,3.53,12050000.0,0.0623,TJX
2000-02-29,3.98,3.78,4.06,3.78,13270000.0,0.0613,TJX
2000-03-01,4.12,4.05,4.16,3.91,13590000.0,0.0352,TJX
2000-03-02,4.19,4.14,4.33,4.12,7910000.0,0.017,TJX
2000-03-03,4.23,4.06,4.31,3.89,5960000.0,0.0095,TJX
2000-03-06,4.09,4.19,4.19,4.03,3780000.0,-0.0331,TJX
2000-03-07,3.91,4.06,4.08,3.88,4130000.0,-0.044000000000000004,TJX
2000-03-08,3.94,3.75,3.94,3.7,8750000.0,0.0077,TJX
2000-03-09,3.91,3.88,3.92,3.81,12700000.0,-0.0076,TJX
2000-03-10,3.81,3.83,3.88,3.8,8380000.000000001,-0.0256,TJX
2000-03-13,3.75,3.78,3.78,3.62,9430000.0,-0.015700000000000002,TJX
2000-03-14,3.78,3.73,3.84,3.69,7900000.0,0.008,TJX
2000-03-15,4.25,3.72,4.3,3.69,13850000.0,0.1243,TJX
2000-03-16,5.0,4.44,5.25,4.39,25260000.0,0.1765,TJX
2000-03-17,4.75,5.03,5.05,4.75,15730000.0,-0.05,TJX
2000-03-20,4.92,4.81,4.94,4.75,6890000.0,0.0358,TJX
2000-03-21,5.0,4.98,5.06,4.92,14590000.0,0.0163,TJX
2000-03-22,4.98,4.98,5.0,4.88,10440000.0,-0.004,TJX
2000-03-23,4.98,4.98,5.0,4.89,6500000.0,0.0,TJX
2000-03-24,5.22,5.0,5.23,4.97,9710000.0,0.0482,TJX
2000-03-27,5.17,5.17,5.27,5.12,9470000.0,-0.0096,TJX
2000-03-28,5.27,5.23,5.61,5.2,10220000.0,0.019299999999999998,TJX
2000-03-29,5.28,5.31,5.34,5.16,10910000.0,0.0019,TJX
2000-03-30,5.73,5.27,6.0,5.27,18110000.0,0.0852,TJX
2000-03-31,5.55,5.78,6.14,5.53,22270000.0,-0.031400000000000004,TJX
2000-04-03,5.95,5.62,6.0,5.62,9090000.0,0.0721,TJX
2000-04-04,5.83,5.95,6.11,5.56,10950000.0,-0.0202,TJX
2000-04-05,5.92,5.89,5.97,5.77,4590000.0,0.0154,TJX
2000-04-06,5.75,5.91,5.92,5.62,14810000.0,-0.0287,TJX
2000-04-07,5.72,5.75,5.89,5.64,9040000.0,-0.0052,TJX
2000-04-10,5.55,5.64,5.66,5.5,11230000.0,-0.0297,TJX
2000-04-11,5.44,5.5,5.53,5.33,10180000.0,-0.019799999999999998,TJX
2000-04-12,5.39,5.44,5.58,5.39,9110000.0,-0.0092,TJX
2000-04-13,5.27,5.45,5.53,5.27,13270000.0,-0.0223,TJX
2000-04-14,4.94,5.25,5.27,4.84,10870000.0,-0.0626,TJX
2000-04-17,5.0,5.0,5.05,4.95,8170000.0,0.0121,TJX
2000-04-18,5.03,5.0,5.09,4.97,4580000.0,0.006,TJX
2000-04-19,5.11,5.09,5.17,5.05,3680000.0,0.0159,TJX
2000-04-20,5.12,5.16,5.17,5.08,5520000.0,0.002,TJX
2000-04-24,5.11,5.06,5.17,5.05,5840000.0,-0.002,TJX
2000-04-25,4.95,5.05,5.08,4.94,10790000.0,-0.0313,TJX
2000-04-26,4.64,4.98,5.0,4.61,10080000.0,-0.0626,TJX
2000-04-27,4.5,4.5,4.61,4.34,9220000.0,-0.0302,TJX
2000-04-28,4.8,4.81,4.97,4.73,7810000.0,0.0667,TJX
2000-05-01,4.84,4.83,4.86,4.77,6850000.0,0.0083,TJX
2000-05-02,4.77,4.75,4.8,4.52,8880000.0,-0.014499999999999999,TJX
2000-05-03,4.47,4.66,4.66,4.45,9910000.0,-0.0629,TJX
2000-05-04,4.67,4.69,4.78,4.59,6620000.0,0.0447,TJX
2000-05-05,4.7,4.61,4.81,4.61,4920000.0,0.0064,TJX
2000-05-08,4.55,4.69,4.7,4.5,8039999.999999999,-0.0319,TJX
2000-05-09,4.64,4.61,4.69,4.56,4250000.0,0.019799999999999998,TJX
2000-05-10,4.56,4.59,4.64,4.53,4930000.0,-0.0172,TJX
2000-05-11,4.5,4.53,4.56,4.41,5510000.0,-0.0132,TJX
2000-05-12,4.52,4.53,4.56,4.48,4610000.0,0.0044,TJX
2000-05-15,4.88,4.53,4.88,4.53,6900000.0,0.0796,TJX
2000-05-16,5.0,5.09,5.16,4.94,9550000.0,0.0246,TJX
2000-05-17,4.91,4.94,5.0,4.89,7370000.0,-0.018000000000000002,TJX
2000-05-18,5.0,4.78,5.02,4.78,8450000.0,0.0183,TJX
2000-05-19,5.12,4.95,5.16,4.95,7970000.0,0.024,TJX
