Date,Close,Open,High,Low,Volume,Change,Symbol
2007-04-20,37.57,36.06,37.9,35.66,3050000.0,0.04190000000000001,TMUS
2007-04-23,37.84,37.64,38.09,37.23,1880000.0,0.0072,TMUS
2007-04-24,38.43,37.52,38.69,37.52,1530000.0,0.015600000000000001,TMUS
2007-04-25,37.65,38.89,39.15,37.52,1230000.0,-0.0203,TMUS
2007-04-26,37.11,38.49,38.55,35.93,639700.0,-0.0143,TMUS
2007-04-27,37.38,37.11,37.51,36.39,178150.0,0.0073,TMUS
2007-04-30,36.91,37.48,38.11,36.85,182500.0,-0.0126,TMUS
2007-05-01,36.72,36.85,37.51,36.59,459200.0,-0.0051,TMUS
2007-05-02,37.06,36.59,37.66,36.53,428500.0,0.009300000000000001,TMUS
2007-05-03,37.7,37.05,37.81,36.93,185600.0,0.0173,TMUS
2007-05-04,37.9,37.86,38.3,37.39,139850.0,0.0053,TMUS
2007-05-07,38.26,37.77,38.3,37.51,293300.0,0.0095,TMUS
2007-05-08,38.56,38.4,38.69,38.16,259600.00000000003,0.0078000000000000005,TMUS
2007-05-09,40.6,38.78,41.15,38.55,594800.0,0.0529,TMUS
2007-05-10,40.02,40.6,40.6,39.13,568650.0,-0.0143,TMUS
2007-05-11,40.68,40.6,41.6,40.4,646350.0,0.0165,TMUS
2007-05-14,42.01,41.45,42.11,40.8,391450.0,0.0327,TMUS
2007-05-15,45.02,44.75,45.67,44.34,1220000.0,0.0716,TMUS
2007-05-16,45.22,45.73,45.92,44.94,239550.0,0.0044,TMUS
2007-05-17,47.9,45.34,48.27,45.32,594200.0,0.0593,TMUS
2007-05-18,48.14,48.04,49.02,47.05,905300.0,0.005,TMUS
2007-05-21,45.46,48.27,48.55,44.14,708890.0,-0.0557,TMUS
2007-05-22,44.36,45.8,46.06,41.9,1950000.0,-0.0242,TMUS
2007-05-23,44.19,45.07,45.89,44.09,620950.0,-0.0038,TMUS
2007-05-24,44.65,44.46,45.4,44.35,600050.0,0.0104,TMUS
2007-05-25,46.07,44.65,46.32,44.55,381600.0,0.0318,TMUS
2007-05-29,44.61,47.56,47.56,44.15,443100.0,-0.0317,TMUS
2007-05-30,47.14,44.71,47.21,44.3,431950.0,0.0567,TMUS
2007-05-31,46.93,47.31,48.69,46.46,543200.0,-0.0045000000000000005,TMUS
2007-06-01,48.15,46.82,48.35,46.78,406650.0,0.026000000000000002,TMUS
2007-06-04,48.27,47.94,48.27,46.26,287150.0,0.0025,TMUS
2007-06-05,46.4,48.15,48.63,46.35,431100.0,-0.0387,TMUS
2007-06-06,44.6,45.68,45.8,43.65,653350.0,-0.0388,TMUS
2007-06-07,42.81,45.07,45.17,42.77,614860.0,-0.0401,TMUS
2007-06-08,42.84,43.03,43.43,42.27,258850.00000000003,0.0007000000000000001,TMUS
2007-06-11,44.44,43.46,45.07,43.3,492000.0,0.0373,TMUS
2007-06-12,43.59,43.96,44.38,42.77,580580.0,-0.0191,TMUS
2007-06-13,44.47,42.77,44.55,42.77,364200.0,0.0202,TMUS
2007-06-14,43.34,44.75,44.97,42.85,547800.0,-0.0254,TMUS
2007-06-15,46.85,43.43,47.18,43.3,936150.0,0.081,TMUS
2007-06-18,46.88,47.13,48.5,45.81,809250.0,0.0006,TMUS
2007-06-19,44.73,47.11,47.11,44.57,429850.0,-0.045899999999999996,TMUS
2007-06-20,42.96,44.63,44.84,42.85,598650.0,-0.039599999999999996,TMUS
2007-06-21,44.24,43.26,44.72,42.84,380400.0,0.0298,TMUS
2007-06-22,44.52,43.92,44.75,43.14,1330000.0,0.0063,TMUS
2007-06-25,46.06,44.44,46.13,44.01,301550.0,0.0346,TMUS
2007-06-26,45.75,45.81,46.0,44.42,264750.0,-0.0067,TMUS
2007-06-27,45.86,45.75,46.47,44.96,282650.0,0.0024,TMUS
2007-06-28,44.28,45.97,45.97,44.28,213300.0,-0.0345,TMUS
2007-06-29,43.48,44.31,44.85,43.23,383900.0,-0.0181,TMUS
2007-07-02,43.47,43.51,44.09,43.38,207200.0,-0.0002,TMUS
2007-07-03,45.19,43.47,45.6,43.47,179450.0,0.039599999999999996,TMUS
2007-07-05,45.0,45.38,45.43,44.15,119700.0,-0.0042,TMUS
2007-07-06,46.28,45.21,46.32,44.96,329050.0,0.028399999999999998,TMUS
2007-07-09,46.3,46.1,47.09,45.1,310650.0,0.0004,TMUS
2007-07-10,46.86,46.0,47.38,45.9,197400.0,0.0121,TMUS
2007-07-11,47.6,47.15,48.02,46.71,353750.0,0.0158,TMUS
2007-07-12,48.9,47.73,49.61,47.73,323400.0,0.0273,TMUS
2007-07-13,48.97,47.77,49.44,47.64,189000.0,0.0014000000000000002,TMUS
2007-07-16,50.48,49.44,51.85,48.97,375200.0,0.0308,TMUS
2007-07-17,53.08,49.98,53.17,49.94,755550.0,0.051500000000000004,TMUS
2007-07-18,51.75,51.34,52.42,50.14,610750.0,-0.025099999999999997,TMUS
2007-07-19,52.05,51.96,52.67,51.52,264300.0,0.0058,TMUS
2007-07-20,51.81,52.11,53.79,51.39,278200.0,-0.0046,TMUS
2007-07-23,51.34,52.25,53.02,50.92,193200.0,-0.0091,TMUS
2007-07-24,49.68,50.73,50.94,49.18,390300.0,-0.0323,TMUS
2007-07-25,46.9,49.8,50.47,46.75,458500.0,-0.055999999999999994,TMUS
2007-07-26,46.65,46.9,47.77,45.35,1040000.0,-0.0053,TMUS
2007-07-27,46.32,46.51,47.76,44.9,510350.0,-0.0070999999999999995,TMUS
2007-07-30,49.07,47.71,50.43,47.4,569300.0,0.0594,TMUS
2007-07-31,48.19,50.27,50.5,47.42,436700.0,-0.0179,TMUS
2007-08-01,48.5,48.59,49.44,46.82,322700.0,0.0064,TMUS
2007-08-02,51.35,48.3,51.59,48.0,625250.0,0.0588,TMUS
2007-08-03,41.01,41.89,44.47,38.3,3250000.0,-0.2014,TMUS
2007-08-06,40.26,41.59,43.96,39.64,1530000.0,-0.0183,TMUS
2007-08-07,42.11,40.53,42.59,40.32,1210000.0,0.046,TMUS
2007-08-08,41.8,37.52,42.44,32.57,3640000.0,-0.0074,TMUS
2007-08-09,36.84,39.48,41.03,35.86,714000.0,-0.11869999999999999,TMUS
2007-08-10,36.19,36.85,38.34,33.23,957250.0,-0.0176,TMUS
2007-08-13,37.94,37.1,38.82,37.1,487600.0,0.0484,TMUS
2007-08-14,36.51,37.94,38.02,36.35,414550.0,-0.0377,TMUS
2007-08-15,33.94,36.93,36.93,33.36,437970.0,-0.0704,TMUS
2007-08-16,31.78,33.95,33.95,30.6,1000000.0,-0.0636,TMUS
2007-08-17,34.45,34.22,36.89,33.27,929000.0,0.084,TMUS
2007-08-20,33.82,34.55,34.8,31.6,340950.0,-0.0183,TMUS
2007-08-21,33.68,33.72,34.22,32.58,521000.0,-0.0040999999999999995,TMUS
2007-08-22,33.61,33.82,34.47,33.27,382400.0,-0.0021,TMUS
2007-08-23,33.6,33.89,33.89,32.18,519950.00000000006,-0.0003,TMUS
2007-08-24,37.31,33.49,37.72,33.47,818300.0,0.1104,TMUS
2007-08-27,40.36,36.85,40.78,36.82,607560.0,0.0817,TMUS
2007-08-28,39.39,39.81,40.73,38.39,569900.0,-0.024,TMUS
2007-08-29,37.24,39.56,39.6,36.48,680800.0,-0.0546,TMUS
2007-08-30,35.44,36.69,37.11,34.97,590400.0,-0.0483,TMUS
2007-08-31,35.91,36.09,36.69,35.85,285900.0,0.013300000000000001,TMUS
2007-09-04,37.7,37.51,38.8,35.99,3610000.0,0.049800000000000004,TMUS
2007-09-05,38.02,38.3,38.8,36.85,985300.0,0.0085,TMUS
2007-09-06,36.97,38.43,38.52,36.85,616550.0,-0.0276,TMUS
2007-09-07,35.82,36.98,37.05,34.48,897400.0,-0.0311,TMUS
2007-09-10,35.2,37.84,37.84,34.89,374700.0,-0.0173,TMUS
2007-09-11,35.07,35.47,35.55,34.45,723250.0,-0.0037,TMUS
2007-09-12,34.24,35.2,35.2,34.24,928850.0,-0.023700000000000002,TMUS
2007-09-13,32.62,34.57,34.84,32.41,2920000.0,-0.0473,TMUS
2007-09-14,33.03,32.64,33.36,31.58,1050000.0,0.0126,TMUS
2007-09-17,33.15,33.49,33.49,32.22,723050.0,0.0036,TMUS
2007-09-18,33.51,33.16,33.85,33.16,1180000.0,0.0109,TMUS
2007-09-19,33.76,33.51,34.78,33.26,1160000.0,0.0075,TMUS
2007-09-20,34.8,33.82,35.32,33.81,603700.0,0.0308,TMUS
2007-09-21,34.87,34.99,35.62,34.19,1090000.0,0.002,TMUS
2007-09-24,35.15,34.87,35.35,34.64,704400.0,0.008,TMUS
2007-09-25,35.77,35.14,35.99,34.6,703950.0,0.0176,TMUS
2007-09-26,35.52,35.57,35.93,34.89,338650.0,-0.006999999999999999,TMUS
2007-09-27,36.23,35.62,36.64,35.53,422850.0,0.02,TMUS
2007-09-28,35.9,36.23,36.43,35.41,399600.0,-0.0091,TMUS
2007-10-01,35.85,35.4,36.39,35.2,333600.0,-0.0014000000000000002,TMUS
2007-10-02,36.65,36.03,36.9,35.82,371850.0,0.0223,TMUS
2007-10-03,36.41,36.65,37.18,36.11,325290.0,-0.006500000000000001,TMUS
2007-10-04,36.32,36.41,36.8,36.07,477350.0,-0.0025,TMUS
2007-10-05,32.62,35.93,35.93,32.36,2810000.0,-0.10189999999999999,TMUS
2007-10-08,31.85,32.24,32.56,31.45,712400.0,-0.0236,TMUS
2007-10-09,33.18,32.05,33.43,31.65,1180000.0,0.0418,TMUS
2007-10-10,32.65,33.16,33.16,32.08,520350.0,-0.016,TMUS
2007-10-11,32.81,32.77,33.23,32.36,482500.0,0.0049,TMUS
2007-10-12,32.7,32.77,32.9,31.76,516950.00000000006,-0.0034000000000000002,TMUS
2007-10-15,31.61,32.56,32.64,31.02,1290000.0,-0.0333,TMUS
2007-10-16,30.01,29.98,30.8,29.32,2410000.0,-0.0506,TMUS
2007-10-17,29.61,29.68,30.27,29.44,1280000.0,-0.013300000000000001,TMUS
2007-10-18,29.08,29.41,29.41,28.58,1910000.0,-0.0179,TMUS
2007-10-19,28.85,28.93,29.27,28.58,1330000.0,-0.0079,TMUS
2007-10-22,27.11,28.79,28.87,26.65,1720000.0,-0.0603,TMUS
2007-10-23,25.85,27.37,27.37,24.32,3790000.0,-0.04650000000000001,TMUS
2007-10-24,25.83,25.6,26.37,25.49,2510000.0,-0.0008,TMUS
2007-10-25,26.14,25.82,26.48,25.62,1570000.0,0.012,TMUS
2007-10-26,28.16,26.15,28.24,26.11,2760000.0,0.07730000000000001,TMUS
2007-10-29,28.74,27.91,29.01,27.62,1310000.0,0.0206,TMUS
2007-10-30,28.43,28.74,28.74,27.81,1470000.0,-0.0108,TMUS
2007-10-31,29.61,29.22,29.87,28.83,3260000.0,0.0415,TMUS
2007-11-01,26.5,28.53,29.95,25.73,4690000.0,-0.105,TMUS
2007-11-02,28.77,27.11,29.02,26.93,2310000.0,0.0857,TMUS
2007-11-05,28.48,27.76,28.58,27.64,1330000.0,-0.0101,TMUS
2007-11-06,28.98,28.51,29.14,28.51,1470000.0,0.0176,TMUS
2007-11-07,28.27,28.99,28.99,27.97,1140000.0,-0.0245,TMUS
2007-11-08,27.37,28.76,28.76,26.32,1660000.0,-0.0318,TMUS
2007-11-09,21.19,24.61,24.61,20.83,4910000.0,-0.22579999999999997,TMUS
2007-11-12,20.54,21.46,22.9,20.1,2150000.0,-0.030699999999999998,TMUS
2007-11-13,21.65,20.87,21.71,20.33,1180000.0,0.054000000000000006,TMUS
2007-11-14,23.86,22.78,24.95,22.57,2710000.0,0.10210000000000001,TMUS
2007-11-15,24.16,24.11,24.61,23.28,1270000.0,0.0126,TMUS
2007-11-16,24.54,24.77,25.43,23.96,2100000.0,0.015700000000000002,TMUS
2007-11-19,23.16,24.28,24.28,22.94,1360000.0,-0.0562,TMUS
2007-11-20,21.06,23.43,23.44,20.73,1330000.0,-0.0907,TMUS
2007-11-21,20.06,21.04,21.04,18.12,2800000.0,-0.0475,TMUS
2007-11-23,20.46,20.33,21.03,20.07,284190.0,0.0199,TMUS
2007-11-26,20.32,20.71,20.83,20.08,1070000.0,-0.0068000000000000005,TMUS
2007-11-27,19.87,20.15,20.52,19.71,2170000.0,-0.022099999999999998,TMUS
2007-11-28,21.36,19.87,21.82,19.87,2080000.0,0.075,TMUS
2007-11-29,21.87,21.58,22.91,20.4,1540000.0,0.0239,TMUS
2007-11-30,22.5,22.16,23.04,21.58,3720000.0,0.0288,TMUS
2007-12-03,21.28,22.37,22.37,21.06,1450000.0,-0.0542,TMUS
2007-12-04,22.39,21.28,22.5,21.02,865300.0,0.052199999999999996,TMUS
2007-12-05,22.78,22.62,23.03,21.68,1410000.0,0.0174,TMUS
2007-12-06,22.11,22.31,22.35,20.81,2100000.0,-0.0294,TMUS
2007-12-07,23.18,21.89,23.7,21.73,1040000.0,0.0484,TMUS
2007-12-10,23.23,23.58,24.86,23.02,944230.0,0.0022,TMUS
2007-12-11,22.68,23.93,23.93,22.28,1210000.0,-0.023700000000000002,TMUS
2007-12-12,22.44,23.35,23.35,22.06,1840000.0,-0.0106,TMUS
2007-12-13,22.6,21.79,22.71,21.58,1830000.0,0.0070999999999999995,TMUS
2007-12-14,23.71,22.87,24.46,22.79,2420000.0,0.049100000000000005,TMUS
2007-12-17,23.46,23.37,23.69,23.11,1110000.0,-0.0105,TMUS
2007-12-18,22.94,23.37,23.64,22.25,1780000.0,-0.0222,TMUS
2007-12-19,24.11,22.56,24.28,22.56,943550.0,0.051,TMUS
2007-12-20,26.5,24.12,27.15,24.12,2370000.0,0.09910000000000001,TMUS
2007-12-21,26.99,26.5,27.66,26.0,3340000.0,0.018500000000000003,TMUS
2007-12-24,26.37,26.91,27.64,26.22,420250.0,-0.023,TMUS
2007-12-26,26.37,26.52,26.66,25.54,507100.0,0.0,TMUS
2007-12-27,25.94,26.4,26.52,25.72,338020.0,-0.0163,TMUS
2007-12-28,25.66,25.82,26.06,25.37,289850.0,-0.0108,TMUS
2007-12-31,25.6,25.37,25.75,24.78,527750.0,-0.0023,TMUS
2008-01-02,24.54,25.81,25.95,24.04,581130.0,-0.0414,TMUS
2008-01-03,24.35,24.83,24.86,22.39,1280000.0,-0.0077,TMUS
2008-01-04,22.71,24.35,24.35,22.04,808630.0,-0.0674,TMUS
2008-01-07,21.68,22.85,22.96,21.07,634900.0,-0.0454,TMUS
2008-01-08,23.07,23.53,25.66,22.95,2350000.0,0.0641,TMUS
2008-01-09,22.81,23.16,23.58,22.31,1340000.0,-0.0113,TMUS
2008-01-10,23.11,22.62,23.71,22.36,859930.0,0.0132,TMUS
2008-01-11,22.66,23.15,23.15,22.04,683180.0,-0.0195,TMUS
2008-01-14,23.7,23.04,24.12,22.77,1160000.0,0.045899999999999996,TMUS
2008-01-15,23.95,23.07,24.33,23.07,2240000.0,0.0105,TMUS
2008-01-16,24.19,24.12,24.29,23.6,1740000.0,0.01,TMUS
2008-01-17,23.98,23.86,24.81,23.85,1270000.0,-0.0087,TMUS
2008-01-18,22.81,24.04,24.11,21.86,1490000.0,-0.048799999999999996,TMUS
2008-01-22,21.81,21.73,22.15,20.79,1050000.0,-0.0438,TMUS
2008-01-23,21.54,21.71,21.78,20.05,2230000.0,-0.0124,TMUS
2008-01-24,21.71,21.71,22.15,20.81,1770000.0,0.0079,TMUS
2008-01-25,22.04,22.03,22.37,21.52,1470000.0,0.0152,TMUS
2008-01-28,21.77,21.6,22.18,21.1,873610.0,-0.0123,TMUS
2008-01-29,21.79,21.73,21.86,21.39,724190.0,0.0009,TMUS
