Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,33.0,33.25,33.25,32.62,336400.0,-0.020499999999999997,TRV
2000-01-04,32.56,32.5,33.0,32.19,494400.0,-0.013300000000000001,TRV
2000-01-05,32.31,32.56,33.31,32.25,736000.0,-0.0077,TRV
2000-01-06,32.94,32.31,33.38,31.81,660400.0,0.0195,TRV
2000-01-07,34.25,33.44,34.75,33.31,594700.0,0.0398,TRV
2000-01-10,33.62,34.75,34.75,33.12,389900.0,-0.0184,TRV
2000-01-11,33.25,33.38,33.75,32.88,812900.0,-0.011000000000000001,TRV
2000-01-12,33.31,33.0,33.62,32.75,561500.0,0.0018,TRV
2000-01-13,34.0,33.31,34.19,33.31,589600.0,0.0207,TRV
2000-01-14,34.0,33.94,34.69,33.62,599300.0,0.0,TRV
2000-01-18,32.75,33.75,33.75,32.5,945900.0,-0.0368,TRV
2000-01-19,32.81,32.5,33.25,32.38,988100.0,0.0018,TRV
2000-01-20,32.62,32.75,32.81,32.25,943400.0,-0.0058,TRV
2000-01-21,31.5,32.0,32.06,31.0,1000000.0,-0.034300000000000004,TRV
2000-01-24,32.12,31.62,32.44,31.31,586500.0,0.0197,TRV
2000-01-25,31.38,32.12,32.81,31.25,609700.0,-0.023,TRV
2000-01-26,32.38,31.44,32.44,31.19,503300.0,0.0319,TRV
2000-01-27,30.56,32.0,32.38,29.81,1320000.0,-0.0562,TRV
2000-01-28,30.0,30.06,30.19,29.31,814900.0,-0.0183,TRV
2000-01-31,30.19,29.81,30.19,29.12,612200.0,0.0063,TRV
2000-02-01,29.31,30.0,30.0,27.5,1020000.0,-0.0291,TRV
2000-02-02,27.88,29.38,29.38,27.5,1420000.0,-0.048799999999999996,TRV
2000-02-03,26.62,27.88,27.88,26.38,1370000.0,-0.0452,TRV
2000-02-04,26.75,26.75,27.19,25.75,1510000.0,0.0049,TRV
2000-02-07,26.62,26.75,27.0,26.25,1130000.0,-0.0049,TRV
2000-02-08,26.31,26.75,26.81,26.12,1070000.0,-0.0116,TRV
2000-02-09,25.44,26.25,26.44,25.31,1130000.0,-0.0331,TRV
2000-02-10,24.5,25.0,25.25,24.19,3270000.0,-0.0369,TRV
2000-02-11,24.38,24.56,24.75,23.75,680900.0,-0.0049,TRV
2000-02-14,24.25,24.25,24.56,24.06,436300.0,-0.0053,TRV
2000-02-15,24.31,24.5,24.62,24.19,689700.0,0.0025,TRV
2000-02-16,24.5,24.31,24.94,24.31,1300000.0,0.0078000000000000005,TRV
2000-02-17,24.62,24.88,25.12,24.25,562200.0,0.0049,TRV
2000-02-18,23.62,24.56,24.69,23.12,529900.0,-0.0406,TRV
2000-02-22,23.88,23.62,24.5,23.06,966400.0,0.011000000000000001,TRV
2000-02-23,23.75,23.75,24.12,23.5,1100000.0,-0.0054,TRV
2000-02-24,22.75,23.62,23.75,22.25,803000.0,-0.0421,TRV
2000-02-25,22.88,23.5,23.75,22.81,545200.0,0.005699999999999999,TRV
2000-02-28,23.06,23.19,23.62,23.06,971800.0,0.0079,TRV
2000-02-29,22.38,23.12,23.56,22.25,1210000.0,-0.029500000000000002,TRV
2000-03-01,22.56,22.5,23.25,21.75,1400000.0,0.008,TRV
2000-03-02,22.62,22.56,23.06,22.06,1170000.0,0.0027,TRV
2000-03-03,22.56,22.56,23.44,22.31,668600.0,-0.0027,TRV
2000-03-06,22.44,22.31,22.69,22.19,793900.0,-0.0053,TRV
2000-03-07,22.06,22.44,22.69,22.06,885100.0,-0.0169,TRV
2000-03-08,21.75,22.12,22.5,21.38,661200.0,-0.0141,TRV
2000-03-09,22.75,21.38,23.19,21.31,1610000.0,0.046,TRV
2000-03-10,23.0,22.75,23.25,22.62,634300.0,0.011000000000000001,TRV
2000-03-13,22.5,22.75,22.75,22.25,1180000.0,-0.0217,TRV
2000-03-14,22.31,22.5,23.5,22.12,1030000.0,-0.0084,TRV
2000-03-15,23.88,22.75,24.5,22.69,853100.0,0.0704,TRV
2000-03-16,27.19,24.5,27.38,24.5,1800000.0,0.1386,TRV
2000-03-17,26.62,27.19,27.75,26.12,1410000.0,-0.021,TRV
2000-03-20,26.31,26.75,27.0,26.12,720700.0,-0.0116,TRV
2000-03-21,27.56,26.06,27.75,26.06,934700.0,0.0475,TRV
2000-03-22,27.38,27.12,27.88,26.88,794500.0,-0.006500000000000001,TRV
