Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,0.99,1.0,1.02,0.99,131200.0,-0.01,TSCO
2000-01-04,0.97,0.98,1.01,0.96,67200.0,-0.0202,TSCO
2000-01-05,0.98,1.0,1.0,0.98,129600.0,0.0103,TSCO
2000-01-06,0.96,0.98,0.98,0.96,188800.0,-0.0204,TSCO
2000-01-07,0.98,0.96,0.98,0.94,116800.0,0.0208,TSCO
2000-01-10,0.94,0.94,0.98,0.94,19200.0,-0.0408,TSCO
2000-01-11,0.95,0.98,1.0,0.95,86400.0,0.0106,TSCO
2000-01-12,1.0,0.97,1.0,0.97,60800.0,0.0526,TSCO
2000-01-13,0.98,1.0,1.02,0.98,156800.0,-0.02,TSCO
2000-01-14,1.02,0.99,1.02,0.99,340800.0,0.0408,TSCO
2000-01-18,1.0,1.01,1.02,1.0,156800.0,-0.0196,TSCO
2000-01-19,0.96,1.0,1.0,0.95,241600.0,-0.04,TSCO
2000-01-20,0.98,0.95,1.01,0.95,300800.0,0.0208,TSCO
2000-01-21,0.95,0.98,0.98,0.95,275200.0,-0.030600000000000002,TSCO
2000-01-24,0.93,0.95,0.98,0.93,326400.0,-0.021099999999999997,TSCO
2000-01-25,0.91,0.98,0.98,0.91,2590000.0,-0.0215,TSCO
2000-01-26,0.94,0.93,0.94,0.93,233600.0,0.033,TSCO
2000-01-27,1.07,0.96,1.09,0.95,817600.0,0.1383,TSCO
2000-01-28,1.03,1.08,1.08,1.01,504000.0,-0.0374,TSCO
2000-01-31,1.12,1.05,1.17,1.05,982400.0,0.0874,TSCO
2000-02-01,1.1,1.09,1.11,1.09,97600.0,-0.0179,TSCO
2000-02-02,1.01,1.11,1.11,0.95,1070000.0,-0.0818,TSCO
2000-02-03,0.99,1.0,1.02,0.97,572800.0,-0.019799999999999998,TSCO
2000-02-04,1.02,1.02,1.02,1.0,388800.0,0.030299999999999997,TSCO
2000-02-07,1.07,1.02,1.07,0.99,126400.0,0.049,TSCO
2000-02-08,1.07,1.05,1.1,1.02,75200.0,0.0,TSCO
2000-02-09,1.07,1.1,1.1,1.05,147200.0,0.0,TSCO
2000-02-10,1.09,1.13,1.14,1.09,454400.0,0.0187,TSCO
2000-02-11,1.11,1.09,1.16,1.08,331200.0,0.0183,TSCO
2000-02-14,1.05,1.12,1.12,1.03,220800.0,-0.0541,TSCO
2000-02-15,1.04,1.04,1.08,1.04,1010000.0,-0.0095,TSCO
2000-02-16,1.04,1.05,1.08,1.04,2040000.0,0.0,TSCO
2000-02-17,1.05,1.03,1.06,1.02,662400.0,0.0096,TSCO
2000-02-18,1.03,1.02,1.09,1.02,793600.0,-0.019,TSCO
2000-02-22,1.03,1.02,1.04,1.02,201600.0,0.0,TSCO
2000-02-23,1.02,1.03,1.04,1.01,204800.0,-0.0097,TSCO
2000-02-24,1.02,1.0,1.05,1.0,476800.0,0.0,TSCO
2000-02-25,1.05,1.04,1.05,1.02,374400.0,0.0294,TSCO
2000-02-28,1.09,1.09,1.11,1.03,121600.0,0.0381,TSCO
2000-02-29,1.12,1.09,1.12,1.09,244800.0,0.0275,TSCO
2000-03-01,1.18,1.12,1.22,1.11,329600.0,0.0536,TSCO
2000-03-02,1.12,1.15,1.18,1.12,48000.0,-0.0508,TSCO
2000-03-03,1.11,1.18,1.19,1.11,307200.0,-0.0089,TSCO
2000-03-06,1.14,1.12,1.16,1.11,52800.0,0.027000000000000003,TSCO
2000-03-07,1.1,1.12,1.14,1.1,124800.0,-0.0351,TSCO
