Date,Close,Open,High,Low,Volume,Change,Symbol
2010-06-30,4.77,5.16,6.08,4.66,85970000.0,-0.0021,TSLA
2010-07-01,4.39,5.0,5.18,4.05,41150000.0,-0.0797,TSLA
2010-07-02,3.84,4.6,4.62,3.74,25710000.0,-0.1253,TSLA
2010-07-06,3.22,4.0,4.0,3.17,34400000.0,-0.16149999999999998,TSLA
2010-07-07,3.16,3.28,3.33,3.0,34620000.0,-0.018600000000000002,TSLA
2010-07-08,3.49,3.23,3.5,3.11,38600000.0,0.10439999999999999,TSLA
2010-07-09,3.48,3.52,3.58,3.31,20290000.0,-0.0029,TSLA
2010-07-12,3.41,3.59,3.61,3.4,11020000.0,-0.020099999999999996,TSLA
2010-07-13,3.63,3.48,3.73,3.38,13400000.0,0.0645,TSLA
2010-07-14,3.97,3.59,4.03,3.55,20980000.0,0.09369999999999999,TSLA
2010-07-15,3.98,3.99,4.3,3.8,18730000.0,0.0025,TSLA
2010-07-16,4.13,4.14,4.26,4.01,13110000.0,0.0377,TSLA
2010-07-19,4.38,4.27,4.45,4.18,12430000.0,0.0605,TSLA
2010-07-20,4.06,4.37,4.37,4.01,9130000.0,-0.0731,TSLA
2010-07-21,4.04,4.13,4.18,3.9,6270000.0,-0.0049,TSLA
2010-07-22,4.2,4.1,4.25,4.07,4810000.0,0.039599999999999996,TSLA
2010-07-23,4.26,4.24,4.31,4.21,3270000.0,0.0143,TSLA
2010-07-26,4.19,4.3,4.3,4.06,4610000.0,-0.016399999999999998,TSLA
2010-07-27,4.11,4.18,4.24,4.05,3100000.0,-0.0191,TSLA
2010-07-28,4.14,4.11,4.18,4.1,2340000.0,0.0073,TSLA
2010-07-29,4.07,4.15,4.18,4.0,3080000.0,-0.0169,TSLA
2010-07-30,3.99,4.04,4.09,3.91,2130000.0,-0.0197,TSLA
2010-08-02,4.18,4.1,4.19,4.07,3600000.0,0.047599999999999996,TSLA
2010-08-03,4.39,4.2,4.39,4.16,6160000.0,0.050199999999999995,TSLA
2010-08-04,4.25,4.39,4.44,4.17,4600000.0,-0.0319,TSLA
2010-08-05,4.09,4.31,4.31,4.01,3980000.0,-0.037599999999999995,TSLA
2010-08-06,3.92,4.02,4.03,3.9,3710000.0,-0.0416,TSLA
2010-08-09,3.92,3.98,4.0,3.89,4059999.9999999995,0.0,TSLA
2010-08-10,3.81,3.93,3.93,3.76,6410000.0,-0.0281,TSLA
2010-08-11,3.58,3.74,3.78,3.57,3990000.0,-0.0604,TSLA
2010-08-12,3.52,3.56,3.58,3.48,3460000.0,-0.0168,TSLA
2010-08-13,3.66,3.64,3.69,3.53,3170000.0,0.0398,TSLA
2010-08-16,3.76,3.69,3.76,3.65,2430000.0,0.0273,TSLA
2010-08-17,3.83,3.79,3.88,3.76,2240000.0,0.018600000000000002,TSLA
2010-08-18,3.75,3.92,3.92,3.72,3010000.0,-0.0209,TSLA
2010-08-19,3.76,3.71,3.85,3.67,2900000.0,0.0027,TSLA
2010-08-20,3.82,3.73,3.82,3.7,1490000.0,0.016,TSLA
2010-08-23,4.03,3.82,4.08,3.8,5440000.0,0.055,TSLA
2010-08-24,3.84,3.85,3.94,3.79,3370000.0,-0.0471,TSLA
2010-08-25,3.98,3.83,4.0,3.71,2520000.0,0.0365,TSLA
2010-08-26,3.95,3.98,4.05,3.92,2170000.0,-0.0075,TSLA
2010-08-27,3.94,3.95,3.97,3.9,1900000.0,-0.0025,TSLA
2010-08-30,3.97,3.94,4.04,3.92,3660000.0,0.0076,TSLA
2010-08-31,3.9,3.93,3.96,3.87,1010000.0,-0.0176,TSLA
2010-09-01,4.09,3.92,4.14,3.92,2480000.0,0.0487,TSLA
2010-09-02,4.21,4.07,4.25,4.06,2440000.0,0.029300000000000003,TSLA
2010-09-03,4.21,4.17,4.26,4.13,2170000.0,0.0,TSLA
2010-09-07,4.11,4.12,4.2,4.1,1220000.0,-0.023799999999999998,TSLA
2010-09-08,4.18,4.13,4.19,4.12,1440000.0,0.017,TSLA
2010-09-09,4.14,4.2,4.21,4.14,1880000.0,-0.0096,TSLA
2010-09-10,4.03,4.15,4.19,3.95,1930000.0,-0.026600000000000002,TSLA
2010-09-13,4.14,4.18,4.18,4.1,1800000.0,0.0273,TSLA
2010-09-14,4.22,4.11,4.32,4.11,3270000.0,0.019299999999999998,TSLA
2010-09-15,4.4,4.2,4.4,4.16,3420000.0,0.042699999999999995,TSLA
2010-09-16,4.19,4.43,4.63,4.17,13430000.0,-0.04769999999999999,TSLA
2010-09-17,4.05,4.2,4.26,3.96,5990000.0,-0.0334,TSLA
2010-09-20,4.21,4.13,4.27,4.03,4740000.0,0.0395,TSLA
2010-09-21,4.15,4.18,4.31,4.13,3980000.0,-0.0143,TSLA
2010-09-22,3.97,4.17,4.19,3.96,4810000.0,-0.0434,TSLA
2010-09-23,3.91,3.98,4.03,3.9,3340000.0,-0.0151,TSLA
2010-09-24,4.02,3.99,4.04,3.93,2890000.0,0.0281,TSLA
2010-09-27,4.11,4.08,4.16,4.01,2089999.9999999998,0.022400000000000003,TSLA
2010-09-28,4.28,4.21,4.3,4.15,6070000.0,0.0414,TSLA
2010-09-29,4.4,4.24,4.41,4.23,9850000.0,0.027999999999999997,TSLA
2010-09-30,4.08,4.4,4.43,4.04,10980000.0,-0.0727,TSLA
2010-10-01,4.12,4.14,4.15,4.06,3000000.0,0.0098,TSLA
2010-10-04,4.2,4.09,4.23,4.06,3220000.0,0.0194,TSLA
2010-10-05,4.22,4.23,4.26,4.2,1660000.0,0.0048,TSLA
2010-10-06,4.09,4.21,4.25,4.06,1570000.0,-0.0308,TSLA
2010-10-07,4.09,4.11,4.13,4.07,705100.0,0.0,TSLA
2010-10-08,4.09,4.09,4.16,4.08,1340000.0,0.0,TSLA
2010-10-11,4.05,4.09,4.14,4.01,855970.0,-0.0098,TSLA
2010-10-12,4.05,4.04,4.06,4.01,1220000.0,0.0,TSLA
2010-10-13,4.11,4.13,4.17,4.07,1600000.0,0.0148,TSLA
2010-10-14,4.15,4.2,4.21,4.08,1470000.0,0.0097,TSLA
2010-10-15,4.11,4.18,4.18,4.05,1420000.0,-0.0096,TSLA
2010-10-18,4.05,4.1,4.13,4.04,813650.0,-0.0146,TSLA
2010-10-19,4.01,4.04,4.08,4.0,1230000.0,-0.009899999999999999,TSLA
2010-10-20,4.13,4.03,4.14,4.01,1560000.0,0.029900000000000003,TSLA
2010-10-21,4.15,4.12,4.19,4.09,2089999.9999999998,0.0048,TSLA
2010-10-22,4.14,4.14,4.19,4.11,805110.0,-0.0024,TSLA
2010-10-25,4.17,4.19,4.2,4.15,593070.0,0.0072,TSLA
2010-10-26,4.27,4.16,4.37,4.1,3300000.0,0.024,TSLA
2010-10-27,4.2,4.25,4.28,4.13,1780000.0,-0.016399999999999998,TSLA
2010-10-28,4.24,4.28,4.3,4.19,1120000.0,0.0095,TSLA
2010-10-29,4.37,4.23,4.37,4.21,1400000.0,0.030699999999999998,TSLA
2010-11-01,4.28,4.39,4.55,4.26,2280000.0,-0.0206,TSLA
2010-11-02,4.25,4.34,4.38,4.21,1610000.0,-0.006999999999999999,TSLA
2010-11-03,4.35,4.26,4.5,4.23,1870000.0,0.0235,TSLA
2010-11-04,4.98,4.52,5.07,4.43,9370000.0,0.1448,TSLA
2010-11-05,4.89,4.97,4.99,4.74,5050000.0,-0.0181,TSLA
2010-11-08,5.0,4.9,5.0,4.81,2550000.0,0.0225,TSLA
2010-11-09,4.93,5.0,5.14,4.81,4790000.0,-0.013999999999999999,TSLA
2010-11-10,5.87,4.9,5.99,4.81,15310000.0,0.1907,TSLA
2010-11-11,5.61,5.72,5.82,5.47,9730000.0,-0.0443,TSLA
2010-11-12,5.97,5.65,6.1,5.61,13650000.0,0.0642,TSLA
2010-11-15,6.16,6.04,6.59,6.04,13130000.0,0.0318,TSLA
2010-11-16,5.93,6.2,6.28,5.68,6740000.0,-0.0373,TSLA
2010-11-17,5.9,6.04,6.15,5.72,3750000.0,-0.0051,TSLA
2010-11-18,5.98,6.13,6.15,5.78,4780000.0,0.013600000000000001,TSLA
2010-11-19,6.2,6.03,6.27,5.94,5750000.0,0.0368,TSLA
2010-11-22,6.68,6.31,6.69,6.3,7650000.0,0.0774,TSLA
