Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,9.12,8.92,10.0,8.67,1180000.0,0.057999999999999996,TTWO
2000-01-04,8.87,9.08,9.33,8.67,345300.0,-0.0274,TTWO
2000-01-05,8.83,8.75,8.87,8.33,628800.0,-0.0045000000000000005,TTWO
2000-01-06,8.75,8.79,9.0,8.5,374100.0,-0.0091,TTWO
2000-01-07,9.0,8.67,9.04,8.37,482850.0,0.0286,TTWO
2000-01-10,9.17,9.21,9.42,9.0,315000.0,0.0189,TTWO
2000-01-11,8.96,9.25,9.42,8.92,393300.0,-0.0229,TTWO
2000-01-12,8.67,9.08,9.29,8.58,260700.0,-0.032400000000000005,TTWO
2000-01-13,9.29,8.83,9.67,8.83,942300.0,0.07150000000000001,TTWO
2000-01-14,9.54,9.75,9.83,9.33,526950.0,0.0269,TTWO
2000-01-18,9.33,9.56,9.67,9.33,385200.0,-0.022000000000000002,TTWO
2000-01-19,8.87,9.46,9.58,8.83,409350.0,-0.0493,TTWO
2000-01-20,8.87,8.87,9.29,8.83,441300.0,0.0,TTWO
2000-01-21,7.92,8.98,9.17,7.92,1100000.0,-0.10710000000000001,TTWO
2000-01-24,7.5,8.33,8.5,7.25,1420000.0,-0.053,TTWO
2000-01-25,7.58,7.71,7.87,7.25,901800.0,0.010700000000000001,TTWO
2000-01-26,8.0,7.71,8.36,7.58,969600.0,0.0554,TTWO
2000-01-27,8.01,8.33,8.71,7.87,1020000.0,0.0013,TTWO
2000-01-28,7.87,8.67,8.83,7.75,798600.0,-0.0175,TTWO
2000-01-31,8.29,8.06,8.33,7.5,585750.0,0.053399999999999996,TTWO
2000-02-01,8.0,8.17,8.62,7.67,466950.0,-0.035,TTWO
2000-02-02,8.0,8.25,8.33,7.83,388200.0,0.0,TTWO
2000-02-03,7.87,8.17,8.17,7.65,550050.0,-0.0163,TTWO
2000-02-04,8.08,8.0,8.17,7.75,652650.0,0.026699999999999998,TTWO
2000-02-07,8.0,8.21,8.33,8.0,322650.0,-0.009899999999999999,TTWO
2000-02-08,8.75,8.04,8.83,8.04,1110000.0,0.09380000000000001,TTWO
2000-02-09,9.29,8.83,9.33,8.79,1260000.0,0.0617,TTWO
2000-02-10,9.42,9.54,9.83,9.33,1100000.0,0.013999999999999999,TTWO
2000-02-11,9.17,9.58,9.58,9.08,382050.0,-0.0265,TTWO
2000-02-14,8.96,9.27,9.33,8.67,238050.0,-0.0229,TTWO
2000-02-15,8.79,8.87,8.87,8.5,248250.0,-0.019,TTWO
2000-02-16,9.25,8.79,9.25,8.58,291900.0,0.052300000000000006,TTWO
2000-02-17,8.71,9.17,9.33,8.46,555150.0,-0.0584,TTWO
2000-02-18,8.75,8.92,9.21,8.58,327750.0,0.0046,TTWO
2000-02-22,8.87,8.67,8.92,8.42,357450.0,0.0137,TTWO
2000-02-23,9.42,9.0,9.54,8.75,802500.0,0.062,TTWO
2000-02-24,8.67,9.5,9.58,8.5,683550.0,-0.0796,TTWO
2000-02-25,8.58,9.0,9.0,8.5,427350.0,-0.0104,TTWO
2000-02-28,8.25,8.62,8.71,7.83,565500.0,-0.0385,TTWO
2000-02-29,8.29,8.17,8.48,7.92,491850.0,0.0048,TTWO
2000-03-01,9.33,8.42,9.54,8.25,1510000.0,0.1255,TTWO
2000-03-02,9.92,9.46,10.21,9.46,2130000.0,0.0632,TTWO
2000-03-03,10.5,10.08,10.67,10.08,2140000.0,0.058499999999999996,TTWO
2000-03-06,10.46,10.71,11.0,10.42,1210000.0,-0.0038,TTWO
2000-03-07,10.94,10.67,11.0,10.42,1600000.0,0.045899999999999996,TTWO
2000-03-08,11.96,11.25,12.0,11.25,3350000.0,0.0932,TTWO
2000-03-09,12.42,12.25,12.54,10.67,4190000.0000000005,0.0385,TTWO
2000-03-10,10.75,12.5,12.62,10.67,4930000.0,-0.13449999999999998,TTWO
2000-03-13,11.08,10.58,11.33,10.12,1130000.0,0.030699999999999998,TTWO
2000-03-14,10.04,11.0,11.33,9.37,875100.0,-0.09390000000000001,TTWO
2000-03-15,9.96,10.17,10.54,9.67,621000.0,-0.008,TTWO
2000-03-16,9.92,10.04,10.17,9.33,941700.0,-0.004,TTWO
2000-03-17,10.0,10.46,10.5,9.79,678150.0,0.008100000000000001,TTWO
2000-03-20,9.79,10.19,10.25,9.75,456900.0,-0.021,TTWO
2000-03-21,10.33,9.96,10.5,9.42,682200.0,0.0552,TTWO
2000-03-22,10.33,10.5,10.58,9.79,473100.0,0.0,TTWO
2000-03-23,9.75,10.33,10.37,9.67,921300.0,-0.056100000000000004,TTWO
2000-03-24,8.92,9.75,9.75,8.83,1120000.0,-0.0851,TTWO
2000-03-27,9.17,8.92,9.5,8.83,416550.0,0.027999999999999997,TTWO
2000-03-28,9.0,9.33,9.37,8.83,699900.0,-0.018500000000000003,TTWO
2000-03-29,8.96,8.96,9.17,8.79,533850.0,-0.0044,TTWO
2000-03-30,8.29,8.75,9.08,8.17,689100.0,-0.0748,TTWO
2000-03-31,8.83,8.37,9.04,8.33,825150.0,0.06509999999999999,TTWO
2000-04-03,8.62,8.75,8.96,8.33,361800.0,-0.023799999999999998,TTWO
2000-04-04,8.0,8.67,8.67,5.83,1370000.0,-0.0719,TTWO
2000-04-05,8.42,7.75,8.67,7.5,593100.0,0.0525,TTWO
2000-04-06,8.62,8.58,8.67,8.37,562800.0,0.023799999999999998,TTWO
2000-04-07,8.08,8.62,8.83,8.04,570450.0,-0.0626,TTWO
2000-04-10,7.08,8.25,8.25,6.87,653850.0,-0.12380000000000001,TTWO
2000-04-11,6.83,7.21,7.33,6.46,964050.0,-0.0353,TTWO
2000-04-12,6.33,7.33,7.33,6.33,829650.0,-0.0732,TTWO
2000-04-13,6.42,6.79,7.04,6.25,1060000.0,0.014199999999999999,TTWO
2000-04-14,5.5,6.42,6.5,5.33,1500000.0,-0.1433,TTWO
2000-04-17,5.83,5.48,6.21,5.42,1060000.0,0.06,TTWO
2000-04-18,6.58,6.17,6.58,6.0,852300.0,0.1286,TTWO
2000-04-19,6.67,6.62,7.17,6.42,787650.0,0.0137,TTWO
2000-04-20,6.67,6.71,7.0,6.5,303900.0,0.0,TTWO
2000-04-24,6.42,6.67,6.83,6.17,209100.0,-0.0375,TTWO
2000-04-25,6.0,6.4,6.5,5.87,313800.0,-0.0654,TTWO
2000-04-26,6.0,6.04,6.33,5.92,335700.0,0.0,TTWO
2000-04-27,6.04,5.96,6.12,5.79,233100.0,0.0067,TTWO
2000-04-28,6.42,6.17,6.46,6.12,225600.0,0.0629,TTWO
2000-05-01,6.96,6.42,7.04,6.37,491250.0,0.08410000000000001,TTWO
2000-05-02,7.29,6.79,7.42,6.79,673200.0,0.047400000000000005,TTWO
2000-05-03,7.04,6.96,7.04,6.75,408300.0,-0.034300000000000004,TTWO
2000-05-04,7.08,7.15,7.17,6.79,378300.0,0.005699999999999999,TTWO
2000-05-05,7.37,6.96,7.5,6.92,493950.0,0.040999999999999995,TTWO
2000-05-08,7.33,7.42,7.46,7.33,190500.0,-0.0054,TTWO
2000-05-09,7.42,7.42,7.42,7.12,212850.0,0.0123,TTWO
2000-05-10,7.12,7.33,7.46,6.87,356400.0,-0.0404,TTWO
2000-05-11,7.58,7.17,7.67,7.04,277500.0,0.0646,TTWO
2000-05-12,7.54,7.62,7.67,7.33,229350.0,-0.0053,TTWO
2000-05-15,7.83,7.54,7.92,7.42,189150.0,0.0385,TTWO
2000-05-16,8.0,7.79,8.29,7.79,656100.0,0.0217,TTWO
2000-05-17,8.58,7.96,8.58,7.71,580200.0,0.0725,TTWO
2000-05-18,8.42,8.44,8.83,8.29,488700.0,-0.018600000000000002,TTWO
2000-05-19,8.33,7.92,8.41,7.58,426150.0,-0.010700000000000001,TTWO
2000-05-22,8.21,8.25,8.33,7.67,367500.0,-0.0144,TTWO
2000-05-23,7.83,8.25,8.33,7.75,282300.0,-0.0463,TTWO
2000-05-24,7.58,7.67,7.69,7.29,446850.0,-0.0319,TTWO
