Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,5.88,6.0,6.12,5.81,138300.0,0.0691,TYL
2000-01-04,6.0,6.0,6.19,5.94,135100.0,0.0204,TYL
2000-01-05,6.19,6.12,6.25,6.06,187200.0,0.0317,TYL
2000-01-06,6.19,6.25,6.25,6.0,107200.0,0.0,TYL
2000-01-07,5.94,6.19,6.25,5.75,78900.0,-0.0404,TYL
2000-01-10,6.19,6.0,6.19,5.94,103400.0,0.0421,TYL
2000-01-11,5.5,6.19,6.19,5.5,74300.0,-0.1115,TYL
2000-01-12,5.81,5.5,5.88,5.5,45200.0,0.0564,TYL
2000-01-13,5.69,5.94,6.0,5.62,45300.0,-0.0207,TYL
2000-01-14,5.81,5.75,5.94,5.69,47000.0,0.021099999999999997,TYL
2000-01-18,6.0,5.94,6.0,5.69,43500.0,0.0327,TYL
2000-01-19,5.94,6.0,6.0,5.75,58100.0,-0.01,TYL
2000-01-20,5.88,5.94,6.0,5.62,49000.0,-0.0101,TYL
2000-01-21,5.69,5.75,5.88,5.62,37800.0,-0.0323,TYL
2000-01-24,5.5,5.81,5.81,5.0,105000.0,-0.0334,TYL
2000-01-25,5.31,5.38,5.44,5.06,54200.0,-0.0345,TYL
2000-01-26,5.25,5.44,5.44,5.06,22300.0,-0.0113,TYL
2000-01-27,4.81,5.19,5.25,4.81,84100.0,-0.08380000000000001,TYL
2000-01-28,4.69,4.75,4.94,4.5,47400.0,-0.024900000000000002,TYL
2000-01-31,4.38,4.56,4.56,4.31,27600.0,-0.0661,TYL
2000-02-01,4.19,4.31,4.38,4.12,56700.0,-0.0434,TYL
2000-02-02,4.25,4.19,4.44,4.06,38600.0,0.0143,TYL
2000-02-03,5.0,4.25,5.0,4.12,43900.0,0.1765,TYL
2000-02-04,4.94,5.0,5.0,4.75,44800.0,-0.012,TYL
2000-02-07,4.69,4.81,4.88,4.5,22500.0,-0.0506,TYL
2000-02-08,4.44,4.56,4.62,4.31,22700.0,-0.0533,TYL
2000-02-09,4.44,4.19,4.44,4.19,51100.0,0.0,TYL
2000-02-10,5.0,4.38,5.0,4.38,64700.0,0.1261,TYL
2000-02-11,4.75,5.0,5.12,4.62,19800.0,-0.05,TYL
2000-02-14,4.62,4.62,4.94,4.5,21300.0,-0.0274,TYL
2000-02-15,4.38,4.62,4.75,4.25,40900.0,-0.0519,TYL
2000-02-16,4.19,4.44,4.44,4.12,52900.0,-0.0434,TYL
2000-02-17,4.31,4.25,4.38,4.12,39400.0,0.0286,TYL
2000-02-18,4.19,4.38,4.38,4.12,27700.0,-0.0278,TYL
2000-02-22,4.06,4.12,4.19,4.0,53300.0,-0.031,TYL
2000-02-23,4.06,4.19,4.19,4.0,40400.0,0.0,TYL
2000-02-24,4.0,4.06,4.25,4.0,50800.0,-0.0148,TYL
2000-02-25,3.88,4.06,4.06,3.88,65600.0,-0.03,TYL
2000-02-28,4.94,4.06,5.0,3.94,116000.0,0.2732,TYL
2000-02-29,5.38,5.0,5.5,5.0,165200.0,0.0891,TYL
2000-03-01,5.0,5.25,5.31,4.5,111500.0,-0.0706,TYL
2000-03-02,4.69,4.81,4.94,4.25,76500.0,-0.062,TYL
2000-03-03,5.19,4.81,5.31,4.75,92300.0,0.1066,TYL
2000-03-06,6.0,5.5,6.06,5.25,323700.0,0.1561,TYL
2000-03-07,5.75,6.06,6.19,5.31,150300.0,-0.0417,TYL
2000-03-08,5.5,5.69,5.88,5.38,34800.0,-0.0435,TYL
2000-03-09,5.69,5.5,5.94,5.25,45500.0,0.0345,TYL
2000-03-10,5.75,5.69,5.94,5.56,57700.0,0.0105,TYL
2000-03-13,5.56,5.62,5.75,5.25,128800.00000000001,-0.033,TYL
2000-03-14,5.75,5.69,6.0,5.56,79400.0,0.0342,TYL
2000-03-15,5.62,5.75,5.75,5.25,41400.0,-0.0226,TYL
2000-03-16,5.81,5.62,5.81,5.38,28200.0,0.0338,TYL
2000-03-17,5.69,5.69,5.88,5.62,55500.0,-0.0207,TYL
2000-03-20,5.38,5.75,5.75,5.38,72700.0,-0.0545,TYL
2000-03-21,5.69,5.38,5.69,5.12,56100.0,0.0576,TYL
2000-03-22,5.69,5.56,5.69,5.56,40000.0,0.0,TYL
2000-03-23,5.38,5.56,5.69,5.31,57200.0,-0.0545,TYL
2000-03-24,5.75,5.31,5.75,5.25,81100.0,0.0688,TYL
2000-03-27,5.75,5.88,5.94,5.69,73000.0,0.0,TYL
2000-03-28,5.88,5.88,6.19,5.81,321500.0,0.0226,TYL
2000-03-29,5.88,6.0,6.0,5.56,43500.0,0.0,TYL
2000-03-30,5.75,5.88,5.94,5.5,39400.0,-0.022099999999999998,TYL
2000-03-31,5.88,5.75,5.94,5.12,87300.0,0.0226,TYL
2000-04-03,6.38,5.94,6.38,5.81,136600.0,0.085,TYL
2000-04-04,6.06,6.5,6.62,5.25,189600.0,-0.050199999999999995,TYL
2000-04-05,5.88,5.94,6.0,5.62,119100.0,-0.0297,TYL
2000-04-06,6.69,6.0,6.94,6.0,409900.0,0.1378,TYL
2000-04-07,8.0,6.81,8.94,6.69,463800.0,0.19579999999999997,TYL
2000-04-10,6.69,8.38,8.75,6.62,262300.0,-0.1637,TYL
2000-04-11,7.06,6.69,7.38,6.12,128000.0,0.0553,TYL
2000-04-12,6.62,7.12,7.12,6.56,35200.0,-0.0623,TYL
2000-04-13,6.0,6.69,6.81,6.0,114900.0,-0.09369999999999999,TYL
2000-04-14,5.5,5.94,6.19,5.25,126200.0,-0.0833,TYL
2000-04-17,5.81,5.44,6.19,5.44,139200.0,0.0564,TYL
2000-04-18,5.94,5.94,5.94,5.25,102500.0,0.022400000000000003,TYL
2000-04-19,5.88,5.69,5.94,5.56,18000.0,-0.0101,TYL
2000-04-20,5.56,5.88,5.88,5.5,25800.0,-0.054400000000000004,TYL
2000-04-24,5.31,5.44,5.5,5.25,59200.0,-0.045,TYL
2000-04-25,5.0,5.38,5.44,5.0,51000.0,-0.0584,TYL
2000-04-26,5.25,5.0,5.38,5.0,60400.0,0.05,TYL
2000-04-27,5.38,5.25,5.38,5.12,8500.0,0.0248,TYL
2000-04-28,5.38,5.38,5.62,5.38,28800.0,0.0,TYL
2000-05-01,5.75,5.31,5.75,5.06,47400.0,0.0688,TYL
2000-05-02,5.06,5.75,5.75,5.06,49600.0,-0.12,TYL
2000-05-03,5.12,5.12,5.25,5.0,52000.0,0.011899999999999999,TYL
2000-05-04,5.06,5.12,5.19,5.06,17000.0,-0.011699999999999999,TYL
2000-05-05,5.06,4.94,5.19,4.94,30800.0,0.0,TYL
2000-05-08,4.88,5.0,5.0,4.75,37200.0,-0.0356,TYL
2000-05-09,4.38,4.75,4.81,4.38,62600.0,-0.1025,TYL
