Date,Close,Open,High,Low,Volume,Change,Symbol
2005-11-18,3.27,3.94,4.0,3.15,71850000.0,-0.8426,UAA
2005-11-21,3.38,3.36,3.48,3.29,16840000.0,0.0336,UAA
2005-11-22,3.03,3.29,3.34,2.94,12880000.0,-0.1036,UAA
2005-11-23,3.07,3.09,3.11,3.04,4130000.0,0.0132,UAA
2005-11-25,3.06,3.08,3.1,3.03,1170000.0,-0.0033,UAA
2005-11-28,3.06,3.06,3.13,3.05,3240000.0,0.0,UAA
2005-11-29,2.76,3.04,3.05,2.72,8119999.999999999,-0.098,UAA
2005-11-30,2.91,2.75,2.93,2.75,3220000.0,0.054299999999999994,UAA
2005-12-01,2.99,2.95,3.06,2.92,2920000.0,0.0275,UAA
2005-12-02,3.18,3.06,3.23,3.0,4720000.0,0.0635,UAA
2005-12-05,3.31,3.24,3.34,3.17,2830000.0,0.0409,UAA
2005-12-06,3.19,3.37,3.38,3.17,2310000.0,-0.0363,UAA
2005-12-07,3.31,3.22,3.31,3.22,1760000.0,0.037599999999999995,UAA
2005-12-08,3.29,3.29,3.34,3.27,996060.0,-0.006,UAA
2005-12-09,3.23,3.31,3.34,3.2,799680.0,-0.0182,UAA
2005-12-12,3.29,3.23,3.3,3.2,1310000.0,0.018600000000000002,UAA
2005-12-13,3.3,3.33,3.34,3.26,1070000.0,0.003,UAA
2005-12-14,3.49,3.36,3.52,3.34,4120000.0,0.0576,UAA
2005-12-15,3.54,3.49,3.57,3.46,2120000.0,0.0143,UAA
2005-12-16,3.57,3.54,3.57,3.42,4019999.9999999995,0.0085,UAA
2005-12-19,3.42,3.56,3.56,3.25,3580000.0,-0.042,UAA
2005-12-20,3.63,3.56,3.65,3.47,5790000.0,0.061399999999999996,UAA
2005-12-21,3.69,3.63,3.72,3.6,4940000.0,0.0165,UAA
2005-12-22,3.71,3.69,3.72,3.61,2140000.0,0.0054,UAA
2005-12-23,4.03,3.71,4.1,3.69,7560000.0,0.0863,UAA
2005-12-27,4.3,4.12,4.51,4.07,16600000.000000002,0.067,UAA
2005-12-28,4.69,4.39,4.74,4.35,14670000.0,0.0907,UAA
2005-12-29,5.15,5.03,5.17,4.94,18090000.0,0.0981,UAA
2005-12-30,4.95,5.12,5.13,4.81,14680000.0,-0.0388,UAA
2006-01-03,4.31,4.8,4.83,4.28,16329999.999999998,-0.1293,UAA
2006-01-04,4.08,4.23,4.29,4.04,15060000.0,-0.053399999999999996,UAA
2006-01-05,4.6,4.2,4.61,4.15,14300000.0,0.1275,UAA
2006-01-06,4.58,4.55,4.7,4.35,11110000.0,-0.0043,UAA
2006-01-09,4.63,4.64,4.65,4.49,4260000.0,0.0109,UAA
2006-01-10,4.84,4.67,4.97,4.59,11870000.0,0.0454,UAA
2006-01-11,4.87,4.94,4.98,4.71,5180000.0,0.0062,UAA
2006-01-12,4.97,4.8,5.09,4.8,6200000.0,0.020499999999999997,UAA
2006-01-13,5.04,5.01,5.21,4.97,4320000.0,0.0141,UAA
2006-01-17,4.93,5.06,5.09,4.78,3730000.0,-0.0218,UAA
2006-01-18,4.98,4.73,5.11,4.71,4030000.0000000005,0.0101,UAA
2006-01-19,5.01,4.95,5.13,4.93,2500000.0,0.006,UAA
2006-01-20,4.94,5.03,5.07,4.84,2680000.0,-0.013999999999999999,UAA
