Date,Close,Open,High,Low,Volume,Change,Symbol
2006-01-26,43.15,43.5,43.75,43.05,369850.0,-0.008,UAL
2006-01-27,43.0,43.0,43.05,43.0,321000.0,-0.0034999999999999996,UAL
2006-01-30,43.0,43.25,43.25,42.98,48970.0,0.0,UAL
2006-01-31,41.98,42.25,43.0,41.0,50060.0,-0.023700000000000002,UAL
2006-02-01,40.0,43.0,43.0,39.0,95740.0,-0.0472,UAL
2006-02-02,35.89,40.83,41.0,35.5,4450000.0,-0.10279999999999999,UAL
2006-02-03,34.6,35.5,35.5,32.75,3100000.0,-0.0359,UAL
2006-02-06,33.9,34.82,34.94,33.7,1940000.0,-0.0202,UAL
2006-02-07,32.99,33.9,33.9,31.73,3220000.0,-0.0268,UAL
2006-02-08,32.0,31.46,32.4,30.88,8960000.0,-0.03,UAL
2006-02-09,34.5,29.8,34.98,29.51,8020000.0,0.0781,UAL
2006-02-10,34.24,33.92,35.57,33.6,2230000.0,-0.0075,UAL
2006-02-13,35.04,36.01,36.22,34.43,4800000.0,0.023399999999999997,UAL
2006-02-14,35.78,34.04,36.25,34.02,3630000.0,0.021099999999999997,UAL
2006-02-15,36.53,35.2,36.62,35.2,3260000.0,0.021,UAL
2006-02-16,35.7,36.04,36.29,35.45,2040000.0,-0.0227,UAL
2006-02-17,36.93,36.11,37.0,35.07,2260000.0,0.0345,UAL
2006-02-21,35.43,35.88,36.23,35.25,2120000.0,-0.0406,UAL
2006-02-22,36.08,35.71,36.7,35.34,1660000.0,0.0183,UAL
2006-02-23,36.14,35.5,36.98,35.4,1640000.0,0.0017000000000000001,UAL
2006-02-24,35.8,35.52,35.99,35.45,1360000.0,-0.009399999999999999,UAL
2006-02-27,35.5,35.7,35.85,35.2,2380000.0,-0.0084,UAL
2006-02-28,35.47,35.69,36.32,35.28,1090000.0,-0.0008,UAL
2006-03-01,36.1,35.26,36.4,35.06,1400000.0,0.0178,UAL
2006-03-02,36.07,35.65,36.34,35.61,1370000.0,-0.0008,UAL
2006-03-03,36.62,36.0,36.95,36.0,1700000.0,0.0152,UAL
2006-03-06,36.92,36.43,37.2,36.43,753590.0,0.008199999999999999,UAL
2006-03-07,37.22,36.76,38.0,36.75,833190.0,0.008100000000000001,UAL
2006-03-08,37.41,37.03,37.52,37.0,878830.0,0.0051,UAL
2006-03-09,37.32,37.41,37.41,37.09,776120.0,-0.0024,UAL
2006-03-10,38.14,37.15,38.15,36.92,1520000.0,0.022000000000000002,UAL
2006-03-13,38.22,37.95,38.89,37.8,3230000.0,0.0021,UAL
2006-03-14,38.99,38.11,39.1,38.11,2660000.0,0.020099999999999996,UAL
2006-03-15,39.57,39.08,39.8,38.87,1570000.0,0.0149,UAL
2006-03-16,39.27,39.31,39.57,39.17,568060.0,-0.0076,UAL
2006-03-17,39.2,39.03,39.2,38.77,1350000.0,-0.0018,UAL
2006-03-20,40.15,38.76,40.24,38.76,1850000.0,0.0242,UAL
2006-03-21,40.94,40.78,42.24,40.54,3000000.0,0.0197,UAL
2006-03-22,42.64,40.65,43.0,40.62,1680000.0,0.0415,UAL
2006-03-23,41.7,42.35,42.73,41.51,1490000.0,-0.022000000000000002,UAL
2006-03-24,41.71,41.7,42.46,41.4,612620.0,0.0002,UAL
2006-03-27,42.31,41.33,42.44,41.3,878330.0,0.0144,UAL
2006-03-28,40.8,41.98,42.22,40.53,1140000.0,-0.035699999999999996,UAL
2006-03-29,40.52,40.46,41.0,39.55,792250.0,-0.0069,UAL
2006-03-30,39.01,40.5,40.77,38.5,1270000.0,-0.0373,UAL
2006-03-31,39.93,38.85,40.5,38.62,1010000.0,0.0236,UAL
2006-04-03,39.13,39.5,39.9,39.0,691790.0,-0.02,UAL
2006-04-04,39.08,38.87,39.83,38.12,947700.0,-0.0013,UAL
2006-04-05,39.34,39.3,39.4,38.92,677580.0,0.0067,UAL
2006-04-06,38.92,39.02,39.4,38.69,556110.0,-0.010700000000000001,UAL
2006-04-07,38.82,38.65,39.32,38.48,634400.0,-0.0026,UAL
2006-04-10,37.76,38.47,38.75,37.21,1560000.0,-0.0273,UAL
2006-04-11,38.3,37.02,38.7,37.02,2500000.0,0.0143,UAL
2006-04-12,38.88,38.07,39.28,38.07,2920000.0,0.0151,UAL
2006-04-13,39.43,38.5,40.05,38.3,2069999.9999999998,0.0141,UAL
2006-04-17,38.61,39.33,39.34,38.06,1740000.0,-0.0208,UAL
2006-04-18,37.87,38.31,39.1,37.5,1520000.0,-0.0192,UAL
2006-04-19,38.04,37.99,38.68,37.3,2850000.0,0.0045000000000000005,UAL
2006-04-20,36.79,37.83,38.34,36.4,1940000.0,-0.0329,UAL
2006-04-21,34.44,36.54,36.93,34.01,1690000.0,-0.0639,UAL
2006-04-24,36.07,33.9,36.4,33.61,1850000.0,0.0473,UAL
2006-04-25,35.9,35.58,36.15,34.56,1970000.0,-0.004699999999999999,UAL
2006-04-26,35.76,35.97,36.22,35.21,1200000.0,-0.0039000000000000003,UAL
2006-04-27,36.83,35.36,36.88,35.36,954430.0,0.029900000000000003,UAL
2006-04-28,36.01,36.73,36.85,35.8,1460000.0,-0.0223,UAL
2006-05-01,35.28,35.86,36.6,34.8,1680000.0,-0.0203,UAL
2006-05-02,36.01,35.19,36.34,35.16,1910000.0,0.0207,UAL
2006-05-03,37.62,35.76,38.09,35.28,1550000.0,0.0447,UAL
2006-05-04,38.63,37.56,39.51,37.54,1560000.0,0.0268,UAL
2006-05-05,38.97,38.28,39.7,38.02,922220.0,0.0088,UAL
2006-05-08,35.5,38.76,38.97,35.34,3520000.0,-0.08900000000000001,UAL
2006-05-09,35.2,35.02,35.5,33.3,2840000.0,-0.0085,UAL
2006-05-10,34.61,35.0,35.27,34.11,1160000.0,-0.0168,UAL
2006-05-11,33.68,34.5,34.55,33.62,1260000.0,-0.0269,UAL
2006-05-12,33.5,33.67,34.05,33.23,954920.0,-0.0053,UAL
2006-05-15,33.83,33.5,34.07,33.22,2150000.0,0.009899999999999999,UAL
2006-05-16,32.69,33.62,33.98,32.15,1520000.0,-0.0337,UAL
2006-05-17,32.81,32.14,33.3,31.45,1020000.0,0.0037,UAL
2006-05-18,32.44,32.82,33.38,32.0,930910.0,-0.0113,UAL
2006-05-19,32.92,32.0,33.7,31.99,1770000.0,0.0148,UAL
2006-05-22,32.15,32.53,32.95,31.5,1210000.0,-0.023399999999999997,UAL
2006-05-23,31.57,32.31,32.65,31.53,1060000.0,-0.018000000000000002,UAL
2006-05-24,30.39,31.48,31.63,29.74,2330000.0,-0.0374,UAL
2006-05-25,30.6,29.92,31.29,29.92,1070000.0,0.0069,UAL
2006-05-26,31.05,30.74,31.22,30.74,1120000.0,0.0147,UAL
2006-05-30,28.99,30.82,31.09,28.75,1600000.0,-0.0663,UAL
2006-05-31,29.43,28.94,29.54,28.31,2520000.0,0.0152,UAL
2006-06-01,29.85,29.35,30.3,29.33,1360000.0,0.0143,UAL
2006-06-02,28.92,29.67,29.79,28.5,1230000.0,-0.031200000000000002,UAL
2006-06-05,27.47,28.31,28.52,27.14,1020000.0,-0.0501,UAL
2006-06-06,27.68,27.47,27.8,26.02,2470000.0,0.0076,UAL
2006-06-07,28.05,27.21,28.3,27.11,1430000.0,0.0134,UAL
2006-06-08,27.6,28.4,28.4,27.23,1210000.0,-0.016,UAL
2006-06-09,27.59,27.8,28.0,27.4,1230000.0,-0.0004,UAL
2006-06-12,26.77,27.65,27.75,26.3,1390000.0,-0.0297,UAL
2006-06-13,27.03,26.63,27.36,26.11,1430000.0,0.0097,UAL
2006-06-14,27.81,27.0,28.25,26.91,1520000.0,0.028900000000000002,UAL
2006-06-15,30.42,27.8,30.5,27.78,2330000.0,0.09390000000000001,UAL
2006-06-16,31.48,31.18,32.43,31.0,2190000.0,0.0348,UAL
2006-06-19,31.6,31.46,31.98,31.22,1470000.0,0.0038,UAL
2006-06-20,31.8,31.52,32.22,31.47,983720.0,0.0063,UAL
2006-06-21,32.25,31.8,32.72,31.41,976470.0,0.014199999999999999,UAL
2006-06-22,32.5,31.96,33.05,31.41,936160.0,0.0078000000000000005,UAL
2006-06-23,32.54,32.35,32.55,32.04,757830.0,0.0012,UAL
2006-06-26,31.88,32.34,32.74,31.3,925570.0,-0.0203,UAL
2006-06-27,30.12,31.67,31.68,29.79,1620000.0,-0.0552,UAL
2006-06-28,29.8,29.9,30.4,29.25,1150000.0,-0.0106,UAL
2006-06-29,30.03,30.1,30.35,29.6,3310000.0,0.0077,UAL
2006-06-30,31.02,30.07,31.28,30.07,6880000.0,0.033,UAL
2006-07-03,30.97,30.8,31.48,30.51,361550.0,-0.0016,UAL
2006-07-05,31.05,30.78,31.05,29.83,1680000.0,0.0026,UAL
2006-07-06,31.4,30.77,32.17,30.76,1330000.0,0.0113,UAL
2006-07-07,31.15,31.24,31.75,30.43,1090000.0,-0.008,UAL
2006-07-10,31.48,31.11,31.7,31.07,1000000.0,0.0106,UAL
2006-07-11,30.82,31.24,31.46,30.2,1530000.0,-0.021,UAL
2006-07-12,30.77,30.53,31.35,30.53,925470.0,-0.0016,UAL
2006-07-13,28.62,30.45,30.45,28.28,1920000.0,-0.0699,UAL
2006-07-14,26.76,28.26,28.55,26.25,2190000.0,-0.065,UAL
2006-07-17,26.68,26.46,27.5,26.27,1660000.0,-0.003,UAL
2006-07-18,26.8,26.75,27.29,25.88,1440000.0,0.0045000000000000005,UAL
2006-07-19,28.56,27.1,29.05,26.95,3410000.0,0.06570000000000001,UAL
