Date,Close,Open,High,Low,Volume,Change,Symbol
2017-03-28,282.86,279.79,283.65,279.71,379740.0,0.0097,ULTA
2017-03-29,283.43,283.17,283.99,281.57,411380.0,0.002,ULTA
2017-03-30,285.51,283.06,285.54,281.72,500210.0,0.0073,ULTA
2017-03-31,285.23,285.24,285.96,283.76,433910.0,-0.001,ULTA
2017-04-03,282.03,285.51,285.98,281.92,644350.0,-0.011200000000000002,ULTA
2017-04-04,281.57,282.0,284.04,280.85,397910.0,-0.0016,ULTA
2017-04-05,281.65,281.69,284.41,280.49,406050.0,0.0003,ULTA
2017-04-06,284.96,282.65,285.02,282.21,504860.0,0.0118,ULTA
2017-04-07,284.5,285.21,286.99,283.75,343320.0,-0.0016,ULTA
2017-04-10,286.59,287.46,287.46,285.3,370010.0,0.0073,ULTA
2017-04-11,286.65,286.74,287.08,283.31,356930.0,0.0002,ULTA
2017-04-12,283.78,285.71,286.18,283.03,336710.0,-0.01,ULTA
2017-04-13,282.68,284.21,285.83,282.68,330320.0,-0.0039000000000000003,ULTA
2017-04-17,283.17,283.49,284.73,282.21,325870.0,0.0017000000000000001,ULTA
2017-04-18,282.86,282.75,284.18,282.0,291890.0,-0.0011,ULTA
2017-04-19,279.46,282.0,282.43,276.02,1040000.0,-0.012,ULTA
2017-04-20,278.73,279.87,281.39,277.97,560270.0,-0.0026,ULTA
2017-04-21,279.5,278.78,281.03,277.55,507280.0,0.0028000000000000004,ULTA
2017-04-24,278.21,282.48,283.0,276.4,707190.0,-0.0046,ULTA
2017-04-25,277.99,279.47,281.19,276.64,512890.0,-0.0008,ULTA
2017-04-26,279.69,278.11,280.98,277.03,488850.0,0.0060999999999999995,ULTA
2017-04-27,281.68,279.71,283.67,277.94,679210.0,0.0070999999999999995,ULTA
2017-04-28,281.44,282.44,282.8,279.54,348810.0,-0.0009,ULTA
2017-05-01,283.22,281.78,283.84,281.2,493890.0,0.0063,ULTA
2017-05-02,288.59,283.28,288.72,283.28,516270.0,0.019,ULTA
2017-05-03,290.36,288.83,291.5,288.22,457760.0,0.0060999999999999995,ULTA
2017-05-04,292.21,290.01,292.38,289.48,327540.0,0.0064,ULTA
2017-05-05,295.47,292.92,296.17,291.65,477240.0,0.011200000000000002,ULTA
2017-05-08,297.54,296.0,298.13,294.04,532900.0,0.006999999999999999,ULTA
2017-05-09,299.57,298.06,301.4,297.62,592330.0,0.0068000000000000005,ULTA
2017-05-10,299.47,299.42,299.92,297.55,434320.0,-0.0003,ULTA
2017-05-11,299.91,298.54,300.42,296.02,505040.0,0.0015,ULTA
2017-05-12,297.55,299.65,299.65,296.19,469270.0,-0.0079,ULTA
2017-05-15,295.41,298.41,299.88,295.18,578390.0,-0.0072,ULTA
2017-05-16,293.33,295.49,295.99,293.2,696850.0,-0.006999999999999999,ULTA
2017-05-17,292.09,292.11,293.2,289.68,754480.0,-0.0042,ULTA
2017-05-18,297.82,293.11,299.7,292.27,887900.0,0.0196,ULTA
2017-05-19,294.08,298.01,299.66,292.91,709180.0,-0.0126,ULTA
2017-05-22,294.94,295.32,298.84,294.08,612390.0,0.0029,ULTA
2017-05-23,290.55,296.39,296.4,290.0,925980.0,-0.0149,ULTA
2017-05-24,280.51,290.5,290.98,277.68,2029999.9999999998,-0.0346,ULTA
2017-05-25,293.04,282.26,293.84,282.26,2140000.0,0.0447,ULTA
2017-05-26,302.4,305.5,310.0,301.36,2860000.0,0.0319,ULTA
2017-05-30,303.0,302.02,306.87,302.0,807140.0,0.002,ULTA
2017-05-31,304.84,304.11,304.97,301.3,595900.0,0.0060999999999999995,ULTA
2017-06-01,306.72,304.45,307.19,304.26,552780.0,0.0062,ULTA
2017-06-02,311.47,309.99,311.78,307.7,680300.0,0.0155,ULTA
2017-06-05,313.73,313.14,314.86,311.54,843120.0,0.0073,ULTA
2017-06-06,306.96,313.21,314.08,306.01,935610.0,-0.0216,ULTA
2017-06-07,307.94,307.93,309.63,306.88,482950.0,0.0032,ULTA
2017-06-08,307.27,309.0,310.0,305.52,537760.0,-0.0022,ULTA
2017-06-09,307.87,308.33,310.19,306.84,511850.0,0.002,ULTA
2017-06-12,301.02,305.88,307.49,300.48,826600.0,-0.0222,ULTA
2017-06-13,302.69,301.68,303.02,299.02,532160.0,0.0055000000000000005,ULTA
2017-06-14,302.21,302.44,303.51,299.45,636410.0,-0.0016,ULTA
2017-06-15,300.13,300.73,300.74,296.94,386960.0,-0.0069,ULTA
2017-06-16,295.94,298.42,299.6,294.41,802110.0,-0.013999999999999999,ULTA
2017-06-19,294.17,296.69,297.0,291.04,880970.0,-0.006,ULTA
2017-06-20,296.5,294.85,299.97,294.85,1010000.0,0.0079,ULTA
2017-06-21,288.84,295.67,296.89,288.22,981190.0,-0.0258,ULTA
2017-06-22,284.14,288.8,290.51,283.1,1160000.0,-0.0163,ULTA
2017-06-23,284.71,282.21,286.19,280.95,822780.0,0.002,ULTA
2017-06-26,289.72,285.0,291.56,285.0,740870.0,0.0176,ULTA
2017-06-27,282.86,289.44,289.71,280.98,886830.0,-0.023700000000000002,ULTA
2017-06-28,285.28,283.28,286.96,280.32,526890.0,0.0086,ULTA
2017-06-29,285.88,284.9,286.5,281.37,764980.0,0.0021,ULTA
2017-06-30,287.34,287.51,289.85,284.34,720930.0,0.0051,ULTA
2017-07-03,283.36,287.7,288.34,282.78,333040.0,-0.0139,ULTA
2017-07-05,279.04,281.0,283.97,276.12,1290000.0,-0.0152,ULTA
2017-07-06,273.24,276.51,277.72,271.43,1080000.0,-0.0208,ULTA
2017-07-07,276.97,273.92,278.94,272.04,584680.0,0.0137,ULTA
2017-07-10,268.82,276.64,276.89,267.52,1100000.0,-0.0294,ULTA
2017-07-11,255.98,268.57,269.25,253.09,3390000.0,-0.0478,ULTA
2017-07-12,261.86,258.68,265.31,257.17,1910000.0,0.023,ULTA
2017-07-13,257.4,265.5,265.5,257.19,1080000.0,-0.017,ULTA
2017-07-14,261.74,264.7,267.48,260.7,1570000.0,0.0169,ULTA
2017-07-17,253.94,261.75,262.48,253.69,1670000.0,-0.0298,ULTA
2017-07-18,258.75,253.15,259.78,253.15,1600000.0,0.0189,ULTA
2017-07-19,256.75,259.17,260.79,255.14,1200000.0,-0.0077,ULTA
2017-07-20,255.74,256.67,256.94,254.89,791240.0,-0.0039000000000000003,ULTA
2017-07-21,253.4,255.66,256.49,250.44,1140000.0,-0.0091,ULTA
2017-07-24,252.08,253.3,256.13,250.88,884140.0,-0.0052,ULTA
2017-07-25,256.61,252.49,257.11,250.53,950510.0,0.018000000000000002,ULTA
2017-07-26,247.24,245.79,249.98,243.61,2360000.0,-0.0365,ULTA
2017-07-27,249.43,247.24,251.5,245.8,1170000.0,0.0089,ULTA
2017-07-28,248.6,247.01,252.57,246.0,669830.0,-0.0033,ULTA
2017-07-31,251.21,243.88,251.91,243.28,962660.0,0.0105,ULTA
2017-08-01,255.27,253.14,257.06,252.45,1120000.0,0.016200000000000003,ULTA
2017-08-02,247.97,255.0,255.35,246.1,1190000.0,-0.0286,ULTA
2017-08-03,251.28,246.94,251.98,246.24,676400.0,0.013300000000000001,ULTA
2017-08-04,250.2,252.15,254.59,250.01,460920.0,-0.0043,ULTA
2017-08-07,248.81,249.56,251.92,248.53,618280.0,-0.005600000000000001,ULTA
