Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,16.69,17.38,17.5,16.62,170200.0,-0.025099999999999997,URI
2000-01-04,16.5,16.5,16.62,15.88,243800.0,-0.011399999999999999,URI
2000-01-05,16.44,16.62,16.75,16.0,166200.0,-0.0036,URI
2000-01-06,17.38,16.31,18.75,16.31,291600.0,0.0572,URI
2000-01-07,17.94,18.0,18.19,17.62,655500.0,0.0322,URI
2000-01-10,17.81,18.25,18.25,17.75,291600.0,-0.0072,URI
2000-01-11,17.81,17.88,18.06,17.69,485900.0,0.0,URI
2000-01-12,17.81,18.0,18.25,17.75,229600.0,0.0,URI
2000-01-13,18.56,17.81,18.62,17.81,255900.0,0.0421,URI
2000-01-14,18.75,18.75,19.19,18.5,331000.0,0.0102,URI
2000-01-18,19.0,18.75,19.38,18.19,286600.0,0.013300000000000001,URI
2000-01-19,20.75,19.12,21.25,19.06,849900.0,0.09210000000000002,URI
2000-01-20,20.12,22.0,22.31,20.12,623200.0,-0.0304,URI
2000-01-21,20.62,21.0,21.0,19.75,773300.0,0.024900000000000002,URI
2000-01-24,21.19,21.12,21.88,20.75,326800.0,0.0276,URI
2000-01-25,20.31,21.25,21.62,19.5,430600.0,-0.0415,URI
2000-01-26,21.25,20.31,21.62,20.19,306800.0,0.0463,URI
2000-01-27,20.31,22.0,22.0,20.25,264400.0,-0.044199999999999996,URI
2000-01-28,19.19,18.5,20.25,18.5,187700.0,-0.055099999999999996,URI
2000-01-31,19.12,19.44,19.94,18.81,188100.0,-0.0036,URI
2000-02-01,19.75,18.88,19.81,18.69,72500.0,0.0329,URI
2000-02-02,19.31,19.5,19.62,19.0,220300.0,-0.0223,URI
2000-02-03,19.25,19.5,19.5,18.38,90600.0,-0.0031,URI
2000-02-04,18.94,20.25,20.25,18.94,163200.0,-0.0161,URI
2000-02-07,18.5,19.0,19.19,18.12,111900.0,-0.0232,URI
2000-02-08,17.69,18.75,18.94,17.69,174100.0,-0.0438,URI
2000-02-09,17.06,17.75,18.0,16.75,568100.0,-0.0356,URI
2000-02-10,16.88,16.94,17.62,16.5,365300.0,-0.0106,URI
2000-02-11,16.31,16.81,17.0,15.88,372900.0,-0.0338,URI
2000-02-14,15.75,16.56,16.75,15.5,473800.0,-0.034300000000000004,URI
