Date,Close,Open,High,Low,Volume,Change
2000-01-03,31.44,32.0,32.0,31.12,396900.0,-0.0212
2000-01-04,31.81,31.38,31.94,31.38,325500.0,0.0118
2000-01-05,33.0,31.81,33.12,31.81,392200.0,0.0374
2000-01-06,33.19,32.75,33.69,32.75,433000.0,0.0058
2000-01-07,33.62,33.38,33.75,33.06,250500.0,0.013000000000000001
2000-01-10,33.5,33.62,33.81,33.44,307700.0,-0.0036
2000-01-11,33.62,33.5,33.69,33.5,223000.0,0.0036
2000-01-12,33.88,33.56,33.94,33.5,252500.0,0.0077
2000-01-13,33.81,33.88,34.0,33.62,222400.0,-0.0021
2000-01-14,33.81,33.88,33.88,33.5,529900.0,0.0
2000-01-18,33.0,33.69,33.75,33.0,363800.0,-0.024
2000-01-19,33.44,33.0,33.62,33.0,215500.0,0.013300000000000001
2000-01-20,33.06,33.38,33.38,33.06,278800.0,-0.011399999999999999
2000-01-21,34.0,33.31,34.0,33.19,345000.0,0.028399999999999998
2000-01-24,33.88,34.0,34.44,33.88,855500.0,-0.0034999999999999996
2000-01-25,32.88,33.88,34.12,32.62,964500.0,-0.029500000000000002
2000-01-26,33.69,33.12,33.69,32.88,508500.0,0.0246
2000-01-27,33.56,33.69,34.12,33.31,923900.0,-0.0039000000000000003
2000-01-28,33.0,33.56,33.62,32.88,357300.0,-0.0167
2000-01-31,33.5,33.19,33.56,33.0,209900.0,0.0152
2000-02-01,33.69,33.5,33.75,33.06,318200.0,0.005699999999999999
2000-02-02,33.62,33.62,34.06,33.56,765300.0,-0.0021
2000-02-03,34.75,33.69,34.81,33.69,536300.0,0.0336
2000-02-04,34.06,34.94,34.94,33.88,1110000.0,-0.0199
2000-02-07,33.69,34.0,34.0,33.56,2040000.0,-0.0109
2000-02-08,33.31,33.12,33.5,33.06,461400.0,-0.0113
2000-02-09,32.56,33.25,33.25,32.5,307500.0,-0.0225
2000-02-10,31.62,32.56,32.56,31.44,399000.0,-0.028900000000000002
2000-02-11,31.81,31.62,31.94,31.31,339400.0,0.006
2000-02-14,31.75,31.81,32.31,31.69,317600.0,-0.0019
2000-02-15,31.31,31.75,31.81,31.31,234600.0,-0.0139
2000-02-16,30.69,31.12,31.31,30.69,367900.0,-0.019799999999999998
2000-02-17,30.44,30.75,30.75,30.31,287100.0,-0.008100000000000001
2000-02-18,29.94,30.12,30.19,29.81,510500.0,-0.016399999999999998
2000-02-22,30.44,30.0,30.56,29.94,410600.0,0.0167
2000-02-23,30.0,30.38,30.38,29.62,356400.0,-0.014499999999999999
2000-02-24,28.94,29.75,29.81,28.38,653000.0,-0.0353
2000-02-25,28.19,28.88,28.88,28.0,798200.0,-0.0259
2000-02-28,28.75,28.38,29.12,28.12,335700.0,0.0199
2000-02-29,28.12,28.75,28.75,28.06,365600.0,-0.0219
2000-03-01,27.56,28.12,28.19,27.5,324200.0,-0.0199
2000-03-02,27.56,27.56,27.81,27.56,455900.0,0.0
2000-03-03,27.31,27.56,27.81,27.06,595000.0,-0.0091
2000-03-06,26.19,27.31,27.31,25.94,386100.0,-0.040999999999999995
2000-03-07,27.0,26.69,27.94,26.56,828200.0,0.030899999999999997
2000-03-08,26.75,26.75,26.94,26.62,442100.0,-0.009300000000000001
2000-03-09,26.62,26.81,27.0,26.38,430200.0,-0.0049
2000-03-10,26.06,26.69,26.75,26.0,687100.0,-0.021
2000-03-13,26.5,26.62,26.62,26.12,553400.0,0.0169
2000-03-14,26.88,26.5,26.94,26.19,458400.0,0.0143
2000-03-15,28.75,27.12,29.12,27.0,744900.0,0.0696
2000-03-16,30.94,29.0,31.12,28.88,908000.0,0.0762
2000-03-17,30.38,30.94,31.0,30.38,813300.0,-0.0181
2000-03-20,30.06,30.44,30.44,29.88,293400.0,-0.0105
2000-03-21,29.81,30.19,30.38,29.62,591800.0,-0.0083
2000-03-22,29.19,29.94,29.94,28.5,375900.0,-0.0208
2000-03-23,29.5,29.19,30.0,29.19,340500.0,0.0106
2000-03-24,29.94,29.25,30.06,29.12,257800.0,0.0149
2000-03-27,30.0,29.94,30.44,29.81,420500.0,0.002
2000-03-28,29.31,30.12,30.31,29.31,240800.0,-0.023
2000-03-29,29.88,29.44,30.25,29.38,357400.0,0.0194
2000-03-30,29.94,29.94,30.31,29.88,491600.0,0.002
2000-03-31,29.81,29.69,29.81,29.25,315800.0,-0.0043
2000-04-03,29.81,29.81,30.19,29.5,441000.0,0.0
2000-04-04,30.81,30.0,31.06,29.75,561800.0,0.0335
2000-04-05,31.62,31.0,32.31,30.88,521799.99999999994,0.0263
2000-04-06,30.56,31.62,31.81,30.25,350200.0,-0.0335
2000-04-07,30.5,30.56,30.81,30.25,450900.0,-0.002
2000-04-10,31.0,30.56,31.31,30.5,457300.0,0.016399999999999998
2000-04-11,31.62,31.12,31.88,31.0,523200.00000000006,0.02
2000-04-12,32.69,32.12,33.0,32.0,737500.0,0.0338
2000-04-13,33.88,32.69,33.94,32.62,559900.0,0.0364
2000-04-14,33.25,33.88,34.38,33.0,898000.0,-0.018600000000000002
2000-04-17,33.81,33.25,33.94,32.31,734000.0,0.0168
2000-04-18,33.88,33.69,34.0,33.31,863500.0,0.0021
2000-04-19,33.69,33.44,33.81,32.88,338400.0,-0.005600000000000001
2000-04-20,33.81,33.5,33.81,33.44,261300.0,0.0036
2000-04-24,35.0,33.81,35.12,33.81,421500.0,0.0352
2000-04-25,36.12,35.0,36.25,34.81,368000.0,0.032
2000-04-26,37.75,36.12,37.81,36.12,715100.0,0.0451
2000-04-27,38.12,37.75,38.5,37.62,1060000.0,0.0098
2000-04-28,36.62,37.94,38.0,36.5,537900.0,-0.0393
2000-05-01,36.5,37.38,37.38,36.5,396100.0,-0.0033
2000-05-02,35.56,36.31,36.69,35.25,521000.0,-0.0258
2000-05-03,34.62,35.06,35.19,34.19,747700.0,-0.0264
2000-05-04,35.38,34.81,35.88,34.0,585700.0,0.022000000000000002
2000-05-05,34.62,35.38,35.44,34.25,1950000.0,-0.0215
2000-05-08,35.19,34.0,35.81,34.0,506500.0,0.0165
2000-05-09,35.12,35.19,35.25,34.94,327200.0,-0.002
2000-05-10,36.19,35.0,36.19,35.0,773600.0,0.0305
2000-05-11,36.31,36.06,36.38,35.81,450400.0,0.0033
2000-05-12,36.06,36.44,36.44,35.62,385200.0,-0.0069
2000-05-15,36.56,36.12,36.81,35.81,368400.0,0.0139
2000-05-16,36.25,36.31,36.31,35.12,279800.0,-0.0085
2000-05-17,35.06,35.75,35.75,34.88,386300.0,-0.032799999999999996
2000-05-18,35.94,35.06,36.38,35.06,334800.0,0.025099999999999997
2000-05-19,36.06,35.62,36.19,35.5,373900.0,0.0033
2000-05-22,36.56,36.06,37.25,36.06,253300.0,0.0139
2000-05-23,35.5,36.81,36.81,35.25,812900.0,-0.028999999999999998
2000-05-24,35.75,35.94,36.81,35.62,544500.0,0.006999999999999999
2000-05-25,35.38,35.75,35.81,35.0,511900.0,-0.0103
2000-05-26,35.62,35.5,35.88,35.38,382500.0,0.0068000000000000005
2000-05-30,35.25,35.81,35.81,34.69,247500.0,-0.0104
2000-05-31,35.56,35.25,35.75,35.25,322100.0,0.0088
2000-06-01,35.56,35.75,35.75,34.75,379000.0,0.0
2000-06-02,34.62,35.56,35.56,34.56,774800.0,-0.0264
2000-06-05,33.5,34.62,34.69,33.5,410100.0,-0.032400000000000005
2000-06-06,34.19,34.12,34.44,33.88,812900.0,0.0206
2000-06-07,34.38,34.25,34.62,34.25,342400.0,0.005600000000000001
2000-06-08,34.06,34.56,34.56,33.56,378300.0,-0.009300000000000001
2000-06-09,34.62,34.38,34.88,34.25,366800.0,0.016399999999999998
2000-06-12,35.38,35.25,35.62,35.0,471700.0,0.022000000000000002
2000-06-13,35.38,35.25,35.94,35.19,363500.0,0.0
2000-06-14,34.25,35.25,35.31,34.19,350800.0,-0.0319
2000-06-15,35.0,34.12,35.19,34.12,570700.0,0.0219
2000-06-16,34.88,34.12,35.06,34.12,839400.0,-0.0034000000000000002
2000-06-19,33.94,34.81,34.81,33.62,610700.0,-0.0269
2000-06-20,33.5,34.0,34.0,32.94,843800.0,-0.013000000000000001
2000-06-21,33.31,33.44,33.81,33.19,520600.0,-0.005699999999999999
2000-06-22,32.69,33.25,33.25,32.0,1300000.0,-0.018600000000000002
2000-06-23,32.19,32.56,32.94,32.0,1040000.0,-0.015300000000000001
2000-06-26,32.44,32.19,32.5,31.75,942800.0,0.0078000000000000005
2000-06-27,31.0,32.06,32.19,30.94,1120000.0,-0.0444
2000-06-28,31.71,30.5,31.88,30.0,1390000.0,0.0229
2000-06-29,30.75,31.31,32.06,30.75,568300.0,-0.030299999999999997
2000-06-30,29.62,30.69,31.75,29.44,1540000.0,-0.036699999999999997
2000-07-03,30.75,30.0,30.75,29.94,446300.0,0.0381
2000-07-05,30.62,30.12,31.56,30.12,594400.0,-0.0042
2000-07-06,30.75,30.75,31.19,30.5,676900.0,0.0042
2000-07-07,31.12,30.81,31.31,30.81,500800.0,0.012
2000-07-10,32.12,31.19,32.25,31.19,690500.0,0.0321
2000-07-11,32.81,32.06,32.81,31.88,1020000.0,0.0215
2000-07-12,32.75,33.06,33.06,32.44,1240000.0,-0.0018
2000-07-13,32.94,32.5,33.06,32.38,705800.0,0.0058
2000-07-14,32.31,33.0,33.31,32.06,894300.0,-0.0191
2000-07-17,33.06,32.06,33.12,32.06,681800.0,0.0232
2000-07-18,33.25,33.12,33.5,32.88,503000.0,0.005699999999999999
2000-07-19,33.5,33.25,33.69,33.12,550700.0,0.0075
2000-07-20,33.81,33.5,34.0,33.25,880900.0,0.009300000000000001
2000-07-21,33.19,33.81,34.0,33.19,307800.0,-0.0183
2000-07-24,33.75,33.25,33.81,32.81,674000.0,0.0169
2000-07-25,33.69,33.75,34.5,33.31,456500.0,-0.0018
2000-07-26,32.64,33.44,33.56,32.5,876100.0,-0.031200000000000002
2000-07-27,33.12,32.94,33.75,32.88,710600.0,0.0147
2000-07-28,33.06,33.19,34.0,32.69,767600.0,-0.0018
2000-07-31,32.81,32.75,33.5,32.69,943400.0,-0.0076
2000-08-01,34.12,32.81,34.19,32.81,967100.0,0.039900000000000005
2000-08-02,34.5,34.38,34.75,34.19,756500.0,0.0111
2000-08-03,34.52,34.75,35.31,34.38,740800.0,0.0006
2000-08-04,34.88,34.44,34.94,33.62,799700.0,0.0104
2000-08-07,35.06,34.81,35.08,34.38,2940000.0,0.0052
2000-08-08,35.38,35.5,35.81,34.62,841800.0,0.0091
2000-08-09,35.05,35.12,35.19,34.69,987300.0,-0.009300000000000001
2000-08-10,35.08,35.06,35.12,34.69,309300.0,0.0009
2000-08-11,35.33,35.12,35.38,34.94,771500.0,0.0070999999999999995
2000-08-14,35.0,35.31,35.5,34.81,351500.0,-0.009300000000000001
2000-08-15,35.31,35.0,35.75,35.0,627700.0,0.0089
2000-08-16,35.39,35.38,35.62,35.19,250100.0,0.0023
2000-08-17,35.94,35.88,36.06,35.62,762700.0,0.0155
2000-08-18,35.94,35.94,36.19,35.75,550700.0,0.0
2000-08-21,35.69,35.75,35.81,35.38,765100.0,-0.006999999999999999
2000-08-22,35.81,35.69,35.94,35.5,359600.0,0.0034000000000000002
2000-08-23,35.88,35.62,35.94,35.44,617100.0,0.002
2000-08-24,35.19,35.88,35.88,35.12,290300.0,-0.0192
2000-08-25,35.12,35.19,35.5,35.06,550300.0,-0.002
2000-08-28,35.12,35.0,35.5,34.94,557900.0,0.0
2000-08-29,34.5,34.94,35.0,34.5,499000.0,-0.0177
2000-08-30,34.62,34.44,35.0,34.31,499100.0,0.0034999999999999996
2000-08-31,35.14,34.81,35.44,34.75,820900.0,0.015
2000-09-01,35.21,35.38,35.56,35.19,479300.0,0.002
2000-09-05,36.25,35.25,36.56,35.25,1270000.0,0.029500000000000002
2000-09-06,37.5,36.88,37.88,36.81,1500000.0,0.0345
2000-09-07,37.69,38.0,38.0,37.25,776800.0,0.0051
2000-09-08,38.9,37.94,38.9,37.75,884100.0,0.0321
2000-09-11,39.33,38.88,40.0,38.88,1170000.0,0.0111
2000-09-12,38.69,39.38,39.5,38.06,962800.0,-0.0163
2000-09-13,37.75,38.44,38.75,37.62,1180000.0,-0.024300000000000002
2000-09-14,37.25,37.75,37.75,36.56,915400.0,-0.0132
2000-09-15,38.28,37.38,38.38,37.31,1510000.0,0.0277
2000-09-18,37.67,38.0,38.06,37.38,757800.0,-0.0159
2000-09-19,36.38,38.38,38.44,36.38,1440000.0,-0.0342
2000-09-20,35.62,36.38,36.56,35.38,881300.0,-0.0209
2000-09-21,35.19,35.62,36.25,35.0,772000.0,-0.0121
2000-09-22,35.5,35.19,36.25,35.12,615700.0,0.0088
2000-09-25,35.5,35.81,36.0,35.19,788600.0,0.0
2000-09-26,36.44,35.5,36.56,35.5,1210000.0,0.0265
2000-09-27,36.89,36.12,36.94,35.69,675200.0,0.0123
2000-09-28,39.44,37.38,39.81,37.12,2670000.0,0.0691
2000-09-29,39.14,39.0,39.88,39.0,1190000.0,-0.0076
2000-10-02,39.06,39.12,39.25,38.06,935000.0,-0.002
2000-10-03,38.56,38.81,39.94,38.5,971800.0,-0.0128
2000-10-04,38.0,38.56,38.88,36.62,1650000.0,-0.014499999999999999
2000-10-05,36.5,37.94,38.62,36.38,1060000.0,-0.0395
2000-10-06,36.69,36.88,37.31,36.5,682000.0,0.0052
2000-10-09,36.5,36.81,37.25,36.19,425500.0,-0.0052
2000-10-10,37.25,36.5,37.94,36.5,961300.0,0.020499999999999997
2000-10-11,37.94,37.25,37.94,37.06,1330000.0,0.018500000000000003
2000-10-12,38.12,37.69,38.94,37.38,1090000.0,0.004699999999999999
2000-10-13,38.81,38.19,38.81,38.19,879000.0,0.0181
2000-10-16,39.31,38.56,39.75,38.56,1070000.0,0.0129
2000-10-17,39.19,39.31,39.75,39.0,519400.0,-0.0031
2000-10-18,38.25,39.0,39.38,37.75,798400.0,-0.024
2000-10-19,37.94,37.62,38.44,37.25,498600.0,-0.008100000000000001
2000-10-20,37.69,37.62,38.31,37.38,670100.0,-0.0066
2000-10-23,38.19,38.0,39.0,37.88,702300.0,0.013300000000000001
2000-10-24,38.19,38.88,39.0,37.62,660800.0,0.0
2000-10-25,38.44,38.38,39.0,37.75,759700.0,0.006500000000000001
2000-10-26,38.38,38.19,38.56,37.75,965400.0,-0.0016
2000-10-27,39.94,38.19,39.94,38.0,1470000.0,0.0406
2000-10-30,41.81,39.94,42.38,39.81,1790000.0,0.046799999999999994
2000-10-31,41.5,41.56,41.75,40.88,698400.0,-0.0074
2000-11-01,42.31,41.38,42.31,41.19,966200.0,0.0195
2000-11-02,41.81,42.31,42.31,41.62,697800.0,-0.0118
2000-11-03,41.38,41.5,41.75,41.12,417800.0,-0.0103
2000-11-06,41.38,41.12,41.94,41.06,879800.0,0.0
2000-11-07,40.94,41.25,41.5,40.31,2660000.0,-0.0106
2000-11-08,40.62,40.31,40.88,40.25,2230000.0,-0.0078000000000000005
2000-11-09,41.25,40.62,41.25,40.56,876800.0,0.0155
2000-11-10,42.0,41.25,42.19,41.06,1200000.0,0.0182
2000-11-13,41.94,42.0,43.25,41.62,1300000.0,-0.0014000000000000002
2000-11-14,40.81,41.31,41.5,40.62,715600.0,-0.0269
2000-11-15,41.44,41.06,41.62,40.81,1010000.0,0.0154
2000-11-16,42.25,41.31,42.44,41.31,836500.0,0.0195
2000-11-17,43.0,42.25,43.06,42.0,626000.0,0.0178
2000-11-20,43.19,43.25,43.88,43.0,844600.0,0.0044
2000-11-21,43.81,42.88,43.88,42.62,1340000.0,0.0144
2000-11-22,43.62,43.56,44.25,43.38,1050000.0,-0.0043
2000-11-24,42.88,43.38,43.38,42.88,261100.00000000003,-0.017
2000-11-27,43.12,42.94,43.25,42.5,1080000.0,0.005600000000000001
2000-11-28,43.94,43.12,44.19,42.88,2040000.0,0.019
2000-11-29,45.56,44.0,45.56,44.0,1040000.0,0.0369
2000-11-30,46.0,45.81,46.25,45.62,2040000.0,0.0097
2000-12-01,45.5,45.69,45.88,45.0,1650000.0,-0.0109
2000-12-04,46.38,45.12,46.75,45.12,1630000.0,0.019299999999999998
2000-12-05,46.38,46.38,46.44,45.62,1940000.0,0.0
2000-12-06,45.56,46.38,46.94,45.31,2250000.0,-0.0177
2000-12-07,45.06,45.69,45.94,44.81,1470000.0,-0.011000000000000001
2000-12-08,45.19,45.0,45.38,43.88,1100000.0,0.0029
2000-12-11,44.75,45.31,45.31,44.06,1040000.0,-0.0097
2000-12-12,45.25,44.75,45.38,44.69,960700.0,0.011200000000000002
2000-12-13,45.31,45.31,45.88,45.06,1110000.0,0.0013
2000-12-14,43.94,45.19,45.44,43.81,1430000.0,-0.0302
2000-12-15,43.75,43.06,44.31,43.06,1640000.0,-0.0043
2000-12-18,43.94,43.75,44.25,43.75,758600.0,0.0043
2000-12-19,44.69,44.19,44.75,44.0,1040000.0,0.0171
2000-12-20,46.75,44.75,47.25,44.5,2200000.0,0.0461
2000-12-21,46.38,46.75,46.75,45.81,781800.0,-0.0079
2000-12-22,46.62,45.94,46.81,45.38,456000.0,0.0052
2000-12-26,48.0,47.5,48.94,47.12,682000.0,0.0296
2000-12-27,47.94,48.06,48.75,47.69,540200.0,-0.0013
2000-12-28,47.06,47.5,47.75,46.75,555700.0,-0.0184
2000-12-29,46.5,46.94,47.25,46.38,813400.0,-0.011899999999999999
2001-01-02,45.56,46.12,46.12,45.25,1200000.0,-0.0202
2001-01-03,43.75,45.56,46.62,43.5,1460000.0,-0.0397
2001-01-04,41.56,43.0,43.06,40.5,1900000.0,-0.0501
2001-01-05,40.81,41.5,42.44,40.75,1490000.0,-0.018000000000000002
2001-01-08,41.5,40.81,41.56,40.31,1260000.0,0.0169
2001-01-09,42.25,41.5,42.25,41.12,857200.0,0.0181
2001-01-10,41.62,42.12,42.75,41.38,1390000.0,-0.0149
2001-01-11,39.81,41.75,41.75,39.25,1550000.0,-0.0435
2001-01-12,40.5,39.62,40.5,39.31,1500000.0,0.0173
2001-01-16,40.69,40.62,40.75,39.44,2230000.0,0.004699999999999999
2001-01-17,40.69,40.69,41.44,40.12,1270000.0,0.0
