Date,Close,Open,High,Low,Volume,Change
2000-01-03,36.25,37.38,37.38,35.62,1330000.0,-0.0302
2000-01-04,34.81,35.94,35.97,34.62,1480000.0,-0.0397
2000-01-05,35.19,34.84,35.38,34.25,1570000.0,0.0109
2000-01-06,35.47,35.31,35.81,35.0,1710000.0,0.008
2000-01-07,36.16,35.34,36.16,35.09,1450000.0,0.0195
2000-01-10,37.78,36.25,37.97,36.25,3460000.0,0.044800000000000006
2000-01-11,37.97,37.97,38.31,37.28,2610000.0,0.005
2000-01-12,38.75,38.0,39.47,38.0,2820000.0,0.020499999999999997
2000-01-13,39.41,38.69,40.34,38.38,3320000.0,0.017
2000-01-14,41.62,40.5,41.69,40.31,2130000.0,0.056100000000000004
2000-01-18,38.97,40.88,40.88,38.88,1870000.0,-0.0637
2000-01-19,39.19,39.0,39.69,38.81,2350000.0,0.005600000000000001
2000-01-20,38.84,39.5,39.5,38.75,1470000.0,-0.0089
2000-01-21,40.0,39.25,40.0,39.06,1650000.0,0.029900000000000003
2000-01-24,40.0,40.0,40.72,39.72,3480000.0,0.0
2000-01-25,38.0,40.0,40.28,37.94,2049999.9999999998,-0.05
2000-01-26,36.22,37.88,37.88,36.22,2920000.0,-0.046799999999999994
2000-01-27,37.94,36.75,38.78,36.72,2280000.0,0.0475
2000-01-28,38.19,38.06,38.34,37.44,1270000.0,0.0066
2000-01-31,40.06,39.0,40.47,38.53,1840000.0,0.049
2000-02-01,40.38,40.06,40.75,39.19,2029999.9999999998,0.008
2000-02-02,39.66,40.34,40.69,38.75,1880000.0,-0.0178
2000-02-03,40.19,39.91,41.41,39.41,2610000.0,0.0134
2000-02-04,37.62,40.19,40.25,36.31,4410000.0,-0.0639
2000-02-07,40.0,38.5,40.25,38.25,2600000.0,0.0633
2000-02-08,42.22,40.62,42.94,40.38,3110000.0,0.0555
2000-02-09,42.94,42.22,43.25,41.59,2089999.9999999998,0.0171
2000-02-10,41.44,42.5,42.88,41.19,1580000.0,-0.0349
2000-02-11,41.0,40.75,41.28,40.38,1050000.0,-0.0106
2000-02-14,42.75,41.0,42.84,40.69,1930000.0,0.042699999999999995
2000-02-15,43.19,42.75,43.84,42.31,1830000.0,0.0103
2000-02-16,44.09,43.06,44.69,42.88,1990000.0,0.0208
2000-02-17,43.97,44.12,44.72,43.62,1080000.0,-0.0027
2000-02-18,44.0,44.0,44.5,43.69,1340000.0,0.0007000000000000001
2000-02-22,42.97,43.88,44.0,42.34,1130000.0,-0.023399999999999997
2000-02-23,42.09,42.75,42.75,41.0,1890000.0,-0.020499999999999997
2000-02-24,42.44,42.5,42.72,41.66,1630000.0,0.0083
2000-02-25,42.25,42.44,42.5,41.38,972400.0,-0.0045000000000000005
2000-02-28,42.91,42.38,42.91,42.25,1160000.0,0.015600000000000001
2000-02-29,41.91,42.91,43.22,41.66,1580000.0,-0.0233
2000-03-01,40.97,41.91,42.19,40.44,1700000.0,-0.022400000000000003
2000-03-02,43.56,41.25,43.72,41.19,1950000.0,0.0632
2000-03-03,43.47,43.88,44.25,43.0,2170000.0,-0.0021
2000-03-06,40.69,42.5,42.5,37.0,7000000.0,-0.064
2000-03-07,39.81,41.06,41.62,39.69,2510000.0,-0.0216
2000-03-08,39.12,39.81,39.88,38.69,2750000.0,-0.0173
2000-03-09,37.78,39.88,39.88,37.38,2170000.0,-0.034300000000000004
2000-03-10,36.5,36.0,39.0,34.75,3730000.0,-0.0339
2000-03-13,36.5,35.88,37.0,35.16,2580000.0,0.0
2000-03-14,35.94,36.88,37.0,35.06,1800000.0,-0.015300000000000001
2000-03-15,37.19,35.81,37.38,35.53,2040000.0,0.0348
2000-03-16,40.06,38.38,41.0,37.94,2880000.0,0.07719999999999999
2000-03-17,38.94,40.0,40.03,37.38,3870000.0,-0.027999999999999997
2000-03-20,38.44,38.94,39.84,37.53,1930000.0,-0.0128
2000-03-21,37.31,38.25,38.25,37.25,1660000.0,-0.0294
2000-03-22,36.09,37.38,37.44,35.31,3600000.0,-0.0327
2000-03-23,36.91,36.59,37.62,36.53,2630000.0,0.0227
2000-03-24,37.88,36.81,37.88,36.25,2300000.0,0.0263
2000-03-27,37.16,38.0,38.44,37.03,1150000.0,-0.019
2000-03-28,36.41,36.0,37.22,35.62,2160000.0,-0.0202
2000-03-29,37.69,36.0,38.34,36.0,1710000.0,0.0352
2000-03-30,39.81,37.69,42.25,37.12,3230000.0,0.0562
2000-03-31,39.38,39.81,40.41,38.72,2330000.0,-0.0108
2000-04-03,38.94,39.41,39.81,37.66,1640000.0,-0.011200000000000002
2000-04-04,37.16,38.94,40.19,35.56,2780000.0,-0.045700000000000005
2000-04-05,37.78,37.75,38.88,37.34,1460000.0,0.0167
2000-04-06,37.81,37.81,38.5,37.5,1080000.0,0.0008
2000-04-07,38.5,38.12,38.81,37.53,972200.0,0.0182
2000-04-10,39.72,38.5,40.47,38.5,1570000.0,0.0317
2000-04-11,39.0,39.66,39.66,38.19,1170000.0,-0.0181
2000-04-12,38.28,39.0,39.0,38.03,1490000.0,-0.018500000000000003
2000-04-13,38.22,38.38,38.62,37.78,1160000.0,-0.0016
2000-04-14,36.94,37.88,38.66,36.25,2069999.9999999998,-0.0335
2000-04-17,37.16,37.25,37.5,35.59,1930000.0,0.006
2000-04-18,38.5,37.19,39.25,36.81,2029999.9999999998,0.0361
2000-04-19,39.72,39.12,39.72,38.88,1170000.0,0.0317
2000-04-20,43.06,40.5,43.5,40.03,3650000.0,0.08410000000000001
2000-04-24,41.91,43.0,43.56,41.53,2200000.0,-0.026699999999999998
2000-04-25,41.59,41.91,42.19,41.09,1450000.0,-0.0076
2000-04-26,42.75,41.59,43.09,41.53,2120000.0,0.0279
2000-04-27,42.22,42.38,42.38,41.19,911800.0,-0.0124
2000-04-28,44.97,42.22,45.69,41.91,3210000.0,0.06509999999999999
2000-05-01,43.94,45.44,46.25,43.12,2380000.0,-0.0229
2000-05-02,42.5,43.94,44.47,42.31,1540000.0,-0.032799999999999996
2000-05-03,42.78,42.5,43.0,41.81,1920000.0,0.0066
2000-05-04,42.56,42.88,43.78,41.75,1940000.0,-0.0051
2000-05-05,43.0,42.53,43.19,42.38,979000.0,0.0103
2000-05-08,40.59,42.25,42.25,40.16,4550000.0,-0.055999999999999994
2000-05-09,39.47,40.56,40.56,39.28,2770000.0,-0.0276
2000-05-10,36.81,39.19,39.19,36.72,5410000.0,-0.0674
2000-05-11,37.19,37.12,38.56,36.0,8450000.0,0.0103
2000-05-12,39.12,37.69,39.38,37.5,14460000.0,0.0519
2000-05-15,41.06,38.81,41.22,38.69,5610000.0,0.0496
2000-05-16,40.34,40.81,40.84,40.0,2830000.0,-0.0175
2000-05-17,41.03,39.88,41.28,39.41,3170000.0,0.0171
2000-05-18,41.25,41.28,41.44,40.78,1970000.0,0.0054
2000-05-19,41.41,41.06,41.53,40.81,1980000.0,0.0039000000000000003
2000-05-22,41.75,41.41,41.75,40.66,2670000.0,0.008199999999999999
2000-05-23,41.91,41.88,42.66,41.44,2600000.0,0.0038
2000-05-24,40.97,41.84,41.97,40.12,3060000.0,-0.022400000000000003
2000-05-25,41.81,41.75,42.56,41.03,2500000.0,0.020499999999999997
2000-05-26,42.97,42.25,43.41,42.19,1860000.0,0.0277
2000-05-30,43.19,42.94,43.47,42.09,1660000.0,0.0051
2000-05-31,43.62,43.12,43.81,42.91,2380000.0,0.01
2000-06-01,44.69,43.62,44.88,43.25,3090000.0,0.0245
2000-06-02,46.0,44.75,46.38,44.69,2110000.0,0.029300000000000003
2000-06-05,43.88,45.75,46.0,43.5,1450000.0,-0.0461
2000-06-06,45.0,43.88,45.44,43.75,2200000.0,0.0255
2000-06-07,46.25,47.75,47.75,45.25,2550000.0,0.0278
2000-06-08,47.19,46.25,47.81,46.12,2120000.0,0.0203
2000-06-09,48.0,47.44,49.25,47.0,1360000.0,0.0172
2000-06-12,47.81,48.0,48.31,46.75,2180000.0,-0.004
2000-06-13,48.88,47.88,49.62,47.75,2830000.0,0.022400000000000003
2000-06-14,43.69,47.0,47.31,43.56,4340000.0,-0.10619999999999999
2000-06-15,45.25,44.5,45.88,44.25,2300000.0,0.035699999999999996
2000-06-16,46.25,45.5,46.44,44.31,1850000.0,0.022099999999999998
2000-06-19,45.38,46.25,46.25,44.75,1220000.0,-0.018799999999999997
2000-06-20,44.88,45.88,46.88,44.81,1510000.0,-0.011000000000000001
2000-06-21,44.25,44.94,44.94,43.62,1580000.0,-0.013999999999999999
2000-06-22,42.25,44.25,44.5,42.0,2710000.0,-0.0452
2000-06-23,40.88,42.31,43.12,40.5,1900000.0,-0.032400000000000005
2000-06-26,46.06,41.5,46.25,41.19,2340000.0,0.1267
2000-06-27,45.62,44.88,46.19,44.81,2310000.0,-0.0096
2000-06-28,46.48,45.0,46.56,44.69,1020000.0,0.0189
2000-06-29,44.5,46.12,46.19,44.0,1320000.0,-0.0426
2000-06-30,45.62,44.5,45.94,44.38,1680000.0,0.0252
2000-07-03,47.0,45.25,47.0,45.12,337500.0,0.0302
2000-07-05,46.94,46.75,47.38,46.0,1400000.0,-0.0013
2000-07-06,46.19,46.19,47.5,46.06,1340000.0,-0.016
2000-07-07,48.0,46.5,48.19,46.44,1740000.0,0.0392
2000-07-10,49.25,48.06,49.81,48.06,2020000.0,0.026000000000000002
2000-07-11,49.69,49.0,49.81,48.75,1400000.0,0.0089
2000-07-12,50.5,49.94,51.25,49.81,2530000.0,0.0163
2000-07-13,53.25,50.25,53.62,49.88,2700000.0,0.0545
2000-07-14,50.38,52.12,52.69,49.25,2120000.0,-0.053899999999999997
2000-07-17,54.0,50.5,54.0,49.62,2380000.0,0.0719
2000-07-18,52.44,53.75,53.75,51.25,1510000.0,-0.028900000000000002
2000-07-19,50.69,52.44,52.62,50.69,1200000.0,-0.0334
2000-07-20,52.88,50.94,53.0,50.94,1750000.0,0.0432
2000-07-21,52.25,53.0,53.0,52.19,1110000.0,-0.011899999999999999
2000-07-24,52.38,52.25,52.38,51.69,1160000.0,0.0025
2000-07-25,53.44,52.81,53.56,52.69,1540000.0,0.0202
2000-07-26,51.75,53.62,53.62,51.62,995300.0,-0.0316
2000-07-27,52.69,52.75,53.44,52.0,2770000.0,0.0182
2000-07-28,50.94,52.94,53.94,50.5,1460000.0,-0.0332
2000-07-31,53.44,51.25,54.44,51.25,2040000.0,0.049100000000000005
2000-08-01,55.75,53.44,56.19,53.38,1980000.0,0.0432
2000-08-02,54.44,55.44,55.81,53.94,2160000.0,-0.0235
2000-08-03,52.69,54.25,54.25,52.38,2000000.0,-0.0321
2000-08-04,52.81,52.69,53.38,51.25,1800000.0,0.0023
2000-08-07,54.7,53.5,54.81,53.38,1770000.0,0.0358
2000-08-08,57.75,56.5,57.94,55.75,2029999.9999999998,0.0558
2000-08-09,55.61,57.75,58.81,55.56,1710000.0,-0.0371
2000-08-10,53.83,55.12,55.19,53.19,1800000.0,-0.032
2000-08-11,54.7,53.88,55.0,53.62,1120000.0,0.016200000000000003
2000-08-14,58.75,55.62,59.69,55.31,2750000.0,0.07400000000000001
2000-08-15,56.88,57.25,57.5,56.5,1720000.0,-0.0318
2000-08-16,56.08,57.0,57.0,55.75,1400000.0,-0.0141
2000-08-17,58.62,57.12,58.69,57.0,1900000.0,0.0453
2000-08-18,58.75,58.5,59.75,58.31,1900000.0,0.0022
2000-08-21,57.38,58.12,58.19,57.0,1590000.0,-0.0233
2000-08-22,57.56,57.88,58.5,57.06,1690000.0,0.0031
2000-08-23,59.12,58.19,59.44,57.75,2110000.0,0.0271
2000-08-24,58.75,59.0,59.06,57.5,1420000.0,-0.0063
2000-08-25,57.19,58.5,58.62,57.0,2000000.0,-0.026600000000000002
2000-08-28,58.94,57.25,59.31,57.19,1240000.0,0.030600000000000002
2000-08-29,58.5,58.12,58.75,58.0,1330000.0,-0.0075
2000-08-30,61.62,60.5,63.0,59.88,3410000.0,0.0533
2000-08-31,63.64,61.0,63.94,61.0,2560000.0,0.032799999999999996
2000-09-01,67.0,63.75,67.02,63.44,1660000.0,0.0528
2000-09-05,65.25,66.75,66.75,62.38,2420000.0,-0.026099999999999998
2000-09-06,61.75,63.0,63.25,60.25,3270000.0,-0.0536
2000-09-07,61.38,61.75,62.62,60.81,1530000.0,-0.006
2000-09-08,61.02,61.5,61.69,59.62,2260000.0,-0.0059
2000-09-11,64.58,61.0,65.5,61.0,2350000.0,0.0583
2000-09-12,65.69,64.75,65.88,63.75,1950000.0,0.0172
2000-09-13,65.25,66.69,67.5,64.56,2350000.0,-0.0067
2000-09-14,65.94,66.0,66.31,64.88,1840000.0,0.0106
