Date,Close,Open,High,Low,Volume,Change
2000-01-03,29.5,30.94,31.0,29.5,1620000.0,-0.0542
2000-01-04,29.88,29.56,30.0,29.56,456400.0,0.0129
2000-01-05,30.69,29.81,31.0,29.69,1840000.0,0.0271
2000-01-06,30.44,30.69,31.12,30.12,366500.0,-0.008100000000000001
2000-01-07,31.12,30.88,31.25,30.62,531300.0,0.0223
2000-01-10,30.69,30.94,31.31,30.44,257800.0,-0.0138
2000-01-11,31.5,30.56,31.56,30.56,1470000.0,0.0264
2000-01-12,31.31,31.31,31.5,31.06,1520000.0,-0.006
2000-01-13,31.62,31.56,32.0,31.31,492700.0,0.009899999999999999
2000-01-14,31.19,31.62,31.62,30.88,276700.0,-0.013600000000000001
2000-01-18,30.56,31.0,31.0,30.44,418900.0,-0.0202
2000-01-19,30.88,30.62,31.12,30.5,512299.99999999994,0.0105
2000-01-20,30.94,30.94,31.12,30.31,391500.0,0.0019
2000-01-21,31.38,31.0,31.62,30.62,567300.0,0.014199999999999999
2000-01-24,31.25,31.5,32.06,31.25,657300.0,-0.0040999999999999995
2000-01-25,30.69,31.31,31.31,30.5,714500.0,-0.0179
2000-01-26,30.44,30.88,30.88,30.0,1110000.0,-0.008100000000000001
2000-01-27,30.0,30.69,30.69,29.94,572300.0,-0.014499999999999999
2000-01-28,29.5,29.75,30.25,29.44,514299.99999999994,-0.0167
2000-01-31,30.0,29.75,30.38,29.31,982200.0,0.0169
2000-02-01,23.5,26.12,26.62,22.75,4030000.0000000005,-0.2167
2000-02-02,21.38,23.0,23.0,20.31,6260000.0,-0.0902
2000-02-03,21.94,21.19,22.31,21.06,5040000.0,0.0262
2000-02-04,20.38,21.88,22.0,20.12,3310000.0,-0.0711
2000-02-07,20.31,20.38,20.56,20.06,698100.0,-0.0034000000000000002
2000-02-08,20.31,20.38,20.69,20.25,807100.0,0.0
2000-02-09,19.94,20.31,20.38,19.81,1280000.0,-0.0182
2000-02-10,18.75,19.94,19.94,18.06,2790000.0,-0.059699999999999996
2000-02-11,18.62,18.81,18.81,18.06,1120000.0,-0.0069
2000-02-14,19.19,18.75,19.38,18.62,714400.0,0.030600000000000002
2000-02-15,19.38,19.5,19.75,19.25,746200.0,0.009899999999999999
2000-02-16,18.69,19.12,19.31,18.5,920000.0,-0.0356
2000-02-17,18.38,18.69,18.69,18.0,1280000.0,-0.0166
2000-02-18,18.31,18.31,18.5,17.94,907200.0,-0.0038
2000-02-22,18.25,18.31,18.38,17.94,685400.0,-0.0033
2000-02-23,17.56,18.44,18.44,17.5,1080000.0,-0.0378
2000-02-24,17.0,17.69,17.69,16.88,697500.0,-0.0319
2000-02-25,16.44,17.0,17.0,16.19,757300.0,-0.0329
2000-02-28,16.5,16.69,16.69,16.06,816200.0,0.0036
2000-02-29,16.75,16.62,16.94,16.56,914200.0,0.0152
2000-03-01,16.94,16.75,17.0,16.69,487000.0,0.0113
2000-03-02,16.88,16.94,17.25,16.88,1120000.0,-0.0034999999999999996
2000-03-03,17.06,17.0,17.12,16.81,899300.0,0.010700000000000001
2000-03-06,17.31,17.75,18.0,17.0,1820000.0,0.0147
2000-03-07,17.25,17.31,17.5,17.12,842300.0,-0.0034999999999999996
2000-03-08,17.19,17.25,17.38,17.06,850000.0,-0.0034999999999999996
2000-03-09,17.12,17.19,17.25,16.88,589200.0,-0.0040999999999999995
2000-03-10,17.19,17.06,17.38,17.06,450800.0,0.0040999999999999995
2000-03-13,17.19,17.25,17.44,17.12,537800.0,0.0
2000-03-14,17.5,17.25,17.5,17.06,1940000.0,0.018000000000000002
2000-03-15,18.75,17.5,18.88,17.31,2770000.0,0.07139999999999999
2000-03-16,19.44,19.12,19.62,18.75,455000.0,0.0368
2000-03-17,19.06,19.5,19.69,19.0,819300.0,-0.0195
2000-03-20,19.44,19.25,19.56,19.19,579900.0,0.0199
2000-03-21,19.38,19.31,19.62,19.12,431100.0,-0.0031
2000-03-22,18.88,19.38,19.56,18.44,1020000.0,-0.0258
2000-03-23,19.0,19.06,19.12,18.5,709900.0,0.0064
2000-03-24,19.06,19.0,19.31,18.81,328400.0,0.0032
2000-03-27,19.0,19.25,19.75,19.0,625600.0,-0.0031
2000-03-28,18.94,19.06,19.38,18.75,835300.0,-0.0032
2000-03-29,18.88,18.69,19.25,18.62,851200.0,-0.0032
2000-03-30,18.75,19.25,19.38,18.62,946900.0,-0.0069
2000-03-31,18.12,18.75,18.75,18.0,2420000.0,-0.0336
2000-04-03,18.0,18.19,18.25,17.88,1080000.0,-0.0066
2000-04-04,18.19,18.0,18.62,17.75,661400.0,0.0106
2000-04-05,18.44,18.19,18.69,18.06,673300.0,0.0137
2000-04-06,18.25,18.5,18.56,18.25,677200.0,-0.0103
2000-04-07,18.25,18.31,18.38,18.19,786100.0,0.0
2000-04-10,18.44,18.25,18.62,18.06,456700.0,0.0104
2000-04-11,18.56,18.69,18.75,18.5,406700.0,0.006500000000000001
2000-04-12,18.75,18.62,19.19,18.62,609500.0,0.0102
2000-04-13,19.5,18.62,19.69,18.62,1080000.0,0.04
2000-04-14,19.38,19.69,19.69,18.69,815500.0,-0.0062
2000-04-17,19.38,19.25,19.38,18.62,459700.0,0.0
2000-04-18,19.44,19.25,19.62,18.94,926800.0,0.0031
2000-04-19,19.19,18.88,19.19,18.88,433500.0,-0.0129
2000-04-20,18.88,19.0,19.19,18.88,314300.0,-0.016200000000000003
2000-04-24,19.5,18.94,19.56,18.75,496600.0,0.032799999999999996
2000-04-25,19.81,19.25,19.88,18.75,591600.0,0.0159
2000-04-26,19.5,19.88,19.88,19.25,744100.0,-0.015600000000000001
2000-04-27,18.69,19.44,19.44,18.56,3670000.0,-0.0415
2000-04-28,19.0,18.75,19.12,18.38,3330000.0,0.0166
2000-05-01,20.06,19.12,20.12,19.12,2120000.0,0.0558
2000-05-02,20.94,20.06,21.19,20.06,3230000.0,0.043899999999999995
2000-05-03,20.56,20.69,20.69,20.19,593500.0,-0.0181
2000-05-04,21.38,20.62,21.75,20.44,1070000.0,0.039900000000000005
2000-05-05,21.06,21.38,21.38,20.75,400100.0,-0.015
2000-05-08,21.56,21.5,21.88,21.5,1240000.0,0.023700000000000002
2000-05-09,21.44,21.62,21.62,21.38,860200.0,-0.005600000000000001
2000-05-10,21.31,21.44,21.44,21.12,586400.0,-0.0060999999999999995
2000-05-11,21.88,21.44,21.88,21.25,997000.0,0.026699999999999998
2000-05-12,21.25,21.94,22.19,21.19,536400.0,-0.0288
2000-05-15,21.75,21.5,21.94,21.38,1090000.0,0.0235
2000-05-16,22.12,21.94,22.44,21.56,495100.0,0.017
2000-05-17,21.81,22.38,22.38,21.62,425600.0,-0.013999999999999999
2000-05-18,22.12,21.69,22.62,21.56,568700.0,0.014199999999999999
2000-05-19,21.69,21.88,22.19,21.62,505100.0,-0.0194
2000-05-22,21.88,21.81,22.06,21.56,531600.0,0.0088
2000-05-23,21.5,21.88,21.94,21.31,599200.0,-0.0174
2000-05-24,22.06,21.75,22.62,21.69,498700.0,0.026000000000000002
2000-05-25,21.94,22.19,22.25,21.69,703500.0,-0.0054
2000-05-26,22.38,21.81,22.5,21.75,322300.0,0.020099999999999996
2000-05-30,22.12,22.75,22.94,22.0,318700.0,-0.0116
2000-05-31,22.75,22.25,23.19,22.19,819000.0,0.0285
2000-06-01,23.12,23.25,23.5,23.06,1700000.0,0.0163
2000-06-02,23.5,23.5,23.69,23.12,726200.0,0.016399999999999998
2000-06-05,22.69,23.31,23.38,22.62,552700.0,-0.0345
2000-06-06,22.44,22.75,23.12,22.25,564500.0,-0.011000000000000001
2000-06-07,22.31,22.69,22.88,22.31,286400.0,-0.0058
2000-06-08,22.12,22.44,22.44,21.94,302600.0,-0.0085
2000-06-09,22.69,22.31,22.69,22.25,340100.0,0.0258
2000-06-12,23.06,22.5,23.12,22.5,661900.0,0.0163
2000-06-13,22.88,23.12,23.19,22.75,411600.0,-0.0078000000000000005
2000-06-14,22.88,23.06,23.06,22.75,339600.0,0.0
2000-06-15,23.31,22.75,23.31,22.75,739400.0,0.018799999999999997
2000-06-16,23.25,23.31,23.5,23.0,1240000.0,-0.0026
2000-06-19,23.0,23.31,23.44,22.88,438300.0,-0.0108
2000-06-20,22.62,22.88,23.0,22.62,393400.0,-0.0165
2000-06-21,22.69,22.75,23.06,22.62,436100.0,0.0031
2000-06-22,22.69,22.94,22.94,22.38,594100.0,0.0
2000-06-23,22.5,22.62,22.88,22.44,1000000.0,-0.0084
2000-06-26,22.56,22.38,22.94,22.38,725100.0,0.0027
2000-06-27,22.25,22.81,22.81,22.12,759900.0,-0.0137
2000-06-28,22.58,22.25,22.94,21.81,482700.0,0.0148
2000-06-29,22.5,22.44,23.0,22.25,524300.0,-0.0034999999999999996
2000-06-30,22.12,22.31,23.06,21.88,966200.0,-0.0169
2000-07-03,22.88,22.19,23.31,22.06,376800.0,0.0344
2000-07-05,22.75,22.88,23.44,22.38,553300.0,-0.005699999999999999
2000-07-06,22.5,22.75,23.19,22.5,287100.0,-0.011000000000000001
2000-07-07,22.81,22.69,22.94,22.5,502000.0,0.0138
2000-07-10,22.75,22.81,22.94,22.69,595700.0,-0.0026
2000-07-11,22.69,22.94,23.19,22.56,590400.0,-0.0026
2000-07-12,23.12,22.81,23.38,22.81,351500.0,0.019
2000-07-13,23.44,23.0,23.44,23.0,621600.0,0.0138
2000-07-14,23.56,23.38,23.75,23.31,508800.0,0.0051
2000-07-17,23.41,23.56,23.69,23.25,374200.0,-0.0064
2000-07-18,23.88,23.5,23.94,23.25,557700.0,0.020099999999999996
2000-07-19,24.88,24.38,24.88,24.31,628100.0,0.04190000000000001
2000-07-20,24.81,24.88,25.0,24.75,734700.0,-0.0028000000000000004
