Date,Close,Open,High,Low,Volume,Change
2000-01-03,41.19,42.68,42.74,41.03,756730.0,-0.0374
2000-01-04,41.83,41.14,42.26,40.76,606070.0,0.0155
2000-01-05,43.54,42.26,44.12,41.83,1300000.0,0.0409
2000-01-06,44.71,44.18,44.92,43.96,787270.0,0.0269
2000-01-07,45.88,45.14,45.99,45.03,1060000.0,0.0262
2000-01-10,45.83,45.94,45.99,45.62,723800.0,-0.0011
2000-01-11,45.24,45.24,45.72,44.92,633470.0,-0.0129
2000-01-12,45.78,45.19,46.1,45.19,500400.0,0.011899999999999999
2000-01-13,46.15,45.83,46.58,45.51,574870.0,0.008100000000000001
2000-01-14,46.47,46.15,46.74,45.88,766200.0,0.0069
2000-01-18,45.72,45.88,46.1,45.3,456800.0,-0.0161
2000-01-19,47.0,46.1,47.0,45.83,675800.0,0.027999999999999997
2000-01-20,47.64,47.22,47.7,46.84,674070.0,0.013600000000000001
2000-01-21,48.23,47.91,48.66,47.8,714470.0,0.0124
2000-01-24,48.87,48.45,49.19,48.18,732870.0,0.013300000000000001
2000-01-25,48.71,49.09,49.46,48.07,749530.0,-0.0033
2000-01-26,48.93,48.77,49.46,48.55,532600.0,0.0045000000000000005
2000-01-27,49.41,48.87,49.41,48.39,645730.0,0.0098
2000-01-28,48.66,49.19,49.19,47.96,519730.0,-0.0152
2000-01-31,49.3,48.66,49.46,48.23,528130.0,0.0132
2000-02-01,49.14,49.19,49.41,48.5,390130.0,-0.0032
2000-02-02,48.29,49.14,49.19,48.07,570000.0,-0.0173
2000-02-03,47.91,48.29,48.98,47.43,1140000.0,-0.0079
2000-02-04,45.94,47.38,47.48,45.78,661400.0,-0.041100000000000005
2000-02-07,45.3,45.88,46.84,45.03,540930.0,-0.0139
2000-02-08,45.72,45.4,46.79,45.35,987270.0,0.009300000000000001
2000-02-09,44.34,44.5,45.14,44.23,969600.0,-0.0302
2000-02-10,43.64,44.44,44.66,43.54,880870.0,-0.0158
2000-02-11,43.7,43.96,44.18,43.32,539730.0,0.0014000000000000002
2000-02-14,43.96,44.34,44.34,43.64,549600.0,0.0059
2000-02-15,43.38,43.75,44.23,43.27,459070.0,-0.0132
2000-02-16,43.64,43.48,43.64,43.11,472000.0,0.006
2000-02-17,44.07,44.18,44.28,43.64,740000.0,0.009899999999999999
2000-02-18,44.12,44.44,44.44,43.86,954800.0,0.0011
2000-02-22,43.22,43.96,44.23,43.16,806600.0,-0.0204
2000-02-23,42.47,42.9,42.9,41.99,824470.0,-0.0174
2000-02-24,41.3,42.26,42.26,40.76,660800.0,-0.0275
2000-02-25,40.44,41.19,41.51,40.23,565600.0,-0.0208
2000-02-28,41.35,40.5,41.72,40.28,596930.0,0.0225
2000-02-29,41.4,41.4,41.62,41.03,527870.0,0.0012
2000-03-01,41.03,41.94,42.04,40.34,641530.0,-0.0089
2000-03-02,41.08,40.82,41.46,40.76,356200.0,0.0012
2000-03-03,42.15,41.24,42.42,41.24,482330.0,0.026000000000000002
2000-03-06,41.94,41.94,42.42,40.82,1040000.0,-0.005
2000-03-07,40.92,41.94,42.84,40.6,1040000.0,-0.024300000000000002
2000-03-08,40.66,40.98,41.88,40.55,754000.0,-0.0064
2000-03-09,40.5,40.66,40.92,39.8,696600.0,-0.0039000000000000003
2000-03-10,39.59,40.12,40.23,39.05,892670.0,-0.0225
2000-03-13,39.7,39.16,40.12,39.16,937930.0,0.0028000000000000004
2000-03-14,40.02,39.91,40.34,39.75,973670.0,0.008100000000000001
2000-03-15,42.2,40.02,42.26,40.02,918600.0,0.0545
2000-03-16,44.12,42.42,45.24,42.42,831730.0,0.0455
2000-03-17,42.9,44.18,44.23,42.74,933870.0,-0.0277
2000-03-20,42.04,42.58,42.68,41.83,527330.0,-0.02
2000-03-21,41.72,42.04,42.42,41.19,811470.0,-0.0076
2000-03-22,41.35,41.19,41.62,40.5,783870.0,-0.0089
2000-03-23,42.26,41.4,43.06,41.19,2520000.0,0.022000000000000002
2000-03-24,42.68,42.58,43.11,42.04,858930.0,0.009899999999999999
2000-03-27,43.48,42.47,44.02,42.47,760930.0,0.0187
2000-03-28,42.79,43.54,43.7,42.79,787670.0,-0.0159
2000-03-29,44.02,43.0,44.39,43.0,1020000.0,0.0287
2000-03-30,44.18,43.96,44.34,43.86,1310000.0,0.0036
2000-03-31,44.82,44.07,45.19,43.8,834330.0,0.014499999999999999
2000-04-03,46.1,44.82,46.1,44.76,863400.0,0.0286
2000-04-04,48.02,46.1,48.45,45.99,1690000.0,0.0416
2000-04-05,45.99,48.02,48.39,45.78,753470.0,-0.042300000000000004
2000-04-06,45.08,46.1,46.36,44.92,753670.0,-0.019799999999999998
2000-04-07,44.66,44.87,45.56,44.28,678730.0,-0.009300000000000001
2000-04-10,46.15,44.44,46.26,44.39,657730.0,0.0334
2000-04-11,47.11,46.26,47.43,46.26,866530.0,0.0208
2000-04-12,48.18,47.16,48.61,47.11,1090000.0,0.0227
2000-04-13,48.98,47.96,49.41,47.64,1140000.0,0.0166
2000-04-14,46.79,48.87,49.57,46.47,982870.0,-0.0447
2000-04-17,47.43,46.84,48.12,46.58,819800.0,0.0137
2000-04-18,46.2,47.38,47.86,45.78,737530.0,-0.0259
2000-04-19,46.9,46.42,46.9,45.4,672400.0,0.0152
2000-04-20,48.23,47.38,48.23,47.22,956400.0,0.028399999999999998
2000-04-24,49.3,48.23,49.51,48.23,651000.0,0.0222
2000-04-25,49.99,49.3,50.79,49.09,812470.0,0.013999999999999999
2000-04-26,50.85,50.53,51.38,50.15,1170000.0,0.0172
2000-04-27,50.15,50.58,50.63,49.62,784130.0,-0.0138
2000-04-28,49.09,49.73,49.73,48.45,919800.0,-0.021099999999999997
2000-05-01,49.94,49.09,50.26,48.02,1070000.0,0.0173
2000-05-02,48.45,49.94,50.21,48.23,759000.0,-0.0298
2000-05-03,48.55,48.34,49.03,48.02,396400.0,0.0021
2000-05-04,49.46,48.45,50.31,47.8,640330.0,0.0187
2000-05-05,49.35,49.51,49.73,48.29,529730.0,-0.0022
2000-05-08,50.05,49.83,51.81,49.51,1120000.0,0.014199999999999999
2000-05-09,50.37,50.05,50.53,49.83,777330.0,0.0064
2000-05-10,51.75,50.05,52.07,50.05,1650000.0,0.0274
2000-05-11,53.3,51.75,53.3,51.38,1230000.0,0.03
2000-05-12,51.93,53.14,53.19,51.27,745470.0,-0.025699999999999997
2000-05-15,52.66,52.02,52.82,51.75,562070.0,0.0141
2000-05-16,51.17,52.77,52.77,50.74,957200.0,-0.028300000000000002
2000-05-17,50.47,50.95,50.95,49.73,691130.0,-0.0137
2000-05-18,51.06,50.26,51.54,50.26,688800.0,0.011699999999999999
2000-05-19,52.45,50.9,52.61,50.9,887730.0,0.027200000000000002
2000-05-22,53.35,52.45,53.57,52.34,942330.0,0.0172
2000-05-23,50.95,53.25,53.25,50.63,1040000.0,-0.045
2000-05-24,50.79,50.74,51.81,50.26,1040000.0,-0.0031
2000-05-25,50.53,51.22,51.22,50.1,676130.0,-0.0051
2000-05-26,51.06,49.94,51.86,49.51,1010000.0,0.0105
2000-05-30,49.89,51.33,51.33,49.46,1040000.0,-0.0229
2000-05-31,49.73,49.67,50.31,49.57,705330.0,-0.0032
2000-06-01,49.62,49.62,49.94,48.87,686470.0,-0.0022
2000-06-02,49.25,49.51,49.57,48.93,894870.0,-0.0075
2000-06-05,48.34,48.87,48.93,47.86,441130.0,-0.018500000000000003
2000-06-06,49.41,48.5,49.99,48.5,869200.0,0.022099999999999998
2000-06-07,49.35,49.83,49.89,49.03,351070.0,-0.0012
2000-06-08,49.73,49.51,50.1,49.51,552930.0,0.0077
2000-06-09,50.79,50.1,51.01,50.05,501800.0,0.0213
2000-06-12,50.81,50.95,51.22,50.69,433730.0,0.0004
2000-06-13,51.49,51.22,51.65,51.11,631400.0,0.0134
2000-06-14,51.22,51.86,51.86,50.85,578200.0,-0.0052
2000-06-15,51.86,51.27,52.23,51.27,708530.0,0.0125
2000-06-16,52.63,51.65,53.09,51.65,1010000.0,0.0148
2000-06-19,52.18,52.82,52.98,51.91,723000.0,-0.0086
2000-06-20,51.11,51.86,51.97,50.37,1140000.0,-0.020499999999999997
2000-06-21,50.95,51.17,51.81,50.79,986600.0,-0.0031
2000-06-22,50.1,50.9,50.9,49.78,1040000.0,-0.0167
2000-06-23,50.69,50.15,50.95,50.1,588470.0,0.0118
2000-06-26,50.47,50.69,50.74,49.99,574400.0,-0.0043
2000-06-27,49.25,50.26,50.37,48.77,873670.0,-0.0242
2000-06-28,50.41,49.51,50.47,48.34,920400.0,0.0236
2000-06-29,49.25,50.15,50.85,49.25,507400.0,-0.023
2000-06-30,48.12,49.25,50.63,47.8,958930.0,-0.0229
2000-07-03,49.25,48.34,49.99,48.34,250530.0,0.0235
2000-07-05,48.34,49.41,50.05,48.18,520470.0,-0.018500000000000003
2000-07-06,49.62,48.5,49.62,48.45,588130.0,0.0265
2000-07-07,51.22,49.57,51.65,49.57,1140000.0,0.0322
2000-07-10,51.86,51.43,52.5,51.43,759130.0,0.0125
2000-07-11,52.39,51.43,52.5,51.38,674270.0,0.0102
2000-07-12,51.97,52.18,52.23,51.81,465470.0,-0.008
2000-07-13,52.34,51.97,52.39,51.7,376470.0,0.0070999999999999995
2000-07-14,51.75,52.39,52.93,51.54,529930.0,-0.0113
2000-07-17,51.99,51.54,52.39,51.54,891930.0,0.0046
2000-07-18,52.98,52.13,53.25,52.07,408000.0,0.019
2000-07-19,54.69,53.14,55.27,53.09,1110000.0,0.0323
2000-07-20,53.3,54.85,54.85,53.25,1160000.0,-0.0254
2000-07-21,53.14,53.78,54.31,53.09,451730.0,-0.003
2000-07-24,53.25,52.93,53.35,52.29,359470.0,0.0021
2000-07-25,54.15,53.14,54.31,53.09,495670.0,0.0169
2000-07-26,53.3,54.05,54.1,53.3,597930.0,-0.015700000000000002
2000-07-27,53.99,53.35,54.42,53.35,780330.0,0.0129
2000-07-28,53.78,53.83,54.26,53.46,546000.0,-0.0039000000000000003
2000-07-31,52.66,53.78,54.31,52.34,652070.0,-0.0208
2000-08-01,54.05,53.09,54.21,53.09,505000.0,0.0264
2000-08-02,55.49,54.1,55.59,53.99,1440000.0,0.026600000000000002
2000-08-03,57.32,55.27,57.73,55.22,1920000.0,0.033
2000-08-04,57.84,56.87,58.05,56.07,1710000.0,0.0091
2000-08-07,59.08,57.73,59.33,57.57,1080000.0,0.021400000000000002
2000-08-08,59.7,59.17,59.86,58.64,1110000.0,0.0105
2000-08-09,57.77,59.12,59.33,57.62,1320000.0,-0.0323
2000-08-10,57.8,57.94,57.94,56.98,684000.0,0.0005
2000-08-11,58.1,57.78,58.85,57.73,751870.0,0.0052
2000-08-14,59.06,58.21,59.17,58.05,1340000.0,0.0165
2000-08-15,59.17,58.85,59.86,58.64,869870.0,0.0019
2000-08-16,58.81,59.54,59.54,58.8,576870.0,-0.0060999999999999995
2000-08-17,59.28,59.12,59.54,58.64,563730.0,0.008
2000-08-18,59.38,59.06,59.6,58.74,472270.0,0.0017000000000000001
2000-08-21,59.49,59.44,59.7,58.9,554200.0,0.0019
2000-08-22,60.02,59.49,60.24,59.22,684670.0,0.0089
2000-08-23,60.82,59.81,61.2,59.7,779600.0,0.013300000000000001
2000-08-24,60.18,60.61,60.66,60.18,920470.0,-0.0105
2000-08-25,60.13,60.13,60.34,59.76,638070.0,-0.0008
2000-08-28,61.2,60.29,61.73,60.18,703070.0,0.0178
2000-08-29,61.3,61.09,61.68,60.93,578470.0,0.0016
2000-08-30,62.74,61.3,62.85,61.2,883330.0,0.0235
2000-08-31,63.88,62.74,64.72,62.74,1400000.0,0.0182
2000-09-01,63.83,63.97,64.13,63.65,748270.0,-0.0008
2000-09-05,65.52,63.81,65.95,63.76,1060000.0,0.0265
2000-09-06,67.33,66.16,67.87,66.11,1290000.0,0.0276
2000-09-07,66.37,66.27,66.96,66.27,1520000.0,-0.0143
2000-09-08,68.58,66.75,68.61,66.75,1350000.0,0.0333
2000-09-11,71.17,69.15,71.35,69.15,1610000.0,0.0378
2000-09-12,71.97,71.39,72.51,69.84,2370000.0,0.011200000000000002
2000-09-13,71.23,72.13,72.88,70.53,1490000.0,-0.0103
2000-09-14,70.64,70.64,70.64,67.87,1650000.0,-0.0083
2000-09-15,69.38,69.25,70.37,69.04,1570000.0,-0.0178
2000-09-18,69.61,68.51,70.21,68.45,854400.0,0.0033
2000-09-19,66.37,70.05,70.32,66.32,1440000.0,-0.04650000000000001
2000-09-20,65.3,66.37,66.48,64.02,1880000.0,-0.0161
2000-09-21,63.81,64.93,65.52,62.9,1370000.0,-0.022799999999999997
2000-09-22,64.77,64.24,65.2,63.81,1680000.0,0.015
2000-09-25,67.81,66.27,67.97,65.84,1150000.0,0.046900000000000004
2000-09-26,70.32,67.97,70.75,67.97,1280000.0,0.037000000000000005
2000-09-27,70.07,70.32,70.37,68.83,1570000.0,-0.0036
2000-09-28,72.51,70.05,72.51,69.95,1550000.0,0.0348
2000-09-29,73.22,72.45,74.59,72.29,1480000.0,0.0098
2000-10-02,74.21,73.2,74.27,72.24,1450000.0,0.013500000000000002
2000-10-03,73.31,74.27,74.8,73.2,1920000.0,-0.0121
2000-10-04,70.59,72.67,73.57,68.93,2040000.0,-0.0371
2000-10-05,68.67,70.59,71.6,68.03,1200000.0,-0.027200000000000002
2000-10-06,69.84,68.93,70.8,68.93,1170000.0,0.017
2000-10-09,70.37,69.89,70.8,69.89,579330.0,0.0076
2000-10-10,71.44,70.69,72.51,70.64,941930.0,0.0152
2000-10-11,71.55,72.35,72.93,70.48,911000.0,0.0015
2000-10-12,70.85,71.28,72.24,70.16,849070.0,-0.0098
2000-10-13,72.67,70.91,73.2,70.85,1300000.0,0.025699999999999997
2000-10-16,73.95,72.61,74.7,72.45,1000000.0,0.0176
2000-10-17,75.12,73.95,75.12,73.79,1140000.0,0.0158
2000-10-18,74.27,75.76,76.62,74.0,2160000.0,-0.0113
2000-10-19,74.16,74.43,74.59,73.09,1390000.0,-0.0015
2000-10-20,73.68,74.0,74.21,72.56,983130.0,-0.006500000000000001
2000-10-23,72.51,73.63,74.11,72.4,934670.0,-0.0159
2000-10-24,72.13,72.67,73.31,71.39,797330.0,-0.0052
2000-10-25,71.44,72.51,73.2,71.28,1030000.0,-0.0096
2000-10-26,69.31,71.23,71.23,68.56,1270000.0,-0.0298
2000-10-27,70.85,68.83,71.17,67.28,1210000.0,0.0222
2000-10-30,73.09,71.71,74.27,71.71,935600.0,0.0316
2000-10-31,73.79,73.09,74.21,71.97,654330.0,0.0096
2000-11-01,74.05,73.79,74.7,73.63,1180000.0,0.0034999999999999996
2000-11-02,72.35,74.05,74.05,72.29,1220000.0,-0.023
2000-11-03,72.61,72.45,73.79,72.35,1080000.0,0.0036
2000-11-06,72.93,72.83,73.68,72.77,470670.0,0.0044
2000-11-07,72.77,72.77,73.2,71.87,614670.0,-0.0022
2000-11-08,72.29,72.77,73.2,72.08,564470.0,-0.0066
2000-11-09,73.84,72.67,74.11,72.29,952670.0,0.021400000000000002
2000-11-10,74.7,73.95,74.91,73.84,1030000.0,0.0116
2000-11-13,74.05,74.59,75.66,73.47,1260000.0,-0.0087
2000-11-14,72.24,74.05,74.05,71.71,1810000.0,-0.024399999999999998
2000-11-15,72.99,71.92,73.2,71.92,1070000.0,0.0104
2000-11-16,74.27,73.79,74.27,73.41,890600.0,0.0175
2000-11-17,75.34,74.27,75.34,73.73,807870.0,0.0144
2000-11-20,75.71,75.92,76.46,75.34,775400.0,0.0049
2000-11-21,73.41,75.12,75.18,72.83,1070000.0,-0.0304
2000-11-22,73.47,73.41,73.84,72.72,754330.0,0.0008
2000-11-24,73.41,73.41,73.68,73.2,305130.0,-0.0008
2000-11-27,72.93,73.41,73.52,72.03,655400.0,-0.006500000000000001
2000-11-28,73.47,72.56,73.68,72.4,939130.0,0.0074
2000-11-29,74.48,73.52,74.64,73.25,989530.0,0.0137
2000-11-30,76.78,74.7,77.2,74.64,2410000.0,0.030899999999999997
