Date,Close,Open,High,Low,Volume,Change
2000-01-03,33.75,34.38,34.44,33.75,581900.0,-0.0217
2000-01-04,34.19,33.56,34.31,33.56,602400.0,0.013000000000000001
2000-01-05,35.75,34.38,35.88,34.38,817800.0,0.045599999999999995
2000-01-06,35.81,35.25,35.88,35.06,681900.0,0.0017000000000000001
2000-01-07,36.06,35.81,36.19,35.62,391100.0,0.006999999999999999
2000-01-10,35.12,36.12,36.12,35.0,481700.0,-0.026099999999999998
2000-01-11,34.44,35.12,35.25,34.31,544600.0,-0.0194
2000-01-12,34.56,34.44,35.0,34.38,749000.0,0.0034999999999999996
2000-01-13,34.25,34.88,34.88,34.0,452600.0,-0.009000000000000001
2000-01-14,33.69,34.12,34.38,33.56,646700.0,-0.016399999999999998
2000-01-18,32.62,33.25,33.44,32.5,740500.0,-0.0318
2000-01-19,33.25,32.88,33.5,32.81,453700.0,0.019299999999999998
2000-01-20,32.88,33.25,33.38,32.81,526300.0,-0.0111
2000-01-21,33.56,33.12,34.25,33.0,695400.0,0.0207
2000-01-24,34.0,34.38,34.5,34.0,643500.0,0.0131
2000-01-25,33.0,34.12,34.25,32.88,492000.0,-0.0294
2000-01-26,34.0,33.25,34.0,33.0,341600.0,0.030299999999999997
2000-01-27,33.31,34.0,34.25,32.81,469400.0,-0.0203
2000-01-28,32.56,33.31,33.81,32.5,631600.0,-0.0225
2000-01-31,32.69,32.62,32.88,32.31,555800.0,0.004
2000-02-01,32.88,32.75,33.06,32.5,626500.0,0.0058
2000-02-02,32.5,32.88,33.0,32.31,394000.0,-0.0116
2000-02-03,32.81,32.56,33.12,32.5,1020000.0,0.0095
2000-02-04,32.25,32.81,32.88,31.62,864300.0,-0.0171
2000-02-07,31.56,32.31,32.38,31.56,467400.0,-0.021400000000000002
2000-02-08,31.5,31.38,31.62,31.19,579100.0,-0.0019
2000-02-09,31.44,31.44,31.69,31.31,845300.0,-0.0019
2000-02-10,31.81,31.44,32.06,31.44,690400.0,0.0118
2000-02-11,32.12,31.94,32.12,31.88,1650000.0,0.0097
2000-02-14,31.25,31.75,31.88,31.06,1230000.0,-0.0271
2000-02-15,31.06,31.25,31.38,31.0,389600.0,-0.0060999999999999995
2000-02-16,30.81,30.94,30.94,30.44,349700.0,-0.008
2000-02-17,29.25,30.81,30.81,29.12,1470000.0,-0.0506
2000-02-18,28.12,29.25,29.25,28.0,1250000.0,-0.038599999999999995
2000-02-22,27.88,28.25,28.25,27.81,961700.0,-0.0085
2000-02-23,27.5,27.94,27.94,27.5,1120000.0,-0.013600000000000001
2000-02-24,26.75,27.5,27.56,26.31,1130000.0,-0.0273
2000-02-25,26.19,26.75,27.25,26.19,854600.0,-0.0209
2000-02-28,27.38,26.75,27.81,26.5,1130000.0,0.0454
2000-02-29,27.56,27.31,27.81,27.25,609200.0,0.0066
2000-03-01,27.12,27.75,27.88,26.81,723200.0,-0.016
2000-03-02,27.25,27.0,27.44,27.0,551900.0,0.0048
2000-03-03,27.38,27.5,27.88,27.25,415500.0,0.0048
2000-03-06,27.44,27.38,27.62,26.94,1350000.0,0.0022
2000-03-07,27.62,27.5,27.94,27.44,628000.0,0.0066
2000-03-08,27.5,27.5,27.94,27.38,864200.0,-0.0043
2000-03-09,27.5,27.62,27.69,27.25,404300.0,0.0
2000-03-10,27.44,27.5,27.56,27.38,395000.0,-0.0022
2000-03-13,27.69,27.25,27.69,27.25,512900.0,0.0091
2000-03-14,27.62,27.5,27.81,27.38,473700.0,-0.0025
2000-03-15,29.12,27.5,29.12,27.5,790100.0,0.054299999999999994
2000-03-16,31.0,31.0,31.25,30.06,1200000.0,0.0646
2000-03-17,30.69,31.0,31.0,30.56,798100.0,-0.01
2000-03-20,30.69,30.5,30.94,30.44,535200.0,0.0
2000-03-21,30.5,30.75,31.06,30.06,575300.0,-0.0062
2000-03-22,29.38,30.25,30.25,29.19,300100.0,-0.036699999999999997
2000-03-23,30.12,29.44,30.12,29.31,397300.0,0.0252
2000-03-24,29.25,30.06,30.12,29.0,1800000.0,-0.028900000000000002
2000-03-27,29.06,28.75,29.31,28.75,636100.0,-0.006500000000000001
2000-03-28,28.62,29.0,29.12,28.44,761300.0,-0.0151
2000-03-29,29.0,28.75,29.25,28.69,603600.0,0.013300000000000001
2000-03-30,29.12,29.12,29.56,28.81,491900.0,0.0040999999999999995
2000-03-31,29.12,29.38,29.38,28.75,553200.0,0.0
2000-04-03,29.0,29.12,29.44,28.88,798300.0,-0.0040999999999999995
2000-04-04,30.19,29.06,30.19,29.0,1020000.0,0.040999999999999995
2000-04-05,29.81,30.0,30.69,29.56,549300.0,-0.0126
2000-04-06,29.81,30.0,30.19,29.75,373800.0,0.0
2000-04-07,29.69,29.81,29.94,29.5,375000.0,-0.004
2000-04-10,29.94,29.69,30.25,29.69,859600.0,0.0084
2000-04-11,30.31,30.12,30.81,30.0,2580000.0,0.0124
2000-04-12,30.62,30.56,31.31,30.5,452300.0,0.0102
2000-04-13,31.94,30.62,32.38,30.62,409700.0,0.0431
2000-04-14,31.31,31.75,32.19,31.19,615700.0,-0.0197
2000-04-17,31.94,31.12,32.12,30.81,750800.0,0.020099999999999996
2000-04-18,32.25,31.88,32.44,31.81,672000.0,0.0097
2000-04-19,32.5,32.19,32.75,31.88,590600.0,0.0078000000000000005
2000-04-20,33.06,32.5,33.06,32.38,448900.0,0.0172
2000-04-24,34.75,33.12,34.75,33.12,526900.0,0.051100000000000007
2000-04-25,35.62,34.75,35.94,34.31,642000.0,0.025
2000-04-26,36.69,35.69,36.81,35.56,700600.0,0.03
2000-04-27,36.44,36.31,36.75,36.12,813300.0,-0.0068000000000000005
2000-04-28,35.19,36.44,36.62,35.0,856600.0,-0.034300000000000004
2000-05-01,34.5,35.06,35.12,34.0,836600.0,-0.0196
2000-05-02,33.69,34.38,34.88,33.62,310100.0,-0.0235
2000-05-03,33.62,33.62,33.69,33.25,312700.0,-0.0021
2000-05-04,34.31,33.44,34.88,32.94,622500.0,0.020499999999999997
2000-05-05,34.0,34.12,34.12,33.5,174200.0,-0.009000000000000001
2000-05-08,34.5,33.88,35.69,33.69,420900.0,0.0147
2000-05-09,34.25,34.25,34.44,33.75,538400.0,-0.0072
2000-05-10,34.62,34.25,34.75,34.06,683100.0,0.0108
2000-05-11,35.06,34.56,35.19,34.38,385600.0,0.0127
2000-05-12,34.56,34.94,35.06,34.44,1820000.0,-0.0143
2000-05-15,34.5,34.0,34.94,34.0,338100.0,-0.0017000000000000001
2000-05-16,33.62,34.25,34.31,33.12,721400.0,-0.0255
2000-05-17,32.5,33.5,33.5,32.19,439400.0,-0.0333
2000-05-18,32.75,32.75,33.5,32.56,394800.0,0.0077
2000-05-19,33.38,32.62,33.62,32.62,1060000.0,0.0192
2000-05-22,33.81,33.38,34.06,33.31,565300.0,0.0129
2000-05-23,33.25,33.81,33.81,32.81,415100.0,-0.0166
2000-05-24,33.31,33.5,34.06,33.0,439900.0,0.0018
2000-05-25,32.25,33.06,33.06,32.0,828100.0,-0.0318
2000-05-26,32.5,32.25,33.0,32.19,437900.0,0.0078000000000000005
2000-05-30,32.12,32.62,32.62,31.62,335700.0,-0.011699999999999999
2000-05-31,32.62,32.12,32.94,32.12,393200.0,0.015600000000000001
