Date,Close,Open,High,Low,Volume,Change
2000-01-03,25.25,25.75,25.75,25.0,784700.0,-0.0194
2000-01-04,25.31,25.19,25.62,25.0,454900.0,0.0024
2000-01-05,26.38,25.5,26.75,25.44,1250000.0,0.042300000000000004
2000-01-06,25.88,26.31,26.31,25.81,638600.0,-0.019
2000-01-07,25.88,25.94,26.12,25.81,1220000.0,0.0
2000-01-10,25.75,26.06,26.25,25.69,609400.0,-0.005
2000-01-11,25.94,25.69,26.12,25.69,507600.0,0.0074
2000-01-12,25.81,25.81,26.12,25.69,575300.0,-0.005
2000-01-13,25.31,25.69,25.88,25.31,769100.0,-0.0194
2000-01-14,25.25,25.5,25.62,25.19,780300.0,-0.0024
2000-01-18,24.56,25.0,25.0,24.5,600900.0,-0.0273
2000-01-19,24.25,24.38,24.56,24.12,2150000.0,-0.0126
2000-01-20,23.94,24.5,24.5,23.75,956100.0,-0.0128
2000-01-21,24.19,24.0,24.38,23.94,922400.0,0.0104
2000-01-24,23.0,24.12,24.44,23.0,1220000.0,-0.0492
2000-01-25,22.25,23.0,23.12,22.25,1260000.0,-0.0326
2000-01-26,22.19,22.31,22.5,22.12,749800.0,-0.0027
2000-01-27,23.0,22.25,23.0,22.19,1090000.0,0.0365
2000-01-28,23.62,22.75,24.0,22.69,1340000.0,0.027000000000000003
2000-01-31,24.94,23.62,25.0,23.62,1180000.0,0.0559
2000-02-01,25.5,25.0,25.75,25.0,1120000.0,0.0225
2000-02-02,24.94,25.31,25.5,24.75,849100.0,-0.022000000000000002
2000-02-03,25.44,25.06,25.69,25.0,584600.0,0.02
2000-02-04,24.94,25.56,25.56,24.88,621900.0,-0.0197
2000-02-07,24.62,24.94,25.12,24.62,537500.0,-0.0128
2000-02-08,24.62,24.62,25.0,24.62,431200.0,0.0
2000-02-09,23.88,24.62,24.69,23.81,787600.0,-0.0301
2000-02-10,23.38,23.88,24.25,23.38,800700.0,-0.0209
2000-02-11,23.12,23.12,23.38,23.0,2210000.0,-0.0111
2000-02-14,23.5,23.0,23.81,23.0,531100.0,0.016399999999999998
2000-02-15,22.81,23.38,23.44,22.75,899600.0,-0.0294
2000-02-16,22.38,22.75,22.81,22.25,765900.0,-0.0189
2000-02-17,21.94,22.38,22.69,21.94,593300.0,-0.0197
2000-02-18,21.44,22.19,22.19,21.38,1360000.0,-0.022799999999999997
2000-02-22,21.62,21.62,22.0,21.56,1030000.0,0.0084
2000-02-23,21.31,21.5,21.69,21.25,985700.0,-0.0143
2000-02-24,20.38,21.19,21.31,20.0,951100.0,-0.0436
2000-02-25,20.25,20.5,20.94,20.25,695800.0,-0.0064
2000-02-28,20.88,19.75,20.94,19.75,756600.0,0.0311
2000-02-29,20.25,20.75,20.88,20.02,986900.0,-0.0302
2000-03-01,20.38,20.44,20.44,20.06,1110000.0,0.0064
2000-03-02,20.44,20.44,20.5,20.31,597900.0,0.0029
2000-03-03,20.38,20.5,20.56,20.31,601200.0,-0.0029
2000-03-06,16.69,19.38,19.5,15.94,1870000.0,-0.18109999999999998
2000-03-07,17.31,17.25,18.25,17.25,3350000.0,0.0371
2000-03-08,17.31,17.31,17.44,16.81,2390000.0,0.0
2000-03-09,17.81,17.25,18.0,17.12,1180000.0,0.028900000000000002
2000-03-10,17.94,17.81,18.31,17.81,753400.0,0.0073
2000-03-13,18.25,18.0,18.38,18.0,731600.0,0.0173
2000-03-14,17.56,18.06,18.19,17.12,522799.99999999994,-0.0378
2000-03-15,18.38,17.5,18.88,17.5,1230000.0,0.0467
2000-03-16,19.38,18.75,19.56,18.75,1180000.0,0.054400000000000004
2000-03-17,19.5,19.38,19.56,19.12,1190000.0,0.0062
2000-03-20,19.94,19.31,20.19,19.31,1140000.0,0.0226
2000-03-21,19.88,19.88,19.94,19.5,689400.0,-0.003
2000-03-22,19.25,19.62,19.62,19.12,794800.0,-0.0317
2000-03-23,19.69,19.25,19.69,18.81,605500.0,0.0229
2000-03-24,19.88,19.44,19.88,19.38,469100.0,0.0096
2000-03-27,20.0,19.81,20.31,19.81,465100.0,0.006
2000-03-28,20.0,19.75,20.12,19.69,960100.0,0.0
2000-03-29,20.38,20.0,20.62,20.0,750700.0,0.019
2000-03-30,19.69,20.12,20.44,19.69,984400.0,-0.0339
2000-03-31,20.19,19.69,20.38,19.38,791700.0,0.0254
2000-04-03,20.12,20.25,20.62,19.94,506800.0,-0.0034999999999999996
2000-04-04,20.69,20.25,21.0,20.25,580300.0,0.028300000000000002
2000-04-05,21.62,20.94,22.75,20.81,1080000.0,0.0449
2000-04-06,20.69,21.31,21.56,20.5,718600.0,-0.043
2000-04-07,20.5,20.12,20.88,20.12,1010000.0,-0.0092
2000-04-10,21.12,20.44,21.31,20.44,468900.0,0.0302
2000-04-11,21.94,21.19,21.94,21.19,1110000.0,0.0388
2000-04-12,22.31,22.12,22.75,22.12,1200000.0,0.0169
2000-04-13,23.56,22.31,23.62,22.25,845400.0,0.055999999999999994
2000-04-14,22.94,23.31,24.06,22.69,618800.0,-0.0263
2000-04-17,23.19,22.75,23.25,21.94,930200.0,0.0109
2000-04-18,23.0,23.31,23.56,22.94,584100.0,-0.008199999999999999
