Date,Close,Open,High,Low,Volume,Change
2000-01-03,22.06,22.44,22.5,21.88,532500.0,-0.0278
2000-01-04,22.06,22.0,22.38,21.88,887800.0,0.0
2000-01-05,22.88,22.12,23.0,22.12,532000.0,0.037200000000000004
2000-01-06,22.94,22.88,23.06,22.81,359000.0,0.0026
2000-01-07,23.06,22.94,23.19,22.88,378100.0,0.0052
2000-01-10,23.12,23.06,23.38,22.94,407000.0,0.0026
2000-01-11,23.38,23.0,23.44,23.0,479900.0,0.011200000000000002
2000-01-12,23.44,23.12,23.5,23.12,935600.0,0.0026
2000-01-13,23.38,23.56,23.56,23.38,581400.0,-0.0026
2000-01-14,23.25,23.56,23.56,23.19,835800.0,-0.005600000000000001
2000-01-18,22.88,23.12,23.25,22.81,561300.0,-0.0159
2000-01-19,22.81,22.81,23.0,22.5,638200.0,-0.0031
2000-01-20,22.75,22.75,22.88,22.56,410400.0,-0.0026
2000-01-21,23.0,22.75,23.0,22.56,819800.0,0.011000000000000001
2000-01-24,23.12,23.0,23.38,22.94,556700.0,0.0052
2000-01-25,22.81,23.06,23.31,22.69,673400.0,-0.0134
2000-01-26,23.12,22.81,23.31,22.81,1350000.0,0.013600000000000001
2000-01-27,23.12,23.12,23.25,23.0,808900.0,0.0
2000-01-28,22.69,23.12,23.19,22.5,909000.0,-0.018600000000000002
2000-01-31,22.75,22.75,23.06,22.69,527500.0,0.0026
2000-02-01,22.94,22.81,23.12,22.75,289500.0,0.0084
2000-02-02,22.88,22.88,23.12,22.81,3670000.0,-0.0026
2000-02-03,22.88,22.75,23.12,22.69,618100.0,0.0
2000-02-04,22.31,22.94,22.94,22.19,688000.0,-0.024900000000000002
2000-02-07,22.0,22.12,22.25,22.0,311400.0,-0.0139
2000-02-08,22.12,22.0,22.31,22.0,202500.0,0.0055000000000000005
2000-02-09,22.31,22.12,22.38,22.12,523799.99999999994,0.0086
2000-02-10,22.0,22.31,22.38,21.88,439900.0,-0.0139
2000-02-11,21.69,22.0,22.19,21.56,940600.0,-0.0141
2000-02-14,21.62,21.69,21.75,21.5,625700.0,-0.0032
2000-02-15,21.62,21.62,21.94,21.56,392500.0,0.0
2000-02-16,21.62,21.62,21.88,21.44,460400.0,0.0
2000-02-17,21.0,21.56,21.62,21.0,910200.0,-0.0287
