Date,Close,Open,High,Low,Volume,Change
2000-01-03,19.0,19.62,19.62,18.94,2740000.0,-0.0256
2000-01-04,19.44,19.06,19.5,19.0,425200.0,0.0232
2000-01-05,20.19,19.44,20.19,19.44,500200.0,0.038599999999999995
2000-01-06,20.0,20.12,20.12,19.81,344100.0,-0.009399999999999999
2000-01-07,20.0,20.0,20.0,19.88,469900.0,0.0
2000-01-10,20.0,20.06,20.06,19.88,522000.0,0.0
2000-01-11,20.0,19.94,20.06,19.94,557400.0,0.0
2000-01-12,20.44,20.0,20.56,20.0,410500.0,0.022000000000000002
2000-01-13,20.38,20.38,20.5,20.25,308000.0,-0.0029
2000-01-14,20.44,20.38,20.44,20.12,659100.0,0.0029
2000-01-18,19.81,20.31,20.31,19.69,843200.0,-0.0308
2000-01-19,19.81,19.75,19.88,19.69,578200.0,0.0
2000-01-20,19.62,19.81,19.88,19.56,566200.0,-0.0096
2000-01-21,19.75,19.62,19.94,19.62,1020000.0,0.0066
2000-01-24,19.69,19.75,19.81,19.62,649100.0,-0.003
2000-01-25,19.5,19.69,19.69,19.31,344900.0,-0.0096
2000-01-26,19.12,19.62,19.62,19.0,1140000.0,-0.0195
2000-01-27,19.31,19.25,19.5,19.19,493400.0,0.009899999999999999
2000-01-28,19.25,19.31,19.5,19.25,289700.0,-0.0031
2000-01-31,19.25,19.25,19.38,19.12,526700.0,0.0
2000-02-01,19.25,19.38,19.38,19.12,446600.0,0.0
2000-02-02,19.06,19.38,19.44,19.06,313200.0,-0.009899999999999999
2000-02-03,19.62,19.19,19.69,19.19,483400.0,0.0294
2000-02-04,19.31,19.62,19.62,19.12,336400.0,-0.0158
2000-02-07,19.06,19.31,19.31,19.0,348300.0,-0.0129
2000-02-08,19.06,19.06,19.19,19.0,364900.0,0.0
2000-02-09,19.19,19.12,19.5,19.06,595500.0,0.0068000000000000005
2000-02-10,18.81,19.19,19.31,18.56,503600.0,-0.019799999999999998
2000-02-11,18.88,18.94,18.94,18.5,554500.0,0.0037
2000-02-14,18.75,18.81,18.94,18.62,374500.0,-0.0069
2000-02-15,18.44,18.5,18.69,18.38,627400.0,-0.0165
2000-02-16,18.5,18.56,18.75,18.5,284800.0,0.0033
2000-02-17,18.56,18.69,18.69,18.31,202600.0,0.0032
2000-02-18,18.19,18.44,18.5,18.12,469100.0,-0.0199
2000-02-22,18.31,18.31,18.56,18.25,477300.0,0.0066
2000-02-23,18.06,18.25,18.31,18.0,306300.0,-0.0137
2000-02-24,17.81,18.06,18.12,17.69,367700.0,-0.0138
2000-02-25,17.56,17.88,17.88,17.38,477600.0,-0.013999999999999999
2000-02-28,18.0,17.81,18.12,17.56,505400.0,0.025099999999999997
2000-02-29,17.56,17.81,17.94,17.5,535900.0,-0.024399999999999998
2000-03-01,17.19,17.62,17.69,17.06,512299.99999999994,-0.021099999999999997
2000-03-02,17.06,17.06,17.25,17.0,642200.0,-0.0076
2000-03-03,17.5,17.12,17.56,17.12,405500.0,0.0258
2000-03-06,16.44,17.38,17.38,16.25,967400.0,-0.060599999999999994
2000-03-07,16.44,16.69,16.75,16.31,1810000.0,0.0
2000-03-08,16.38,16.56,16.81,16.31,1500000.0,-0.0036
2000-03-09,16.25,16.5,16.62,16.12,1130000.0,-0.0079
2000-03-10,16.62,16.31,16.75,16.25,635300.0,0.022799999999999997
2000-03-13,16.94,16.69,16.94,16.56,636700.0,0.019299999999999998
2000-03-14,17.5,17.19,17.5,17.12,873700.0,0.0331
2000-03-15,18.62,17.5,18.62,17.5,898300.0,0.064
2000-03-16,19.94,18.88,19.94,18.75,894300.0,0.0709
2000-03-17,19.88,19.94,20.19,19.62,1240000.0,-0.003
2000-03-20,19.5,19.88,19.94,19.38,1420000.0,-0.0191
2000-03-21,19.0,19.44,19.44,18.81,639000.0,-0.0256
2000-03-22,18.56,18.88,18.94,18.25,367700.0,-0.0232
2000-03-23,18.81,18.56,18.88,18.56,500300.0,0.013500000000000002
2000-03-24,18.88,18.69,18.94,18.56,648100.0,0.0037
2000-03-27,18.88,18.88,19.12,18.81,888400.0,0.0
2000-03-28,18.88,18.81,19.12,18.81,269400.0,0.0
2000-03-29,19.12,18.88,19.19,18.81,764900.0,0.0127
2000-03-30,19.88,19.25,20.0,19.25,1730000.0,0.0397
2000-03-31,19.88,19.81,19.94,19.62,566900.0,0.0
2000-04-03,19.75,19.88,19.94,19.5,208100.0,-0.006500000000000001
2000-04-04,20.31,19.75,20.44,19.75,844900.0,0.028399999999999998
2000-04-05,20.56,20.38,21.19,20.31,459800.0,0.0123
2000-04-06,20.25,20.5,20.81,20.12,391900.0,-0.0151
2000-04-07,20.06,20.19,20.25,19.88,701300.0,-0.009399999999999999
2000-04-10,20.81,20.0,20.88,19.94,2410000.0,0.0374
2000-04-11,20.69,20.31,20.88,20.31,469300.0,-0.0058
2000-04-12,20.31,20.75,21.19,20.31,645400.0,-0.0184
2000-04-13,21.06,20.31,21.06,20.25,492500.0,0.0369
2000-04-14,20.62,21.0,21.06,20.5,536600.0,-0.0209
2000-04-17,20.31,20.62,20.69,19.88,782800.0,-0.015
2000-04-18,20.25,20.25,20.69,20.06,482100.0,-0.003
2000-04-19,19.94,20.5,20.5,19.81,533000.0,-0.015300000000000001
2000-04-20,20.44,20.19,20.5,20.0,578100.0,0.025099999999999997
2000-04-24,21.25,20.88,21.25,20.75,657300.0,0.039599999999999996
2000-04-25,21.88,21.25,21.94,21.25,783700.0,0.0296
2000-04-26,22.25,21.81,22.31,21.75,589200.0,0.0169
2000-04-27,22.06,22.12,22.31,21.88,1040000.0,-0.0085
2000-04-28,21.81,22.06,22.19,21.56,678100.0,-0.0113
2000-05-01,22.12,21.44,22.19,21.44,615100.0,0.014199999999999999
2000-05-02,22.06,22.38,22.44,21.94,805200.0,-0.0027
2000-05-03,22.25,22.06,22.38,21.75,778500.0,0.0086
2000-05-04,22.44,22.44,22.5,21.88,771400.0,0.0085
2000-05-05,21.94,22.19,22.25,21.75,521500.0,-0.0223
2000-05-08,21.94,21.88,22.94,21.75,840200.0,0.0
2000-05-09,22.0,22.06,22.06,21.81,248800.0,0.0027
2000-05-10,22.31,22.0,22.38,21.94,591100.0,0.0141
2000-05-11,22.62,22.31,22.69,22.25,262600.0,0.0139
2000-05-12,22.44,22.62,22.62,22.31,339500.0,-0.008
2000-05-15,22.69,22.44,23.0,22.44,271000.0,0.0111
2000-05-16,22.44,22.69,22.75,22.0,402100.0,-0.011000000000000001
2000-05-17,22.06,22.44,22.5,21.94,364800.0,-0.0169
2000-05-18,22.5,22.06,23.06,22.0,289900.0,0.0199
2000-05-19,22.31,22.12,22.5,22.12,250600.0,-0.0084
2000-05-22,23.06,22.38,23.19,22.19,352300.0,0.0336
2000-05-23,23.12,23.0,23.19,22.62,533300.0,0.0026
2000-05-24,23.69,23.12,23.81,23.06,569000.0,0.024700000000000003
2000-05-25,22.25,23.62,23.62,22.06,1560000.0,-0.0608
2000-05-26,22.56,22.38,22.75,22.38,339600.0,0.0139
2000-05-30,22.25,22.56,22.56,21.94,331100.0,-0.0137
2000-05-31,22.12,22.12,22.44,22.0,520000.0,-0.0058
2000-06-01,21.81,22.06,22.12,21.75,598100.0,-0.013999999999999999
2000-06-02,21.44,22.06,22.19,21.31,350700.0,-0.017
2000-06-05,21.0,21.5,21.5,20.94,323700.0,-0.020499999999999997
2000-06-06,21.0,21.06,21.44,20.94,307800.0,0.0
2000-06-07,21.31,21.25,21.38,21.12,196000.0,0.0148
2000-06-08,21.06,21.12,21.19,20.81,327400.0,-0.011699999999999999
2000-06-09,21.44,21.06,21.5,20.94,272400.0,0.018000000000000002
2000-06-12,21.52,21.44,21.62,21.38,277200.0,0.0037
2000-06-13,21.69,21.44,21.75,21.44,238400.0,0.0079
2000-06-14,21.31,21.69,21.69,21.25,345400.0,-0.0175
2000-06-15,21.75,21.38,21.75,21.31,268500.0,0.0206
2000-06-16,21.5,21.75,21.75,21.47,272100.0,-0.0115
2000-06-19,21.62,21.56,21.69,21.25,226800.0,0.005600000000000001
2000-06-20,21.25,21.5,21.56,20.88,341300.0,-0.0171
2000-06-21,21.0,21.31,21.31,20.94,436000.0,-0.0118
2000-06-22,20.69,21.06,21.06,20.5,434500.0,-0.0148
2000-06-23,21.0,20.69,21.12,20.69,284800.0,0.015
2000-06-26,21.25,21.25,21.31,20.94,165600.0,0.011899999999999999
2000-06-27,20.31,21.12,21.38,20.25,337500.0,-0.044199999999999996
2000-06-28,20.95,20.5,21.12,19.97,388000.0,0.0315
2000-06-29,20.5,20.94,21.25,20.5,257800.0,-0.0215
2000-06-30,20.19,20.56,21.12,20.06,560200.0,-0.0151
2000-07-03,20.5,20.31,20.75,20.19,243300.0,0.0154
2000-07-05,20.31,20.5,21.0,20.12,516700.00000000006,-0.009300000000000001
2000-07-06,20.81,20.5,20.88,20.44,502800.0,0.0246
2000-07-07,21.0,20.88,21.12,20.88,329000.0,0.0091
2000-07-10,21.25,21.12,21.5,21.06,2760000.0,0.011899999999999999
2000-07-11,21.25,21.12,21.25,20.81,1070000.0,0.0
2000-07-12,21.0,21.25,21.25,20.88,251800.0,-0.0118
2000-07-13,21.0,21.0,21.06,20.75,295800.0,0.0
2000-07-14,20.81,20.94,21.31,20.75,595900.0,-0.009000000000000001
2000-07-17,20.78,20.81,21.06,20.78,497200.0,-0.0014000000000000002
2000-07-18,20.62,21.06,21.06,20.56,877900.0,-0.0077
2000-07-19,21.69,20.88,21.81,20.81,1230000.0,0.0519
2000-07-20,22.06,22.25,22.31,21.94,809700.0,0.0171
2000-07-21,21.88,22.31,22.31,21.88,495700.0,-0.008199999999999999
2000-07-24,21.69,21.88,22.0,21.5,267900.0,-0.0087
2000-07-25,22.06,21.94,22.44,21.75,324600.0,0.0171
2000-07-26,21.94,22.0,22.25,21.94,423900.0,-0.0054
2000-07-27,22.31,22.06,22.44,22.06,403000.0,0.0169
2000-07-28,22.06,22.25,22.5,22.06,426300.0,-0.011200000000000002
2000-07-31,22.06,22.25,22.44,22.0,458000.0,0.0
2000-08-01,22.81,22.25,22.81,22.12,359200.0,0.034
2000-08-02,23.5,22.81,23.69,22.62,1880000.0,0.0302
2000-08-03,24.06,23.56,24.62,23.56,2190000.0,0.023799999999999998
2000-08-04,24.25,24.06,24.25,23.62,667300.0,0.0079
2000-08-07,24.77,24.12,24.88,24.12,1280000.0,0.021400000000000002
2000-08-08,25.5,26.0,26.0,25.0,1060000.0,0.029500000000000002
2000-08-09,25.44,25.38,25.44,25.06,878900.0,-0.0024
2000-08-10,25.83,25.25,25.83,25.19,436700.0,0.015300000000000001
2000-08-11,26.27,25.81,26.62,25.69,966900.0,0.017
2000-08-14,26.38,25.88,26.44,25.88,826500.0,0.0042
2000-08-15,26.62,26.12,26.69,26.0,943400.0,0.0091
2000-08-16,26.62,26.62,26.69,26.38,764400.0,0.0
2000-08-17,26.19,26.62,26.62,26.12,752300.0,-0.016200000000000003
2000-08-18,26.25,26.06,26.31,25.94,887200.0,0.0023
2000-08-21,26.31,26.06,26.44,26.0,776900.0,0.0023
2000-08-22,26.5,26.25,26.62,26.19,793900.0,0.0072
2000-08-23,26.0,26.25,26.38,25.81,1270000.0,-0.0189
2000-08-24,25.38,26.0,26.0,25.12,1100000.0,-0.023799999999999998
2000-08-25,25.06,25.38,25.38,24.75,1220000.0,-0.0126
2000-08-28,24.56,25.0,25.12,24.5,1020000.0,-0.02
2000-08-29,24.44,24.56,24.62,24.06,993500.0,-0.0049
2000-08-30,24.75,24.44,25.0,24.31,692900.0,0.0127
2000-08-31,25.08,24.75,25.25,24.75,1520000.0,0.013300000000000001
2000-09-01,25.38,24.94,25.38,24.81,1060000.0,0.012
2000-09-05,24.94,25.0,25.06,24.81,697000.0,-0.0173
2000-09-06,25.75,25.0,25.75,25.0,2150000.0,0.0325
2000-09-07,25.75,25.69,25.75,25.5,674500.0,0.0
2000-09-08,26.02,25.62,26.06,25.62,1520000.0,0.0105
2000-09-11,26.64,26.0,26.69,25.94,2400000.0,0.023799999999999998
2000-09-12,26.75,26.62,27.0,26.44,1940000.0,0.0040999999999999995
2000-09-13,26.56,26.75,26.88,26.31,972300.0,-0.0070999999999999995
2000-09-14,26.56,26.56,26.56,25.94,589600.0,0.0
2000-09-15,26.64,26.62,26.94,26.44,1660000.0,0.003
2000-09-18,26.17,26.5,26.5,26.0,836600.0,-0.0176
2000-09-19,26.2,26.69,26.69,25.69,2550000.0,0.0011
2000-09-20,26.0,26.0,26.12,25.5,971200.0,-0.0076
2000-09-21,25.88,25.94,26.12,25.56,871600.0,-0.0046
2000-09-22,26.12,26.06,26.25,25.75,2290000.0,0.009300000000000001
2000-09-25,26.06,25.88,26.12,25.62,478800.0,-0.0023
2000-09-26,26.38,26.0,26.5,26.0,854800.0,0.0123
2000-09-27,26.89,26.31,26.89,26.31,1700000.0,0.019299999999999998
2000-09-28,27.25,26.81,27.5,26.69,1070000.0,0.0134
2000-09-29,27.52,27.25,27.56,27.19,1050000.0,0.009899999999999999
2000-10-02,27.94,27.5,28.0,27.31,895800.0,0.015300000000000001
2000-10-03,27.56,27.69,28.12,27.56,714300.0,-0.013600000000000001
2000-10-04,26.75,27.38,27.69,26.19,1290000.0,-0.0294
2000-10-05,25.94,26.75,27.31,25.88,1730000.0,-0.030299999999999997
2000-10-06,27.0,26.0,27.44,26.0,1870000.0,0.0409
2000-10-09,27.38,26.88,27.81,26.69,1080000.0,0.0141
2000-10-10,27.5,27.19,27.94,27.19,820600.0,0.0044
2000-10-11,27.62,27.69,28.0,27.12,815800.0,0.0044
2000-10-12,27.31,27.44,27.75,26.69,573200.0,-0.011200000000000002
2000-10-13,27.5,27.12,27.5,27.12,389800.0,0.006999999999999999
2000-10-16,27.81,27.31,27.94,27.25,382900.0,0.0113
2000-10-17,27.69,27.81,28.0,27.44,470900.0,-0.0043
2000-10-18,27.25,27.62,28.0,26.75,791000.0,-0.0159
2000-10-19,26.75,27.06,27.06,26.38,374900.0,-0.0183
2000-10-20,26.56,26.75,26.88,26.44,583600.0,-0.0070999999999999995
2000-10-23,26.12,26.56,26.62,26.06,664400.0,-0.0166
2000-10-24,25.94,26.31,26.5,25.62,1010000.0,-0.0069
2000-10-25,25.12,25.94,26.19,25.06,970900.0,-0.0316
2000-10-26,25.06,24.88,25.31,24.62,1490000.0,-0.0024
2000-10-27,25.25,24.94,25.44,24.62,978100.0,0.0076
2000-10-30,25.44,25.12,25.62,25.12,928500.0,0.0075
2000-10-31,25.56,25.38,25.75,25.0,664100.0,0.004699999999999999
2000-11-01,26.31,25.69,26.38,25.62,560300.0,0.029300000000000003
2000-11-02,25.81,26.31,26.44,25.75,785200.0,-0.019
2000-11-03,25.75,25.75,26.12,25.5,367900.0,-0.0023
2000-11-06,25.88,25.5,26.44,25.5,907800.0,0.005
2000-11-07,25.69,25.88,25.94,25.5,479700.0,-0.0073
2000-11-08,25.75,25.56,25.81,25.5,235500.0,0.0023
2000-11-09,26.0,25.88,26.12,25.75,513299.99999999994,0.0097
2000-11-10,25.94,26.12,26.19,25.88,616000.0,-0.0023
2000-11-13,25.94,25.69,26.25,25.69,368700.0,0.0
2000-11-14,25.75,25.69,25.81,25.56,485100.0,-0.0073
2000-11-15,26.38,25.62,26.5,25.56,931000.0,0.0245
2000-11-16,26.56,26.38,26.75,26.25,943900.0,0.0068000000000000005
2000-11-17,26.69,26.88,26.88,26.44,598600.0,0.0049
2000-11-20,26.5,26.88,27.0,26.44,510300.0,-0.0070999999999999995
2000-11-21,26.69,26.5,26.69,26.0,339100.0,0.0072
2000-11-22,26.69,26.56,26.88,26.38,965100.0,0.0
2000-11-24,26.56,26.5,26.75,26.38,133500.0,-0.0049
2000-11-27,26.12,26.25,26.5,25.75,933400.0,-0.0166
2000-11-28,26.44,26.12,26.44,26.06,612300.0,0.0123
2000-11-29,26.94,26.25,27.06,26.25,592600.0,0.0189
2000-11-30,27.25,27.19,27.75,26.94,828700.0,0.0115
2000-12-01,26.94,27.0,27.38,26.81,447600.0,-0.011399999999999999
2000-12-04,27.5,26.88,27.62,26.88,667000.0,0.0208
2000-12-05,27.56,27.44,27.56,26.94,997600.0,0.0022
2000-12-06,27.19,27.81,27.81,26.88,737600.0,-0.0134
2000-12-07,27.62,27.12,27.62,27.12,673100.0,0.0158
2000-12-08,27.69,27.62,27.75,27.38,496500.0,0.0025
2000-12-11,27.62,27.56,28.0,27.44,796300.0,-0.0025
2000-12-12,28.0,27.75,28.12,27.69,660300.0,0.0138
2000-12-13,28.0,28.0,28.06,27.81,386200.0,0.0
2000-12-14,27.44,27.62,28.0,27.38,388400.0,-0.02
2000-12-15,27.19,27.25,27.56,27.0,928600.0,-0.0091
2000-12-18,27.69,27.25,27.81,27.19,299200.0,0.0184
2000-12-19,27.88,27.81,27.94,27.69,300700.0,0.0069
2000-12-20,28.75,27.88,28.75,27.62,810600.0,0.031200000000000002
2000-12-21,28.88,28.75,28.94,28.5,574200.0,0.0045000000000000005
2000-12-22,28.69,28.5,28.81,28.44,551700.0,-0.0066
2000-12-26,29.75,28.88,29.81,28.88,544700.0,0.0369
2000-12-27,29.75,29.88,30.0,29.56,476300.0,0.0
2000-12-28,29.12,29.44,29.5,28.94,354400.0,-0.0212
2000-12-29,29.06,29.25,29.31,28.81,486300.0,-0.0021
2001-01-02,28.31,28.56,28.94,27.94,852000.0,-0.0258
2001-01-03,27.31,28.5,29.12,27.06,887100.0,-0.0353
2001-01-04,25.38,27.19,27.19,25.12,963200.0,-0.0707
2001-01-05,25.44,25.38,25.75,25.12,760300.0,0.0024
2001-01-08,25.75,25.38,25.81,25.38,456500.0,0.012199999999999999
2001-01-09,25.94,26.0,26.06,25.56,428200.0,0.0074
2001-01-10,25.75,25.88,26.0,25.38,406300.0,-0.0073
2001-01-11,24.56,26.0,26.0,24.38,1210000.0,-0.0462
