Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,7.19,7.56,7.56,6.88,534000.0,-0.0349,VAR
2000-01-04,7.14,7.19,7.42,7.11,663600.0,-0.006999999999999999,VAR
2000-01-05,7.39,7.14,7.5,7.14,650000.0,0.035,VAR
2000-01-06,7.41,7.41,7.48,7.33,472400.0,0.0027,VAR
2000-01-07,7.45,7.38,7.56,7.31,664800.0,0.0054,VAR
2000-01-10,7.53,7.48,7.69,7.45,571600.0,0.010700000000000001,VAR
2000-01-11,7.38,7.48,7.53,7.38,449200.0,-0.0199,VAR
2000-01-12,7.5,7.36,7.62,7.33,463200.0,0.0163,VAR
2000-01-13,7.64,7.5,7.8,7.25,551600.0,0.0187,VAR
2000-01-14,8.0,7.69,8.03,7.66,1070000.0,0.0471,VAR
2000-01-18,8.19,7.88,8.31,7.88,752800.0,0.023700000000000002,VAR
2000-01-19,8.19,8.12,8.19,8.09,568400.0,0.0,VAR
2000-01-20,8.34,8.16,8.41,8.16,397200.0,0.0183,VAR
2000-01-21,8.44,8.34,8.47,8.06,508400.0,0.012,VAR
2000-01-24,8.31,8.44,8.44,8.3,735600.0,-0.0154,VAR
2000-01-25,8.08,8.31,8.33,8.03,478400.0,-0.0277,VAR
2000-01-26,8.11,8.11,8.22,8.05,277200.0,0.0037,VAR
2000-01-27,9.5,9.97,9.97,9.0,3540000.0,0.1714,VAR
2000-01-28,9.72,9.5,9.86,9.5,2720000.0,0.0232,VAR
2000-01-31,9.53,9.64,9.72,9.47,1650000.0,-0.0195,VAR
2000-02-01,9.42,9.47,9.56,9.36,673200.0,-0.0115,VAR
2000-02-02,9.66,9.38,9.66,9.38,578000.0,0.0255,VAR
2000-02-03,10.25,9.91,10.28,9.75,1610000.0,0.0611,VAR
2000-02-04,10.16,10.09,10.19,10.0,492000.0,-0.0088,VAR
2000-02-07,10.53,10.09,10.53,10.08,603200.0,0.0364,VAR
2000-02-08,10.84,10.55,10.88,10.55,512000.0,0.0294,VAR
2000-02-09,10.31,10.78,11.09,10.31,882400.0,-0.0489,VAR
2000-02-10,10.2,10.31,10.48,10.09,613200.0,-0.010700000000000001,VAR
2000-02-11,10.09,10.27,10.41,10.03,516400.0,-0.0108,VAR
2000-02-14,10.28,10.08,10.31,9.94,624000.0,0.018799999999999997,VAR
2000-02-15,10.14,10.28,10.44,10.12,311600.0,-0.013600000000000001,VAR
2000-02-16,10.39,10.16,10.44,10.14,408800.0,0.024700000000000003,VAR
2000-02-17,10.5,10.45,10.69,10.31,464400.0,0.0106,VAR
2000-02-18,10.27,10.56,10.66,10.27,441600.0,-0.0219,VAR
2000-02-22,10.03,10.25,10.25,9.81,714000.0,-0.023399999999999997,VAR
2000-02-23,9.91,10.0,10.0,9.75,610000.0,-0.012,VAR
2000-02-24,9.83,9.92,9.97,9.8,924400.0,-0.008100000000000001,VAR
2000-02-25,9.88,9.64,9.89,9.62,628800.0,0.0051,VAR
2000-02-28,9.75,9.88,9.88,9.72,299600.0,-0.0132,VAR
2000-02-29,9.98,9.72,10.0,9.72,652000.0,0.0236,VAR
2000-03-01,9.94,9.98,10.0,9.83,464000.0,-0.004,VAR
2000-03-02,9.92,9.88,10.0,9.84,1400000.0,-0.002,VAR
2000-03-03,10.36,9.95,10.38,9.92,977600.0,0.0444,VAR
2000-03-06,10.56,10.33,10.75,10.31,984800.0,0.019299999999999998,VAR
2000-03-07,10.06,10.61,10.62,10.0,898000.0,-0.0473,VAR
2000-03-08,10.67,10.12,10.78,10.08,1890000.0,0.060599999999999994,VAR
2000-03-09,11.44,10.64,11.56,10.64,1580000.0,0.0722,VAR
2000-03-10,11.0,11.5,11.5,10.75,749200.0,-0.0385,VAR
2000-03-13,10.78,11.05,11.05,10.69,421600.0,-0.02,VAR
2000-03-14,10.72,10.78,11.02,10.69,469600.0,-0.005600000000000001,VAR
2000-03-15,10.5,10.66,10.66,10.36,676800.0,-0.020499999999999997,VAR
2000-03-16,11.22,10.56,11.22,10.5,751600.0,0.06860000000000001,VAR
2000-03-17,11.28,11.19,11.28,11.08,546400.0,0.0053,VAR
2000-03-20,11.25,11.34,11.53,11.17,825200.0,-0.0027,VAR
2000-03-21,11.23,11.12,11.34,11.08,339600.0,-0.0018,VAR
2000-03-22,11.34,11.17,11.44,11.17,753600.0,0.0098,VAR
2000-03-23,11.45,11.31,11.67,11.28,564400.0,0.0097,VAR
2000-03-24,11.81,11.52,12.09,11.52,1250000.0,0.031400000000000004,VAR
2000-03-27,11.77,11.81,11.81,11.52,509200.0,-0.0034000000000000002,VAR
2000-03-28,11.52,11.75,11.75,11.5,332400.0,-0.0212,VAR
2000-03-29,11.5,11.52,11.62,11.25,674000.0,-0.0017000000000000001,VAR
2000-03-30,11.12,11.47,11.47,11.11,658000.0,-0.033,VAR
2000-03-31,11.41,11.08,11.44,10.75,887200.0,0.026099999999999998,VAR
2000-04-03,11.02,11.34,11.64,11.0,442400.0,-0.0342,VAR
2000-04-04,11.03,11.02,11.05,10.75,757600.0,0.0009,VAR
2000-04-05,11.02,10.88,11.09,10.84,942800.0,-0.0009,VAR
2000-04-06,11.47,11.08,11.53,11.08,649600.0,0.0408,VAR
2000-04-07,12.0,11.47,12.31,11.47,882000.0,0.0462,VAR
2000-04-10,11.58,11.94,11.94,11.58,454400.0,-0.035,VAR
2000-04-11,11.31,11.38,11.44,11.16,424800.0,-0.0233,VAR
2000-04-12,11.08,11.38,11.44,11.08,406400.0,-0.0203,VAR
2000-04-13,10.52,11.03,11.08,10.5,485200.0,-0.050499999999999996,VAR
2000-04-14,9.97,10.45,10.47,9.84,1460000.0,-0.052300000000000006,VAR
2000-04-17,10.19,9.91,10.19,9.69,948400.0,0.022099999999999998,VAR
2000-04-18,10.62,10.25,10.62,10.22,628000.0,0.042199999999999994,VAR
2000-04-19,10.47,10.56,10.56,10.25,393600.0,-0.0141,VAR
2000-04-20,10.12,10.47,10.5,10.0,464000.0,-0.0334,VAR
2000-04-24,10.48,10.19,10.56,10.19,1050000.0,0.0356,VAR
2000-04-25,10.64,10.55,10.72,10.55,877600.0,0.015300000000000001,VAR
2000-04-26,10.69,11.0,11.19,10.69,3940000.0,0.004699999999999999,VAR
2000-04-27,10.12,10.62,10.62,10.12,1740000.0,-0.0533,VAR
2000-04-28,10.0,10.16,10.22,9.97,1390000.0,-0.011899999999999999,VAR
2000-05-01,10.83,10.0,11.17,9.94,1050000.0,0.083,VAR
2000-05-02,10.56,10.78,11.02,10.53,605200.0,-0.024900000000000002,VAR
2000-05-03,10.39,10.38,10.47,10.3,625600.0,-0.0161,VAR
2000-05-04,10.33,10.39,10.44,10.25,408000.0,-0.0058,VAR
2000-05-05,10.88,10.31,10.88,10.28,982800.0,0.053200000000000004,VAR
2000-05-08,10.7,10.88,10.91,10.5,453600.0,-0.0165,VAR
2000-05-09,10.45,10.64,10.7,10.38,930400.0,-0.023399999999999997,VAR
2000-05-10,10.06,10.39,10.39,9.88,429600.0,-0.0373,VAR
2000-05-11,10.67,10.0,10.72,9.88,924400.0,0.060599999999999994,VAR
2000-05-12,10.64,10.61,10.88,10.5,802400.0,-0.0028000000000000004,VAR
2000-05-15,10.53,10.44,10.53,9.88,597200.0,-0.0103,VAR
2000-05-16,10.41,10.59,10.62,10.25,400000.0,-0.011399999999999999,VAR
2000-05-17,10.25,10.42,10.42,10.03,581600.0,-0.0154,VAR
2000-05-18,10.27,10.25,10.36,10.25,603600.0,0.002,VAR
2000-05-19,10.06,10.25,10.25,9.92,796400.0,-0.0204,VAR
2000-05-22,9.75,10.0,10.0,9.64,527200.0,-0.0308,VAR
2000-05-23,10.45,9.81,10.56,9.81,1510000.0,0.0718,VAR
2000-05-24,10.41,10.41,10.56,10.06,773600.0,-0.0038,VAR
2000-05-25,10.41,10.47,10.59,10.25,567200.0,0.0,VAR
2000-05-26,10.12,10.34,10.39,10.08,176000.0,-0.0279,VAR
2000-05-30,10.55,10.12,10.56,10.08,492000.0,0.0425,VAR
2000-05-31,10.33,10.59,10.59,10.25,568000.0,-0.0209,VAR
2000-06-01,10.38,10.31,10.38,10.19,656400.0,0.0048,VAR
2000-06-02,10.59,10.44,10.69,10.44,711200.0,0.0202,VAR
2000-06-05,10.62,10.53,10.69,10.48,782800.0,0.0028000000000000004,VAR
2000-06-06,10.44,10.62,10.62,10.2,447600.0,-0.0169,VAR
2000-06-07,10.28,10.38,10.44,10.2,383600.0,-0.015300000000000001,VAR
2000-06-08,10.0,10.22,10.22,9.94,1040000.0,-0.027200000000000002,VAR
2000-06-09,10.59,10.0,10.69,10.0,506000.0,0.059000000000000004,VAR
2000-06-12,10.19,10.75,10.75,10.06,370800.0,-0.0378,VAR
2000-06-13,10.57,10.16,10.59,10.09,420000.0,0.0373,VAR
2000-06-14,10.51,10.58,10.97,10.44,859200.0,-0.005699999999999999,VAR
2000-06-15,10.74,10.58,10.97,10.58,479600.0,0.0219,VAR
2000-06-16,10.89,10.94,10.97,10.75,894000.0,0.013999999999999999,VAR
2000-06-19,10.69,10.83,10.84,10.33,370800.0,-0.0184,VAR
2000-06-20,10.73,10.75,10.75,10.59,423600.0,0.0037,VAR
2000-06-21,10.69,10.69,10.73,10.44,347200.0,-0.0037,VAR
2000-06-22,10.58,10.69,10.69,10.42,512799.99999999994,-0.0103,VAR
2000-06-23,10.28,10.47,10.47,10.09,540800.0,-0.028399999999999998,VAR
2000-06-26,10.25,10.25,10.31,10.19,364000.0,-0.0029,VAR
2000-06-27,10.12,10.25,10.28,9.84,370000.0,-0.0127,VAR
2000-06-28,10.0,10.06,10.12,9.83,907200.0,-0.011899999999999999,VAR
2000-06-29,9.62,10.0,10.19,9.62,778800.0,-0.038,VAR
2000-06-30,9.79,9.69,10.25,9.66,1200000.0,0.0177,VAR
2000-07-03,10.02,9.8,10.03,9.8,149600.0,0.0235,VAR
2000-07-05,10.08,9.97,10.08,9.73,426800.0,0.006,VAR
2000-07-06,9.92,10.02,10.02,9.81,206800.0,-0.0159,VAR
2000-07-07,10.28,9.92,10.36,9.89,415200.0,0.0363,VAR
2000-07-10,10.55,10.28,10.86,10.28,431600.0,0.0263,VAR
2000-07-11,10.64,10.59,10.81,10.58,346400.0,0.0085,VAR
2000-07-12,10.84,10.7,10.92,10.7,360800.0,0.018799999999999997,VAR
2000-07-13,10.88,10.81,10.91,10.64,474400.0,0.0037,VAR
2000-07-14,10.84,10.91,11.09,10.64,367600.0,-0.0037,VAR
2000-07-17,11.25,10.91,11.41,10.88,697600.0,0.0378,VAR
2000-07-18,10.69,11.27,11.33,10.69,471200.0,-0.049800000000000004,VAR
2000-07-19,10.52,10.69,10.91,10.52,539600.0,-0.0159,VAR
2000-07-20,10.39,10.58,10.83,10.39,251200.0,-0.0124,VAR
2000-07-21,10.2,10.33,10.36,10.17,392800.0,-0.0183,VAR
2000-07-24,10.16,10.2,10.34,10.14,363600.0,-0.0039000000000000003,VAR
2000-07-25,10.03,10.22,10.22,9.98,211200.0,-0.0128,VAR
2000-07-26,10.08,9.97,10.12,9.91,328400.0,0.005,VAR
2000-07-27,10.34,10.25,10.69,10.25,534000.0,0.0258,VAR
2000-07-28,10.25,10.34,10.44,10.25,468400.0,-0.0087,VAR
2000-07-31,10.75,10.25,10.75,10.25,822400.0,0.048799999999999996,VAR
2000-08-01,10.69,10.69,10.94,10.59,367600.0,-0.005600000000000001,VAR
2000-08-02,10.84,10.69,11.12,10.69,495600.0,0.013999999999999999,VAR
2000-08-03,10.8,10.78,11.0,10.75,365200.0,-0.0037,VAR
2000-08-04,11.62,10.78,11.81,10.78,1280000.0,0.0759,VAR
2000-08-07,11.38,11.56,11.56,11.3,517200.00000000006,-0.0207,VAR
2000-08-08,11.16,11.34,11.36,11.12,374400.0,-0.019299999999999998,VAR
2000-08-09,11.08,11.22,11.22,10.94,498400.0,-0.0072,VAR
2000-08-10,11.39,11.11,11.56,11.11,574000.0,0.027999999999999997,VAR
2000-08-11,11.28,11.39,11.47,11.19,266400.0,-0.0097,VAR
2000-08-14,11.25,11.28,11.3,11.09,304800.0,-0.0027,VAR
2000-08-15,11.08,11.25,11.34,11.0,245200.0,-0.0151,VAR
2000-08-16,11.23,11.06,11.27,11.06,334800.0,0.013500000000000002,VAR
2000-08-17,11.95,11.25,12.03,11.25,617200.0,0.0641,VAR
2000-08-18,12.2,11.92,12.22,11.69,619600.0,0.0209,VAR
2000-08-21,11.94,12.2,12.5,11.91,954000.0,-0.0213,VAR
2000-08-22,11.73,12.03,12.03,11.67,288800.0,-0.0176,VAR
2000-08-23,11.5,11.78,11.98,11.38,606800.0,-0.0196,VAR
2000-08-24,11.73,11.56,11.84,11.56,383600.0,0.02,VAR
2000-08-25,11.61,11.67,11.73,11.56,232000.0,-0.0102,VAR
2000-08-28,11.45,11.59,11.59,11.38,380400.0,-0.0138,VAR
2000-08-29,11.44,11.5,11.5,11.38,622400.0,-0.0009,VAR
2000-08-30,11.36,11.47,11.69,11.25,327600.0,-0.006999999999999999,VAR
2000-08-31,11.48,11.33,11.69,11.33,390800.0,0.0106,VAR
2000-09-01,11.45,11.42,11.5,11.25,234400.0,-0.0026,VAR
2000-09-05,11.44,11.39,11.56,11.19,869200.0,-0.0009,VAR
2000-09-06,11.38,11.45,11.62,11.38,943600.0,-0.0052,VAR
2000-09-07,11.3,11.38,11.62,11.25,202400.0,-0.006999999999999999,VAR
2000-09-08,11.16,11.28,11.47,11.08,259200.0,-0.0124,VAR
2000-09-11,11.25,11.19,11.31,11.17,219200.0,0.008100000000000001,VAR
2000-09-12,11.25,11.22,11.34,11.2,397600.0,0.0,VAR
2000-09-13,11.2,11.25,11.31,11.19,413600.0,-0.0044,VAR
2000-09-14,11.39,11.14,11.48,11.14,388400.0,0.017,VAR
2000-09-15,10.95,11.33,11.42,10.94,383600.0,-0.038599999999999995,VAR
2000-09-18,11.05,10.98,11.17,10.95,521600.0,0.0091,VAR
2000-09-19,11.0,11.11,11.11,10.98,480000.0,-0.0045000000000000005,VAR
2000-09-20,11.14,11.0,11.22,10.92,225200.0,0.0127,VAR
2000-09-21,11.11,11.11,11.44,11.09,276400.0,-0.0027,VAR
2000-09-22,11.78,11.08,11.81,11.0,478400.0,0.0603,VAR
2000-09-25,11.14,11.75,11.77,11.11,603200.0,-0.054299999999999994,VAR
2000-09-26,10.84,11.19,11.19,10.81,459200.0,-0.0269,VAR
2000-09-27,10.92,10.91,11.34,10.91,332800.0,0.0074,VAR
2000-09-28,11.06,10.97,11.42,10.75,341600.0,0.0128,VAR
2000-09-29,11.3,11.39,11.39,10.94,247600.0,0.0217,VAR
2000-10-02,11.02,11.23,11.27,10.94,208800.0,-0.0248,VAR
2000-10-03,11.45,11.08,11.56,11.03,362800.0,0.039,VAR
2000-10-04,11.23,11.45,11.48,11.0,322800.0,-0.0192,VAR
2000-10-05,11.52,11.3,11.56,11.19,562800.0,0.0258,VAR
2000-10-06,11.53,11.52,11.56,11.44,498000.0,0.0009,VAR
2000-10-09,11.3,11.47,11.5,11.16,289600.0,-0.0199,VAR
2000-10-10,11.38,11.34,11.42,11.22,136400.0,0.0070999999999999995,VAR
2000-10-11,11.38,11.38,11.5,11.28,417200.0,0.0,VAR
2000-10-12,10.8,11.34,11.34,10.62,281600.0,-0.051,VAR
2000-10-13,11.23,10.86,11.31,10.73,490400.0,0.0398,VAR
2000-10-16,11.3,11.22,11.31,11.17,808400.0,0.0062,VAR
2000-10-17,11.16,11.27,11.28,10.88,404000.0,-0.0124,VAR
2000-10-18,11.06,11.09,11.09,10.95,287600.0,-0.009000000000000001,VAR
2000-10-19,10.92,11.06,11.12,10.78,788800.0,-0.0127,VAR
2000-10-20,10.64,10.89,10.91,10.62,626000.0,-0.0256,VAR
2000-10-23,11.5,10.88,11.69,10.88,1460000.0,0.0808,VAR
2000-10-24,12.12,11.56,12.12,11.55,999600.0,0.053899999999999997,VAR
2000-10-25,11.64,12.09,12.11,11.64,546000.0,-0.039599999999999996,VAR
2000-10-26,11.89,11.67,11.92,11.67,1060000.0,0.0215,VAR
2000-10-27,12.05,12.12,12.42,12.03,455200.0,0.013500000000000002,VAR
2000-10-30,11.83,12.34,12.5,11.81,740000.0,-0.0183,VAR
2000-10-31,12.22,11.89,12.5,11.89,581600.0,0.033,VAR
2000-11-01,12.22,12.25,12.41,11.89,669600.0,0.0,VAR
2000-11-02,13.58,12.25,14.22,12.25,4080000.0,0.11130000000000001,VAR
2000-11-03,13.61,14.25,14.44,13.34,2069999.9999999998,0.0022,VAR
2000-11-06,12.89,13.23,13.56,12.86,854000.0,-0.0529,VAR
2000-11-07,13.78,12.95,14.16,12.95,1100000.0,0.069,VAR
2000-11-08,14.0,13.75,14.25,13.72,706000.0,0.016,VAR
2000-11-09,13.38,13.69,14.03,13.14,1100000.0,-0.0443,VAR
2000-11-10,13.89,13.33,14.22,13.17,1470000.0,0.0381,VAR
2000-11-13,13.7,13.77,14.12,13.12,2080000.0,-0.0137,VAR
2000-11-14,13.83,13.64,14.03,13.62,607600.0,0.0095,VAR
2000-11-15,14.09,13.78,14.19,13.69,473600.0,0.018799999999999997,VAR
2000-11-16,13.97,14.16,14.25,13.78,440000.0,-0.0085,VAR
2000-11-17,13.95,14.0,14.09,13.91,579600.0,-0.0014000000000000002,VAR
2000-11-20,13.59,13.91,13.92,13.31,604400.0,-0.0258,VAR
2000-11-21,13.56,13.34,13.67,13.34,730000.0,-0.0022,VAR
2000-11-22,13.42,13.5,13.69,13.41,508400.0,-0.0103,VAR
2000-11-24,13.47,13.38,13.59,13.36,294400.0,0.0037,VAR
2000-11-27,13.89,13.5,13.91,13.41,748000.0,0.031200000000000002,VAR
2000-11-28,13.48,13.89,13.91,13.25,368000.0,-0.029500000000000002,VAR
2000-11-29,13.98,13.48,14.19,13.48,602000.0,0.0371,VAR
2000-11-30,14.72,13.81,14.88,13.81,1620000.0,0.0529,VAR
2000-12-01,14.56,14.66,14.66,14.14,1060000.0,-0.0109,VAR
2000-12-04,14.34,14.56,14.75,14.28,1130000.0,-0.0151,VAR
2000-12-05,14.25,14.28,14.36,14.17,1270000.0,-0.0063,VAR
2000-12-06,14.5,14.25,14.53,14.12,614800.0,0.0175,VAR
2000-12-07,13.97,14.5,14.5,13.92,453200.0,-0.0366,VAR
2000-12-08,14.88,13.91,14.88,13.69,1050000.0,0.06509999999999999,VAR
2000-12-11,15.0,14.88,15.0,14.61,1030000.0,0.008100000000000001,VAR
2000-12-12,14.53,15.0,15.0,14.5,582000.0,-0.0313,VAR
2000-12-13,14.91,14.66,15.0,14.42,944000.0,0.0262,VAR
2000-12-14,14.59,14.88,14.91,14.38,807200.0,-0.0215,VAR
2000-12-15,15.0,14.59,15.19,14.45,1440000.0,0.0281,VAR
2000-12-18,15.62,15.12,16.17,15.12,2650000.0,0.041299999999999996,VAR
2000-12-19,15.75,15.47,15.88,15.12,1430000.0,0.0083,VAR
2000-12-20,15.5,15.69,16.23,15.44,1330000.0,-0.0159,VAR
2000-12-21,15.98,15.56,16.16,15.09,934000.0,0.031,VAR
2000-12-22,16.5,16.05,16.78,15.62,945200.0,0.0325,VAR
2000-12-26,16.52,16.5,16.67,16.03,630000.0,0.0012,VAR
2000-12-27,16.62,16.45,16.8,16.19,727200.0,0.0060999999999999995,VAR
2000-12-28,17.3,16.69,17.31,16.64,722800.0,0.0409,VAR
2000-12-29,16.98,17.23,17.75,16.73,792000.0,-0.018500000000000003,VAR
2001-01-02,15.44,16.28,16.34,15.11,1610000.0,-0.0907,VAR
2001-01-03,15.34,15.25,15.72,15.23,900000.0,-0.006500000000000001,VAR
2001-01-04,14.62,15.41,15.44,14.0,935600.0,-0.046900000000000004,VAR
2001-01-05,15.02,14.38,15.25,14.27,1380000.0,0.0274,VAR
2001-01-08,15.02,14.95,15.56,14.78,919200.0,0.0,VAR
2001-01-09,15.44,15.08,15.53,14.94,887600.0,0.027999999999999997,VAR
2001-01-10,15.28,15.45,15.69,15.02,1640000.0,-0.0104,VAR
2001-01-11,15.25,15.34,15.48,15.22,669600.0,-0.002,VAR
2001-01-12,15.48,15.22,15.62,15.19,1160000.0,0.0151,VAR
2001-01-16,15.09,15.48,15.48,15.03,790800.0,-0.0252,VAR
2001-01-17,15.0,15.25,15.47,14.94,784800.0,-0.006,VAR
2001-01-18,15.25,15.03,15.56,15.0,938400.0,0.0167,VAR
2001-01-19,14.62,15.25,15.34,14.44,601600.0,-0.041299999999999996,VAR
2001-01-22,13.91,14.62,14.62,13.5,1820000.0,-0.048600000000000004,VAR
2001-01-23,13.83,13.92,14.48,13.81,1060000.0,-0.0058,VAR
2001-01-24,14.12,13.84,14.12,13.75,1030000.0,0.021,VAR
2001-01-25,16.69,15.62,17.12,15.56,5360000.0,0.182,VAR
2001-01-26,17.28,17.0,17.53,16.44,1990000.0,0.0354,VAR
2001-01-29,16.9,17.0,17.19,16.81,792400.0,-0.022000000000000002,VAR
2001-01-30,16.55,16.9,16.9,16.5,548000.0,-0.0207,VAR
2001-01-31,16.4,16.5,16.5,16.0,1380000.0,-0.0091,VAR
2001-02-01,16.56,16.4,16.68,16.38,1010000.0,0.0098,VAR
2001-02-02,15.95,16.57,16.76,15.8,960800.0,-0.0368,VAR
2001-02-05,16.32,16.0,16.5,16.0,1110000.0,0.0232,VAR
2001-02-06,16.5,16.32,16.56,16.19,1020000.0,0.011000000000000001,VAR
2001-02-07,16.77,16.5,16.77,16.5,566400.0,0.016399999999999998,VAR
2001-02-08,16.57,16.75,17.2,16.44,562400.0,-0.011899999999999999,VAR
2001-02-09,16.25,16.5,16.5,16.17,392800.0,-0.019299999999999998,VAR
2001-02-12,16.45,16.23,16.45,16.2,780000.0,0.0123,VAR
2001-02-13,16.29,16.46,16.49,16.25,289600.0,-0.0097,VAR
2001-02-14,16.52,16.29,16.54,16.06,615200.0,0.0141,VAR
2001-02-15,17.19,16.77,17.3,16.77,1040000.0,0.0406,VAR
2001-02-16,16.93,17.1,17.12,16.93,620400.0,-0.0151,VAR
2001-02-20,17.11,16.95,17.16,16.8,436800.0,0.0106,VAR
2001-02-21,17.27,17.18,17.54,17.18,975200.0,0.009399999999999999,VAR
2001-02-22,17.0,17.25,17.29,16.98,1350000.0,-0.015600000000000001,VAR
2001-02-23,17.2,16.94,17.21,16.81,1100000.0,0.0118,VAR
2001-02-26,17.55,17.2,18.23,17.2,1720000.0,0.0203,VAR
2001-02-27,17.4,17.49,17.62,17.2,936000.0,-0.0085,VAR
2001-02-28,16.6,17.44,17.49,16.6,624000.0,-0.046,VAR
2001-03-01,16.3,16.8,16.8,15.6,1680000.0,-0.0181,VAR
2001-03-02,16.64,16.23,16.77,16.07,636000.0,0.0209,VAR
2001-03-05,16.48,16.68,16.68,16.4,414400.0,-0.0096,VAR
2001-03-06,16.5,16.45,16.55,16.43,421200.0,0.0012,VAR
2001-03-07,16.69,16.5,16.9,16.38,607200.0,0.0115,VAR
2001-03-08,16.55,16.68,16.7,16.54,254800.0,-0.0084,VAR
2001-03-09,16.75,16.55,16.85,16.55,643200.0,0.0121,VAR
2001-03-12,16.39,16.75,16.75,16.39,458800.0,-0.0215,VAR
2001-03-13,16.07,16.36,16.36,15.86,967200.0,-0.0195,VAR
2001-03-14,15.72,16.0,16.05,15.62,1060000.0,-0.0218,VAR
