Date,Close,Open,High,Low,Volume,Change,Symbol
2005-12-06,44.39,42.95,44.39,42.95,850400.0,0.0371,VIAC
2005-12-07,44.9,44.28,44.95,44.28,870900.0,0.0115,VIAC
2005-12-08,43.9,43.5,44.9,44.9,965300.0,-0.0223,VIAC
2005-12-09,43.65,42.83,44.25,44.1,908500.0,-0.005699999999999999,VIAC
2005-12-12,43.52,43.45,44.2,43.5,752200.0,-0.003,VIAC
2005-12-13,43.9,43.3,44.24,43.45,143700.0,0.0087,VIAC
2005-12-14,43.9,43.67,44.18,43.91,164300.0,0.0,VIAC
2005-12-15,42.91,42.88,43.8,43.8,180400.0,-0.0226,VIAC
2005-12-16,43.19,42.79,43.19,43.0,147000.0,0.006500000000000001,VIAC
2005-12-19,42.58,42.41,43.1,43.1,276300.0,-0.0141,VIAC
2005-12-20,42.0,41.85,42.58,42.58,760000.0,-0.013600000000000001,VIAC
2005-12-21,41.83,41.8,42.44,42.1,401500.0,-0.004,VIAC
2005-12-22,41.55,41.38,41.98,41.98,388000.0,-0.0067,VIAC
2005-12-23,41.45,41.25,41.59,41.59,625900.0,-0.0024,VIAC
2005-12-27,40.34,40.2,41.45,41.45,491600.0,-0.0268,VIAC
2005-12-28,40.26,39.94,40.4,40.24,908400.0,-0.002,VIAC
2005-12-29,39.95,39.82,40.6,40.25,660100.0,-0.0077,VIAC
2005-12-30,41.15,39.78,41.15,39.95,3560000.0,0.03,VIAC
2006-01-03,41.59,38.65,42.1,41.12,6390000.0,0.010700000000000001,VIAC
2006-01-04,41.98,41.68,42.2,41.78,6080000.0,0.009399999999999999,VIAC
2006-01-05,42.25,41.75,42.42,41.87,5670000.0,0.0064,VIAC
2006-01-06,42.65,42.34,42.95,42.4,5630000.0,0.0095,VIAC
2006-01-09,42.5,42.67,42.84,42.39,5130000.0,-0.0034999999999999996,VIAC
2006-01-10,42.4,42.25,42.51,41.53,4910000.0,-0.0024,VIAC
2006-01-11,41.81,42.35,42.4,41.64,5200000.0,-0.0139,VIAC
2006-01-12,41.65,42.58,42.58,41.13,6170000.0,-0.0038,VIAC
2006-01-13,42.18,41.58,42.26,41.46,4720000.0,0.0127,VIAC
2006-01-17,41.7,41.86,42.15,41.61,4470000.0,-0.011399999999999999,VIAC
2006-01-18,41.74,41.7,41.88,41.12,3200000.0,0.001,VIAC
2006-01-19,42.77,41.95,42.9,41.83,3560000.0,0.024700000000000003,VIAC
2006-01-20,42.45,42.7,42.72,42.41,3970000.0,-0.0075,VIAC
2006-01-23,43.15,42.45,43.23,42.27,3840000.0,0.0165,VIAC
2006-01-24,43.46,43.22,43.55,43.03,3730000.0,0.0072,VIAC
2006-01-25,43.28,43.48,43.8,43.09,3820000.0,-0.0040999999999999995,VIAC
