Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,4.37,4.54,4.6,4.27,883600.0,-0.0374,VLO
2000-01-04,4.32,4.35,4.35,4.22,1080000.0,-0.011399999999999999,VLO
2000-01-05,4.48,4.37,4.52,4.34,791600.0,0.037000000000000005,VLO
2000-01-06,4.62,4.48,4.68,4.4,1160000.0,0.031200000000000002,VLO
2000-01-07,4.57,4.62,4.64,4.51,516000.0,-0.0108,VLO
2000-01-10,4.55,4.6,4.6,4.4,1080000.0,-0.0044,VLO
2000-01-11,4.48,4.48,4.5,4.41,835200.0,-0.0154,VLO
2000-01-12,4.51,4.48,4.6,4.45,1120000.0,0.0067,VLO
2000-01-13,4.55,4.54,4.67,4.51,608400.0,0.0089,VLO
2000-01-14,4.6,4.6,4.65,4.6,772000.0,0.011000000000000001,VLO
2000-01-18,4.88,4.62,4.88,4.6,855600.0,0.060899999999999996,VLO
2000-01-19,4.88,4.85,4.92,4.84,548000.0,0.0,VLO
2000-01-20,5.07,4.91,5.08,4.88,696800.0,0.038900000000000004,VLO
2000-01-21,5.19,5.07,5.22,5.05,2780000.0,0.023700000000000002,VLO
2000-01-24,4.87,5.19,5.19,4.85,1180000.0,-0.0617,VLO
2000-01-25,4.81,4.91,4.95,4.81,1190000.0,-0.0123,VLO
2000-01-26,5.14,4.91,5.28,4.91,1830000.0,0.06860000000000001,VLO
2000-01-27,5.05,5.11,5.12,4.97,1630000.0,-0.0175,VLO
2000-01-28,5.05,5.02,5.11,4.99,1520000.0,0.0,VLO
2000-01-31,5.19,5.08,5.22,5.02,2320000.0,0.0277,VLO
2000-02-01,5.21,5.18,5.24,5.14,1360000.0,0.0039000000000000003,VLO
2000-02-02,5.34,5.21,5.37,5.21,2460000.0,0.025,VLO
2000-02-03,5.31,5.32,5.39,5.25,1750000.0,-0.005600000000000001,VLO
2000-02-04,5.25,5.35,5.41,5.22,1120000.0,-0.0113,VLO
2000-02-07,5.31,5.25,5.45,5.25,1020000.0,0.011399999999999999,VLO
2000-02-08,5.25,5.31,5.32,5.18,2830000.0,-0.0113,VLO
2000-02-09,5.14,5.28,5.28,5.14,1370000.0,-0.021,VLO
2000-02-10,5.28,5.14,5.35,5.11,2670000.0,0.027200000000000002,VLO
2000-02-11,5.31,5.27,5.31,5.22,1330000.0,0.005699999999999999,VLO
2000-02-14,5.17,5.28,5.28,5.15,2290000.0,-0.0264,VLO
2000-02-15,5.37,5.17,5.37,5.11,2150000.0,0.0387,VLO
2000-02-16,5.55,5.35,5.71,5.32,5590000.0,0.0335,VLO
2000-02-17,5.49,5.59,5.61,5.45,2000000.0,-0.0108,VLO
2000-02-18,5.45,5.55,5.59,5.42,711600.0,-0.0073,VLO
2000-02-22,5.54,5.51,5.61,5.45,2190000.0,0.0165,VLO
2000-02-23,5.48,5.54,5.54,5.41,921600.0,-0.0108,VLO
2000-02-24,5.52,5.48,5.54,5.42,1770000.0,0.0073,VLO
2000-02-25,5.48,5.59,5.64,5.47,544000.0,-0.0072,VLO
2000-02-28,5.62,5.48,5.62,5.45,960000.0,0.0255,VLO
2000-02-29,5.82,5.61,5.82,5.61,2140000.0,0.0356,VLO
2000-03-01,6.02,5.94,6.15,5.94,4640000.0,0.0344,VLO
2000-03-02,6.17,6.02,6.27,5.99,2340000.0,0.024900000000000002,VLO
2000-03-03,6.04,6.28,6.31,5.99,3720000.0,-0.021099999999999997,VLO
2000-03-06,6.17,6.05,6.19,5.99,2550000.0,0.0215,VLO
2000-03-07,6.61,6.28,6.62,6.27,3200000.0,0.0713,VLO
2000-03-08,6.51,6.58,6.58,6.32,2840000.0,-0.0151,VLO
2000-03-09,6.28,6.62,6.62,6.25,1510000.0,-0.0353,VLO
2000-03-10,6.56,6.36,6.76,6.36,2540000.0,0.0446,VLO
2000-03-13,6.65,6.58,6.79,6.56,1310000.0,0.0137,VLO
2000-03-14,6.42,6.68,6.71,6.41,962400.0,-0.0346,VLO
2000-03-15,6.54,6.48,6.65,6.42,954800.0,0.0187,VLO
2000-03-16,6.85,6.56,6.89,6.56,3050000.0,0.047400000000000005,VLO
2000-03-17,6.71,6.79,6.81,6.62,2530000.0,-0.0204,VLO
2000-03-20,6.92,6.82,7.01,6.72,2730000.0,0.0313,VLO
2000-03-21,6.88,7.02,7.08,6.85,1820000.0,-0.0058,VLO
2000-03-22,7.16,6.91,7.16,6.89,1370000.0,0.0407,VLO
2000-03-23,7.29,7.19,7.31,7.18,1550000.0,0.0182,VLO
2000-03-24,7.08,7.29,7.29,7.06,1720000.0,-0.0288,VLO
2000-03-27,6.96,7.11,7.14,6.85,1660000.0,-0.0169,VLO
2000-03-28,6.91,6.96,6.96,6.85,1070000.0,-0.0072,VLO
2000-03-29,6.78,6.92,6.95,6.76,2570000.0,-0.018799999999999997,VLO
2000-03-30,7.08,6.76,7.08,6.75,3150000.0,0.044199999999999996,VLO
2000-03-31,7.01,7.05,7.08,6.91,3310000.0,-0.009899999999999999,VLO
2000-04-03,7.28,7.06,7.34,6.96,2620000.0,0.0385,VLO
2000-04-04,6.89,7.22,7.24,6.89,1680000.0,-0.0536,VLO
2000-04-05,6.61,6.89,6.89,6.48,2850000.0,-0.0406,VLO
2000-04-06,6.56,6.62,6.64,6.54,2060000.0,-0.0076,VLO
2000-04-07,6.76,6.56,6.85,6.51,2820000.0,0.0305,VLO
2000-04-10,6.64,6.65,6.71,6.59,1680000.0,-0.0178,VLO
2000-04-11,6.74,6.69,6.76,6.62,1910000.0,0.0151,VLO
2000-04-12,7.14,6.88,7.16,6.85,4130000.0,0.0593,VLO
2000-04-13,7.04,7.08,7.14,6.96,1130000.0,-0.013999999999999999,VLO
2000-04-14,6.61,7.01,7.01,6.51,1140000.0,-0.0611,VLO
2000-04-17,6.48,6.66,6.66,6.27,2510000.0,-0.0197,VLO
2000-04-18,6.82,6.48,6.82,6.45,2020000.0,0.0525,VLO
2000-04-19,7.14,6.85,7.18,6.79,1610000.0,0.046900000000000004,VLO
2000-04-20,6.88,7.16,7.22,6.78,2640000.0,-0.0364,VLO
2000-04-24,6.89,6.96,7.04,6.89,800400.0,0.0015,VLO
2000-04-25,7.02,6.94,7.02,6.82,791600.0,0.0189,VLO
2000-04-26,6.51,7.02,7.02,6.51,2210000.0,-0.0726,VLO
2000-04-27,6.72,6.56,6.74,6.56,1040000.0,0.0323,VLO
2000-04-28,6.62,6.74,6.76,6.56,885600.0,-0.0149,VLO
2000-05-01,6.59,6.62,6.74,6.59,1490000.0,-0.0045000000000000005,VLO
2000-05-02,6.54,6.56,6.71,6.52,1530000.0,-0.0076,VLO
2000-05-03,6.38,6.59,6.62,6.36,2640000.0,-0.0245,VLO
2000-05-04,6.41,6.38,6.45,6.34,1430000.0,0.004699999999999999,VLO
2000-05-05,6.55,6.41,6.55,6.39,2089999.9999999998,0.0218,VLO
2000-05-08,6.91,6.62,6.99,6.54,1730000.0,0.055,VLO
2000-05-09,6.95,6.91,7.08,6.86,1880000.0,0.0058,VLO
2000-05-10,6.82,6.89,6.91,6.74,1190000.0,-0.0187,VLO
2000-05-11,7.34,6.82,7.34,6.82,1950000.0,0.0762,VLO
2000-05-12,7.11,7.34,7.42,7.05,1280000.0,-0.0313,VLO
2000-05-15,7.28,7.14,7.45,7.05,2150000.0,0.0239,VLO
2000-05-16,7.19,7.36,7.48,7.16,1050000.0,-0.0124,VLO
2000-05-17,6.94,7.19,7.22,6.94,1710000.0,-0.0348,VLO
2000-05-18,6.94,6.99,7.15,6.94,1700000.0,0.0,VLO
2000-05-19,6.75,6.88,6.91,6.74,1950000.0,-0.0274,VLO
2000-05-22,6.75,6.75,6.82,6.62,1220000.0,0.0,VLO
2000-05-23,6.96,6.74,7.11,6.68,2880000.0,0.0311,VLO
2000-05-24,6.74,6.96,7.02,6.74,3360000.0,-0.0316,VLO
2000-05-25,6.56,6.76,6.76,6.49,3100000.0,-0.026699999999999998,VLO
2000-05-26,6.64,6.68,6.71,6.59,2009999.9999999998,0.012199999999999999,VLO
2000-05-30,6.68,6.64,6.71,6.56,1310000.0,0.006,VLO
2000-05-31,6.68,6.68,6.85,6.68,2069999.9999999998,0.0,VLO
2000-06-01,6.79,6.79,6.79,6.65,2190000.0,0.0165,VLO
2000-06-02,6.15,6.79,6.82,6.04,6520000.0,-0.0943,VLO
2000-06-05,6.54,6.22,6.62,6.19,5600000.0,0.0634,VLO
2000-06-06,6.59,6.56,6.78,6.56,2330000.0,0.0076,VLO
2000-06-07,6.51,6.62,6.62,6.42,1600000.0,-0.0121,VLO
2000-06-08,6.88,6.54,6.96,6.54,3130000.0,0.056799999999999996,VLO
2000-06-09,6.82,6.91,6.95,6.76,1500000.0,-0.0087,VLO
2000-06-12,7.02,6.82,7.04,6.82,967200.0,0.029300000000000003,VLO
