Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,53.73,54.35,55.25,53.45,4190000.0000000005,-0.0265,VZ
2000-01-04,52.0,53.51,54.18,51.32,4500000.0,-0.0322,VZ
2000-01-05,53.73,52.89,54.52,52.45,5730000.0,0.0333,VZ
2000-01-06,53.12,53.51,53.51,52.33,4230000.0,-0.011399999999999999,VZ
2000-01-07,52.73,52.78,52.95,51.83,4540000.0,-0.0073,VZ
2000-01-10,52.45,52.73,53.17,51.83,4040000.0,-0.0053,VZ
2000-01-11,51.95,51.77,52.33,51.32,3330000.0,-0.0095,VZ
2000-01-12,50.2,50.54,51.66,50.2,3860000.0,-0.0337,VZ
2000-01-13,49.81,51.1,51.27,49.81,3400000.0,-0.0078000000000000005,VZ
2000-01-14,50.48,50.15,50.76,49.81,2860000.0,0.013500000000000002,VZ
2000-01-18,52.67,51.1,53.73,50.93,4370000.0,0.0434,VZ
2000-01-19,51.66,51.55,52.45,51.55,2660000.0,-0.0192,VZ
2000-01-20,51.83,52.05,53.12,51.83,2440000.0,0.0033,VZ
2000-01-21,53.85,53.68,54.97,52.89,5130000.0,0.039,VZ
2000-01-24,53.9,54.07,54.52,53.73,3520000.0,0.0009,VZ
2000-01-25,52.45,53.85,54.01,52.17,3980000.0,-0.0269,VZ
2000-01-26,51.77,52.67,52.84,51.61,3650000.0,-0.013000000000000001,VZ
2000-01-27,52.22,52.0,52.67,51.21,2810000.0,0.0087,VZ
2000-01-28,51.66,51.94,52.78,51.16,3020000.0,-0.010700000000000001,VZ
2000-01-31,55.53,51.61,56.48,51.16,4880000.0,0.07490000000000001,VZ
2000-02-01,53.4,54.46,55.02,53.12,4200000.0,-0.0384,VZ
2000-02-02,53.17,53.85,53.9,53.01,2660000.0,-0.0043,VZ
2000-02-03,52.39,53.57,53.9,52.0,2330000.0,-0.0147,VZ
2000-02-04,52.5,52.67,53.51,52.28,3060000.0,0.0021,VZ
2000-02-07,53.57,52.5,53.73,51.94,2980000.0,0.0204,VZ
2000-02-08,52.89,53.62,54.24,52.61,2760000.0,-0.0127,VZ
2000-02-09,51.83,52.89,53.06,51.55,2900000.0,-0.02,VZ
2000-02-10,51.16,51.72,51.77,50.99,2560000.0,-0.0129,VZ
2000-02-11,50.2,51.04,51.1,48.8,3090000.0,-0.018799999999999997,VZ
2000-02-14,49.59,50.2,50.48,49.2,2610000.0,-0.012199999999999999,VZ
2000-02-15,48.64,49.42,49.42,48.41,3590000.0,-0.0192,VZ
2000-02-16,49.36,48.47,49.59,48.47,3370000.0,0.0148,VZ
2000-02-17,48.19,50.04,50.15,47.96,3020000.0,-0.023700000000000002,VZ
2000-02-18,46.51,48.02,48.24,46.23,3860000.0,-0.0349,VZ
2000-02-22,46.84,47.07,47.35,45.89,3230000.0,0.0070999999999999995,VZ
2000-02-23,45.05,45.83,46.67,44.88,3610000.0,-0.0382,VZ
2000-02-24,43.03,44.88,45.27,42.92,5640000.0,-0.044800000000000006,VZ
2000-02-25,42.64,42.58,44.26,42.47,4740000.0,-0.0091,VZ
2000-02-28,44.71,42.86,45.67,42.75,3890000.0,0.048499999999999995,VZ
2000-02-29,43.87,44.83,44.94,43.2,4680000.0,-0.018799999999999997,VZ
2000-03-01,49.25,47.63,49.31,46.73,7140000.0,0.1226,VZ
2000-03-02,49.53,48.52,49.64,48.47,4270000.0,0.005699999999999999,VZ
2000-03-03,49.59,49.64,50.32,49.42,3970000.0,0.0012,VZ
2000-03-06,51.1,50.37,51.1,49.03,3970000.0,0.0304,VZ
2000-03-07,49.87,51.1,51.77,49.81,3500000.0,-0.0241,VZ
2000-03-08,50.65,49.14,51.16,49.14,3130000.0,0.015600000000000001,VZ
2000-03-09,52.56,50.54,52.56,50.04,3650000.0,0.0377,VZ
2000-03-10,51.38,52.39,52.39,50.93,3580000.0,-0.0225,VZ
2000-03-13,51.27,50.76,51.38,50.15,3360000.0,-0.0021,VZ
2000-03-14,50.26,50.54,50.82,50.09,3320000.0,-0.0197,VZ
2000-03-15,50.26,50.32,50.71,49.31,3810000.0,0.0,VZ
2000-03-16,51.89,50.26,52.11,49.59,4700000.0,0.032400000000000005,VZ
2000-03-17,53.06,52.05,53.62,51.77,4530000.0,0.0225,VZ
2000-03-20,53.01,52.89,53.73,52.22,3040000.0,-0.0009,VZ
2000-03-21,52.78,53.01,53.51,52.22,2910000.0,-0.0043,VZ
2000-03-22,51.89,52.33,52.73,51.32,3910000.0,-0.0169,VZ
2000-03-23,53.45,52.67,53.9,52.22,5550000.0,0.0301,VZ
2000-03-24,53.34,53.57,54.18,52.95,3240000.0,-0.0021,VZ
2000-03-27,54.35,53.34,54.57,53.01,3470000.0,0.0189,VZ
2000-03-28,54.24,54.29,54.63,53.51,3290000.0,-0.002,VZ
2000-03-29,55.58,54.24,55.58,54.01,3320000.0,0.024700000000000003,VZ
2000-03-30,54.91,55.47,55.92,54.91,3920000.0,-0.0121,VZ
2000-03-31,54.8,56.03,56.65,54.8,4620000.0,-0.002,VZ
2000-04-03,56.54,55.36,56.54,54.74,3310000.0,0.0318,VZ
2000-04-04,57.15,58.22,59.17,55.98,7030000.0,0.0108,VZ
2000-04-05,56.65,57.26,58.05,56.48,3130000.0,-0.0087,VZ
2000-04-06,58.44,56.93,58.5,56.76,2760000.0,0.0316,VZ
2000-04-07,57.94,57.82,58.22,57.49,4410000.0,-0.0086,VZ
2000-04-10,56.65,57.04,57.54,56.26,3360000.0,-0.0223,VZ
2000-04-11,57.43,57.38,57.99,57.15,2780000.0,0.0138,VZ
2000-04-12,57.71,57.6,58.5,57.21,4090000.0,0.0049,VZ
2000-04-13,56.54,57.6,57.6,56.54,2940000.0,-0.0203,VZ
2000-04-14,54.8,56.31,57.15,54.18,3930000.0,-0.0308,VZ
2000-04-17,54.35,54.74,55.14,53.06,3560000.0,-0.008199999999999999,VZ
2000-04-18,54.41,54.13,55.25,54.01,2990000.0,0.0011,VZ
2000-04-19,55.36,54.57,55.47,54.35,2200000.0,0.0175,VZ
2000-04-20,54.01,54.91,55.02,53.62,2049999.9999999998,-0.024399999999999998,VZ
2000-04-24,55.53,54.24,55.53,54.07,2400000.0,0.0281,VZ
