Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,28.56,28.5,28.69,27.75,2100000.0,-0.0236,WBA
2000-01-04,27.5,27.81,28.38,27.12,1710000.0,-0.0371,WBA
2000-01-05,27.81,27.75,27.94,27.31,2170000.0,0.0113,WBA
2000-01-06,27.0,27.69,27.88,26.88,2600000.0,-0.0291,WBA
2000-01-07,27.69,27.06,27.75,26.38,3630000.0,0.0256,WBA
2000-01-10,28.5,27.56,28.88,27.25,3300000.0,0.029300000000000003,WBA
2000-01-11,29.62,28.88,30.0,28.62,3500000.0,0.0393,WBA
2000-01-12,30.25,30.0,30.38,29.69,2060000.0,0.0213,WBA
2000-01-13,30.19,30.0,30.62,29.62,2089999.9999999998,-0.002,WBA
2000-01-14,29.44,29.62,29.88,29.25,2049999.9999999998,-0.0248,WBA
2000-01-18,29.25,29.0,29.5,28.69,1560000.0,-0.006500000000000001,WBA
2000-01-19,30.19,29.5,30.38,29.31,1990000.0,0.0321,WBA
2000-01-20,30.19,30.25,30.81,29.81,2600000.0,0.0,WBA
2000-01-21,29.94,30.94,30.94,29.75,2089999.9999999998,-0.0083,WBA
2000-01-24,29.0,30.12,30.25,28.75,1710000.0,-0.031400000000000004,WBA
2000-01-25,28.44,29.19,29.38,28.19,1880000.0,-0.019299999999999998,WBA
2000-01-26,29.25,27.5,29.31,27.44,1610000.0,0.0285,WBA
2000-01-27,29.12,29.5,29.62,28.19,1420000.0,-0.0044,WBA
2000-01-28,28.81,28.25,29.25,28.06,1690000.0,-0.0106,WBA
2000-01-31,27.94,28.75,28.75,27.62,2480000.0,-0.0302,WBA
2000-02-01,28.81,27.69,29.0,27.06,1820000.0,0.0311,WBA
2000-02-02,28.94,28.44,29.38,28.19,1360000.0,0.0045000000000000005,WBA
2000-02-03,28.88,28.25,29.12,28.25,1600000.0,-0.0021,WBA
2000-02-04,29.19,29.12,29.5,29.0,1310000.0,0.010700000000000001,WBA
2000-02-07,28.94,28.62,29.0,28.44,1360000.0,-0.0086,WBA
2000-02-08,30.12,29.25,30.12,28.81,2260000.0,0.0408,WBA
2000-02-09,29.94,30.0,30.25,29.62,1420000.0,-0.006,WBA
2000-02-10,30.62,29.94,30.62,29.88,1880000.0,0.0227,WBA
2000-02-11,29.62,30.38,30.44,29.56,1230000.0,-0.0327,WBA
2000-02-14,29.81,29.5,29.81,28.94,966100.0,0.0064,WBA
2000-02-15,28.5,29.62,29.75,28.25,1610000.0,-0.043899999999999995,WBA
2000-02-16,27.5,28.19,28.31,27.12,1420000.0,-0.0351,WBA
2000-02-17,27.38,27.25,27.62,26.38,1780000.0,-0.0044,WBA
2000-02-18,26.19,27.0,27.0,25.94,2069999.9999999998,-0.0435,WBA
2000-02-22,26.25,25.5,26.5,25.0,1940000.0,0.0023,WBA
2000-02-23,26.75,25.62,26.94,25.25,2290000.0,0.019,WBA
2000-02-24,26.06,26.75,26.94,25.75,2960000.0,-0.0258,WBA
2000-02-25,26.12,26.06,26.31,25.5,3820000.0,0.0023,WBA
2000-02-28,26.44,26.19,26.62,25.12,2130000.0,0.0123,WBA
2000-02-29,25.81,26.56,26.56,25.75,2780000.0,-0.023799999999999998,WBA
2000-03-01,25.62,25.88,25.88,25.19,2720000.0,-0.0074,WBA
2000-03-02,24.69,25.12,25.25,24.5,3260000.0,-0.0363,WBA
2000-03-03,24.52,24.56,24.94,24.19,3170000.0,-0.0069,WBA
2000-03-06,24.25,24.5,24.5,23.75,2400000.0,-0.011000000000000001,WBA
2000-03-07,22.75,24.12,24.12,22.06,3520000.0,-0.061900000000000004,WBA
2000-03-08,24.88,22.75,25.0,22.69,2760000.0,0.09359999999999999,WBA
2000-03-09,25.62,24.88,25.88,24.81,2240000.0,0.0297,WBA
2000-03-10,24.5,25.38,25.38,24.44,1670000.0,-0.0437,WBA
2000-03-13,25.06,23.38,25.12,23.31,2110000.0,0.0229,WBA
2000-03-14,25.0,25.06,25.31,24.56,2660000.0,-0.0024,WBA
2000-03-15,26.0,24.88,26.25,24.81,2430000.0,0.04,WBA
