Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,3.94,4.25,4.25,3.94,2460000.0,-0.059699999999999996,WDC
2000-01-04,4.69,3.94,5.0,3.88,7660000.0,0.19039999999999999,WDC
2000-01-05,4.38,4.75,4.75,4.12,3940000.0,-0.0661,WDC
2000-01-06,4.56,4.5,4.69,4.31,2470000.0,0.041100000000000005,WDC
2000-01-07,5.62,4.62,5.62,4.62,9780000.0,0.2325,WDC
2000-01-10,5.0,5.5,5.56,5.0,4960000.0,-0.1103,WDC
2000-01-11,5.0,4.88,5.25,4.5,4390000.0,0.0,WDC
2000-01-12,4.56,4.94,5.0,4.0,3790000.0,-0.08800000000000001,WDC
2000-01-13,4.31,4.75,4.88,4.25,2920000.0,-0.0548,WDC
2000-01-14,4.5,4.38,4.75,4.31,2950000.0,0.0441,WDC
2000-01-18,5.12,4.88,5.25,4.56,4520000.0,0.1378,WDC
2000-01-19,6.69,5.06,6.69,5.0,7650000.0,0.3066,WDC
2000-01-20,5.56,6.38,6.38,5.31,8870000.0,-0.1689,WDC
2000-01-21,5.12,5.5,5.56,5.0,3450000.0,-0.0791,WDC
2000-01-24,4.75,5.31,5.38,4.75,3330000.0,-0.0723,WDC
2000-01-25,5.5,4.88,5.5,4.75,3380000.0,0.15789999999999998,WDC
2000-01-26,5.75,5.25,5.75,4.94,2750000.0,0.0455,WDC
2000-01-27,4.62,5.12,5.38,4.62,3690000.0,-0.19649999999999998,WDC
2000-01-28,5.0,4.75,5.12,4.69,2150000.0,0.0823,WDC
2000-01-31,4.75,4.94,4.94,4.62,1270000.0,-0.05,WDC
2000-02-01,4.69,4.75,4.81,4.56,1670000.0,-0.0126,WDC
2000-02-02,4.75,4.62,4.75,4.56,1300000.0,0.0128,WDC
2000-02-03,5.06,4.69,5.19,4.62,3050000.0,0.0653,WDC
2000-02-04,5.06,5.19,5.25,4.88,2029999.9999999998,0.0,WDC
2000-02-07,5.25,5.06,5.5,5.0,2990000.0,0.0375,WDC
2000-02-08,5.12,5.25,5.56,5.0,3050000.0,-0.0248,WDC
2000-02-09,5.0,5.12,5.19,4.88,1740000.0,-0.023399999999999997,WDC
2000-02-10,4.81,5.0,5.0,4.75,2460000.0,-0.038,WDC
2000-02-11,4.94,4.81,4.94,4.25,2680000.0,0.027000000000000003,WDC
2000-02-14,4.69,4.69,4.75,4.62,1470000.0,-0.0506,WDC
2000-02-15,4.5,4.62,4.69,4.5,1700000.0,-0.0405,WDC
2000-02-16,4.5,4.62,4.62,4.5,1350000.0,0.0,WDC
2000-02-17,4.5,4.56,4.69,4.5,1740000.0,0.0,WDC
2000-02-18,4.31,4.56,4.56,4.31,1760000.0,-0.042199999999999994,WDC
2000-02-22,4.25,4.31,4.5,4.25,1630000.0,-0.0139,WDC
2000-02-23,4.31,4.31,4.31,4.12,1790000.0,0.0141,WDC
2000-02-24,4.25,4.19,4.38,4.19,1770000.0,-0.0139,WDC
2000-02-25,3.94,4.12,4.25,3.94,2750000.0,-0.0729,WDC
2000-02-28,3.94,4.0,4.12,3.94,1910000.0,0.0,WDC
2000-02-29,4.5,4.06,4.75,4.06,3060000.0,0.1421,WDC
2000-03-01,4.69,4.5,4.69,4.31,2460000.0,0.042199999999999994,WDC
2000-03-02,4.75,4.56,4.75,4.5,2009999.9999999998,0.0128,WDC
2000-03-03,4.5,4.88,4.88,4.38,1960000.0,-0.0526,WDC
2000-03-06,4.81,4.62,5.12,4.5,4480000.0,0.0689,WDC
2000-03-07,4.56,4.75,4.88,4.44,2089999.9999999998,-0.052000000000000005,WDC
2000-03-08,4.56,4.56,4.69,4.44,1310000.0,0.0,WDC
2000-03-09,6.0,4.56,6.0,4.5,8570000.0,0.31579999999999997,WDC
2000-03-10,5.19,5.62,5.75,5.19,4690000.0,-0.135,WDC
2000-03-13,7.25,5.5,7.25,5.38,18810000.0,0.3969,WDC
2000-03-14,6.5,7.25,7.75,6.5,10510000.0,-0.10339999999999999,WDC
2000-03-15,6.5,6.94,6.94,6.38,4790000.0,0.0,WDC
