Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,61.81,64.31,64.44,61.69,294400.0,-0.05,WHR
2000-01-04,59.44,61.56,62.19,58.94,472600.0,-0.0383,WHR
2000-01-05,60.31,59.44,60.81,59.31,419500.0,0.0146,WHR
2000-01-06,60.81,60.19,61.62,59.69,266600.0,0.0083,WHR
2000-01-07,61.0,60.94,61.56,60.38,298400.0,0.0031,WHR
2000-01-10,61.75,61.25,62.69,61.12,212700.0,0.0123,WHR
2000-01-11,64.0,62.0,64.56,62.0,309500.0,0.0364,WHR
2000-01-12,61.75,63.75,63.81,61.75,357100.0,-0.0352,WHR
2000-01-13,61.44,62.0,62.25,61.25,174500.0,-0.005,WHR
2000-01-14,61.19,61.5,62.19,61.12,239500.0,-0.0040999999999999995,WHR
2000-01-18,59.31,60.0,60.31,59.25,233500.0,-0.030699999999999998,WHR
2000-01-19,59.62,61.5,63.19,59.62,548000.0,0.0052,WHR
2000-01-20,59.5,59.88,60.56,59.12,471900.0,-0.002,WHR
2000-01-21,57.5,56.0,58.0,52.25,2450000.0,-0.0336,WHR
2000-01-24,57.94,57.75,59.94,57.38,894400.0,0.0077,WHR
2000-01-25,53.62,57.94,58.38,51.75,1120000.0,-0.0746,WHR
2000-01-26,59.88,55.06,59.94,55.0,923400.0,0.1167,WHR
2000-01-27,56.69,59.62,60.25,56.44,895100.0,-0.0533,WHR
2000-01-28,56.75,55.38,58.56,55.38,375500.0,0.0011,WHR
2000-01-31,58.25,56.5,58.75,56.25,391500.0,0.0264,WHR
2000-02-01,59.69,58.25,60.44,58.25,531500.0,0.024700000000000003,WHR
2000-02-02,57.62,59.44,59.5,57.56,468300.0,-0.0347,WHR
2000-02-03,57.56,57.56,58.25,57.06,355000.0,-0.001,WHR
2000-02-04,56.38,57.81,58.19,56.31,300100.0,-0.020499999999999997,WHR
2000-02-07,55.56,56.38,57.25,55.0,495300.0,-0.014499999999999999,WHR
2000-02-08,54.38,55.81,56.19,54.38,372300.0,-0.0212,WHR
2000-02-09,54.94,55.06,55.38,54.69,355700.0,0.0103,WHR
2000-02-10,54.38,55.0,55.44,54.12,288900.0,-0.0102,WHR
2000-02-11,52.75,54.94,55.38,52.62,253400.0,-0.03,WHR
2000-02-14,52.94,51.75,53.88,50.5,741400.0,0.0036,WHR
2000-02-15,52.69,53.06,54.06,51.94,711000.0,-0.004699999999999999,WHR
2000-02-16,54.0,53.06,54.12,53.0,493300.0,0.024900000000000002,WHR
2000-02-17,57.0,54.0,58.44,54.0,575000.0,0.0556,WHR
2000-02-18,54.5,56.38,56.69,54.31,487000.0,-0.043899999999999995,WHR
2000-02-22,54.56,54.5,55.25,54.25,473400.0,0.0011,WHR
2000-02-23,54.19,54.56,54.94,54.12,467700.0,-0.0068000000000000005,WHR
2000-02-24,54.25,54.19,54.69,52.56,673400.0,0.0011,WHR
2000-02-25,53.38,53.88,54.44,53.31,699900.0,-0.016,WHR
2000-02-28,53.62,53.88,54.0,52.88,291900.0,0.0045000000000000005,WHR
2000-02-29,54.31,53.12,55.0,53.12,486000.0,0.0129,WHR
2000-03-01,53.44,54.31,54.44,51.75,317000.0,-0.016,WHR
2000-03-02,51.5,53.19,53.38,51.12,353200.0,-0.0363,WHR
2000-03-03,52.19,51.56,53.25,51.31,543900.0,0.0134,WHR
2000-03-06,52.31,52.12,52.81,52.12,321400.0,0.0023,WHR
2000-03-07,50.44,52.06,53.62,50.25,329400.0,-0.035699999999999996,WHR
2000-03-08,49.62,50.75,51.0,48.62,392600.0,-0.0163,WHR
2000-03-09,51.69,49.62,52.19,49.19,583700.0,0.0417,WHR
2000-03-10,50.06,51.94,52.44,49.5,276400.0,-0.0315,WHR
2000-03-13,49.56,49.5,50.62,49.0,388000.0,-0.01,WHR
2000-03-14,48.88,49.81,50.44,48.88,409500.0,-0.0137,WHR
2000-03-15,54.06,49.12,56.38,49.12,650600.0,0.106,WHR
2000-03-16,58.44,56.0,58.62,55.44,844400.0,0.081,WHR
2000-03-17,57.06,58.38,59.75,57.0,581700.0,-0.0236,WHR
2000-03-20,56.88,57.19,57.69,55.12,486600.0,-0.0032,WHR
2000-03-21,60.38,56.88,61.94,56.75,611700.0,0.061500000000000006,WHR
2000-03-22,57.62,59.38,59.62,56.38,451700.0,-0.045700000000000005,WHR
