Date,Close,Open,High,Low,Volume,Change,Symbol
2015-06-25,61.9,62.9,62.9,61.9,3700.0,-0.023399999999999997,WRK
2015-06-29,60.8,60.92,60.92,60.8,300.0,-0.0178,WRK
2015-06-30,60.9,61.33,61.4,60.33,1820000.0,0.0016,WRK
2015-07-01,62.4,60.74,62.4,60.63,192380.0,0.0246,WRK
2015-07-02,64.99,63.0,65.0,62.4,1740000.0,0.0415,WRK
2015-07-06,63.75,65.12,66.4,62.99,2089999.9999999998,-0.0191,WRK
2015-07-07,62.47,63.91,63.99,61.54,3050000.0,-0.020099999999999996,WRK
2015-07-08,59.71,62.5,63.9,59.5,3780000.0,-0.044199999999999996,WRK
2015-07-09,59.51,59.5,60.93,58.51,2280000.0,-0.0033,WRK
2015-07-10,61.4,59.97,61.6,59.4,2240000.0,0.0318,WRK
2015-07-13,62.12,62.04,62.25,61.61,1250000.0,0.011699999999999999,WRK
2015-07-14,62.19,62.1,63.05,61.44,994810.0,0.0011,WRK
2015-07-15,61.62,62.25,62.93,61.13,1210000.0,-0.0092,WRK
2015-07-16,62.32,61.7,63.68,61.54,1370000.0,0.011399999999999999,WRK
2015-07-17,61.75,62.62,63.25,61.64,1210000.0,-0.0091,WRK
2015-07-20,61.55,62.0,62.93,61.5,1980000.0,-0.0032,WRK
2015-07-21,59.85,61.84,62.86,59.62,1810000.0,-0.0276,WRK
2015-07-22,60.14,60.35,61.14,59.57,900130.0,0.0048,WRK
2015-07-23,59.85,59.77,60.78,59.35,1120000.0,-0.0048,WRK
2015-07-24,58.91,59.55,59.95,57.66,1150000.0,-0.015700000000000002,WRK
2015-07-27,58.19,58.45,59.42,57.87,1260000.0,-0.012199999999999999,WRK
2015-07-28,59.34,58.52,59.75,57.49,1640000.0,0.019799999999999998,WRK
2015-07-29,59.39,58.88,59.73,58.08,1790000.0,0.0008,WRK
2015-07-30,62.83,61.36,63.19,61.04,3530000.0,0.0579,WRK
2015-07-31,63.06,61.5,63.75,61.16,1620000.0,0.0037,WRK
2015-08-03,63.17,63.37,64.74,62.39,2130000.0,0.0017000000000000001,WRK
2015-08-04,62.57,62.25,63.45,62.24,702960.0,-0.0095,WRK
2015-08-05,62.75,63.29,63.96,62.22,1500000.0,0.0029,WRK
2015-08-06,61.74,62.0,62.5,60.48,2540000.0,-0.0161,WRK
2015-08-07,62.56,61.68,62.61,60.98,2060000.0,0.013300000000000001,WRK
2015-08-10,62.98,62.99,63.5,61.9,1420000.0,0.0067,WRK
2015-08-11,63.4,64.0,64.0,61.71,1730000.0,0.0067,WRK
2015-08-12,63.31,63.4,63.87,61.71,1400000.0,-0.0014000000000000002,WRK
2015-08-13,63.13,63.26,63.8,62.35,844270.0,-0.0028000000000000004,WRK
2015-08-14,63.23,63.13,63.81,61.96,938720.0,0.0016,WRK
2015-08-17,63.34,62.63,63.41,62.63,714350.0,0.0017000000000000001,WRK
2015-08-18,63.16,63.02,63.58,62.91,806540.0,-0.0028000000000000004,WRK
2015-08-19,62.07,62.98,63.29,62.07,1080000.0,-0.0173,WRK
2015-08-20,60.68,61.75,61.75,60.38,1300000.0,-0.022400000000000003,WRK
2015-08-21,59.01,60.22,60.27,58.63,1960000.0,-0.0275,WRK
