Date,Close,Open,High,Low,Volume,Change,Symbol
2002-10-28,12.7,12.7,12.74,12.66,5510000.0,0.0,WYNN
2002-10-29,12.34,12.69,12.7,11.76,2240000.0,-0.028300000000000002,WYNN
2002-10-30,12.21,12.31,12.32,11.84,905800.0,-0.0105,WYNN
2002-10-31,12.31,12.26,12.71,12.21,298900.0,0.008199999999999999,WYNN
2002-11-01,12.31,12.29,12.4,12.27,268800.0,0.0,WYNN
2002-11-04,12.61,12.36,12.65,12.35,1310000.0,0.024399999999999998,WYNN
2002-11-05,12.71,12.62,12.93,12.59,2380000.0,0.0079,WYNN
2002-11-06,12.69,12.72,12.89,12.69,204300.0,-0.0016,WYNN
2002-11-07,12.74,12.77,12.85,12.07,724200.0,0.0039000000000000003,WYNN
2002-11-08,12.63,12.71,12.73,12.53,106500.0,-0.0086,WYNN
2002-11-11,12.41,12.69,12.69,12.35,110500.0,-0.0174,WYNN
2002-11-12,11.68,12.43,12.44,11.58,540700.0,-0.0588,WYNN
2002-11-13,10.84,11.77,11.81,10.51,695600.0,-0.0719,WYNN
2002-11-14,10.83,10.87,10.99,10.62,462800.0,-0.0009,WYNN
2002-11-15,11.28,10.84,11.29,10.82,460700.0,0.0416,WYNN
2002-11-18,11.89,11.31,12.74,11.3,325400.0,0.0541,WYNN
2002-11-19,12.3,12.07,12.5,11.74,211600.0,0.0345,WYNN
2002-11-20,12.12,12.27,12.3,11.94,92730.0,-0.0146,WYNN
2002-11-21,12.55,12.24,12.55,12.24,91300.0,0.0355,WYNN
2002-11-22,12.35,12.55,12.56,12.21,55300.0,-0.0159,WYNN
2002-11-25,12.63,12.5,12.69,12.36,111000.0,0.0227,WYNN
2002-11-26,12.44,12.64,12.64,12.44,59300.0,-0.015,WYNN
2002-11-27,12.21,12.6,12.6,12.21,94300.0,-0.018500000000000003,WYNN
2002-11-29,12.52,12.48,12.59,12.3,35400.0,0.0254,WYNN
2002-12-02,12.12,12.64,12.65,12.06,93600.0,-0.0319,WYNN
2002-12-03,12.08,12.21,12.21,12.02,31100.0,-0.0033,WYNN
2002-12-04,12.3,12.16,12.3,12.02,42300.0,0.0182,WYNN
2002-12-05,12.97,12.65,12.99,12.46,366100.0,0.0545,WYNN
2002-12-06,12.87,12.84,13.07,12.68,129300.00000000001,-0.0077,WYNN
2002-12-09,12.69,12.98,12.99,12.57,106900.0,-0.013999999999999999,WYNN
2002-12-10,12.69,12.69,12.88,12.63,48300.0,0.0,WYNN
2002-12-11,12.94,12.79,13.07,12.71,189700.0,0.0197,WYNN
2002-12-12,13.42,13.07,13.48,12.96,361400.0,0.0371,WYNN
2002-12-13,13.28,13.41,14.05,13.21,615660.0,-0.0104,WYNN
2002-12-16,13.36,13.43,13.74,13.34,170900.0,0.006,WYNN
2002-12-17,13.17,13.58,13.58,13.0,95100.0,-0.014199999999999999,WYNN
2002-12-18,13.01,13.18,13.27,12.75,110800.0,-0.0121,WYNN
2002-12-19,12.45,13.18,13.18,12.21,233740.0,-0.043,WYNN
2002-12-20,12.78,12.5,13.08,12.39,134900.0,0.0265,WYNN
2002-12-23,13.13,12.78,13.27,12.7,65370.00000000001,0.0274,WYNN
