Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,9.33,9.64,9.64,9.27,2180000.0,-0.0342,YUM
2000-01-04,9.14,9.25,9.38,9.0,2380000.0,-0.0204,YUM
2000-01-05,9.19,9.19,9.23,9.14,3340000.0,0.0055000000000000005,YUM
2000-01-06,9.11,9.12,9.2,9.09,2840000.0,-0.0087,YUM
2000-01-07,8.91,9.11,9.12,8.84,4360000.0,-0.022000000000000002,YUM
2000-01-10,9.27,8.89,9.38,8.88,3980000.0,0.0404,YUM
2000-01-11,9.2,9.19,9.38,9.08,3040000.0,-0.0076,YUM
2000-01-12,9.11,9.25,9.38,9.11,7070000.0,-0.0098,YUM
2000-01-13,9.25,9.22,9.48,9.19,3970000.0,0.0154,YUM
2000-01-14,9.0,9.25,9.27,8.95,2290000.0,-0.027000000000000003,YUM
2000-01-18,8.73,8.88,8.94,8.66,5390000.0,-0.03,YUM
2000-01-19,8.41,8.67,8.69,8.34,7000000.0,-0.036699999999999997,YUM
2000-01-20,7.95,8.36,8.36,7.92,6500000.0,-0.0547,YUM
2000-01-21,7.97,7.95,8.05,7.94,5160000.0,0.0025,YUM
2000-01-24,7.8,8.03,8.09,7.77,4010000.0,-0.0213,YUM
2000-01-25,7.59,7.8,7.8,7.41,5230000.0,-0.0269,YUM
2000-01-26,7.52,7.59,7.64,7.5,3270000.0,-0.0092,YUM
2000-01-27,7.53,7.53,7.64,7.5,3900000.0,0.0013,YUM
2000-01-28,7.22,7.59,7.59,7.19,2830000.0,-0.0412,YUM
2000-01-31,7.16,7.31,7.34,7.12,2029999.9999999998,-0.0083,YUM
2000-02-01,7.69,7.34,8.06,7.34,8880000.0,0.07400000000000001,YUM
2000-02-02,7.23,7.5,7.61,7.05,7380000.0,-0.059800000000000006,YUM
2000-02-03,7.42,7.33,7.47,7.28,2980000.0,0.0263,YUM
2000-02-04,7.41,7.42,7.45,7.33,3140000.0,-0.0013,YUM
2000-02-07,7.36,7.36,7.5,7.25,3040000.0,-0.0067,YUM
2000-02-08,7.47,7.36,7.48,7.34,3130000.0,0.0149,YUM
