Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,25.03,25.93,26.0,24.78,1060000.0,-0.0373,ZBRA
2000-01-04,24.67,25.03,25.17,23.0,522450.00000000006,-0.0144,ZBRA
2000-01-05,25.14,23.57,25.22,23.56,612230.0,0.0191,ZBRA
2000-01-06,23.78,24.82,24.82,23.72,263930.0,-0.0541,ZBRA
2000-01-07,23.51,23.67,24.06,23.11,333900.0,-0.011399999999999999,ZBRA
2000-01-10,24.31,23.44,25.0,23.44,325800.0,0.034,ZBRA
2000-01-11,24.47,24.19,24.78,24.0,317930.0,0.0066,ZBRA
2000-01-12,23.86,24.33,24.56,23.61,512780.0,-0.024900000000000002,ZBRA
2000-01-13,23.94,24.39,24.44,23.33,397580.0,0.0034000000000000002,ZBRA
2000-01-14,26.64,23.94,26.78,23.78,1010000.0,0.1128,ZBRA
2000-01-18,26.47,26.5,26.89,25.69,630680.0,-0.0064,ZBRA
2000-01-19,26.31,26.46,26.67,26.0,277650.0,-0.006,ZBRA
2000-01-20,27.22,26.44,27.92,26.28,1090000.0,0.0346,ZBRA
2000-01-21,27.94,27.44,27.94,27.22,298350.0,0.0265,ZBRA
2000-01-24,28.03,27.94,28.83,27.78,389480.0,0.0032,ZBRA
2000-01-25,27.6,28.0,28.22,27.28,1080000.0,-0.015300000000000001,ZBRA
2000-01-26,27.5,27.76,27.83,27.42,1210000.0,-0.0036,ZBRA
2000-01-27,28.06,27.22,28.67,27.22,486450.0,0.0204,ZBRA
2000-01-28,27.58,28.03,28.36,27.5,479700.0,-0.0171,ZBRA
2000-01-31,26.31,27.58,28.31,25.44,336830.0,-0.046,ZBRA
2000-02-01,26.47,26.64,27.36,26.0,360230.0,0.0060999999999999995,ZBRA
2000-02-02,26.26,26.44,26.83,25.39,494780.0,-0.0079,ZBRA
2000-02-03,28.89,26.26,30.5,26.17,1340000.0,0.1002,ZBRA
2000-02-04,29.42,29.89,30.5,29.11,640130.0,0.0183,ZBRA
2000-02-07,29.89,29.53,30.22,29.28,470250.0,0.016,ZBRA
2000-02-08,30.25,29.78,31.06,29.69,632930.0,0.012,ZBRA
