Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,55.5,59.03,59.12,53.44,1200000.0,-0.0623,ZION
2000-01-04,52.81,54.62,55.0,52.5,816100.0,-0.048499999999999995,ZION
2000-01-05,52.75,52.75,53.25,51.06,1120000.0,-0.0011,ZION
2000-01-06,53.5,52.75,54.94,52.38,1110000.0,0.014199999999999999,ZION
2000-01-07,53.62,53.75,54.25,53.31,782000.0,0.0022,ZION
2000-01-10,52.66,53.69,53.75,51.5,408800.0,-0.0179,ZION
2000-01-11,49.88,52.69,53.0,49.88,987800.0,-0.0528,ZION
2000-01-12,50.31,50.5,50.75,49.0,794300.0,0.0086,ZION
2000-01-13,54.69,51.06,55.5,51.0,458700.0,0.08710000000000001,ZION
2000-01-14,55.62,56.0,56.75,54.94,596500.0,0.017,ZION
2000-01-18,52.81,55.62,56.12,52.75,476800.0,-0.050499999999999996,ZION
2000-01-19,53.38,52.75,54.62,52.62,310400.0,0.0108,ZION
2000-01-20,52.44,54.12,54.12,51.94,368200.0,-0.0176,ZION
2000-01-21,52.88,53.19,53.31,50.28,448900.0,0.0084,ZION
2000-01-24,52.0,53.5,54.25,51.38,573000.0,-0.0166,ZION
2000-01-25,53.69,51.81,53.88,51.38,497200.0,0.0325,ZION
2000-01-26,53.56,54.0,54.22,52.56,541500.0,-0.0024,ZION
2000-01-27,57.75,53.75,58.62,53.62,967300.0,0.0782,ZION
2000-01-28,56.12,57.25,57.25,54.88,801400.0,-0.0282,ZION
2000-01-31,59.12,56.19,59.31,56.12,440500.0,0.0535,ZION
2000-02-01,59.75,58.88,60.0,58.56,730800.0,0.010700000000000001,ZION
2000-02-02,58.62,59.5,59.56,58.56,655400.0,-0.0189,ZION
2000-02-03,57.94,58.56,59.5,57.12,297300.0,-0.0116,ZION
2000-02-04,55.31,57.88,58.12,55.0,240400.0,-0.0454,ZION
2000-02-07,55.25,55.38,55.75,53.88,384300.0,-0.0011,ZION
2000-02-08,58.06,55.06,58.44,55.0,366000.0,0.0509,ZION
2000-02-09,55.12,58.56,58.69,54.0,935800.0,-0.0506,ZION
2000-02-10,54.94,55.44,56.5,54.75,362500.0,-0.0033,ZION
2000-02-11,54.69,55.44,56.0,54.5,448800.0,-0.0046,ZION
2000-02-14,54.12,54.69,55.23,54.06,199400.0,-0.0104,ZION
2000-02-15,54.81,54.38,55.5,53.56,412600.0,0.0127,ZION
2000-02-16,54.56,54.75,54.81,54.25,233900.0,-0.0046,ZION
2000-02-17,55.03,54.75,55.75,54.06,439500.0,0.0086,ZION
2000-02-18,49.88,55.0,55.12,49.62,1170000.0,-0.09359999999999999,ZION
2000-02-22,51.12,50.06,51.19,48.88,706100.0,0.024900000000000002,ZION
2000-02-23,50.62,51.06,51.25,49.31,433000.0,-0.0098,ZION
2000-02-24,50.88,50.78,51.56,50.44,821900.0,0.0051,ZION
2000-02-25,50.0,50.88,50.88,49.88,338300.0,-0.0173,ZION
2000-02-28,51.5,49.97,52.66,49.69,1030000.0,0.03,ZION
2000-02-29,53.06,51.75,53.25,51.0,415700.0,0.030299999999999997,ZION
2000-03-01,50.69,53.0,53.19,50.5,786900.0,-0.0447,ZION
2000-03-02,51.44,50.69,52.25,50.69,423300.0,0.0148,ZION
2000-03-03,38.81,51.25,51.41,32.0,14240000.0,-0.2455,ZION
2000-03-06,41.56,39.25,42.38,37.12,3840000.0,0.0709,ZION
2000-03-07,39.81,41.88,41.88,39.12,1160000.0,-0.0421,ZION
2000-03-08,37.44,40.56,40.56,36.5,1450000.0,-0.059500000000000004,ZION
2000-03-09,36.88,37.19,37.62,36.38,862200.0,-0.015,ZION
2000-03-10,37.25,36.94,39.75,36.06,822100.0,0.01,ZION
2000-03-13,37.97,37.88,38.94,37.62,1970000.0,0.019299999999999998,ZION
2000-03-14,36.44,38.34,38.62,36.0,536200.0,-0.0403,ZION
2000-03-15,38.75,36.75,39.5,36.69,832300.0,0.0634,ZION
2000-03-16,41.38,39.62,41.88,39.56,1170000.0,0.0679,ZION
2000-03-17,40.94,40.5,42.94,40.38,1010000.0,-0.0106,ZION
2000-03-20,39.31,41.0,41.25,39.31,542200.0,-0.0398,ZION
2000-03-21,42.25,39.25,42.62,38.62,511800.0,0.0748,ZION
2000-03-22,42.06,42.0,44.34,42.0,529200.0,-0.0045000000000000005,ZION
2000-03-23,44.0,41.75,44.0,41.5,673600.0,0.0461,ZION
2000-03-24,42.56,43.75,44.0,42.0,579300.0,-0.0327,ZION
2000-03-27,39.44,42.59,42.69,38.81,900300.0,-0.0733,ZION
