Date,Close,Open,High,Low,Volume,Change,Symbol
2013-02-01,31.01,31.5,31.74,30.47,66790000.00000001,-0.7476,ZTS
2013-02-04,31.02,31.09,31.99,30.76,7700000.0,0.0003,ZTS
2013-02-05,31.04,31.25,31.98,30.85,5010000.0,0.0006,ZTS
2013-02-06,31.03,30.98,31.43,30.75,2130000.0,-0.0003,ZTS
2013-02-07,32.0,31.0,32.73,31.0,3800000.0,0.0313,ZTS
2013-02-08,33.05,32.31,33.48,32.3,2600000.0,0.032799999999999996,ZTS
2013-02-11,33.26,33.06,33.5,32.88,1490000.0,0.0064,ZTS
2013-02-12,33.74,33.4,34.0,33.15,1640000.0,0.0144,ZTS
2013-02-13,33.55,33.8,33.8,33.0,1270000.0,-0.005600000000000001,ZTS
2013-02-14,33.27,33.39,33.45,32.77,2950000.0,-0.0083,ZTS
2013-02-15,33.98,33.31,34.09,33.0,5420000.0,0.0213,ZTS
2013-02-19,33.84,34.02,34.07,33.57,1210000.0,-0.0040999999999999995,ZTS
2013-02-20,32.72,33.84,33.88,32.6,1840000.0,-0.0331,ZTS
2013-02-21,32.56,32.5,32.8,31.86,3240000.0,-0.0049,ZTS
2013-02-22,32.59,32.78,32.93,32.5,954410.0,0.0009,ZTS
2013-02-25,32.07,32.68,32.69,32.0,818860.0,-0.016,ZTS
2013-02-26,32.04,32.05,32.4,31.99,1050000.0,-0.0009,ZTS
2013-02-27,32.32,32.0,33.05,32.0,1340000.0,0.0087,ZTS
2013-02-28,33.45,32.56,33.55,32.56,2990000.0,0.035,ZTS
2013-03-01,34.6,33.36,34.7,33.15,2330000.0,0.0344,ZTS
2013-03-04,34.35,34.8,34.89,34.23,865350.0,-0.0072,ZTS
2013-03-05,34.29,34.41,34.48,33.75,1410000.0,-0.0017000000000000001,ZTS
2013-03-06,33.85,34.34,34.38,33.85,802110.0,-0.0128,ZTS
2013-03-07,34.56,33.95,34.68,33.56,1320000.0,0.021,ZTS
2013-03-08,34.09,34.03,34.69,33.8,1540000.0,-0.013600000000000001,ZTS
2013-03-11,34.18,33.97,34.26,33.25,1730000.0,0.0026,ZTS
2013-03-12,33.82,34.12,34.24,33.6,1560000.0,-0.0105,ZTS
2013-03-13,34.0,33.9,34.06,33.08,2240000.0,0.0053,ZTS
2013-03-14,34.64,34.33,35.42,34.3,1870000.0,0.018799999999999997,ZTS
2013-03-15,33.44,34.7,34.84,33.31,2690000.0,-0.0346,ZTS
2013-03-18,32.84,32.75,32.94,32.64,2370000.0,-0.0179,ZTS
2013-03-19,32.8,32.8,33.42,32.33,1340000.0,-0.0012,ZTS
2013-03-20,33.51,32.9,33.54,32.5,1940000.0,0.0216,ZTS
2013-03-21,33.47,33.9,34.0,33.29,514500.0,-0.0012,ZTS
2013-03-22,33.12,33.55,33.75,32.73,763530.0,-0.0105,ZTS
2013-03-25,32.46,33.48,33.48,32.25,1320000.0,-0.0199,ZTS
2013-03-26,32.51,32.73,32.79,32.0,1400000.0,0.0015,ZTS
2013-03-27,32.74,32.38,32.89,32.06,1900000.0,0.0070999999999999995,ZTS
2013-03-28,33.4,32.85,33.5,32.63,7440000.0,0.0202,ZTS
2013-04-01,32.59,33.42,33.59,32.43,1470000.0,-0.024300000000000002,ZTS
2013-04-02,32.55,32.66,33.13,32.46,712190.0,-0.0012,ZTS
2013-04-03,32.53,32.67,32.98,32.36,1410000.0,-0.0006,ZTS
2013-04-04,31.84,32.41,32.5,31.71,1950000.0,-0.0212,ZTS
2013-04-05,31.96,31.73,32.07,30.57,3960000.0,0.0038,ZTS
2013-04-08,32.92,31.95,32.98,31.77,1970000.0,0.03,ZTS
2013-04-09,33.44,33.05,33.59,32.56,2009999.9999999998,0.0158,ZTS
2013-04-10,33.15,33.76,33.76,32.98,969450.0,-0.0087,ZTS
2013-04-11,33.16,33.22,33.24,32.87,1830000.0,0.0003,ZTS
2013-04-12,33.23,32.97,33.35,32.6,723440.0,0.0021,ZTS
2013-04-15,32.24,33.07,33.23,32.17,839490.0,-0.0298,ZTS
2013-04-16,33.21,32.36,33.37,32.29,2270000.0,0.0301,ZTS
2013-04-17,32.89,32.98,33.23,32.17,3140000.0,-0.0096,ZTS
2013-04-18,32.47,33.1,33.1,32.38,799890.0,-0.0128,ZTS
2013-04-19,32.71,32.71,32.79,31.81,2160000.0,0.0074,ZTS
2013-04-22,32.66,32.9,32.9,32.22,922060.0,-0.0015,ZTS
2013-04-23,31.7,32.78,32.96,31.5,2740000.0,-0.0294,ZTS
2013-04-24,30.62,31.63,31.69,30.42,4150000.0000000005,-0.0341,ZTS
2013-04-25,31.55,30.93,31.99,30.75,1520000.0,0.0304,ZTS
2013-04-26,32.64,31.61,32.68,31.61,1420000.0,0.0345,ZTS
2013-04-29,32.66,32.95,32.95,32.17,1710000.0,0.0006,ZTS
2013-04-30,33.02,33.68,34.74,32.93,3390000.0,0.011000000000000001,ZTS
2013-05-01,33.39,32.97,33.51,32.66,1390000.0,0.011200000000000002,ZTS
2013-05-02,33.28,33.38,33.87,33.11,696250.0,-0.0033,ZTS
2013-05-03,33.21,33.62,33.64,33.0,998870.0,-0.0021,ZTS
2013-05-06,32.94,33.35,33.49,32.75,503640.0,-0.008100000000000001,ZTS
2013-05-07,32.88,33.08,33.08,32.3,700680.0,-0.0018,ZTS
2013-05-08,33.26,33.0,33.44,32.72,1030000.0,0.0116,ZTS
2013-05-09,33.55,33.31,33.67,33.28,977130.0,0.0087,ZTS
2013-05-10,33.18,33.54,33.61,32.97,534010.0,-0.011000000000000001,ZTS
2013-05-13,33.04,33.06,33.49,32.75,438630.0,-0.0042,ZTS
2013-05-14,33.08,33.13,33.75,32.85,872230.0,0.0012,ZTS
2013-05-15,32.79,32.94,33.06,32.56,563410.0,-0.0088,ZTS
2013-05-16,33.39,33.48,33.8,33.16,1280000.0,0.0183,ZTS
2013-05-17,33.9,33.35,33.9,33.19,962450.0,0.015300000000000001,ZTS
2013-05-20,33.71,33.9,34.0,33.6,735670.0,-0.005600000000000001,ZTS
2013-05-21,33.04,33.57,33.74,32.99,1690000.0,-0.0199,ZTS
2013-05-22,33.55,32.55,33.99,31.75,26010000.0,0.0154,ZTS
2013-05-23,32.84,33.25,33.8,32.71,9010000.0,-0.0212,ZTS
2013-05-24,33.46,33.2,33.62,32.53,5910000.0,0.0189,ZTS
2013-05-28,34.26,33.8,34.28,33.59,4960000.0,0.0239,ZTS
2013-05-29,32.95,34.25,34.25,32.88,3100000.0,-0.0382,ZTS
2013-05-30,32.24,32.77,33.1,32.1,3930000.0,-0.0215,ZTS
2013-05-31,32.0,32.3,32.34,31.8,6510000.0,-0.0074,ZTS
2013-06-03,32.75,32.01,32.84,31.31,3400000.0,0.023399999999999997,ZTS
2013-06-04,32.4,32.83,32.99,31.84,4510000.0,-0.010700000000000001,ZTS
2013-06-05,32.17,32.42,32.42,31.75,3520000.0,-0.0070999999999999995,ZTS
2013-06-06,32.08,32.17,32.31,31.54,2920000.0,-0.0028000000000000004,ZTS
2013-06-07,31.5,32.26,32.34,31.21,5130000.0,-0.0181,ZTS
2013-06-10,32.01,31.83,32.11,31.47,4990000.0,0.016200000000000003,ZTS
2013-06-11,31.7,31.7,32.02,31.4,6370000.0,-0.0097,ZTS
2013-06-12,31.53,31.95,32.03,31.4,7650000.0,-0.0054,ZTS
2013-06-13,31.17,31.47,31.55,30.87,5850000.0,-0.011399999999999999,ZTS
2013-06-14,30.8,31.0,31.26,30.61,10670000.0,-0.011899999999999999,ZTS
2013-06-17,30.96,31.4,31.76,30.71,26790000.0,0.0052,ZTS
2013-06-18,31.18,31.33,31.39,30.95,24290000.0,0.0070999999999999995,ZTS
2013-06-19,31.0,31.06,31.24,30.82,23480000.0,-0.0058,ZTS
2013-06-20,30.19,30.89,31.04,30.05,14940000.0,-0.026099999999999998,ZTS
2013-06-21,30.6,30.55,31.09,30.34,33690000.0,0.013600000000000001,ZTS
2013-06-24,30.38,30.15,30.5,29.4,40770000.0,-0.0072,ZTS
2013-06-25,31.49,30.8,31.62,30.5,13510000.0,0.0365,ZTS
2013-06-26,30.97,31.8,31.9,30.92,23790000.0,-0.0165,ZTS
2013-06-27,30.87,31.46,31.51,30.79,16730000.0,-0.0032,ZTS
2013-06-28,30.89,30.9,31.39,30.54,19420000.0,0.0006,ZTS
2013-07-01,30.61,31.02,31.06,30.13,17600000.0,-0.0091,ZTS
2013-07-02,29.7,30.22,30.83,29.62,11160000.0,-0.0297,ZTS
2013-07-03,29.28,29.67,29.74,28.97,12930000.0,-0.0141,ZTS
2013-07-05,30.17,29.81,30.18,29.78,10820000.0,0.0304,ZTS
2013-07-08,30.94,30.45,30.97,30.22,15680000.0,0.0255,ZTS
2013-07-09,30.98,31.12,31.4,30.94,8710000.0,0.0013,ZTS
2013-07-10,31.04,31.08,31.24,30.47,6510000.0,0.0019,ZTS
2013-07-11,30.92,31.43,31.45,30.84,4490000.0,-0.0039000000000000003,ZTS
2013-07-12,31.35,31.02,31.38,31.01,5430000.0,0.0139,ZTS
2013-07-15,31.58,31.31,31.65,31.1,4200000.0,0.0073,ZTS
2013-07-16,31.16,31.56,31.65,31.1,4300000.0,-0.013300000000000001,ZTS
2013-07-17,30.99,31.23,31.23,30.85,3550000.0,-0.0055000000000000005,ZTS
2013-07-18,30.82,31.11,31.2,30.77,4059999.9999999995,-0.0055000000000000005,ZTS
2013-07-19,30.24,30.79,30.8,30.12,8950000.0,-0.018799999999999997,ZTS
2013-07-22,30.27,30.36,30.59,30.16,4260000.0,0.001,ZTS
2013-07-23,30.06,30.41,30.44,29.76,5090000.0,-0.0069,ZTS
2013-07-24,29.9,30.13,30.55,29.66,4890000.0,-0.0053,ZTS
2013-07-25,30.52,29.88,30.55,29.71,5470000.0,0.0207,ZTS
2013-07-26,30.43,30.4,30.53,30.0,5050000.0,-0.0029,ZTS
2013-07-29,30.09,30.27,30.54,29.98,4120000.0,-0.011200000000000002,ZTS
2013-07-30,30.04,30.15,30.32,29.89,4630000.0,-0.0017000000000000001,ZTS
2013-07-31,29.81,30.0,30.19,29.8,5380000.0,-0.0077,ZTS
2013-08-01,30.16,29.97,30.21,29.46,8109999.999999999,0.011699999999999999,ZTS
2013-08-02,30.94,30.12,30.96,29.91,5190000.0,0.0259,ZTS
2013-08-05,31.25,30.47,31.39,30.47,7280000.0,0.01,ZTS
2013-08-06,31.13,31.68,32.5,31.09,12470000.0,-0.0038,ZTS
2013-08-07,31.24,31.1,31.4,30.65,5920000.0,0.0034999999999999996,ZTS
2013-08-08,31.24,31.4,31.83,31.18,7160000.0,0.0,ZTS
2013-08-09,30.91,31.14,31.24,30.78,2780000.0,-0.0106,ZTS
2013-08-12,30.33,30.68,30.99,30.04,5790000.0,-0.018799999999999997,ZTS
2013-08-13,30.45,30.5,30.75,30.2,3120000.0,0.004,ZTS
2013-08-14,30.14,30.5,30.63,30.08,3860000.0,-0.0102,ZTS
2013-08-15,30.02,29.94,30.16,29.79,5820000.0,-0.004,ZTS
2013-08-16,30.0,29.94,30.2,29.75,3680000.0,-0.0007000000000000001,ZTS
